id|user|created_at|text|lang|label|retweet_count|favorite_count
1520435055667015681|516880804|Sat Apr 30 16:09:00 +0000 2022|"Happy Independent Book Store Day! 📚We’ve got wonderful independent book sellers in the Fourth District to support today (and any time)! 

📕St. Paul: https://t.co/2Y9paF5Jb1

📗Stillwater: https://t.co/3Ho9pNGPBo

📙White Bear Lake: https://t.co/3BJitehHRx"|en|D|3|7
1520402050630230016|516880804|Sat Apr 30 13:57:51 +0000 2022|As our nation is still battling COVID-19, I support the White House’s request for urgent funding to make sure that testing and drug therapeutics are available, including getting Paxlovid into the hands of more people who need it. (1/2)|en|D|6|23
1520144390261407745|516880804|Fri Apr 29 20:54:00 +0000 2022|"This weekend, you can see the Fourth District Congressional Art Competition entries in person at the St. Paul Art Crawl display at Schmidt Artist Lofts! 

More info here: https://t.co/3gGxM7a5Li https://t.co/EBlN7JvFBW"|en|D|4|3
1520088051183144960|516880804|Fri Apr 29 17:10:07 +0000 2022|I also had the chance to ask @EPAMichaelRegan about the work being done to address PFAS contamination &amp; increasing the agency budget for chemical reviews under the Toxic Substances Control Act. We must prioritize protecting the most vulnerable populations, including children. https://t.co/vCM4pyYSgL|en|D|3|11
1520076734317707370|516880804|Fri Apr 29 16:25:09 +0000 2022|"Happy #ArborDay! Trees help fight climate change by capturing carbon from the atmosphere. If you’re thinking of planting a tree to celebrate, make sure to select the appropriate species for your area: https://t.co/BlDAHRCD4Y

More ways to celebrate: https://t.co/bdSRI6FLiF"|en|D|5|7
1520039351400419335|516880804|Fri Apr 29 13:56:36 +0000 2022|"Democracies around the world are united in helping Ukraine defend itself, and we must do more. I voted for the Ukraine Democracy Defense Lend-Lease Act to give @POTUS more flexibility to deliver Ukraine the support it needs to win. #StandWithUkraine
https://t.co/RH0SGCU1Wu"|en|D|5|22
1520027965526052867|516880804|Fri Apr 29 13:11:22 +0000 2022|We must continue to provide @EPA with sufficient funding to safeguard our environment &amp; protect human health. Watch our FY 23 @AppropsDems budget hearing with @EPAMichaelRegan: https://t.co/FlXi0zz2a9 https://t.co/yGDPIutIWY|en|D|11|18
1519777529753657347|516880804|Thu Apr 28 20:36:13 +0000 2022|Thanks to U.S. investment, there were just 6 cases of wild polio in the world in 2021! To continue making lifesaving progress &amp; build back after COVID-19, we must continue to strengthen global health systems. #VaccinesWork #WorldImmunizationWeek https://t.co/1Z4ZlujZkD|en|D|4|9
1519739964715683842|516880804|Thu Apr 28 18:06:57 +0000 2022|Amid Putin's unjustified war in Ukraine, I voted for the Asset Seizure for Ukraine Reconstruction Act, which directs @POTUS to identify ways the U.S. can seize the yachts &amp; private planes of Putin and his cronies and use those funds to support Ukraine. #SanctionPutinsCronies https://t.co/f3AmS7e78Z|en|D|4|6
1519730915936653312|516880804|Thu Apr 28 17:31:00 +0000 2022|Gender-based violence undermines safety, health, &amp; well-being &amp; is a barrier to women’s entry &amp; retention in male-dominated jobs like transportation. We raise awareness to #EndSexualViolenceInTrucking during National Sexual Assault Awareness &amp; Prevention Month &amp; all year round. https://t.co/hijWQvk7WL|en|D|10|13
