id|user|created_at|text|lang|label|retweet_count|favorite_count
1506339565170212877|55677432|Tue Mar 22 18:38:33 +0000 2022|We need a home-grown American energy plan that will compliment the relationship between economy, energy, climate, a… https://t.co/U7hXnAlNzT|en|R|2|10
1505600557267922946|55677432|Sun Mar 20 17:42:00 +0000 2022|"Happy Birthday to the GOP!

Proud to be part of the party that has spent the last 168 years pushing conservative va… https://t.co/KjHZt0HAJG"|en|R|1|11
1504814880532013057|55677432|Fri Mar 18 13:40:00 +0000 2022|"We must keep Putin accountable for his war crimes. 

https://t.co/PxQm1xEoqt"|en|R|7|17
1504543149426978819|55677432|Thu Mar 17 19:40:14 +0000 2022|"Did you miss this? 

Read my thoughts on today's issues below:

https://t.co/QKwIq9nPXZ"|en|R|0|3
1504147939500904449|55677432|Wed Mar 16 17:29:49 +0000 2022|OUTRAGE of the week: the Biden administration tried to blame high gas prices on Putin's war. Watch the video for th… https://t.co/kI274qXBtz|en|R|4|15
1503741957088161793|55677432|Tue Mar 15 14:36:35 +0000 2022|"As long as we depend on other countries for energy we run security risks.

We need Energy Operation Warp Speed.

https://t.co/nZVmeTCQ1O"|en|R|3|12
1503481056560881668|55677432|Mon Mar 14 21:19:51 +0000 2022|We need operation energy warp speed now. This isn't right, Americans shouldn't be paying the price for this adminis… https://t.co/KAHxsGCmHP|en|R|3|20
1502316280547844100|55677432|Fri Mar 11 16:11:27 +0000 2022|Biden is trying to shift blame to Russia for rising gas prices but rapidly rising inflation and gas prices have bee… https://t.co/64lR6NrF3t|en|R|9|41
1501977532354211856|55677432|Thu Mar 10 17:45:23 +0000 2022|"America must lead the way on a Russia-Free energy future. It's time for Energy Operation Warp Speed.

https://t.co/nZVmeTCQ1O"|en|R|3|12
1501620328933564418|55677432|Wed Mar 09 18:05:59 +0000 2022|"We need an Operation Warp Speed for American energy production.

📺 Watch my full interview on Cavuto: Coast to Coas… https://t.co/KFDYxoyp7e"|en|R|4|11
