id|user|created_at|text|lang|label|retweet_count|favorite_count
1520110665754677250|30216513|Fri Apr 29 18:39:59 +0000 2022|"I was invited to co-host a reception for Ethiopian Finance Minister Ahmed Shide and Ethiopian Ambassador Fitsum Arega.

I declined. I will not break bread with a Minister of a government that has used a food blockade to kill thousands of civilians.
https://t.co/eU6YPmfkj2"|en|D|2821|3917
1519895215888338944|30216513|Fri Apr 29 04:23:52 +0000 2022|"Spoke with @SecBlinken about the need to communicate with #Sindh with Sindhi language programming.

https://t.co/wX3BaVHpze"|en|D|25|60
1519803675606196225|30216513|Thu Apr 28 22:20:07 +0000 2022|"I spoke at today's @HouseForeign hearing with @SecBlinken about the moral and practical reasons for a robust effort to provide #COVID vaccines to poorer countries.

https://t.co/ADwZXCm18m"|en|D|6|23
1519803573168742401|30216513|Thu Apr 28 22:19:43 +0000 2022|"I asked @SecBlinken about ethnic cleansing by Azerbaijan and the need to pressure the Azeris to release POWs.

https://t.co/UbYg6qwm7a"|en|D|10|37
1519803396794036225|30216513|Thu Apr 28 22:19:01 +0000 2022|"I raised #Tigray with @SecBlinken. The government of Ethiopia and Eritrea are starving people. He promised to make public a determination regarding genocide of Tigrayan people. (1/2)

https://t.co/4py08G5d21"|en|D|2261|2539
1519803241042792454|30216513|Thu Apr 28 22:18:23 +0000 2022|"Pleased that @SecBlinken responded to my question that the U.S. will not impose political conditions on our defense aid to #Israel. 
https://t.co/wSV9HbyuEU"|en|D|9|30
1519803098457329664|30216513|Thu Apr 28 22:17:49 +0000 2022|"I spoke with @SecBlinken about the need to provide humanitarian aid to Syrians without going through Bashar al-Assad. 
https://t.co/F4OOGpMxtW"|en|D|2|8
1519748997010837504|30216513|Thu Apr 28 18:42:51 +0000 2022|"Thank you to the Valley residents who joined our Town Hall last night &amp; shared their thoughts on the critical issues we face together. A special thank you to @drlynngoldman for joining us &amp; providing sound guidance on #COVID19.

More about the event ⬇
https://t.co/ZOsybsQlJK"|en|D|1|10
1519496704810274816|30216513|Thu Apr 28 02:00:19 +0000 2022|Starting Now! Dial (855) 920-0548 https://t.co/JKq9vDdlAG|en|D|2|4
1519482207672451073|30216513|Thu Apr 28 01:02:43 +0000 2022|"Starting in 1 hour: Our Telephone Town Hall will be starting soon at 7 PM where we will discuss all the critical issues facing Congress.

We will be joined by Dr. Lynn Goldman, epidemiologist and pediatrician, who will provide updates on #COVID19. https://t.co/r3h8EyKNJN"|en|D|3|6
1519435029029568513|30216513|Wed Apr 27 21:55:15 +0000 2022|"On #YomHaShoah #HolocaustRemembranceDay we remember the 6 million Jews who perished &amp; honor the survivors who've shared their stories so such atrocities are not repeated. We must continue to fight bigotry &amp; hatred in all its forms to ensure ""Never Again"" aren't just mere words. https://t.co/ypUD9poVrY"|en|D|3|16
