id|user|created_at|text|lang|label|retweet_count|favorite_count
1520473058032734208|779104195|Sat Apr 30 18:40:00 +0000 2022|"Utah is a great place to call home! 
https://t.co/xYEBcR8bZ8"|en|R|6|82
1520040711428755459|779104195|Fri Apr 29 14:02:01 +0000 2022|"It's no wonder that vulnerable Democrats run for the hills when @JoeBiden is in town! 
https://t.co/Hdu5LBdWp5"|en|R|25|101
1519764140927168513|779104195|Thu Apr 28 19:43:01 +0000 2022|The 2022 NFL Draft is tonight! Here's a little #TBT from my first year in the league. https://t.co/r91HgtyFW2|en|R|59|813
1519705283479900160|779104195|Thu Apr 28 15:49:08 +0000 2022|"How much safer would we be if protecting our southern border were prioritized over ""racial sensitivity"" trainings?"|en|R|87|775
1519673538470326272|779104195|Thu Apr 28 13:43:00 +0000 2022|"How can you tell when the Left are scheming to indoctrinate our children with divisive CRT disinformation??? 
Their mouths are moving.
https://t.co/xEiZmZ73N5"|en|R|55|210
1519378364989157378|779104195|Wed Apr 27 18:10:05 +0000 2022|"We have the tools to open and expand our economy here in Utah, but Democrats in Congress want to focus on green energy, forcing women to compete against men, and teaching CRT and sexual identity issues to young children.  
https://t.co/GVQ9tfWeH5"|en|R|39|185
1519106093703593984|779104195|Wed Apr 27 00:08:11 +0000 2022|America is the land of opportunity. We can take risks, we can fail, we can pick ourselves back up and succeed. That's the message our children desperately need to hear.|en|R|122|994
1518979340519632897|779104195|Tue Apr 26 15:44:30 +0000 2022|"Looking forward to people being able to say controversial stuff on Twitter again like ""men can't give birth"" or ""all lives matter""."|en|R|894|6733
1518945507455946755|779104195|Tue Apr 26 13:30:04 +0000 2022|"The ""defund the police"" rhetoric and policies aren't just dangerous, but they are affecting minority communities most! 
https://t.co/e15yConyHw"|en|R|52|171
1518782962526916609|779104195|Tue Apr 26 02:44:10 +0000 2022|"To cavalierly use the term 'abuse' when so many children face these horrors every day is despicable even for an extreme Leftist like Joy Reid.
She needs to issue an apology to @Jack Brewer as quickly as she made these false accusations
No shame. 
https://t.co/xjUh74WLpY"|en|R|115|538
1518686418712809472|779104195|Mon Apr 25 20:20:32 +0000 2022|I want to thank all the delegates who came out and showed your support this weekend. I'm looking forward to representing you in Congress and building on all we've accomplished the past few years. https://t.co/TzUUPyyWlW|en|R|31|173
1518663139427946497|779104195|Mon Apr 25 18:48:02 +0000 2022|Preparing for full meltdown by CNN as @elonmusk delivers their worst fear: free speech|en|R|173|1638
1518641059185577984|779104195|Mon Apr 25 17:20:18 +0000 2022|"Only people who hate America think ESG is American.

Who's with me?"|en|R|50|419
1518583770298740737|779104195|Mon Apr 25 13:32:39 +0000 2022|"This is why November 2022 is crucial. If ""We The People"" grant the Republican Party a clear mandate with the House and Senate, this subversion of our freedom will come to an end.
https://t.co/LkN8sK8Eaw"|en|R|32|116
1518039669467869184|779104195|Sun Apr 24 01:30:35 +0000 2022|Rest in peace, Senator Hatch. Thank you for your many years of service to the great state of Utah. I pray the Hatch family is comforted at this time. https://t.co/3UFSfCCo4I|en|R|76|551
1517855310400339968|779104195|Sat Apr 23 13:18:01 +0000 2022|Hello Delegates! See you at the convention today!|en|R|29|275
1517847456133779458|779104195|Sat Apr 23 12:46:48 +0000 2022|"What does it say about grown adults who are excited about talking and showing graphic sexual images to much younger adults (which includes rape fantasies and violent pornography)? 
Not long ago, it was called 'sick'
https://t.co/9aYEahzav3"|en|R|58|277
1517533192256897024|779104195|Fri Apr 22 15:58:02 +0000 2022|Our constitutional right to defend ourselves must be protected. Period! https://t.co/YRIYzSaPaB|en|R|33|257
1517221388725149698|779104195|Thu Apr 21 19:19:02 +0000 2022|Affirmative Action does NOT belong in sports. https://t.co/jCBc7ACLuv|en|R|34|271
1516997721537728512|779104195|Thu Apr 21 04:30:15 +0000 2022|Elementary schools are not the place for woke far-left experiments.|en|R|236|1763
1516800611232227329|779104195|Wed Apr 20 15:27:01 +0000 2022|SECURE OUR BORDER. How many more deaths will it take for Joe Biden to acknowledge the massive issue he created by opening the border? https://t.co/ZaGi9q5jWx|en|R|42|165
1516784236426002437|779104195|Wed Apr 20 14:21:57 +0000 2022|Leftists, leave our kids alone|en|R|177|1606
1516409281314267137|779104195|Tue Apr 19 13:32:00 +0000 2022|"Everyday Americans can not afford the consequences of Biden's careless spending. This will hurt communities across the country. 
https://t.co/zWJgxTihpi"|en|R|39|149
1516186311698362379|779104195|Mon Apr 18 22:46:00 +0000 2022|"Do you agree with this move?
https://t.co/gywEpltPQ5"|en|R|17|206
