id|user|created_at|text|lang|label|retweet_count|favorite_count
1507371364679831552|305620929|Fri Mar 25 14:58:33 +0000 2022|Today, 388 years ago, our great state was founded. I couldn’t be prouder to be a Marylander. Happy #MarylandDay, fo… https://t.co/Oi8ZGeMNfa|en|D|5|13
1506742657111973889|305620929|Wed Mar 23 21:20:18 +0000 2022|Deeply saddened to hear of Madeleine Albright’s passing. Arriving to the US as a refugee, she was a force of nature… https://t.co/JnRiD6cDCp|en|D|0|4
1506704475137925123|305620929|Wed Mar 23 18:48:34 +0000 2022|Great visiting Grier Forensics yesterday – an up-and-coming cyber forensics and tech company in #MD02’s Owings Mill… https://t.co/VtfUX3ZSu1|en|D|4|9
1506679344764178436|305620929|Wed Mar 23 17:08:43 +0000 2022|The ACA continues to strengthen Marylanders’ access to quality health care. It banned insurance companies from disc… https://t.co/Wb5KdpYmjL|en|D|1|2
1506458457515470848|305620929|Wed Mar 23 02:30:59 +0000 2022|As Russia continues its vicious assault on Ukraine, it’s important we remain vigilant of malicious cyber attacks ag… https://t.co/HkiF2DqSqM|en|D|5|10
1506370842296565763|305620929|Tue Mar 22 20:42:50 +0000 2022|Today I unveiled exciting new legislation, the Rust to Revitalization Act, to help bring federal economic developme… https://t.co/J4y7f4rPh3|en|D|2|3
1505961446554882050|305620929|Mon Mar 21 17:36:02 +0000 2022|Saddened to hear about the passing of Congressman Don Young. In working closely with Don on our bipartisan bill, th… https://t.co/b1TWbFWBCm|en|D|2|2
1505960039026208779|305620929|Mon Mar 21 17:30:27 +0000 2022|Honored to welcome @AmbassadorTai + @annietrev to the @portofbalt – the greatest port in America! The Port is thriv… https://t.co/FJk17P83al|en|D|2|12
1505949826319540227|305620929|Mon Mar 21 16:49:52 +0000 2022|GO TERPS! https://t.co/e6ZjIoh20K|en|D|1|5
1505522855928283137|305620929|Sun Mar 20 12:33:14 +0000 2022|Wishing all my constituents celebrating today a safe, prosperous #Nowruz!|en|D|1|3
1504516240584417291|305620929|Thu Mar 17 17:53:18 +0000 2022|"At 2 million strong, women veterans make up the largest and fastest-growing cohort of the veteran population.
Every… https://t.co/4tjxR73iRe"|en|D|1|4
1504255169608962050|305620929|Thu Mar 17 00:35:54 +0000 2022|This morning, Congress heard directly from President @ZelenskyyUa. I join my colleagues and the international commu… https://t.co/DpONBpHY62|en|D|1|9
1504164229296893964|305620929|Wed Mar 16 18:34:32 +0000 2022|After the tragic shootings at three Asian-owned spas in GA one year ago today, I was proud to join w/ @CAPAC to hel… https://t.co/EM1ZYuIWdL|en|D|5|15
1504154004439326728|305620929|Wed Mar 16 17:53:55 +0000 2022|Today #TeamDutchs’s Andi helped celebrate the groundbreaking of @UnitedSafetyT’s state-of-the-art $350M… https://t.co/6BFa4Ulefj|en|D|3|4
1503815413335044110|305620929|Tue Mar 15 19:28:28 +0000 2022|Great visiting @DragosInc in #MD02's Hanover today. They've grown 10x since my last visit + now have an incredible… https://t.co/V9xArKzw2U|en|D|5|28
1503806707390193667|305620929|Tue Mar 15 18:53:53 +0000 2022|Today, @POTUS will sign into law the historic funding legislation passed by @HouseDemocrats last week, which will h… https://t.co/X6LQXOkuFs|en|D|3|5
