id|user|created_at|text|lang|label|retweet_count|favorite_count
1507120424999477248|76132891|Thu Mar 24 22:21:24 +0000 2022|A new Idaho Grain &amp; Ag Center will serve as a bridge to the future of Idaho Ag and solidify the importance of the a… https://t.co/Ebbco2PREV|en|R|2|6
1506814224219066369|76132891|Thu Mar 24 02:04:40 +0000 2022|Habitat for Humanity Idaho Falls has worked hard to create a “Community of Hope”, where families can become success… https://t.co/XQt1GaSDhI|en|R|4|9
1506741486787825665|76132891|Wed Mar 23 21:15:39 +0000 2022|For years, the Fort Hall Fire Station has had to serve the tribal community with antiquated equipment and failing i… https://t.co/gD1dGMvXZf|en|R|2|10
1506704692402814978|76132891|Wed Mar 23 18:49:26 +0000 2022|"Cyber attacks are a real threat to our national security. 

The @INL plays an important role in protecting our nati… https://t.co/xLXeTnPuoJ"|en|R|3|6
1506348779741450242|76132891|Tue Mar 22 19:15:10 +0000 2022|I oppose discrimination of any kind &amp; support efforts to ensure everyone is treated FAIRLY. I also believe that the… https://t.co/BVHfY6RkbO|en|R|3|2
1506285244068081673|76132891|Tue Mar 22 15:02:42 +0000 2022|"Happy #NationalAgDay to all of Idaho’s farmers, ranchers, and producers.

Thanks for feeding the world! 🚜

#AgDay22… https://t.co/5wOmhI1imm"|en|R|2|2
1506062106956689408|76132891|Tue Mar 22 00:16:02 +0000 2022|I am extremely concerned by @ATFHQ attacks on law-abiding gun owners as many Idahoans are facing new Form 1 denials… https://t.co/C2dGgJx1q6|en|R|1|2
1506020772212473856|76132891|Mon Mar 21 21:31:47 +0000 2022|"Since 1998, the @salmonchallisnf has supported local youth through the Jackie Caivano Memorial Scholarship.

Gradua… https://t.co/uNYJqecmns"|en|R|2|2
1505990565082501121|76132891|Mon Mar 21 19:31:45 +0000 2022|While Russia’s war in Ukraine has escalated some price increases, let’s not forget that #Bidenflation has increased… https://t.co/710hdpeAtj|en|R|1|2
1505922562995351553|76132891|Mon Mar 21 15:01:32 +0000 2022|Congratulations to Tiffany Lemos and Dane Beorchia, teachers from Pocatello and recipients of the… https://t.co/sHQZlqPzcA|en|R|3|5
1505028568715169794|76132891|Sat Mar 19 03:49:07 +0000 2022|Kathy &amp; I were shocked &amp; deeply saddened to hear that my colleague &amp; friend has passed away.  Don Young was truly o… https://t.co/4vKCYi3vp3|en|R|2|12
1504936372003835908|76132891|Fri Mar 18 21:42:46 +0000 2022|The Biden Admin has constantly told us to ‘follow the science,’ which makes the extension of the public transportat… https://t.co/QGDK7JXpM6|en|R|1|3
1504857848580169729|76132891|Fri Mar 18 16:30:44 +0000 2022|"This is heartbreaking news. Kathy and I offer our condolences to Jimmy’s family.

More and more civilians continue… https://t.co/sXQmbBLhEp"|en|R|2|12
1504607535541628928|76132891|Thu Mar 17 23:56:05 +0000 2022|"Did you know that I send out a weekly newsletter?

Interested Idahoans can signup to receive up-to-date information… https://t.co/nzCWBEd2Ra"|en|R|1|1
1504593453031690240|76132891|Thu Mar 17 23:00:07 +0000 2022|☘️☘️ Happy St. Patrick’s Day ☘️☘️ https://t.co/uIuTVa1Rmc|en|R|1|4
1504574039460700160|76132891|Thu Mar 17 21:42:59 +0000 2022|"$3,000 a year. 

That is the cost of #Bidenflation and his administration’s disastrous energy policies. American fa… https://t.co/z0i7N2EYgh"|en|R|1|1
1504556271319465991|76132891|Thu Mar 17 20:32:23 +0000 2022|While #SBDCDay was yesterday, Idaho’s 6 Small Business Development Center support business owners 365 days a year.… https://t.co/WUChYGuyNb|en|R|1|0
1504258430306979842|76132891|Thu Mar 17 00:48:52 +0000 2022|"President Zelenskiy gave a moving speech today before Congress.

The Administration should seriously consider his r… https://t.co/rOSdBx0MOS"|en|R|4|26
1503871132935819264|76132891|Tue Mar 15 23:09:53 +0000 2022|The U.S. continues to honor its end of the U.S. Potato Export Agreement and it’s imperative USDA ensure Mexico do t… https://t.co/njfj6u3yAv|en|R|2|7
1503496061469425665|76132891|Mon Mar 14 22:19:29 +0000 2022|House Republicans agree — any future agreement with Iran must hold them accountable for their destructive actions.… https://t.co/FWRyGOg5mO|en|R|2|1
1503409468578562049|76132891|Mon Mar 14 16:35:23 +0000 2022|"Congratulations to @BroncoSportsMBB, the Mountain West Conference champs! 

I look forward to cheering you on in th… https://t.co/AJhcVUruBU"|en|R|2|4
1503396883418341377|76132891|Mon Mar 14 15:45:23 +0000 2022|Three years ago President Trump signed this significant public lands package into law, marking a greater commitment… https://t.co/LfY8diOplk|en|R|3|5
1502397444381839361|76132891|Fri Mar 11 21:33:58 +0000 2022|Congratulations to @IdahoStateU for this great achievement. This ‘Military Friendly’ designation reflects the unive… https://t.co/GIbAhZgrmr|en|R|1|6
1502332969792409600|76132891|Fri Mar 11 17:17:46 +0000 2022|There is no better time than now to take real action to prioritize domestic sourcing and to reduce our reliance on… https://t.co/LsT91epc9Z|en|R|3|5
1502056872194752512|76132891|Thu Mar 10 23:00:39 +0000 2022|"I have always believed that collaborative state-management plans will better protect sage-grouse populations.

Inst… https://t.co/6cG6Vcw8BH"|en|R|5|3
1501980776019070984|76132891|Thu Mar 10 17:58:17 +0000 2022|"February saw the highest inflation rates in 40 years — even reaching a crushing 9% in states like Idaho. 

This tre… https://t.co/DqwkKMBrYY"|en|R|1|9
1501719203870502915|76132891|Thu Mar 10 00:38:53 +0000 2022|The Biden Admin wants to waste time &amp; taxpayer dollars for another federal overreach on WOTUS — ignoring calls by R… https://t.co/7PfLdN6mTk|en|R|2|4
1501694717238464513|76132891|Wed Mar 09 23:01:35 +0000 2022|Despite many attempts by Democrats to remove it, the life-saving Hyde Amendment has been restored. This will contin… https://t.co/3x0bnTKaIq|en|R|3|15
1501664638173286400|76132891|Wed Mar 09 21:02:03 +0000 2022|"I want to wish my good friend @RepRussFulcher a Happy Birthday! 

It has been a pleasure to serve with you in Congr… https://t.co/IWw5I4eXPr"|en|R|4|9
1501255185179418627|76132891|Tue Mar 08 17:55:02 +0000 2022|"Today is International Women’s Day – and March is Women’s History Month.
 
Idaho is blessed with a rich history of… https://t.co/pViNuQRtou"|en|R|2|5
1500992648617725953|76132891|Tue Mar 08 00:31:49 +0000 2022|As a long-time supporter of the SRS program, I am glad that my colleagues in the House and Senate recognized the im… https://t.co/TOdrLP4eTp|en|R|2|2
1500952285559414784|76132891|Mon Mar 07 21:51:25 +0000 2022|"The Biden Admin would rather work with authoritarian dictators than reopen American oil and gas production. 

Ameri… https://t.co/IZ3r8V2TTZ"|en|R|3|14
1499904040485851137|76132891|Sat Mar 05 00:26:04 +0000 2022|I consider protecting our God-given right to life as one of my most important responsibilities. I have fought back… https://t.co/jfLmaeDX8y|en|R|2|6
1499796423923044354|76132891|Fri Mar 04 17:18:26 +0000 2022|"Happy Idaho Day!

159 years ago, Abraham Lincoln created the Idaho Territory. Today, we look back and celebrate wha… https://t.co/HkvPVuNTqa"|en|R|3|8
1499516042191589381|76132891|Thu Mar 03 22:44:18 +0000 2022|"I proudly support the American Energy Independence from Russia Act.

This bill will strengthen our economy &amp; our na… https://t.co/OVVgFiquSI"|en|R|1|5
1499201631836983297|76132891|Thu Mar 03 01:54:57 +0000 2022|"I am always happy to see familiar faces at the National Potato Council’s Summit.

Thanks for the opportunity to spe… https://t.co/oqvxy9vojH"|en|R|3|5
1499079932135501826|76132891|Wed Mar 02 17:51:22 +0000 2022|"“A reader lives a thousand lives before he dies…the man who never reads lives only one.”

#ReadAcrossAmericaDay is… https://t.co/DI7p4CIUm3"|en|R|2|1
1498871556994330624|76132891|Wed Mar 02 04:03:21 +0000 2022|"It’s hard to believe @POTUS did not address U.S. energy independence — this should be a top priority.

Here are maj… https://t.co/ylPdMUufZK"|en|R|0|12
1498800845931966467|76132891|Tue Mar 01 23:22:22 +0000 2022|With the #SOTU tonight, I am looking forward to hearing @POTUS address the accomplishments of his first year in off… https://t.co/3ox0lVMHqx|en|R|0|9
1498724918912946177|76132891|Tue Mar 01 18:20:40 +0000 2022|"Happy 150th Birthday @YellowstoneNPS!

Preserving our public lands is a priority of mine, which is why I championed… https://t.co/cdv4MfeNTd"|en|R|0|6
1498474279037378566|76132891|Tue Mar 01 01:44:43 +0000 2022|Here is my statement on the recent events in Ukraine: https://t.co/h4j61ncPGH|en|R|3|17
1498377394440183808|76132891|Mon Feb 28 19:19:43 +0000 2022|"The last few weeks have shown how critically important a domestic energy supply is for the U.S.

As ranking member… https://t.co/vNjwGvYzIp"|en|R|2|2
1497322093209260033|76132891|Fri Feb 25 21:26:20 +0000 2022|After an exciting court decision in 2021 to expand U.S. potato exports, this is a disappointing move by the Mexican… https://t.co/J63k7nFpOa|en|R|4|4
1496616158174203911|76132891|Wed Feb 23 22:41:12 +0000 2022|"I had a wonderful time this morning with an impressive group of FFA students at American Falls High School.

They p… https://t.co/0wkEhhUJdh"|en|R|1|11
1496272807537553408|76132891|Tue Feb 22 23:56:51 +0000 2022|"It was a pleasure to visit with McCain Foods today and discuss the challenges impacting our Ag supply chain. 

As C… https://t.co/iu6Rpdx88P"|en|R|1|6
1496225049694846976|76132891|Tue Feb 22 20:47:05 +0000 2022|"Idaho employers, including those in the Ag industry, have struggled to find enough workers. 

The Farm Workforce Mo… https://t.co/kgTi86ggzj"|en|R|1|2
1496167546760069121|76132891|Tue Feb 22 16:58:35 +0000 2022|"The negative effects of a struggling supply chain are among many concerns shared by Idaho’s small businesses. 

Dem… https://t.co/kxQJlbk2T2"|en|R|1|4
