id|user|created_at|text|lang|label|retweet_count|favorite_count
1507416254965227520|299883942|Fri Mar 25 17:56:56 +0000 2022|If “Border Czar” Kamala Harris can’t handle the crisis at our southern border, then it’s time to appoint someone wh… https://t.co/DthiYMMDKv|en|R|1|2
1507380809350717443|299883942|Fri Mar 25 15:36:05 +0000 2022|Today, on National Medal of Honor Day, we honor some of the bravest men and women who have served this great nation… https://t.co/RcDIdcmrKZ|en|R|1|4
1506714900848156673|299883942|Wed Mar 23 19:30:00 +0000 2022|A big THANK YOU to @MGCCC for providing a space for these young minds to become leaders and a special thank you to… https://t.co/MMn3qLN9F9|en|R|1|3
1506706162229686283|299883942|Wed Mar 23 18:55:16 +0000 2022|Removing the Islamic Revolutionary Guard Corps from the foreign terrorist organization list would have a grave impa… https://t.co/wtuHxJ7AGt|en|R|1|4
1506669362358501390|299883942|Wed Mar 23 16:29:03 +0000 2022|What a successful 9th Annual Youth Leadership Summit here in Gulfport! We have 285 bright young minds from all acro… https://t.co/KAp1OpvHLQ|en|R|1|6
1506364531555160066|299883942|Tue Mar 22 20:17:45 +0000 2022|Remember to stay alert and have a plan as we continue dealing with possible tornadoes today throughout Mississippi. https://t.co/Uv2WhXJXXX|en|R|1|5
1506337412712128525|299883942|Tue Mar 22 18:30:00 +0000 2022|"The @ATFHQ has gone too far when they start restricting and denying law-abiding Americans their #2A rights.

Thank… https://t.co/M1lNAO19IK"|en|R|2|1
1506318985087930368|299883942|Tue Mar 22 17:16:46 +0000 2022|"From soybeans and corn, to cattle and catfish, Mississippi boasts a diverse agricultural landscape. 

Remember when… https://t.co/ghKBETj3xl"|en|R|1|6
1506304762001690624|299883942|Tue Mar 22 16:20:15 +0000 2022|The crisis in Ukraine isn’t slowing down, but the Biden Administration is dragging its feet on delivering critical… https://t.co/Rq819KP3zC|en|R|1|2
1504138971110162434|299883942|Wed Mar 16 16:54:10 +0000 2022|President Zelensky just delivered a powerful speech to Congress and the United States. It is clear that the Biden A… https://t.co/zA5g9Nljmg|en|R|1|12
1503802862949879815|299883942|Tue Mar 15 18:38:36 +0000 2022|Proud to have joined @RepBuddyCarter letter to @SecBecerra voicing concerns about this pro-abortion task force. Tax… https://t.co/NdfoI5dn74|en|R|0|4
1499426474784436224|299883942|Thu Mar 03 16:48:24 +0000 2022|It’s ironic that President Biden chose Fat Tuesday to promote the gluttonous spending of his Build Back Broke bill.|en|R|1|9
1499154996914442243|299883942|Wed Mar 02 22:49:38 +0000 2022|Democrats should give up wasteful spending for Lent.|en|R|2|12
1498857625605259267|299883942|Wed Mar 02 03:08:00 +0000 2022|Putin wouldn’t be waging war on our ally if Joe Biden had done his job in Afghanistan. Our enemies are watching his weakness. #SOTUinCrisis|en|R|1|11
1498849877278834688|299883942|Wed Mar 02 02:37:12 +0000 2022|No one is fooled by Biden’s rhetoric. His bad-for-business policies are why hard working Americans can’t afford groceries. #SOTUinCrisis|en|R|0|3
1498805440032956419|299883942|Tue Mar 01 23:40:38 +0000 2022|I encourage every American to tune into their local radio and TV stations to hear President Biden’s State of the Un… https://t.co/ZVrp6jwukH|en|R|0|5
