id|user|created_at|text|lang|label|retweet_count|favorite_count
1519742723384877058|18967498|Thu Apr 28 18:17:55 +0000 2022|Today, on #HolocastRemembranceDay we remember the lives of the 6 million Jews who were victims of the Holocaust, and we honor the survivors who bravely share their stories. #NeverAgain|en|R|2|1
1519708443770331139|18967498|Thu Apr 28 16:01:42 +0000 2022|"About to speak on the #House floor celebrating #bringyourchildtoworkday with Seth from @Tuesdayschldrn. 

Thanks for joining me today Seth!"|en|R|1|1
1519693677148479495|18967498|Thu Apr 28 15:03:01 +0000 2022|"BREAKING: U.S. GDP fell 1.4% in the first quarter this year.

Coupled with rising inflation, it's clear #Bidenomics and far-left policies are not working."|en|R|1|8
1517507295713898500|18967498|Fri Apr 22 14:15:07 +0000 2022|Happy #EarthDay2022 https://t.co/Hw8zcJ0JgW|en|R|2|4
1517162144936124418|18967498|Thu Apr 21 15:23:37 +0000 2022|"Joined the @PABankers this morning to discuss the future of agriculture in #Pennsylvania and across our great nation. 

As we face uncertainty in our supply chain &amp; rising inflation, we must work to promote policies that encourage and increase domestic production, not impede it. https://t.co/x1s2CtoQI8"|en|R|3|6
1515677923193327620|18967498|Sun Apr 17 13:05:51 +0000 2022|Happy Easter! Let us thank God for His love and blessings. https://t.co/kKobDc9mLS|en|R|3|14
1513919810207371264|18967498|Tue Apr 12 16:39:44 +0000 2022|"Inflation has reached 8.5%, marking the highest rate in over 40 years.

Gas⬆️48%
Milk ⬆️ 13.3%
Baby Food ⬆️10.8%
Bacon ⬆️ 18.2%
Eggs ⬆️ 11.2%
Butter ⬆️ 14%

Inflation is a tax on ALL Americans."|en|R|4|12
1512482380786769924|18967498|Fri Apr 08 17:27:54 +0000 2022|"Instead of turning to tyrants and OPEC to lower the cost of oil, @Potus should be utilizing our natural resources.

Yesterday, I introduced a resolution calling on the President to look at the positive impacts of unleashing domestic energy production in Pennsylvania."|en|R|1|13
1512081859097759761|18967498|Thu Apr 07 14:56:22 +0000 2022|Thank you @60PlusAssoc for The Guardian of Seniors’ Rights Award. I am proud to be an advocate for #PA15 senior citizens and I will continue to support policies that protect our seniors. @sanuzis @JimMartin60Plus https://t.co/mLY0H4KzE2|en|R|3|6
1511451432867840004|18967498|Tue Apr 05 21:11:17 +0000 2022|Today, I joined a bipartisan letter calling on the Biden admin to make sure Canada lives up to its #USMCA commitments. Dairy production is a key aspect of Pennsylvania's economy &amp; it's imperative our dairy farmers &amp; processors have access to reliable dairy markets. https://t.co/opy1EyLwUp|en|R|5|17
1511404822901276676|18967498|Tue Apr 05 18:06:04 +0000 2022|Today, on #NationalGoldStarSpousesDay we remember, respect, and honor the spouses and their families of our fallen service members. God bless our military families. https://t.co/FxCfCAl2kg|en|R|0|7
1511037145204637696|18967498|Mon Apr 04 17:45:03 +0000 2022|Calling all #PA15 art students. We are now accepting entries for the 2022 Congressional Art Competition. The deadline to submit your work is April 29. For more information please visit my website: https://t.co/MamkLIhDfr https://t.co/IX1L5pMWRf|en|R|1|1
1509940563243581454|18967498|Fri Apr 01 17:07:38 +0000 2022|Join me in congratulating #SaintMarysAreaMiddleSchool for their successful #MiniThon raising more than $12,000 for the #FourDiamondsFund! https://t.co/2rvRCUBc0S|en|R|2|10
1508882189089488911|18967498|Tue Mar 29 19:02:02 +0000 2022|"Today, we paid our respects to @repdonyoung. 

He was a tireless fighter for Alaska and an unparalleled public servant. 

It was a privilege to serve with such a strong and longstanding member. 

While we mourn his passing, let us lift his family and friends up in prayer. https://t.co/7GID0eLEx6"|en|R|2|10
1506303209371049997|18967498|Tue Mar 22 16:14:05 +0000 2022|Happy National Agriculture Day! America's farmers are the lifeblood of the rural economy. Today, I want to thank our farmers in #PA15 and across our nation for their work to feed, fuel, and clothe our country and the world. #NationalAgDay #NationalAgWeek #ThankAFarmer https://t.co/djiI31RPNX|en|R|3|14
1505919660470018049|18967498|Mon Mar 21 14:50:00 +0000 2022|Happy National Agriculture week! While our farmers, ranchers, and foresters should be celebrated year-round, this week is dedicated to honoring the efforts and hard work of American farmers and farm families. #NationalAgWeek #RuralAmerica #ThankAFarmer|en|R|16|53
1505190383093006342|18967498|Sat Mar 19 14:32:07 +0000 2022|It is with a heavy heart that I learned of the passing of my dear Colleague and brother in the Lord, @DonYoungAK.|en|R|3|8
1504893616543739913|18967498|Fri Mar 18 18:52:52 +0000 2022|"Too often our service members are confronted with poor living conditions. Our military members deserve safe and comfortable housing, that's why I introduced the Military Housing Transparency and Accountability Act with @repcarbajal.

https://t.co/LIDa1neYXn"|en|R|2|3
1504467646506582016|18967498|Thu Mar 17 14:40:13 +0000 2022|🍀Happy St. Patrick's Day 🍀 https://t.co/DX97W23rU5|en|R|6|19
1504170718442962949|18967498|Wed Mar 16 19:00:20 +0000 2022|This morning, President Zelensky delivered a powerful message to Congress. In the face of evil, the Ukrainian people are strong. We must continue to give them the aid and arms they need to fight Putin.|en|R|1|15
1504128294589018119|18967498|Wed Mar 16 16:11:45 +0000 2022|Speaking on the #House floor to celebrate #SBDCDay. With 16 #SBDC across the Commonwealth and 3 in #PA15, they provide the resources and tools for success to entrepreneurs of all ages and backgrounds.|en|R|1|3
1503776569818558467|18967498|Tue Mar 15 16:54:07 +0000 2022|Whole milk provides essential nutrients which benefit our children's development. It is time we reintroduce whole milk back into our school cafeterias. 🐮🥛 https://t.co/WHt6jM06mZ|en|R|5|10
1502384890343526403|18967498|Fri Mar 11 20:44:05 +0000 2022|One year ago @POTUS signed the $2 Trillion American Rescue plan into law. This bill ignited the inflation flames, incentivized our workforce to stay home, and kept our schools and businesses closed. https://t.co/zKeqy2fNoy|en|R|6|5
1501675028932403201|18967498|Wed Mar 09 21:43:21 +0000 2022|It's irresponsible for the EPA to move forward with any #WOTUS rulemaking while we await a #SCOTUS ruling. The last thing #PA15 farmers, landowners, and businesses need is more federal overreach. https://t.co/2Lc9N6duok|en|R|5|8
1501610979737624579|18967498|Wed Mar 09 17:28:50 +0000 2022|Mr. President, it is time to unleash our domestic energy production. Energy security is national security. https://t.co/IicwnWXDkR|en|R|3|12
1501229609089527814|18967498|Tue Mar 08 16:13:24 +0000 2022|"On the #House floor recognizing three young men from #PA15 for their fully qualified appointments to @WestPoint_USMA @NavalAcademy &amp; @AF_Academy. 

Thank you for your commitment to service and I wish you all the best of luck in this exciting new phase of life."|en|R|1|5
1500928548151906313|18967498|Mon Mar 07 20:17:06 +0000 2022|"Before heading to Washington, D.C., I stopped at a gas station and paid over $4.19 a gallon for unleaded gas in #PA15.

The last time gas was over $4 was in 2008.

@POTUS - it is time to stop this war on American energy and unleash our domestic energy production."|en|R|3|25
1499125691991924736|18967498|Wed Mar 02 20:53:12 +0000 2022|As CTE Month ends, we must continue to encourage #CTE as an effective workforce strategy. I look forward to supporting policies that close our country’s skills gap and keep our national economy thriving. https://t.co/SWjNhaAV2i|en|R|2|6
1499116961841795076|18967498|Wed Mar 02 20:18:30 +0000 2022|"Earlier today, I spoke on the House floor congratulating Penn State students on a record-breaking #THON. This year, #THON raised more than $13.7 Million For The Kids.
https://t.co/6G1wuxhw4w"|en|R|1|12
1498861520582815756|18967498|Wed Mar 02 03:23:28 +0000 2022|"""No amount of grandstanding or revisionist history is going to change the fact that the American people have a starkly different view from the President on the direction of our country.""

Read my full statement on tonight's #SOTU address

https://t.co/QmuHXWhO6j"|en|R|1|4
1498742408762339333|18967498|Tue Mar 01 19:30:10 +0000 2022|"#PA15 is experiencing the highest inflation in 40 years. With skyrocketing costs of everything from groceries to gasoline, there's a real strain on family budgets. 

https://t.co/Liaz3vBgEC

#SOTUinCrisis"|en|R|2|2
1498705868350754817|18967498|Tue Mar 01 17:04:58 +0000 2022|"The state of our union is in crisis because of President Biden and his continued attack on American energy.

Energy independence is national security. #SOTUinCrisis https://t.co/LXXOhFfLXJ"|en|R|2|4
1498394842723983360|18967498|Mon Feb 28 20:29:03 +0000 2022|In D.C. today, I spent some time sharing what I hope @POTUS addresses and my thoughts ahead of #SOTU2022. Look for my interviews tonight on TV across #PA15. https://t.co/crML0zI5Xp|en|R|2|10
1496966168523194369|18967498|Thu Feb 24 21:52:01 +0000 2022|Vladimir Putin has begun an unprompted and unwarranted invasion of Ukraine, which is the most significant infringement in Europe since World War II. This attack calls for a strong response from the U.S. and our allies, including significant economic sanctions.|en|R|2|14
1496178720377348105|18967498|Tue Feb 22 17:42:59 +0000 2022|It's #NationalFFAWeek! Let's celebrate past, present, and future FFA leaders who help young people develop their talents and explore their interests in the agriculture industry! https://t.co/F6DD8pJ7T8|en|R|3|14
1494774980680327170|18967498|Fri Feb 18 20:45:01 +0000 2022|Rather than addressing a two-year backlog of tax returns, the Biden Administration wants to weaponize the IRS. This legislation will ensure taxpayers still waiting for their returns are prioritized and they get what they are owed. https://t.co/TVLQa2MfmD|en|R|2|3
1494766800986427397|18967498|Fri Feb 18 20:12:31 +0000 2022|Best of luck to the dancers participating in #THON2022. Thank you to the students, staff, and organizations who continue to support such a wonderful cause and work to end childhood cancer. #FTK https://t.co/5qfMGqViOU|en|R|2|5
1494719533067689984|18967498|Fri Feb 18 17:04:41 +0000 2022|I am deeply saddened to hear about the passing of my dear friend, colleague, and committee member @RepHagedorn. My prayers are with his family and friends during this difficult time. May he rest in peace. https://t.co/9qXcvdEbGQ|en|R|5|16
1494017904353894405|18967498|Wed Feb 16 18:36:40 +0000 2022|Thanks for having me @penn_state #WeAre https://t.co/nYUhBuD4V9|en|R|1|5
1491849445864099842|18967498|Thu Feb 10 18:59:59 +0000 2022|"Inflation soared to its highest point in 40 years and Pennsylvanians are paying the price at the gas station and grocery store. 

#Bidenflation"|en|R|3|11
1491527720215404546|18967498|Wed Feb 09 21:41:34 +0000 2022|"CTE month recognizes the power of a skills-based education, which restores rungs on the ladder of opportunity for many individuals. I am proud to lead this bipartisan effort with @JimLangevin &amp; will continue to work hard to close our nation’s skills gap.
https://t.co/ywuc4yNeGS"|en|R|0|2
1491154186347884544|18967498|Tue Feb 08 20:57:16 +0000 2022|Earlier today, I spoke on the #House floor celebrating 112 years of @boyscouts and their pivotal role in shaping the leaders of tomorrow. I am proud to introduce a resolution recognizing today as Boys Scouts of America Day. https://t.co/eQO9nImaL6|en|R|37|147
1489712443546873859|18967498|Fri Feb 04 21:28:18 +0000 2022|I applaud the @USDA for preserving 1% flavored milk in our schools. Let’s use this as the springboard to reintroduce whole milk back into our cafeterias! 🥛🐮 https://t.co/pTO0ZPZfmg|en|R|8|34
1488901359265103881|18967498|Wed Feb 02 15:45:21 +0000 2022|Happy #GroundHogDay! Keep your winter layers close for another six weeks. #PA15 and Pennsylvania's most famous groundhog saw his shadow this morning ❄️❄️ https://t.co/IyvFgCiJwJ|en|R|1|6
1484589122249445538|18967498|Fri Jan 21 18:10:03 +0000 2022|Today and every day, I am proud to continue to fight for our most vulnerable. We all have the #righttolife and that includes those yet to be born. #PA15 https://t.co/iVPSRFAHfS|en|R|2|8
1483887433351680005|18967498|Wed Jan 19 19:41:48 +0000 2022|I am proud to always stand up for life and protect our most vulnerable, the unborn. Thank you @SBAList for the A+ rating. https://t.co/NbSK7qxeNa|en|R|4|32
1483836634789519365|18967498|Wed Jan 19 16:19:56 +0000 2022|#CWD is a contagious, neurological disease affecting deer, elk, and moose that is always fatal. We need all hands-on deck to help combat this disease and maintain a healthy deer population and protect our beloved elk range in Pennsylvania. https://t.co/X0loJrp55O|en|R|5|11
1480956531738877953|18967498|Tue Jan 11 17:35:26 +0000 2022|"Happy #NationalMilkDay 

Today, we raise a glass and thank all our #dairy producers and farmers in #PA15 🐮 🥛 🐄 https://t.co/03llawB981"|en|R|8|26
1480647760043032578|18967498|Mon Jan 10 21:08:29 +0000 2022|Spent the weekend at the #PennsylvaniaFarmShow visiting with the farmers, ranchers, and producers who clothe and feed our great Commonwealth, country, and the world! Thank you to @RepFredKeller, @RepMeuser , and @RepFischbach for joining me! https://t.co/5BYDjZkpnj|en|R|5|26
1478847210964066304|18967498|Wed Jan 05 21:53:45 +0000 2022|This morning I spent time at @CCCTC1 discussing the programs and training available to learners of all ages. By investing in career &amp; technical education, we can help individuals realize their true potential and set up the next generation of workers for success. https://t.co/tsmUnohd6W|en|R|4|22
1476633873698197507|18967498|Thu Dec 30 19:18:44 +0000 2021|"My 2021 Year in Review:

🌟 1,847 Constituent Meetings
🌟70 Days Speaking on the House Floor
🌟38,934 Responses to Constituent Emails, Letters, &amp; Calls

Read my full year in review below👇
https://t.co/Xu5RhV7LYA"|en|R|1|3
1474464005322428421|18967498|Fri Dec 24 19:36:27 +0000 2021|Merry Christmas to all! Wishing everyone a joyous holiday and a prosperous new year🎄|en|R|3|14
1473397893897895940|18967498|Tue Dec 21 21:00:06 +0000 2021|Veterans have sacrificed so much for our country. Today, I joined veterans affairs leaders from #PA15 to attain valuable insight on ways to improve support and services. We must ensure the federal government is delivering the benefits and services promised. https://t.co/sTuMrA9Vpn|en|R|1|6
