id|user|created_at|text|lang|label|retweet_count|favorite_count
1506700619515629569|2975091705|Wed Mar 23 18:33:15 +0000 2022|"#Bidenflation has led to major cost increases for hardworking Americans across the board…

⛽️ ⤴️48%
🥩 ⤴️ 13%
🥗 ⤴️ 7… https://t.co/nbDwpBBish"|en|R|49|157
1506670284018966529|2975091705|Wed Mar 23 16:32:42 +0000 2022|"UPDATE on the #BidenBorderCrisis:

📈 Total encounters up 60%
📈 Heroin seizures up 173%
📈 Cocaine seizures up 83%
📈… https://t.co/gAhYdBvPmp"|en|R|19|35
1506305209093525509|2975091705|Tue Mar 22 16:22:02 +0000 2022|Why can the Taliban tweet while a Christian satire site can't?|en|R|190|715
1505971952909004804|2975091705|Mon Mar 21 18:17:47 +0000 2022|"The first day of the #KBJ confirmation hearing has started. 

So far, it's clear Republicans want to examine her ju… https://t.co/9c8fKdF6gM"|en|R|32|86
1505618954336800769|2975091705|Sun Mar 20 18:55:06 +0000 2022|Happy first day of spring!|en|R|4|33
1504997110923599886|2975091705|Sat Mar 19 01:44:07 +0000 2022|"I'm deeply saddened to hear about the passing of my friend and colleague Don Young.

He was a true Alaskan and stea… https://t.co/K66IJfFWGv"|en|R|10|46
1504855559840874502|2975091705|Fri Mar 18 16:21:38 +0000 2022|"Trump was right the whole time.

The media refused to admit it. https://t.co/h4XeqH9SEm"|en|R|332|775
1504841447404707841|2975091705|Fri Mar 18 15:25:34 +0000 2022|"The number of violent crimes in D.C. has SKYROCKETED over the past few years:

📈 homicides: up 14% from 2021
📈 carj… https://t.co/XMCiSZv0bz"|en|R|43|76
1504835692060454920|2975091705|Fri Mar 18 15:02:42 +0000 2022|"Last week Pelosi prioritized forcing members to vote on her backroom, budget-busting omnibus package.

Pelosi this… https://t.co/ICM22ge3Fg"|en|R|9|32
1504509479882219526|2975091705|Thu Mar 17 17:26:27 +0000 2022|🤔 https://t.co/YlUBARfZNs|und|R|13|40
1504495232993435653|2975091705|Thu Mar 17 16:29:50 +0000 2022|"The New York Times is the kingpin of fake news.

After lying for YEARS about Hunter Biden’s laptop, they are now ca… https://t.co/ZmSVz1iTvu"|en|R|28|50
1504451205736677378|2975091705|Thu Mar 17 13:34:53 +0000 2022|"🚨 ICYMI🚨 Yesterday I introduced H.R. 7095, the ""Accountable Federal Employees Act,"" with @GOPoversight:

It's time… https://t.co/z58LaYrJCl"|en|R|17|48
1504262218732478464|2975091705|Thu Mar 17 01:03:55 +0000 2022|📻 LISTEN LIVE: I’m joining @StacyOnTheRight on @SiriusXMPatriot at 9:20 pm! Tune in!|en|R|4|2
1504147360536010756|2975091705|Wed Mar 16 17:27:31 +0000 2022|🚨 Today I introduced H.R. 7095, the Accountable Federal Employees Act with @GOPOversight on behalf of the American… https://t.co/wNjJdpuLhP|en|R|22|75
1504136729862803462|2975091705|Wed Mar 16 16:45:16 +0000 2022|There’s no such thing as peace through appeasement, and there’s no such thing as peace through weakness.|en|R|8|42
