id|user|created_at|text|lang|label|retweet_count|favorite_count
1507381596281835523|1484252226646421505|Fri Mar 25 15:39:13 +0000 2022|It was a pleasure spending the morning with our future leaders at @RooseveltMidd10! They have great insight on our… https://t.co/fWnLuEAMTK|en|D|0|2
1507094970074812425|1484252226646421505|Thu Mar 24 20:40:15 +0000 2022|"“Our hearts are in the mission.”              - Raul Diaz, Ph.D, Vet Center Director, Major, US Army, Retired

Toda… https://t.co/IIXBBaDRYu"|en|D|0|0
1507012088639594500|1484252226646421505|Thu Mar 24 15:10:55 +0000 2022|Are you in the surrounding areas of #greenacresfl and in need of constituent services? Our mobile team will be onsi… https://t.co/U9mn77VHNi|en|D|1|1
1506676930095071241|1484252226646421505|Wed Mar 23 16:59:07 +0000 2022|Happy Birthday to the Affordable Care Act! Making health care more affordable and accessible is especially importan… https://t.co/cphftZ3cx5|en|D|0|1
1506645298239754252|1484252226646421505|Wed Mar 23 14:53:25 +0000 2022|Today marks Day 3 of Judge Ketanji Brown Jackson’s incredible qualifications, brilliant legal mind, exemplary chara… https://t.co/WCvxJm0qXw|en|D|1|6
1506331601294274566|1484252226646421505|Tue Mar 22 18:06:54 +0000 2022|"POMPANO BEACH | MOBILE OFFICE - Are you in the surrounding areas of #PompanoBeach and in need of constituent servic… https://t.co/ZHamomVNTW"|en|D|0|1
1506267184342970371|1484252226646421505|Tue Mar 22 13:50:56 +0000 2022|The milestone of expelling over 20,000 Haitians under the Title 42 policy with the residents of Haiti still experie… https://t.co/u7q9UXiTw9|en|D|4|8
1506052403119939602|1484252226646421505|Mon Mar 21 23:37:28 +0000 2022|Today I visited the Broward Transitional Center to witness firsthand the plight of migrants in our country. We have… https://t.co/736YPdDM0T|en|D|9|22
1505238723193188353|1484252226646421505|Sat Mar 19 17:44:12 +0000 2022|The infrastructure law is the biggest investment we’ve made to fix roads, bridges, water systems &amp; more in over a c… https://t.co/jLiinEgCIe|en|D|0|4
1505184953990004736|1484252226646421505|Sat Mar 19 14:10:32 +0000 2022|The Infrastructure Investment and Jobs Act was a historic step to rebuild infrastructure and the middle class. https://t.co/MJo6wVpreo|en|D|0|2
1504917364378378243|1484252226646421505|Fri Mar 18 20:27:14 +0000 2022|Thank you! @RepYvetteClarke https://t.co/9zPXjgvAbS|en|D|1|8
1504869720935251971|1484252226646421505|Fri Mar 18 17:17:55 +0000 2022|Today’s deportation/expulsion flight to the Republic of Haiti comprised of 113 individuals, including 22 children,… https://t.co/GuBtGJahqe|en|D|23|53
1504846834002444321|1484252226646421505|Fri Mar 18 15:46:58 +0000 2022|Natural hair should be worn proudly without fear of discrimination or retribution. Today the House voted to pass th… https://t.co/3n8I47QsYx|en|D|3|8
1504633674930733062|1484252226646421505|Fri Mar 18 01:39:57 +0000 2022|My colleagues and I urge @POTUS to allow the people of Haiti to determine their political destiny by supporting con… https://t.co/bPeFY6vRjx|en|D|29|73
1504533661269598211|1484252226646421505|Thu Mar 17 19:02:32 +0000 2022|"At 2 million strong, women #veterans make up the largest and fastest-growing cohort of the veteran population.
 
Du… https://t.co/6S1TTnEOek"|en|D|0|1
1504532326721720321|1484252226646421505|Thu Mar 17 18:57:14 +0000 2022|Thank you - I’m excited about making a difference and working hard for our veterans! https://t.co/2o1Ge3V6XY|en|D|0|1
1504181443982987273|1484252226646421505|Wed Mar 16 19:42:57 +0000 2022|Today the Biden administration announced Temporary Protected Status (TPS) for Afghans already in the United States.… https://t.co/5jrJpt5ujH|en|D|0|2
1504171437736747013|1484252226646421505|Wed Mar 16 19:03:11 +0000 2022|I am pleased to announce a grant from the U.S. Department of Homeland Security’s Federal Emergency Management Agenc… https://t.co/bvOECzpefQ|en|D|0|1
1504121206009737224|1484252226646421505|Wed Mar 16 15:43:35 +0000 2022|Even small price increases make a painful dent for families in my district. By suspending the federal gas tax throu… https://t.co/KSKVbY2v3V|en|D|0|1
1504070322991079424|1484252226646421505|Wed Mar 16 12:21:23 +0000 2022|Are you in the surrounding areas of #Pahokee and in need of constituent services? Our mobile team will be onsite th… https://t.co/fyjwBS27Gr|en|D|0|0
1503860083792527367|1484252226646421505|Tue Mar 15 22:25:59 +0000 2022|Women are only paid 83 cents for every $ paid to a man, a yearly difference of $13,551. Mothers, families &amp; the cou… https://t.co/lNDjUgXTcr|en|D|0|1
1503831101420224512|1484252226646421505|Tue Mar 15 20:30:49 +0000 2022|Today @potus signed our historic omnibus government funding bill to continue to deliver #forthepeople. I proudly vo… https://t.co/eJJcS9Cotx|en|D|0|0
1503811257945755649|1484252226646421505|Tue Mar 15 19:11:58 +0000 2022|March 15—#EqualPayDay—marks the day in 2022 when women finally catch up w/ what men were paid in 2021. The average… https://t.co/wz13PIOpnz|en|D|1|0
1503480856048021505|1484252226646421505|Mon Mar 14 21:19:04 +0000 2022|I’m co-hosting a virtual workshop on the South Florida Bipartisan Infrastructure. Join me &amp; experts from the DOT, F… https://t.co/cUGIzqUr8n|en|D|1|2
1502689345567920129|1484252226646421505|Sat Mar 12 16:53:53 +0000 2022|UPDATE: Less than 48 hrs ago, my colleagues &amp; I sent our FL Democratic Delegation letter to oppose importing oil fr… https://t.co/vv52aokk2p|en|D|0|2
1502411551927644161|1484252226646421505|Fri Mar 11 22:30:02 +0000 2022|The omnibus bill provides $471M for Colombia, including $50M for rule of law/human rights &amp; $40M to enhance securit… https://t.co/kqTkFuMOSt|en|D|0|3
1502408483358060546|1484252226646421505|Fri Mar 11 22:17:50 +0000 2022|The omnibus bill supports U.S. Strategy to Address Root Causes of Migration in Central America, $61.5M to combat co… https://t.co/vqLD0FjYAn|en|D|0|2
1502406488660320270|1484252226646421505|Fri Mar 11 22:09:54 +0000 2022|The omnibus bill provides $80 million+ for the Caribbean Basin Security Initiative, $10 million for a new initiativ… https://t.co/Zzew5w4rq6|en|D|0|1
1502404267277180936|1484252226646421505|Fri Mar 11 22:01:05 +0000 2022|The omnibus bill we recently passed provides $3.3 billion for assistance for Israel, fulfilling the MOU.|en|D|0|0
1502106143660855296|1484252226646421505|Fri Mar 11 02:16:27 +0000 2022|Today, I joined my colleagues in opposing Venezuelan oil imports. We must hold true to our values and increase supp… https://t.co/U2KpQZw71k|en|D|0|2
1501916053898674183|1484252226646421505|Thu Mar 10 13:41:06 +0000 2022|We will keep fighting for quality, affordable health care for all. https://t.co/NdxyIdYIwF|en|D|0|1
1501684535720824842|1484252226646421505|Wed Mar 09 22:21:07 +0000 2022|"One year ago this week, @POTUS Biden enacted Democrats’ #AmericanRescuePlan that put:
🩹Shots in arms
💵Money in pock… https://t.co/TgMqtyLh5I"|en|D|0|5
1501600004980490247|1484252226646421505|Wed Mar 09 16:45:14 +0000 2022|Our Immigration Clinic is coming to Lauderhill Sports Complex this Saturday. Immigration lawyers and congressional… https://t.co/xVvtXqxy5E|en|D|0|3
1501328550904926209|1484252226646421505|Tue Mar 08 22:46:34 +0000 2022|Happy International Women’s Day to all of the amazing women everywhere! Let’s #breakthebias!|en|D|0|3
1500987505314779138|1484252226646421505|Tue Mar 08 00:11:22 +0000 2022|We must ensure that those who are seeking refuge are treated with dignity and in accordance with the rule of law. W… https://t.co/LzjfcHVzVe|en|D|2|10
1500629369055756290|1484252226646421505|Mon Mar 07 00:28:16 +0000 2022|Unfortunately, this ongoing crisis is caused by social, economic, and political instability across the region, and… https://t.co/wiTcjgv6Ud|en|D|34|100
1500093509105242114|1484252226646421505|Sat Mar 05 12:58:57 +0000 2022|Yesterday I joined my colleagues in a letter urging robust support for democratic values abroad. https://t.co/NVviT0y4ah|en|D|0|3
1499421659912192001|1484252226646421505|Thu Mar 03 16:29:16 +0000 2022|We owe it to toxic-exposed veterans to provide the care and benefits they've earned. That’s why it’s crucial we pas… https://t.co/hln5zCknyh|en|D|1|3
1499378716014792707|1484252226646421505|Thu Mar 03 13:38:37 +0000 2022|"I backed the Cuban Family Reunification Parole Program because families belong together.

https://t.co/QWYrrAEINp"|en|D|0|2
1499063508310409223|1484252226646421505|Wed Mar 02 16:46:06 +0000 2022|Finally. The #AntilynchingAct passed by a vote of 422–3 making lynching a federal hate crime. Bigoted violence will… https://t.co/elFBxQ9ZsB|en|D|0|1
1498855423960621058|1484252226646421505|Wed Mar 02 02:59:15 +0000 2022|Provide a pathway to citizenship! It’s time to get this done! #SOTU|en|D|1|4
1498828160972042240|1484252226646421505|Wed Mar 02 01:10:55 +0000 2022|Democrats are fighting for an economy that grows from the bottom up and the middle out. @POTUS has two key pillars… https://t.co/DWlAQz6gXF|en|D|0|0
1498818814687031301|1484252226646421505|Wed Mar 02 00:33:46 +0000 2022|We stand with Ukraine. https://t.co/VfUH14otGD|en|D|0|1
1498744477497839624|1484252226646421505|Tue Mar 01 19:38:23 +0000 2022|"RIVIERA BEACH | MOBILE OFFICE - Are you in the surrounding areas of #RivieraBeach and in need of constituent servic… https://t.co/DYjRAZniyM"|en|D|0|0
1498398038510952465|1484252226646421505|Mon Feb 28 20:41:45 +0000 2022|I’m happy to announce a $250k grant under the Fair Housing Initiatives Program - #AmericanRescuePlan. This importan… https://t.co/fosfakb8qC|en|D|0|1
1497336890013495301|1484252226646421505|Fri Feb 25 22:25:08 +0000 2022|“Judge Jackson is an outstanding nominee for Supreme Court, and the Senate should move forward with a fair and time… https://t.co/xSyXaqJLmL|en|D|1|1
1496923143994327040|1484252226646421505|Thu Feb 24 19:01:03 +0000 2022|I vehemently condemn Russian aggression towards Ukraine. President Putin has not seriously considered any route to… https://t.co/N9YA2U8BTK|en|D|1|2
1496840036238729223|1484252226646421505|Thu Feb 24 13:30:49 +0000 2022|🚨Opportunity Alert 🚨 Join the @USDOL today for a Grants and Funding Opportunities Webinar at 3pm. Receive info abou… https://t.co/VdZhFtGWau|en|D|0|0
1496576551307157505|1484252226646421505|Wed Feb 23 20:03:49 +0000 2022|Standing strong with my #Florida colleagues. Schools should not be punished for working to keep our students safe! https://t.co/iREMom3Nq3|en|D|1|3
1496551337546457092|1484252226646421505|Wed Feb 23 18:23:38 +0000 2022|"Thank you for entrusting me to serve Florida’s 20th Congressional District in Congress. 

https://t.co/HAXZIBJVMd"|en|D|0|4
1496497743363203074|1484252226646421505|Wed Feb 23 14:50:40 +0000 2022|All students deserve safe, welcoming, and well-funded public schools. This #PublicSchoolsWeek ✏️ we must recommit t… https://t.co/Dk87bWVRt8|en|D|0|1
1496170645134188548|1484252226646421505|Tue Feb 22 17:10:53 +0000 2022|Through education and awareness, we can erase the myths, stigma, and embarrassment sometimes associated with colore… https://t.co/hYQYEvsbGU|en|D|2|4
1495802026567114754|1484252226646421505|Mon Feb 21 16:46:08 +0000 2022|Today we honor the leadership of all American presidents, past and present. Thank you @potus for the commendable sa… https://t.co/cQNcTTUQmK|en|D|0|2
1494727887894765580|1484252226646421505|Fri Feb 18 17:37:53 +0000 2022|Proud to support @RepOHalleran in this effort. #fightingforfamilies https://t.co/5EJais1U6x|en|D|0|4
1494062988000649219|1484252226646421505|Wed Feb 16 21:35:49 +0000 2022|"The mass deportation of Haitians, especially Haitian children, is a crime against humanity. 

The Biden administrat… https://t.co/CY2mMObS1r"|en|D|4|9
1493973727452839940|1484252226646421505|Wed Feb 16 15:41:07 +0000 2022|Let’s get it done. https://t.co/7nkqH0CXKz|en|D|0|2
1493947840967675908|1484252226646421505|Wed Feb 16 13:58:16 +0000 2022|Signed, sealed, delivered! $18 billion to improve Florida’s infrastructure through the Infrastructure Investment an… https://t.co/8Ji1ciHbWg|en|D|0|13
1493584174330134531|1484252226646421505|Tue Feb 15 13:53:11 +0000 2022|I’m the proud daughter of immigrants who came to this country fleeing a dictator. I know the struggles of those wai… https://t.co/8OOOGyX4vw|en|D|1|7
1493390531656826885|1484252226646421505|Tue Feb 15 01:03:43 +0000 2022|CONGRESSWOMAN SHEILA CHERFILUS- MCCORMICK STATEMENT ON THE FOUR-YEAR ANNIVERSARY OF THE MASS SHOOTING AT MARJORY ST… https://t.co/xRMjnWsZMl|en|D|0|2
1493258344378814476|1484252226646421505|Mon Feb 14 16:18:27 +0000 2022|#ShowHousingLove to end homelessness, reduce the racial wealth gap, and make housing more affordable. It’s time to… https://t.co/nAsbzt7zZs|en|D|22|40
1493193330515193857|1484252226646421505|Mon Feb 14 12:00:06 +0000 2022|Minority and women-owned businesses are the backbone of our communities. #deliveringforD20 https://t.co/c8UpXD4jDR|en|D|0|3
1492164083227017220|1484252226646421505|Fri Feb 11 15:50:15 +0000 2022|I joined 13 of my fellow Black women in Congress to commend @POTUS Biden’s historic nomination commitment and to sh… https://t.co/83Auuk1asK|en|D|5|15
1491878887583887372|1484252226646421505|Thu Feb 10 20:56:59 +0000 2022|Florida’s future is electric ⚡ Thanks to the Bipartisan Infrastructure Law I supported, Florida communities are rec… https://t.co/rOSO7Y4kvH|en|D|0|4
