id|user|created_at|text|lang|label|retweet_count|favorite_count
1507088179635105801|4696552878|Thu Mar 24 20:13:17 +0000 2022|Healthcare is a human right, not a privilege. We’re pushing in Congress make that true for all of our communities.… https://t.co/BtXtsdXgky|en|D|176|1137
1506825381705302020|4696552878|Thu Mar 24 02:49:01 +0000 2022|“Persevere.” #ConfirmJudgeJackson|en|D|599|5759
1504946573490466818|4696552878|Fri Mar 18 22:23:18 +0000 2022|"This unshocking plot twist answers the question we’ve all been wondering about.

They won’t wear a mask but they ha… https://t.co/3mCj2IoRVK"|en|D|496|2275
1504271532557807621|4696552878|Thu Mar 17 01:40:56 +0000 2022|We cannot ignore the fact that if Brittney Griner wasn’t a Black woman, it would be plastered across the news that… https://t.co/VfQyn0PaiW|en|D|10221|46366
1504170365614006272|4696552878|Wed Mar 16 18:58:55 +0000 2022|"Oil oligarchs are exploiting regular, everyday people.

American billionaires have added $1.7 trillion in wealth du… https://t.co/U438us25Ca"|en|D|724|2493
1503426669423570948|4696552878|Mon Mar 14 17:43:44 +0000 2022|"Today’s #314Day, so we’re celebrating St. Louis all day. 

And you know it’s so St. Louis when you start your day o… https://t.co/1ukbWSKOlr"|en|D|75|765
1503089359909752836|4696552878|Sun Mar 13 19:23:24 +0000 2022|"Keep saying her name.

Justice is building a world where Breonna Taylor would still be alive today."|en|D|1945|13627
1502742033731100678|4696552878|Sat Mar 12 20:23:15 +0000 2022|If you’re so St. Louis then you already know! Happy #314Day weekend y’all. https://t.co/pthi5RFJCm|en|D|108|1117
1502488294076076033|4696552878|Sat Mar 12 03:34:58 +0000 2022|"This still doesn’t feel real. 

Our community is broken by the loss of Cora Faith Walker. She was a fierce leader a… https://t.co/tVMmyG1TSW"|en|D|84|1081
1501372034571456517|4696552878|Wed Mar 09 01:39:21 +0000 2022|"Abortion. Is. A. Constitutional. Right.

We’re not going to let these fascists win.

The Senate needs to abolish th… https://t.co/kFrnfI6scy"|en|D|616|4112
1500992628413939712|4696552878|Tue Mar 08 00:31:44 +0000 2022|End qualified immunity.|en|D|1332|9726
1499951026819981318|4696552878|Sat Mar 05 03:32:47 +0000 2022|Two weeks ago, @CoryBooker and I led 100 of our colleagues in urging @POTUS to end the anti-Black Title 42 policy.… https://t.co/sJ4EJpVpBo|en|D|111|615
1499812018232205313|4696552878|Fri Mar 04 18:20:24 +0000 2022|"Reminder: This trial was for the bullets that went through the wall.

Not a single officer was charged for Breonna… https://t.co/BII8p10iHk"|en|D|781|3040
1498866983835783171|4696552878|Wed Mar 02 03:45:11 +0000 2022|"With all due respect, Mr. President. You didn’t mention saving Black lives once in this speech.

All our country ha… https://t.co/CUuAUK997t"|en|D|5155|24105
1498811317104304133|4696552878|Wed Mar 02 00:03:59 +0000 2022|"My State of the Union fit.

18,000. That's how many people whose clemency petitions are sitting in a backlog, waiti… https://t.co/InBVQjEn7a"|en|D|938|8731
1497239515471257614|4696552878|Fri Feb 25 15:58:12 +0000 2022|"The first Black woman nominated to the Supreme Court is a former public defender.

Our first voice on the Court in… https://t.co/KXVY5HoEjO"|en|D|3551|31701
1496658861293555714|4696552878|Thu Feb 24 01:30:53 +0000 2022|"To our trans family: Know that you are loved. Know that you are beautiful. Know that you are not alone.

We have your back."|en|D|3487|31934
1495879617009360899|4696552878|Mon Feb 21 21:54:27 +0000 2022|"This is what sisterhood looks like.

We need @amy4thepeople in Congress. https://t.co/38NUgDiiMa"|en|D|376|3869
1494812559580536832|4696552878|Fri Feb 18 23:14:21 +0000 2022|"Let’s go!!! See you soon, Vegas. 

We need my sister @amy4thepeople in Congress. https://t.co/2uGahFZeLH"|en|D|51|265
1494761047391195136|4696552878|Fri Feb 18 19:49:39 +0000 2022|In case you hadn’t caught on by now, every time there’s a media push blaming progressives, there’s something conser… https://t.co/gNBpbV9N3r|en|D|3356|13412
1494483161736261633|4696552878|Fri Feb 18 01:25:26 +0000 2022|"Joe Manchin joined Senate Republicans to kill the Child Tax Credit. He sent millions of children into poverty.

I’d… https://t.co/LjDHE3O8M8"|en|D|1083|4195
1493745270030487552|4696552878|Wed Feb 16 00:33:19 +0000 2022|I don’t know who needs to hear this, but Democrats trying to out-Republican Republicans is not a winning strategy.|en|D|2095|18234
1493726356634583041|4696552878|Tue Feb 15 23:18:10 +0000 2022|With a mandate to end police brutality, why oppose redirecting money from racist policing into social programs prov… https://t.co/8ZUIMDHtMP|en|D|153|875
1493400820699783171|4696552878|Tue Feb 15 01:44:36 +0000 2022|Valentine’s Day is as good a day as any to remember: your Congresswoman loves you 🥰💜|en|D|201|6029
