id|user|created_at|text|lang|label|retweet_count|favorite_count
1507358713606201345|38254095|Fri Mar 25 14:08:17 +0000 2022|"Celebrated #WomensHistoryMonth in Sacramento with inspiring women &amp; wonderful @girlscouts!
 
I was honored to speak… https://t.co/cHOBdRhIgn"|en|D|2|7
1507133035862450184|38254095|Thu Mar 24 23:11:31 +0000 2022|I’ve been a supporter of the @SacCountyCA Women's Commission since its creation, and I got an update yesterday on t… https://t.co/3RPN3QA5Xc|en|D|3|6
1506755632958951428|38254095|Wed Mar 23 22:11:51 +0000 2022|"My heart breaks with the passing of my dear friend @madeleine Albright.

She tackled some of the world’s toughest f… https://t.co/SSG5wWpFZD"|en|D|6|15
1506454050111434754|38254095|Wed Mar 23 02:13:28 +0000 2022|"🎉 It was great celebrating @CommuniCareHC's 50th Anniversary! 🎉
 
It was an honor to present CommuniCare with a Con… https://t.co/xovb556OBF"|en|D|3|14
1506318927600697352|38254095|Tue Mar 22 17:16:33 +0000 2022|I'm visiting places that secured Community Project Funding in the omnibus that was signed by @POTUS last week. My f… https://t.co/csRtm8ECkq|en|D|3|17
1505620190255591424|38254095|Sun Mar 20 19:00:01 +0000 2022|"🌸 Happy First Day of #Spring to everyone in Sacramento and across the country! 🌸
 
Please take time if you can toda… https://t.co/cwXwUxaPP8"|en|D|4|7
1505257801852981251|38254095|Sat Mar 19 19:00:00 +0000 2022|Thanks to the #AmericanRescuePlan, the @FCC Emergency Connectivity Fund has helped communities across the nation br… https://t.co/QCocCsxTeo|en|D|2|4
1504986014212759555|38254095|Sat Mar 19 01:00:01 +0000 2022|"Happy #Holi2022 to all those who celebrate in Sacramento and across the country!
 
May you continue to honor this f… https://t.co/NYDMXiEStw"|en|D|2|9
1504901096027869190|38254095|Fri Mar 18 19:22:35 +0000 2022|"🎨🖍️The Congressional Art Competition has started! 🖍️🎨
 
Any high school student in the district can apply, and the… https://t.co/4UQnKVPhgM"|en|D|4|4
1504631170075529218|38254095|Fri Mar 18 01:30:00 +0000 2022|"🍀 Happy #StPatricksDay to all those who celebrate! 🍀
 
May the rest of this year bring plenty of good luck, blessin… https://t.co/SyUOZGUXXN"|en|D|2|7
1504578330749808641|38254095|Thu Mar 17 22:00:02 +0000 2022|Led my colleagues in urging @USCISDirector &amp; @SecMayorkas to help Afghans applying for Humanitarian Parole by provi… https://t.co/CFltVYROxj|en|D|1|9
1504526169751777287|38254095|Thu Mar 17 18:32:46 +0000 2022|I'm proud to co-lead the #988Implementation Act, which includes my bill, the Excellence in Mental Health and Addict… https://t.co/NGrp3UBJvC|en|D|10|35
1504262480704507907|38254095|Thu Mar 17 01:04:57 +0000 2022|"I'm deeply saddened by the loss of my long-time friend Congressman Vic Fazio.

Vic was a champion of our region &amp; a… https://t.co/9guEuv1oOg"|en|D|12|48
1504220561077116933|38254095|Wed Mar 16 22:18:23 +0000 2022|One year ago today, a gunman murdered 8 people in Atlanta—including 6 Asian women. This was one of over 11,000 anti… https://t.co/PVOLdX77h6|en|D|3|10
1503866659098054662|38254095|Tue Mar 15 22:52:06 +0000 2022|"Today, the House passed my bill — the Japanese American Confinement Education Act.

This bill seeks to preserve the… https://t.co/v65P0JqjrA"|en|D|82|249
1503829442480812038|38254095|Tue Mar 15 20:24:13 +0000 2022|I’m proud to join @RepKClark to introduce the Into the Light Maternal Mental Health and Substance Use Disorders Act… https://t.co/jMwjRM3rxS|en|D|7|28
1503796923060215812|38254095|Tue Mar 15 18:15:00 +0000 2022|"Today is #EqualPayDay &amp; it's a reminder that the wage gap exists — &amp; it represents more than just numbers. 

It rep… https://t.co/6pc8vLlZmt"|en|D|3|7
1503425318786408450|38254095|Mon Mar 14 17:38:22 +0000 2022|"There are many people who are still feeling the long-term health effects of having COVID-19.
 
Even though cases ar… https://t.co/As8v2AdICn"|en|D|2|3
1503083471417225216|38254095|Sun Mar 13 19:00:00 +0000 2022|"📅 MARK YOUR CALENDAR 📅
The deadline to file 2021 taxes is Monday, April 18, 2022.
 
Learn how to file electronicall… https://t.co/yMGuZWMqma"|en|D|4|2
1502736186577612800|38254095|Sat Mar 12 20:00:01 +0000 2022|You can always count on Democrats to defend protections for pre-existing conditions &amp; ensure that historically unde… https://t.co/SlaV2SbAoo|en|D|5|6
1502332272212537345|38254095|Fri Mar 11 17:15:00 +0000 2022|One year ago today, @POTUS signed the #AmericanRescuePlan into law and sent a clear message to the American people… https://t.co/j3vI0awFer|en|D|6|8
1501974570034675712|38254095|Thu Mar 10 17:33:37 +0000 2022|The House passed a government funding package that makes critical investments to meet some of Sacramento’s most pre… https://t.co/pNxeFQW391|en|D|3|14
1501739620324634625|38254095|Thu Mar 10 02:00:01 +0000 2022|Did you know that you can get a one-time discount of up to $100 for a laptop, tablet, or desktop computer through t… https://t.co/POb75wYfbw|en|D|2|5
1501682072552980486|38254095|Wed Mar 09 22:11:20 +0000 2022|Thanks to the #AmericanRescuePlan, CA has received nearly $5.3B in funding — including $220M for our district, whic… https://t.co/nzaby9ga0b|en|D|7|10
1501651168388337665|38254095|Wed Mar 09 20:08:32 +0000 2022|"Reinstating CA’s #CleanAirAct waiver is a monumental win for our state. 

Reinstating states authority to set their… https://t.co/pkk2c893Wa"|en|D|2|5
1501392329864847364|38254095|Wed Mar 09 03:00:00 +0000 2022|"#DYK that #ClimateChange disproportionately impacts women &amp; girls?

Women are 70% of the 1.3B in poverty &amp; are more… https://t.co/a5oIPDC47y"|en|D|5|5
1501362133304373252|38254095|Wed Mar 09 01:00:01 +0000 2022|Women earn 41% of STEM PhDs, but make up 28% of tenure-track faculty. As an advocate of women &amp; girls in STEM educa… https://t.co/T2hqKK6uxZ|en|D|7|8
1501336560830091267|38254095|Tue Mar 08 23:18:24 +0000 2022|Led my colleagues in urging Congressional leadership to quickly send the $52B necessary to fund my bill, the CHIPS… https://t.co/68nRPyunHQ|en|D|4|12
1501233396726571012|38254095|Tue Mar 08 16:28:28 +0000 2022|Today’s @EnergyCommerce hearing is about how the #BipartisanInfrastructure Law will boost U.S. #ElectricVehicle mar… https://t.co/k4BAlcyIyT|en|D|4|10
1500899175235563528|38254095|Mon Mar 07 18:20:23 +0000 2022|The @SEEC #NatureAndOceans Task Force will work closely with Congressional colleagues, experts, and the Biden Admin… https://t.co/VieNmNg6Wk|en|D|8|21
1500572136171311116|38254095|Sun Mar 06 20:40:51 +0000 2022|Although cases are decreasing across California, it's still important to make sure that your kids stay protected ag… https://t.co/FEtISMl9Kp|en|D|2|4
1500203243414200325|38254095|Sat Mar 05 20:15:00 +0000 2022|Many families are unable to access online learning and telehealth visits due to the rising cost of internet service… https://t.co/4nKHelEFPK|en|D|3|6
1499495459638894595|38254095|Thu Mar 03 21:22:31 +0000 2022|March is #WomensHistoryMonth — &amp; it’s a time of celebration, as well an opportunity to renew our dedication to supp… https://t.co/osIy8sNVeI|en|D|41|115
1499080364651864070|38254095|Wed Mar 02 17:53:05 +0000 2022|Joined @RepMikeQuigley and our colleagues in urging the Biden Administration to designate a Temporary Protected Sta… https://t.co/9Ph4IT3XAY|en|D|3|12
1498878875736186883|38254095|Wed Mar 02 04:32:26 +0000 2022|This evening, @POTUS gave a resounding pledge to the nation—doubling down on his belief in the character, courage a… https://t.co/iNKlHU35lA|en|D|2|8
1498517523167383554|38254095|Tue Mar 01 04:36:33 +0000 2022|Tonight’s senseless shooting is a tragedy beyond words. My prayers are with the victims’ family, loved ones and the… https://t.co/TnBpHPb7tn|en|D|10|32
1498481157666713600|38254095|Tue Mar 01 02:12:03 +0000 2022|I'm thrilled to have Dr. Olivia Kasirye join me as my virtual guest for @POTUS' #StateOfTheUnion address tomorrow.… https://t.co/Ms7c1BMB87|en|D|5|11
1498402666799681541|38254095|Mon Feb 28 21:00:09 +0000 2022|I met with @RAACD_Sac last week about the great work that they’ve been doing with the @SacCountyCA Steering Committ… https://t.co/aG0PaDoeH5|en|D|4|7
1498025140986261504|38254095|Sun Feb 27 20:00:00 +0000 2022|As member of the @smithsonian Board of Regents, I'm proud to share great #BlackHistoryMonth digital resources from… https://t.co/hTcjpoJOJ8|en|D|4|7
1497755044661411841|38254095|Sun Feb 27 02:06:44 +0000 2022|"Joined @SpeakerPelosi &amp; @RepBarbaraLee at @BerkeleyLab to discuss the #AmericaCOMPETES Act.
 
As the lead House Dem… https://t.co/6VPxFQtGOt"|en|D|9|25
1497662756127850500|38254095|Sat Feb 26 20:00:00 +0000 2022|"Emergency Rental Assistance funds have helped so many Sacramentans and more who are in need. 

I encourage the… https://t.co/5i0wB7CFwQ"|en|D|1|6
1497441223459680256|38254095|Sat Feb 26 05:19:43 +0000 2022|"I was happy to be back at @FlySMF for the grand opening of the Airport Rescue and Fire Fighting Facility.
 
This fa… https://t.co/M5xea5ZHHi"|en|D|4|11
1497337313352953861|38254095|Fri Feb 25 22:26:49 +0000 2022|"I strongly support @POTUS' nomination of Judge Ketanji Brown Jackson. 
 
She's one of our country's brightest legal… https://t.co/D5i6EugYUv"|en|D|6|22
1497316921896804353|38254095|Fri Feb 25 21:05:47 +0000 2022|We cannot stand idly by while millions of people throughout Sacramento and our nation are experiencing homelessness… https://t.co/seKA4a7tin|en|D|8|47
