id|user|created_at|text|lang|label|retweet_count|favorite_count
1350085059865358337|256157258|Fri Jan 15 14:18:56 +0000 2021|Pelosi is now making Members of Congress go through metal detectors before we can go onto the House Floor.  While we’re at it Madam Speaker, can we add breathalyzers as well?!  Asking for a friend.|en|R|61|225
1253903017201541120|256157258|Sat Apr 25 04:25:50 +0000 2020|This is the kind of corporate responsibly and loyalty to employees and to the state that we can all be very proud of!  Way to go Charter!! https://t.co/CBrpEVwdeC|en|R|7|21
1232753294377963524|256157258|Wed Feb 26 19:44:23 +0000 2020|Had a whirlwind (&amp; blessed) day traveling to 5 counties yesterday. Visited with Wise County Retired Teachers, met with Sheriff @akin_lane, Wise County Judge @JDClarkTX, &amp; attended Erath County GOP Lincoln/Reagan Dinner where I introduced our terrific Governor @GregAbbott_TX. https://t.co/QcglhUCq5k|en|R|7|33
1227723625647820803|256157258|Wed Feb 12 22:38:17 +0000 2020|Just hung up this awesome sign in our Capitol Office! Made by SD 30’s very own @jantzendavoult with Davoult Metal Works in Wichita Falls! https://t.co/g0dGTFztwp https://t.co/MRagIIT0b8|en|R|5|25
1222268388740866049|256157258|Tue Jan 28 21:21:07 +0000 2020|"Greetings from 574 miles south of Senate District 30... and still in Texas!

Having a @TXSenateIGR hearing today in Brownsville. Discussing Flood Planning, Housing and Infrastructure.  Important work for Texas’ future. https://t.co/8ltyvXjyS6"|en|R|4|15
1202290336128798720|256157258|Wed Dec 04 18:15:28 +0000 2019|.@UMichAthletics As predicted after you, with such an utter lack of class, mocked ND and talked trash after that win...you have now once again gotten smoked by OSU-for the 147th time in a row.  #ReapWhatYouSow|en|R|0|3
1190005283478749198|256157258|Thu Oct 31 20:39:03 +0000 2019|Only 2 days left of early voting! Please join me in voting FOR Prop 5 that will constitutionally dedicate revenue from the existing Sporting Goods Sales Tax to help fund and preserve Texas' state parks and historic sites. #SupportTexasParks #Prop5onNov5 https://t.co/19CVmIazES|en|R|0|2
1188113996022472704|256157258|Sat Oct 26 15:23:45 +0000 2019|"If you missed my interview on the Rick Roberts Show yesterday on @WBAP247NEWS here it is! Join me in voting FOR Prop 4 to ensure Texas does NOT have a State Income Tax. Early Voting is going on now!

https://t.co/DQKRcFnFeo"|en|R|2|3
1187877312353705984|256157258|Fri Oct 25 23:43:15 +0000 2019|Don’t believe the lies! We need to permanently BAN a state income tax here in Texas. Liberal groups are lying in a coordinated effort to derail Proposition 4, which is currently on the ballot. Please spread the word &amp; this short video far &amp; wide! #VoteForPropFour https://t.co/rzN4mColjm|en|R|15|21
1115363198104817664|256157258|Mon Apr 08 21:18:03 +0000 2019|"BREAKING NEWS:
As I was acting as President of the Senate again today we received a call from the White House and President Trump has invited me to a meeting on Wed in Houston to discuss Energy Policy.  What an honor!  #KeepTexasGreat #MAGA"|en|R|3|30
