id|user|created_at|text|lang|label|retweet_count|favorite_count
1517563452599984128|432676344|Fri Apr 22 17:58:16 +0000 2022|"Happy Volunteer Week! Volunteers make a huge impact in our communities. 

Today, and every day - thank you to all of the amazing volunteers in #NC01. @HospiceAction #NVW"|en|D|2|2
1515736948396204038|432676344|Sun Apr 17 17:00:24 +0000 2022|"#Easter is a time to come together and celebrate new beginnings.
 
Happy Easter to those who observe! https://t.co/n6nH1rhoPD"|en|D|1|4
1512137141568122896|432676344|Thu Apr 07 18:36:03 +0000 2022|"Today, America celebrates a moment in history that signifies the importance of judicial excellence &amp; racial equity by confirming Judge Ketanji Brown Jackson to the Supreme Court of the U.S. 

Congrats Judge Jackson! There are no limits to what a person can achieve in our country. https://t.co/AxqXrPThKB"|en|D|9|37
1511741703400701960|432676344|Wed Apr 06 16:24:43 +0000 2022|"I joined the @WilsonCountyGov, @USDA, @USDOT, and @NCDOT to highlight the USDA resources and funding to strengthen rural development in North Carolina. 

Rural development is essential for our state. https://t.co/qq1ktWqaKB"|en|D|2|6
1511438902598459400|432676344|Tue Apr 05 20:21:30 +0000 2022|Today, I released the following statement after the U.S. House of Representatives voted to pass H. R. 1218, the Data Mapping to Save Moms’ Lives Act. https://t.co/2aoRuOx2Xb|en|D|8|12
1511419797401178112|432676344|Tue Apr 05 19:05:35 +0000 2022|"Check out my @rollcall interview with Jim about my time on Capitol Hill and the importance to protect access to the ballot box for all Americans. 

https://t.co/yBUZ7a8Xt3"|en|D|4|2
1508921794257952776|432676344|Tue Mar 29 21:39:24 +0000 2022|Today, I released the following statement after President Joe Biden signed the Emmett Till Antilynching Act into law. This historic legislation, introduced by @RepBobbyRush, finally designates lynching as a federal hate crime. https://t.co/E6FwRZPgcn|en|D|5|14
1508905735983357961|432676344|Tue Mar 29 20:35:36 +0000 2022|"Today, @POTUS signed @RepBobbyRush Emmett Till #AntilynchingAct into law. 

For the first time in U.S. history, we are finally making lynching a FEDERAL hate crime. And we are doing it in Emmett Till’s name. 

It’s time to right this historic injustice. https://t.co/PCoVOOkbqX"|en|D|34|104
1508884319472955395|432676344|Tue Mar 29 19:10:30 +0000 2022|"The American Rescue Plan helped spur the strongest economic growth in nearly 40 years, but @HouseDemocrats aren’t stopping there.
 
The #BidenBudget will lower costs for American families &amp; invest in their future – all while making sure the wealthy pay their fair share in taxes. https://t.co/nE6nomlOfP"|en|D|8|13
1507062090988728323|432676344|Thu Mar 24 18:29:37 +0000 2022|I visited the NC Global TransPark in Kinston to learn about the positive growth &amp; how we can continue to provide great careers with good benefits for #NC01. The NC GTP &amp; Global TransPark Economic Development Region is the engine that drives economic development in eastern NC. https://t.co/mI6SI9HV7F|en|D|3|5
1506717109031739395|432676344|Wed Mar 23 19:38:46 +0000 2022|"My condolences goes out to the family of #MadeleineAlbright. I recently sat next to her during the funeral of #ColinPowell. 

She was a great American who served our country with great distinction and respect. https://t.co/D6jI368xAm"|en|D|3|10
1504505260336947205|432676344|Thu Mar 17 17:09:41 +0000 2022|Last week, I highlighted the passage of the Infrastructure Investment &amp; Jobs Act, which includes the $7.5B investment in EV charging infrastructure development &amp; the recent decisions by auto manufacturers to support domestic manufacturing. https://t.co/DtJaUXzqY7|en|D|5|7
