id|user|created_at|text|lang|label|retweet_count|favorite_count
1507354961339944967|78445977|Fri Mar 25 13:53:22 +0000 2022|Justice Ketanji Brown Jackson has got a pretty nice ring to it if you ask me.|en|D|9|158
1507146233739100164|78445977|Fri Mar 25 00:03:58 +0000 2022|Though not surprising, the Taliban’s decision to backtrack on their commitment to allow girls to attend school beyo… https://t.co/p5vfDBrZE4|en|D|7|35
1507001467475005440|78445977|Thu Mar 24 14:28:43 +0000 2022|I have to say it again — I’ve worked in foreign policy since the Cold War. The unity @POTUS has forged among our pa… https://t.co/LmY9jNhrLS|en|D|18|135
1506693570429964294|78445977|Wed Mar 23 18:05:14 +0000 2022|Thank you @NOVAcommcollege for inviting me to join your Career and Technical Education event. It is vital that we c… https://t.co/PbBeSN86CN|en|D|4|15
1506655161351086087|78445977|Wed Mar 23 15:32:37 +0000 2022|🚨 Last week, President Biden signed the FY22 government funding package into law, including $12 million in funding… https://t.co/2mCvNzMrLc|en|D|4|19
1506638651446501379|78445977|Wed Mar 23 14:27:01 +0000 2022|"They fought Obergefell v. Hodges with all their might.

They’re still coming after Roe v. Wade

And now, apparently… https://t.co/MfcyCJXq21"|en|D|44|98
1506617157655932930|78445977|Wed Mar 23 13:01:36 +0000 2022|Ketanji Brown Jackson belongs on the Supreme Court.|en|D|202|2144
1506381507602128902|78445977|Tue Mar 22 21:25:13 +0000 2022|Incredible to hear that Fairfax County will be receiving $10M from HUD to fund projects to provide services to indi… https://t.co/6DFGOOdkqJ|en|D|12|69
1506373371658919938|78445977|Tue Mar 22 20:52:53 +0000 2022|Thank you to the students of @WTWoodsonHS for your insightful questions about my work on Capitol Hill and how curre… https://t.co/3DKv2Ye18k|en|D|3|16
1506340512072187916|78445977|Tue Mar 22 18:42:19 +0000 2022|Spent some time with Mayor Meyer at Old Town Hall in the City of Fairfax today! I fought for $2.1 million to rehab… https://t.co/WfnUNKKy3p|en|D|4|35
1505534852245999620|78445977|Sun Mar 20 13:20:54 +0000 2022|The horror of Mariupol is today’s Guernica.|en|D|6|50
1504478302236336141|78445977|Thu Mar 17 15:22:33 +0000 2022|It’s the holiest day of the year — happy St. Patrick’s Day all! ☘️|en|D|6|53
1504098789367365637|78445977|Wed Mar 16 14:14:30 +0000 2022|"There have been at least 11,000 incidents of anti-Asian hate since the pandemic began.

It’s as senseless as it is… https://t.co/BnAoy2UGlI"|en|D|19|87
1504087623299739649|78445977|Wed Mar 16 13:30:08 +0000 2022|Ukraine President Zelenskyy’s moving address to Congress will ensure more aid to Ukrainian freedom fighters. We mus… https://t.co/eAxOR33kZT|en|D|18|147
1503836519601106945|78445977|Tue Mar 15 20:52:20 +0000 2022|Congratulations, Shalanda! No one is more qualified or more deserving. https://t.co/mEPWNQU9Hb|en|D|10|65
1503752120805347339|78445977|Tue Mar 15 15:16:58 +0000 2022|On average, American women earn 83 cents for ever dollar earned by their male counterparts — and the gap is even la… https://t.co/Pzvk5aM8yK|en|D|3|35
1502335394045648905|78445977|Fri Mar 11 17:27:24 +0000 2022|This morning, I tested positive for covid. I am mildly symptomatic and will be self-isolating. Fortunately, I’m vax… https://t.co/MrA3JQqxOG|en|D|69|526
1501772552443674624|78445977|Thu Mar 10 04:10:52 +0000 2022|I joined the overwhelming majority of the House of Representatives tonight to approve $13.6 billion in security and… https://t.co/jkSAh3T2u3|en|D|24|144
1501607483734900750|78445977|Wed Mar 09 17:14:57 +0000 2022|"The health impacts of climate change are already being felt, and they are devastating.

I’m proud to support smart… https://t.co/3aypqEkRXK"|en|D|14|64
1501339803081605121|78445977|Tue Mar 08 23:31:17 +0000 2022|After more than a decade of hard work and negotiation, the Postal Service Reform Act is finally on its way to the p… https://t.co/ZDC6beFjmX|en|D|60|269
1501220491457175559|78445977|Tue Mar 08 15:37:11 +0000 2022|Not even a deadly pandemic could rein in the Republican compulsion to rip health care away from tens of millions of… https://t.co/SDMqJ49Wc9|en|D|56|152
1501197353847508992|78445977|Tue Mar 08 14:05:14 +0000 2022|While we’re at it, under President Trump, the unemployment rate was about 15% in 2020. https://t.co/1xhjZYPQyu|en|D|23|130
1500948895236567040|78445977|Mon Mar 07 21:37:57 +0000 2022|I just got back from the Poland-Ukraine border. I left feeling grateful for the $1 billion in assistance @POTUS has… https://t.co/sjNFCpNDd1|en|D|25|207
1500198808583614464|78445977|Sat Mar 05 19:57:22 +0000 2022|Looking for ways to help the people of Ukraine? Learn more: https://t.co/02m7IQbq6y|en|D|6|16
1499902574476079115|78445977|Sat Mar 05 00:20:15 +0000 2022|I'm headed to the Poland-Ukraine border with @RepGregoryMeeks and my colleagues on the @HouseForeign Affairs Commit… https://t.co/UMTDwPMTtF|en|D|29|101
1499853207325097987|78445977|Fri Mar 04 21:04:05 +0000 2022|Notorious for serving as a nexus to the money laundering operations of kleptocrats, the UAE is now set to be added… https://t.co/ANnVhqZ3Y8|en|D|8|23
1499846062307217409|78445977|Fri Mar 04 20:35:41 +0000 2022|I met this morning with Ukrainian MPs Yehor Cherniev &amp; Oleksandr Komiyenko, who have taken up arms in defense of th… https://t.co/h262kHM738|en|D|3|22
1499741149346643971|78445977|Fri Mar 04 13:38:48 +0000 2022|“Job openings are near a record high. Layoffs are at an all-time low. And hiring has remained strong in the ebb and… https://t.co/jR5y5IDcDB|en|D|24|57
1499564109263687681|78445977|Fri Mar 04 01:55:18 +0000 2022|To every LGBTQ+ kid in Texas and Florida — your President and the Democratic Congress have your back. Proudly.|en|D|53|320
1499517443957477386|78445977|Thu Mar 03 22:49:52 +0000 2022|A bit of good news in a dark time — @POTUS will extend Temporary Protected Status to Ukrainians living in the Unite… https://t.co/sSfj0HN1qv|en|D|27|154
