id|user|created_at|text|lang|label|retweet_count|favorite_count
1262038990120722432|346509049|Sun May 17 15:15:17 +0000 2020|"Guam Frontline HEROES ACT, save family of 12.

https://t.co/BTcYiRxmen"|en|D|14|83
1224968803064467456|346509049|Wed Feb 05 08:11:36 +0000 2020|"Women Empowerment, minority Latino-American peoples, and the forgotten peoples of Territories.

Ageless positivity… https://t.co/elGzgp3aOP"|en|D|10|68
1208603518665416704|346509049|Sun Dec 22 04:21:48 +0000 2019|Territories are under the plenary power of Congress. The House represents the People, the Senate represents the Rep… https://t.co/yonY1hgerF|en|D|23|80
1154253981285306370|346509049|Thu Jul 25 04:56:08 +0000 2019|The unanimous passage of H.R. 1365 is a testament of the full support Guam has in both parties to bring closure to… https://t.co/USpuWs9RPH|en|D|3|25
1151842805460951041|346509049|Thu Jul 18 13:14:59 +0000 2019|Speaker Pelosi attends Guam Liberation Gala, confirms HR 1365 will be voted on next week with strong bi-partisan su… https://t.co/QbjIAsxhkf|en|D|5|43
1151831225881038849|346509049|Thu Jul 18 12:28:58 +0000 2019|https://t.co/zbPRKhmf0e|und|D|1|11
1151831035308584960|346509049|Thu Jul 18 12:28:13 +0000 2019|https://t.co/gl3ay5ZbFq|und|D|2|8
1151479401990807552|346509049|Wed Jul 17 13:10:57 +0000 2019|A powerful tribute to a powerful history shared, and the ultimate respect paid. https://t.co/tPLH9XzbPv|en|D|3|16
1148981890130567168|346509049|Wed Jul 10 15:46:44 +0000 2019|I am proud to announce that I am an original cosponsor of HR 3631. This bill will increase federal funding to Guam'… https://t.co/vyLzidtYt5|en|D|2|8
1148621176719257601|346509049|Tue Jul 09 15:53:23 +0000 2019|Guam's liberation gala will be held this year after a multi-year hiatus on July 17th in Washington D.C. The Honorab… https://t.co/BjXgmxe91z|en|D|0|2
1146803488371986432|346509049|Thu Jul 04 15:30:32 +0000 2019|Happy 4th of July from Guam!|en|D|0|2
1146123545937874946|346509049|Tue Jul 02 18:28:41 +0000 2019|"Great meeting with Secretary of the Navy Mr. Richard Spencer.
We had discussions ensuring that Guam builds goodwill… https://t.co/sMcbUd1xOE"|en|D|1|7
1143994218546946049|346509049|Wed Jun 26 21:27:30 +0000 2019|U.S. Department of the Interior endorses passage of H.R. 1365. As H.R. 1365 advances from the Natural Resources Com… https://t.co/0tubJUb5ys|en|D|0|2
