id|user|created_at|text|lang|label|retweet_count|favorite_count
1519678680045428742|242926427|Thu Apr 28 14:03:26 +0000 2022|Lewis County residents: prescription drug take-back events will be held this Saturday, April 30th from 10AM – 2PM at the Morton Police Department and Centralia Middle School. https://t.co/rW9zTXeFmQ|en|R|2|4
1519022174836862985|242926427|Tue Apr 26 18:34:43 +0000 2022|"The 2022 Congressional Art Competition deadline is quickly approaching! For Southwest Washington student artists who would like to submit their artwork for the contest, please submit by May 2nd.  

More information on rules and how to submit artwork ➡️ https://t.co/MsvJuAhXCr https://t.co/vFu3ZHaUId"|en|R|2|7
1518939608725307392|242926427|Tue Apr 26 13:06:37 +0000 2022|"It was an honor to pay my respects to Lewis County resident and U.S. Army veteran, Mr. Paul Ghosn. 🇺🇸
https://t.co/X2P8SnXnQL"|en|R|3|15
1517156689161633792|242926427|Thu Apr 21 15:01:56 +0000 2022|"If you need assistance with a federal agency like the VA, IRS, or Social Security - please contact me. Call my office at (360) 695-6292 or send a message online: https://t.co/ptFZCYH3aE

Here's an example of a case we recently solved for a Southwest Washington resident ⬇️ https://t.co/JPWcvNy7UB"|en|R|4|8
1516910637229744133|242926427|Wed Apr 20 22:44:13 +0000 2022|"While in Mossyrock, I had the privilege of delivering an American flag flown over the U.S. Capitol to honor longtime Lewis County resident, Mr. Paul Ghosn. 🇺🇸 

Mr. Ghosn, known to many as a leader, businessman &amp; friend, is also a U.S. Army veteran who served in World War II. https://t.co/E5cvrwKyNR"|en|R|4|20
1516582158726488078|242926427|Wed Apr 20 00:58:58 +0000 2022|As the I-5 bridge replacement progresses, transportation officials need to be clear that Southwest Washington citizens have weighed in on light rail. (1/2)|en|R|4|20
1516516851131551744|242926427|Tue Apr 19 20:39:27 +0000 2022|So far this year, we’ve saved or returned over $2.2 million owed to Southwest Washington residents from federal agencies, like the IRS, Social Security, or assistance from Small Business Administration loans for which they were approved. https://t.co/sQwpW3EdsL|en|R|6|21
1515075952660865026|242926427|Fri Apr 15 21:13:50 +0000 2022|Happy first day of Passover to all those who celebrate! https://t.co/zdZHduIfby|en|R|5|21
1514975817985626123|242926427|Fri Apr 15 14:35:56 +0000 2022|Wishing you and your families a blessed Good Friday. https://t.co/pCGVfy8EGk|en|R|5|24
1514300492515614727|242926427|Wed Apr 13 17:52:26 +0000 2022|Congrats to @CamasHighSchool for qualifying (again!) for the National Finals of the 2022 American Rocketry Challenge. They will now compete in the finals on May 14. Good luck – we’re rooting for you! https://t.co/OCFg5VarzY|en|R|6|14
1512130413887696903|242926427|Thu Apr 07 18:09:19 +0000 2022|I’m pleased to have helped secure $23 million for Mitchell Act hatchery activities this year, which has been signed into law and will impact our region’s hatcheries. https://t.co/UcfVL4RLnz|en|R|4|17
1511729214185160705|242926427|Wed Apr 06 15:35:05 +0000 2022|"Shayne’s Diesel &amp; Auto Repair in Kelso is a veteran and family-owned business of the Duncklee family. I recently had the opportunity to stop by and tour their shop. 

Continued⬇️ https://t.co/A6x3ib4UNt"|en|R|3|8
1510990966139801606|242926427|Mon Apr 04 14:41:33 +0000 2022|"If you’re running into trouble with federal agencies like the VA, IRS, or Social Security – I’d like to help. Please contact me at (360) 695-6292 or online: https://t.co/ptFZCYH3aE

Here’s an example of a case we solved for a Southwest Washington resident: https://t.co/5x45ykc5G3"|en|R|4|11
1509959406477357065|242926427|Fri Apr 01 18:22:30 +0000 2022|Positive news for Ilwaco and Pacific County: I partnered with the City of Ilwaco on their request to secure funding to acquire 388 acres of the forest within the Indian Creek watershed to establish a community forest. Continued⬇️|en|R|3|24
1509648882279583744|242926427|Thu Mar 31 21:48:36 +0000 2022|For those who’ve fished our rivers, this photo says it all. I just received this picture from a local resident who said his son wrestled over the salmon he was reeling in last weekend with a sea lion, and this was all that was left.... Continued 👇🏼 https://t.co/KlANNYHidQ|en|R|5|29
1508860296542236680|242926427|Tue Mar 29 17:35:02 +0000 2022|Body-worn &amp; in-car cameras have become a useful tool for our police officers to safely &amp; effectively protect citizens. I’m pleased to have worked w/Vancouver Police Dept. to secure this funding to aid officers &amp; increase transparency in our communities. https://t.co/JmqKGHVgju|en|R|2|20
1508552894278209536|242926427|Mon Mar 28 21:13:32 +0000 2022|Southwest Washington residents: the deadline for the Small Business Administration's disaster loan program for properties damaged by flooding earlier this year is April 18. To qualify, damage must have been done during the timeframe of Jan 5-Jan 16, 2022. https://t.co/9hN1IkmzWA|en|R|3|7
1507800050394566656|242926427|Sat Mar 26 19:22:00 +0000 2022|"Calling all Southwest Washington student artists! 🎨

My office is now accepting submissions for the 2022 Congressional Art Competition. The submission deadline is May 2nd. 

More info on rules and how to enter the competition, here: https://t.co/9Ea6ppzDFa https://t.co/uN2T63gsWd"|en|R|6|14
1507425099783225347|242926427|Fri Mar 25 18:32:05 +0000 2022|Today is #MedalofHonorDay. Thank you to the countless members of our armed forces who have defended our freedoms and kept our nation safe. We are forever grateful for your service. https://t.co/kh74qiicz9|en|R|5|14
1507052013221302278|242926427|Thu Mar 24 17:49:34 +0000 2022|Keeping Trooper Schaffer’s family, friends, and fellow officers in my thoughts and prayers today as we mark 2 years since his loss. May we never forget his service and sacrifice. https://t.co/A166Y4rgj6|en|R|4|24
1506397875634274304|242926427|Tue Mar 22 22:30:15 +0000 2022|"Reminder: I'm hosting a live, telephone town hall this evening @ 5:30PM. I'll be answering your questions and giving you an update from Congress. Call-in info below:

CALL: 1-877-229-8493
PASSCODE: 116365"|en|R|2|13
1505976666018963458|242926427|Mon Mar 21 18:36:31 +0000 2022|Read my recent piece in the @WashTimes on the steps we’re taking to improve the health and well-being of moms and babies across our nation 👇🏼 https://t.co/UB4V3DkyRe|en|R|2|8
1505919089725820936|242926427|Mon Mar 21 14:47:44 +0000 2022|Protecting our native fish runs means increasing hatchery production on our rivers. This remains a top priority for so many in Southwest Washington – especially those whose livelihoods depend on salmon and steelhead. Continued⬇️ https://t.co/GUpDQYUYMw|en|R|4|22
1504887607729303552|242926427|Fri Mar 18 18:28:59 +0000 2022|"If you’re running into trouble with federal agencies like the VA, IRS, or Social Security – I’d like to help. Please contact me at (360) 695-6292 or online: https://t.co/ptFZCYH3aE

Here’s an example of a case we helped solve for a Southwest Washington resident: https://t.co/M3SybGdsOc"|en|R|6|22
1503813264051998729|242926427|Tue Mar 15 19:19:56 +0000 2022|Please join me next Tuesday, March 22nd @ 5:30PM for a live, teletown hall — I'll be providing an update from Congress and answering your questions. Call-in number and passcode ⬇️ https://t.co/NlBl00mMky|en|R|8|11
1502357043809816576|242926427|Fri Mar 11 18:53:26 +0000 2022|Pleased to have partnered with the Vancouver Police Department to help secure these funds which will increase transparency and help officers safely and effectively protect our citizens. https://t.co/ZJys8kKv8w|en|R|2|18
1500879212269428746|242926427|Mon Mar 07 17:01:03 +0000 2022|Congratulations to the Union Titans, Camas Papermakers, and Hudson's Bay Eagles for all making it to the state tournament and bringing home trophies! 🏆 You make Southwest Washington proud.  https://t.co/LRT9JxWHQe|en|R|3|14
1499469745527169024|242926427|Thu Mar 03 19:40:20 +0000 2022|"Pacific County’s economy, and the livelihood of the folks who live there, depend on a strong and healthy marine industry. 

I sat down recently with folks in these various industries - including oyster growers, shellfish farmers, salmon hatchery production ... (continued ⬇️) https://t.co/JKo5RyBiE0"|en|R|3|9
1498868937769033732|242926427|Wed Mar 02 03:52:57 +0000 2022|My statement on President Biden's State of the Union address: https://t.co/0cYxWuJRQX|en|R|5|47
