id|user|created_at|text|lang|label|retweet_count|favorite_count
1520628733568290816|783792992|Sun May 01 04:58:36 +0000 2022|Hanging out with my chairwoman @JoyceBeatty at the after party for #WHCD2022 #theGrioDC https://t.co/9YlSLhhwps|en|D|40|663
1520602115558625282|783792992|Sun May 01 03:12:50 +0000 2022|Likewise love. Thank you for a wonderful night 🥰 https://t.co/9UZjO4VXUX https://t.co/V3cEslSaCi|en|D|50|1499
1520095557565440000|783792992|Fri Apr 29 17:39:57 +0000 2022|"China is hunting Uyghurs down abroad — with help from countries like Saudi Arabia, Egypt and the UAE.

If human rights are truly the center of our foreign policy, we cannot partner with countries that are complicit in China's human rights abuses. https://t.co/TnKGdWmbSr"|en|D|834|2839
1519788066252197888|783792992|Thu Apr 28 21:18:05 +0000 2022|What exactly do conservatives mean when they say they love America? https://t.co/DNcMurSj3j|en|D|958|5046
1519495836065054723|783792992|Thu Apr 28 01:56:52 +0000 2022|"This is dangerous rhetoric and very disturbing to watch.

I can’t overstate the danger this creates for churches and other religious institutions who do the noble &amp; hard work of resettlement.

They have already been the targets of domestic terrorists and this will make it worse. https://t.co/SBw6Awsvz1"|en|D|753|5782
1519405232647716865|783792992|Wed Apr 27 19:56:51 +0000 2022|"Today, @mnhumanrights found a deliberate “pattern or practice of race discrimination in violation of the Minnesota Human Rights Act” by the Minneapolis Police Department

Below are just a few of the most egregious findings.
https://t.co/T8YGGPmcfQ"|en|D|220|890
1519371011732516864|783792992|Wed Apr 27 17:40:52 +0000 2022|"Reminder that voter fraud is about as common as getting struck by lightning.

As a force to investigate it, this police unit will be useless.

As a force to intimidate, harass, and punish poor and Black voters, I'm sure they'll be very helpful. https://t.co/1Je9Z8Dxpn"|en|D|750|3588
1519365744433238016|783792992|Wed Apr 27 17:19:56 +0000 2022|"Billionaire wealth grew to $5 trillion during the pandemic—a 70% increase—while their average tax rate was just 8 percent.

We can absolutely afford to tax billionaire wealth and cancel student debt. All of it. https://t.co/aWVcnsGMyu"|en|D|312|1841
1519131536611758081|783792992|Wed Apr 27 01:49:17 +0000 2022|I feel like this is the kind of thing you would really commit to not doing again after the first time... 🤦🏽‍♀️ https://t.co/fJWE6jxXKW|en|D|174|2242
1518777195807842305|783792992|Tue Apr 26 02:21:15 +0000 2022|"The war in Ukraine and sanctions on Russia are causing a global food crisis. 

In the next aide package for Ukraine, Congress needs to add a food aide package for the rest of the world. 

Food insecure countries in Africa need financial support to fight against famine and death."|en|D|498|4161
1518739356936282112|783792992|Mon Apr 25 23:50:54 +0000 2022|"Caught lying repeatedly in the press to cover for Trump's crimes, the best they can come up with is ""Hey, look behind you!"" Might as well be telling the reporter their shoes are untied. https://t.co/jPPZf6P1An"|en|D|284|1652
1518702405810020354|783792992|Mon Apr 25 21:24:04 +0000 2022|"The story today is that leading Republicans openly plotted to overthrow the Republic, and Marjorie Taylor Greene suggested Trump declare martial law to keep himself in power.

It’s clear that Republicans are a menace and should never be allowed to hold power. https://t.co/EyOLJKFZeN"|en|D|502|2411
1517222490761748485|783792992|Thu Apr 21 19:23:25 +0000 2022|"As a former union member, I’m proud to have SEIU’s endorsement.

Politics is simply the process of deciding who gets what. As long as I’m in Congress, I’ll fight to make sure the workers get every cent they deserve. https://t.co/vGNjj7EuE3"|en|D|84|786
1516196088054747141|783792992|Mon Apr 18 23:24:51 +0000 2022|The Republican project to undermine and dismantle public education is a national scandal. https://t.co/dAs9jqrMli|en|D|647|4721
1516168415207112710|783792992|Mon Apr 18 21:34:53 +0000 2022|"Anti-Christian hate? You need to stop projecting your bigotry. Religious bigots like you always think others hold the same hate they have in their hearts. 

It’s Ramadan and I am gonna pray for y’all. 

May God cleanse your hearts. https://t.co/QkRb0cXTvt"|en|D|1438|22383
1516104296353480708|783792992|Mon Apr 18 17:20:06 +0000 2022|And the original snowflakes had a complete and glorious meltdown 💅 https://t.co/1t6Jq4OIWM|en|D|142|2550
1515528668227018752|783792992|Sun Apr 17 03:12:46 +0000 2022|"I think my family and I should have a prayer session next time I am on a plane. How do you think it will end? 

https://t.co/5696Erwsl5"|en|D|15936|203493
1515508438087999491|783792992|Sun Apr 17 01:52:23 +0000 2022|"Yemen’s devastating humaniterian crisis isn’t because of Russia’s illegal invasion of Ukraine. 

It’s because of the Saudi led coalition’s brutal war and blockade that is starving millions of Yemenis, which the U.S still supports.

Let’s not put the blame where it doesn’t belong. https://t.co/HsbF1G0pRV"|en|D|1064|4446
1515481048146194443|783792992|Sun Apr 17 00:03:32 +0000 2022|"All the talk about the election being stolen by Democrats and it turns out the only people who were trying to actively steal the election were Republicans. 

Now the question is what will DOJ do with this mounting of evidence against Trump and his pyschofans 🤔 https://t.co/VUQmbuUFIE"|en|D|610|3116
1515093811449536517|783792992|Fri Apr 15 22:24:48 +0000 2022|Americans owe almost $200 billion in medical debt - a concept that is absolutely alien to most people outside this country. We need Medicare For All.|en|D|824|6368
1515065770308427776|783792992|Fri Apr 15 20:33:22 +0000 2022|Horrific. Ramadan is meant to be a time of peace and reflection. It is simply cruel and wrong to attack a people in their place of worship, a place that is meant to be sacred. We must denounce this brutality and end the hypocrisy. https://t.co/EOvk3rvR1I|en|D|5494|18507
1515046345471676422|783792992|Fri Apr 15 19:16:11 +0000 2022|Great to chat with you today @thauserkstp! Thanks for having me on, and for the tour of the studio! https://t.co/MCFIvahPE3|en|D|24|323
1514724647727734788|783792992|Thu Apr 14 21:57:52 +0000 2022|"Virtually all of Europe &amp; South America, along with Canada, Japan, &amp; most of Africa are party to the ICC.

The US - and Russia! - are not.

It’s the biggest obstacle we have to holding tyrants like Vladimir Putin accountable.

It’s time to join The Hague.

https://t.co/Vm1DsRfYus"|en|D|146|817
1514415470492983296|783792992|Thu Apr 14 01:29:19 +0000 2022|"Seriously, being sanctioned by Putin for standing up for human rights is definitely something I will wear as a badge of honor. 

Curious to see who they might have left off the list 🤔 https://t.co/cA2FSKBk5U"|en|D|365|4300
1514383425737834499|783792992|Wed Apr 13 23:21:59 +0000 2022|"Accountability is the key to prevention.

If we want to hold Putin fully accountable for his flagrant violations of international law, we need to support the bodies that uphold that law.

That’s why I am introducing a package of bills to do just that. https://t.co/kuCzLPaEf4"|en|D|159|718
1513666247833042945|783792992|Mon Apr 11 23:52:10 +0000 2022|WHEN IT IS RAMADAN AND YOU ARE AT THE COMMUNITY BARBECUE 😩 https://t.co/bHXo1fSrOH|en|D|140|3243
1513252281973723146|783792992|Sun Apr 10 20:27:13 +0000 2022|"This fire has devastated Hargeisa. My heart breaks for them. It’s also heartwarming to see the outpouring of support from all corners of the world. 

Here is how you can support them too. 

https://t.co/zizREihzbl"|en|D|154|603
1512868292725248006|783792992|Sat Apr 09 19:01:23 +0000 2022|Look, I’ll admit it’s not as impressive as my last setup. Next cycle I’ll bring out the gaming rig for our digital Senate District Conventions. https://t.co/mF2jbA54QR|en|D|109|2298
1512866590123085825|783792992|Sat Apr 09 18:54:37 +0000 2022|"When I was 14 I went with my grandpa to the precinct caucuses to translate for him. That was my first experience with @MinnesotaDFL politics.

I was so inspired by the hundreds of people who showed up to vote on how to make their community better.

That feeling has never left me. https://t.co/L8AbIm0cRn"|en|D|60|769
1512506943394488322|783792992|Fri Apr 08 19:05:30 +0000 2022|"As we celebrate Justice Jackson’s confirmation today, I want us all - especially the Black women and girls reading this - to remember that she was the first.

But she won’t be the last."|en|D|304|3484
1512490796469170176|783792992|Fri Apr 08 18:01:21 +0000 2022|"“In my family it took just one generation to go from segregation to the Supreme Court of the United States”

A truly historic moment.

#JusticeKetanjiBrownJackson https://t.co/OBJ3m3M3cf"|en|D|162|2213
1512467609261944834|783792992|Fri Apr 08 16:29:12 +0000 2022|"All smiles on this beautiful Friday! 

We are here bearing witness to the historic White House official signing of the commission for Justice Ketanji Brown Jackson. 🥳 https://t.co/748MBC6R8s"|en|D|110|1779
1512244097158942724|783792992|Fri Apr 08 01:41:03 +0000 2022|😂 https://t.co/V0ND74n5Ms|und|D|39|1009
1512211486596292612|783792992|Thu Apr 07 23:31:28 +0000 2022|Every worker in America should have democratic control of their workplace through a strong labor union.|en|D|413|4367
1512173122388176905|783792992|Thu Apr 07 20:59:01 +0000 2022|Glad to see the President extend the moratorium on student loans. Once this extension expires he should extend it again. And then after that, again. And then again, and again...actually you know what, why don't we just cancel it?|en|D|1504|14176
1512147147008978950|783792992|Thu Apr 07 19:15:48 +0000 2022|"Georgians sent Raphael Warnock and Jon Ossoff to the Senate which made today possible 🙏🏽
#JusticeKetanjiBrownJackson"|en|D|907|9052
1512138201426800657|783792992|Thu Apr 07 18:40:16 +0000 2022|"It’s the smile for me! 

Congrats sis, you earned this 🙌🏽 🥳 https://t.co/wA0sEkSouO"|en|D|313|4315
1512127518983213060|783792992|Thu Apr 07 17:57:49 +0000 2022|"It is a national disgrace that Congressional staffers have to conceal their identity because they fear retaliation from Members of Congress.

It is past time for us to pass a resolution allowing our staff to unionize.

House leadership needs to bring this resolution up for a 🗳 https://t.co/kln06TNJdU"|en|D|184|934
1511878748014010377|783792992|Thu Apr 07 01:29:17 +0000 2022|"The Congressional Black Caucus is standing with #JudgeJackson all the way to the Supreme Court ✊🏽 ✨ 

#BlackWomenAreSupreme #KentanjiBrownJackson https://t.co/uOH3xCCxCz"|en|D|158|1619
1511835789025591310|783792992|Wed Apr 06 22:38:35 +0000 2022|https://t.co/PCD1yqDlr5 https://t.co/73iuFUd4jc|und|D|52|922
