id|user|created_at|text|lang|label|retweet_count|favorite_count
1499400542556094470|751799352755052544|Thu Mar 03 15:05:21 +0000 2022|Tune in to @Varneyco! https://t.co/31cFZQqPZ9|en|R|1|3
1492344821415124993|751799352755052544|Sat Feb 12 03:48:26 +0000 2022|Yooper gold! https://t.co/ke7ZxkEecE|en|R|1|5
1491924888558485538|751799352755052544|Thu Feb 10 23:59:46 +0000 2022|".@blckriflecoffee is proof that the American dream is alive and well.

Congrats to @evanhafer and his team on takin… https://t.co/2yR3kbhi4Y"|en|R|1|2
1488319132953100291|751799352755052544|Tue Feb 01 01:11:47 +0000 2022|The Congressman is indebted to the constituents of the District for their continued support, especially in the face… https://t.co/zvNQivUQiq|en|R|1|1
1468312848292003847|751799352755052544|Tue Dec 07 20:13:57 +0000 2021|BREAKING: Judge halts Biden vaccine mandate for federal contractors nationwide.|en|R|2|1
1467934821552988174|751799352755052544|Mon Dec 06 19:11:49 +0000 2021|"COVID didn’t cause businesses to shutdown - the government did. 

COVID didn’t cause unnecessary spending - the gov… https://t.co/htavbTzrIW"|en|R|1|3
1457781584749228033|751799352755052544|Mon Nov 08 18:46:28 +0000 2021|"People are coming up with a lot of creative phrases for the Biden Administration nowadays. 

But in reality, it’s s… https://t.co/Tz7qeo7Ees"|en|R|2|3
1456366561569148932|751799352755052544|Thu Nov 04 21:03:40 +0000 2021|"❌ No federal vaccine mandate. 

❌ No federal election takeover. 

❌ No federal snooping on your bank account. 

✅ G… https://t.co/YFBLWxcuJ2"|en|R|1|2
1455756139501703169|751799352755052544|Wed Nov 03 04:38:04 +0000 2021|Turns out radical leftist agenda, endless lockdowns, and threatening school parents are unpopular among voters - ev… https://t.co/PQLkxWPNrF|en|R|2|7
1452636128595660802|751799352755052544|Mon Oct 25 14:00:16 +0000 2021|Nothing says “unity” like mocking freedom and pushing for firefighters and police officers to get fired - as many d… https://t.co/Uw0Ob0esDJ|en|R|2|2
1451569575531843591|751799352755052544|Fri Oct 22 15:22:10 +0000 2021|"We don’t need more bureaucrats in Washington.

Pass it on."|en|R|2|2
1449157507386122240|751799352755052544|Fri Oct 15 23:37:28 +0000 2021|Thank you #BergmanBrigade https://t.co/GGzXG6X6qE|en|R|1|1
1431084069845094405|751799352755052544|Fri Aug 27 02:40:05 +0000 2021|"I’ve seen enough. Secretary Blinken must step down and let someone willing to be a real leader do the job. 

This i… https://t.co/k6NLUW2ifI"|en|R|19|35
1430596236252520460|751799352755052544|Wed Aug 25 18:21:36 +0000 2021|I will not give up on the fight to end the radical agenda being pushed on the American people by out of touch burea… https://t.co/01tIJLJ61q|en|R|1|1
1428329440292048898|751799352755052544|Thu Aug 19 12:14:10 +0000 2021|This week, Joe Biden has given harsher warnings to schools not forcing masks on our kids, than to the Taliban takin… https://t.co/n1g1BGhNqD|en|R|2|4
1427289941625737216|751799352755052544|Mon Aug 16 15:23:34 +0000 2021|I stand in support of @chiefjamescraig’s bi-partisan Law Enforcement Action Team (LEAT) and look forward to helping… https://t.co/P4myT1yGM9|en|R|4|16
1422586067971104768|751799352755052544|Tue Aug 03 15:52:03 +0000 2021|"Patriot. Friend. Brother. 🇺🇸

Great to have @BrianMastFL in Elk Rapids yesterday to share his story and talk with s… https://t.co/FW9pUQUzpp"|en|R|1|1
1407524644643426307|751799352755052544|Wed Jun 23 02:23:20 +0000 2021|In an interesting turn of events, it appears that Vice President Harris will visit our Nation’s northern border bef… https://t.co/Q3whxUF9wE|en|R|2|5
