id|user|created_at|text|lang|label|retweet_count|favorite_count
1519718153554640896|80612021|Thu Apr 28 16:40:17 +0000 2022|As Mayor @SylvesterTurner serves as President of the African American Mayors Association, I was happy to speak at the opening plenary on investing in and rebuilding cities. Congrats Mayor Turner! https://t.co/FZB5pFCyaB|en|D|6|35
1519708386618712065|80612021|Thu Apr 28 16:01:28 +0000 2022|As Chairwoman of the Crime, Terrorism, and Homeland Security Subcommittee of the House Judiciary Committee, Congresswoman Sheila Jackson convened a vital hearing on the scourge of human trafficking, including prevention of human trafficking, protection of victims and survivors, https://t.co/XmoLqhPhyD|en|D|22|42
1519480642182000641|80612021|Thu Apr 28 00:56:30 +0000 2022|"Calling All High School Students 🎨

Congresswoman Sheila Jackson Lee is searching for the best art in our district. Submit your art by May 3rd for a chance to have your work displayed for a year inside our Nation’s Capitol. 

We can’t wait to see your creativity! https://t.co/iCToXFhlWW"|en|D|8|16
1519439969005277189|80612021|Wed Apr 27 22:14:53 +0000 2022|Team Jackson Lee attended HCC’s State of the College address.  Chancellor Maldonado’s vision outlined the Resiliency by Design plan, which includes a partnership with the City of Houston for the new Resiliency Operations Training Facility. https://t.co/LFwBjUYQPO|en|D|8|26
1519104684903911424|80612021|Wed Apr 27 00:02:35 +0000 2022|Team Jackson Lee presented a Congressional proclamation to Pastor Terrance Hall for his Fifth Anniversary Celebration. Congratulations! https://t.co/CuFPjs9qJh|en|D|6|23
1519078244208816130|80612021|Tue Apr 26 22:17:31 +0000 2022|Team Jackson Lee was proud to present a certificate of congressional recognition to community leader Vida Gamble this weekend. Thank you for all that you do for our community. Happy Birthday! https://t.co/IrRpMErbZd|en|D|5|20
1519044059536539648|80612021|Tue Apr 26 20:01:40 +0000 2022|Thank you you again Sisters Network Inc. for your great work to increase local and national attention to the devastating impact that breast cancer has on the African American community. https://t.co/FBndAD7NF8|en|D|13|50
1519031248978591748|80612021|Tue Apr 26 19:10:46 +0000 2022|More green energy is coming to Sunnyside! The Sunnyside Solar Project will convert a former landfill into the largest urban solar farm in the country. Houston is moving forward 🌱 https://t.co/TLLqxhqVYG|en|D|9|32
1518798697500401665|80612021|Tue Apr 26 03:46:42 +0000 2022|The Texas State Court of Criminal Appeals has granted Melissa Lucio a stay of execution and has directed the lower court to look at new evidence provided by her lawyers.|en|D|20|98
1518588148611272705|80612021|Mon Apr 25 13:50:03 +0000 2022|Suspend the execution date of Texas mother Ms. Melissa Lucio and grant her clemency now! https://t.co/GQrE0IB2MB|en|D|18|59
1517695112356274177|80612021|Sat Apr 23 02:41:26 +0000 2022|"Houston! Join us tomorrow for our 82nd neighborhood testing &amp; vaccination site 💉 

1st, 2nd, and booster shots provided. Bring your family! 5-11 year olds are welcome. https://t.co/PYZC2cjmyN"|en|D|7|17
1517365477240152064|80612021|Fri Apr 22 04:51:35 +0000 2022|Congresswoman Sheila Jackson Lee spoke today at the Eastend Chamber of Commerce and Fifth Ward Chamber of Commerce Town Hall Meeting with Union Pacific. We must come together to solve the challenges of our community. https://t.co/XzFJCZULJs|en|D|7|28
1517357726363533314|80612021|Fri Apr 22 04:20:47 +0000 2022|Congratulations to Prairie View A&amp;M University President Ruth Simmons, and Dean Alyssa Harris on the 100th Anniversary of the College of Nursing. Great to join you at your celebration honoring our legacy, envisioning our future. https://t.co/uLokufCeyc|en|D|6|19
1517339107063734273|80612021|Fri Apr 22 03:06:48 +0000 2022|This week is Climate Week in Houston! Congresswoman Sheila Jackson Lee  celebrated Greentown Lab’s first anniversary today along with Mayor @SylvesterTurner . We’re pushing for a greener, sustainable Houston to move our planet forward. https://t.co/lWTJZnTcJ5|en|D|10|35
1517333718142177289|80612021|Fri Apr 22 02:45:23 +0000 2022|Congresswoman Sheila Jackson Lee collaborated with Sen. @JohnCornyn at Crime Stoppers today to celebrate the passage of the Violence Against Women Act. This is a major legislative victory - with the new provisions in this bill, VAWA is now stronger and modernized. https://t.co/C3x8GhXQZU|en|D|16|52
1516999030307446786|80612021|Thu Apr 21 04:35:27 +0000 2022|Tonight, Congresswoman Sheila Jackson Lee attended the Houston Sports Awards. This was a night to see Houston’s athletes at their best! It was a pleasure to see many of the legends that have represented this city be honored once again. Our young people have a lot to admire. https://t.co/wrBcbSKY0K|en|D|7|45
1516984015357714437|80612021|Thu Apr 21 03:35:48 +0000 2022|Congresswoman Sheila Jackson Lee joined Commissioner Ellis earlier today for the unveiling of the Judge Ketanji Brown Jackson mural in 5th Ward. Proud to celebrate Judge Jackson’s outstanding confirmation with a life long monument that will stay in our community forever. https://t.co/77eqDHQbp1|en|D|13|65
1516782723985248274|80612021|Wed Apr 20 14:15:56 +0000 2022|Congresswoman Sheila Jackson Lee spoke last night with the Texas Health and Environment Alliance (THEA) and Impact Greater Fifth Ward for a community meeting with the EPA. https://t.co/CkLuq7LPVQ|en|D|9|29
1516219490396221452|80612021|Tue Apr 19 00:57:51 +0000 2022|Congresswoman Sheila Jackson Lee at the city’s Juneteenth announcement where she spoke about the history of Juneteenth in Houston as well as her journey to secure the first federal holiday in 38 years - the federal Juneteenth holiday! https://t.co/P3BnGI910B|en|D|14|54
1515883266192125952|80612021|Mon Apr 18 02:41:49 +0000 2022|The Lee and Carter Family wish you all a Happy and Blessed Easter 🐣 🐰 https://t.co/wrwlE9JFjF|en|D|33|249
1515875266190487557|80612021|Mon Apr 18 02:10:01 +0000 2022|What a pleasure to serve on Easter Sunday to feed the community with Houston’s Unsolved Homicides’ homeless feeding. This tradition was started in March of 2018 in memory of John Marsden’s son Fabian Smith who was murdered due to gun violence. https://t.co/jtt4insBL2|en|D|13|38
1515713822157377542|80612021|Sun Apr 17 15:28:30 +0000 2022|"He has risen!! Hallelujah! Wishing everyone a very joyous resurrection Sunday! Through Christ’s guiding light we will always move forward. Happy Easter!

- Congresswoman Sheila Jackson Lee"|en|D|11|73
