id|user|created_at|text|lang|label|retweet_count|favorite_count
1517207618162409473|4870048156|Thu Apr 21 18:24:19 +0000 2022|"I had a great time speaking with @HarvardIOP students about campaigning and Congress. 

My best advice? Get off your phone and start knocking on doors. That’s how I won my first election, and it’s what Democrats need to do to win in ‘22. https://t.co/Kaci3CJLVq"|en|D|6|33
1516118427638849540|4870048156|Mon Apr 18 18:16:15 +0000 2022|"I’m in Newton with two of our campaign interns cheering on #BostonMarathon runners and collecting signatures. Stop by, sign your name, and say hi!

There’s no better way to spend #PatriotsDay. https://t.co/xKIry5opX4"|en|D|3|18
1515679400309796864|4870048156|Sun Apr 17 13:11:43 +0000 2022|Hoppy Easter! https://t.co/IubjMH6MF9|en|D|3|39
1514752339579748358|4870048156|Thu Apr 14 23:47:55 +0000 2022|Whatever I did to anger Putin, good. This is not about me. This is about the Ukrainians fighting on the front lines of the free world and what we in Congress must do to support them and to isolate and undermine Russia. https://t.co/U6tZKCItLz|en|D|106|563
1512485540632973313|4870048156|Fri Apr 08 17:40:28 +0000 2022|"Today is Teddy’s birthday! Teddy loves Sesame Street and Elmo is his favorite, so we threw him an Elmo-themed party. He couldn’t stop smiling and pointing to all the Elmos he could spot around the room.

Happy 2nd birthday, Teddy. We love you dearly. https://t.co/UbiK9RII6A"|en|D|2|56
1510772568676053003|4870048156|Mon Apr 04 00:13:43 +0000 2022|"In a war, speed kills. Russia’s military is bogged down, allowing Ukrainian forces to demobilize and demoralize Russian troops.

We need to help the Ukrainians hit hard and hit fast. https://t.co/EpdMMZK7Cs"|en|D|50|215
1510692245535608832|4870048156|Sun Apr 03 18:54:33 +0000 2022|🧵 For decades now, China has been asserting to the rest of the world that they are a great nation and a super power. Great nations do not sit on the sidelines when atrocities are being committed. It's time to hold China to account for its own rhetoric. https://t.co/xHkrEaTUAI|en|D|12|31
1509674520671625217|4870048156|Thu Mar 31 23:30:28 +0000 2022|"Now is the time to hit Russia and to hit hard.

We have a a clear &amp; simple message to Russian oligarchs: regardless of where you are trying to hide your ill-gotten wealth, we are going to freeze and seize it and use it to help humanitarian aid in Ukraine. https://t.co/UFSo1nemEu"|en|D|10|24
1508085812843491331|4870048156|Sun Mar 27 14:17:31 +0000 2022|"Kennedy and Reagan went to Berlin. @POTUS went to Warsaw. Their messages were the same: the United States leads the free world and we will stand with democracy.

We need to meet these words with continued actions in defense of Ukraine. https://t.co/8sR21tVGZw"|en|D|94|439
1508063929964142596|4870048156|Sun Mar 27 12:50:34 +0000 2022|You can take the guy out of Massachusetts but you can’t take Massachusetts out of the guy. Quick trip back to DC (and BYOC @dunkindonuts to the CNN green room) to join @DanaBashCNN on @CNNSotu. Tune in during the 9 AM hour. #CNNSOTU #GotMyDunkies https://t.co/Hj6haY8fpJ|en|D|9|101
1507484036628983811|4870048156|Fri Mar 25 22:26:16 +0000 2022|The hand painted pin I’m wearing this evening is a special gift from Ulana Nosal and Terry Reid, who recently returned from a humanitarian trip to Ukraine. You can read more about the work they’re doing through @SunflowerFund here: https://t.co/CNwzai0yLZ https://t.co/g5ZLHK92IB|en|D|3|26
1506345858140409864|4870048156|Tue Mar 22 19:03:33 +0000 2022|"I was a Marine officer and I worked in cybersecurity — I know how devastating cyber attacks can be to a military. 

If we can undermine Russia's electronic communications equipment, we can hamper Russia's ability to shoot &amp; move in Ukraine, slowing Russia's progress. https://t.co/sb3LUYcb95"|en|D|7|28
1506319491948494852|4870048156|Tue Mar 22 17:18:47 +0000 2022|"“The United States can punish Putin without waging another war on the Eurasian steppes…. the moral high ground is ours: Vladimir Putin caused this pain. He is responsible for the misfortunes of Russia.” 

My latest op-ed 👇 https://t.co/bSfSSK9Jqt"|en|D|9|27
1505657186323681283|4870048156|Sun Mar 20 21:27:01 +0000 2022|"“Congress generously increased the defense budget by billions in the spending bill, but can’t get its act together to invest another penny against the coronavirus.”

Congress increased our bloated military budget, but stripped COVID funding from the spending bill. Indefensible. https://t.co/S93RwMRJlT"|en|D|6|19
1504445034602672132|4870048156|Thu Mar 17 13:10:22 +0000 2022|I slept, ate, trained, and patrolled with an assault weapon for four years as a Marine — weapons of war have no place on our streets. I am honored to receive @Brady_PAC ’s endorsement. Together, we can build a future free of gun violence. https://t.co/w3rHw4TfdU|en|D|16|72
1503709849623973893|4870048156|Tue Mar 15 12:29:00 +0000 2022|Yes. https://t.co/dTaZUxfLSl|und|D|3|16
1502309679044640782|4870048156|Fri Mar 11 15:45:13 +0000 2022|"From Afghanistan and Ukraine, we should be welcoming refugees to America and offering work authorization permits. 

Refugees belong here. https://t.co/eIzi2AoHh1"|en|D|55|222
1500644040047484930|4870048156|Mon Mar 07 01:26:34 +0000 2022|"It’s time for corporations and the wealthy to pay their fair share of taxes. With this revenue we can:

✅ invest in universal pre-K
✅ lower healthcare costs
✅ invest in clean energy https://t.co/4siiByylkm"|en|D|9|36
1500587268754579459|4870048156|Sun Mar 06 21:40:59 +0000 2022|"We used to have a saying in the Marine Corps, “everyone has a plan until you get punched in the face.”

It’s time to deliver that punch to Vladimir Putin by issuing energy sanctions. We have to cut off the oil. https://t.co/lKqcx3fsad"|en|D|14|57
1500252983908614151|4870048156|Sat Mar 05 23:32:39 +0000 2022|#MAPoli After so much time campaigning virtually, it was great to see so many friendly faces in person at our campaign re-election launch tonight in Newton! Excited to have more events throughout the district as we collect ballot signatures this Spring. https://t.co/oMzx9s9JiW|en|D|5|22
1500192072967589895|4870048156|Sat Mar 05 19:30:37 +0000 2022|A no fly zone is an act of war. That is an unnecessary escalation. What we can do is work with our NATO allies to supply Ukraine with more planes, more drones, and more surface to air missiles. https://t.co/1wQTJaqle5|en|D|334|1582
1499883675890204672|4870048156|Fri Mar 04 23:05:09 +0000 2022|Had fun seeing everyone who came out to say hi at our Needham and Sharon signature collection events  today! Can’t wait to come back to @angelscafemass for lunch again soon. #mapoli https://t.co/1Zyk3vyoT2|en|D|5|28
1499823364751466500|4870048156|Fri Mar 04 19:05:30 +0000 2022|"This Saturday, March 5th, is our official campaign kick-off event, and I would love to see you there.

Can you attend? RSVP here: https://t.co/CSLkQNSp1m https://t.co/mSkRQ9JJq8"|en|D|4|12
1499442461487288330|4870048156|Thu Mar 03 17:51:55 +0000 2022|"Last weekend, Teddy and I visited his favorite store: @unlikelybkstore. 

As I head back home from DC, I can’t wait to read bedtime stories with Teddy and Grace. https://t.co/jEddajINqc"|en|D|4|41
1498847616259534848|4870048156|Wed Mar 02 02:28:13 +0000 2022|"""It is never a good idea to bet against the American people."" #SOTU"|en|D|7|42
1498798554860638220|4870048156|Tue Mar 01 23:13:16 +0000 2022|"With cases down and testing and vaccinations up, I look forward to not wearing a mask and seeing my colleagues’ faces tonight at the #SOTU.

We control Covid. Covid doesn’t control us. https://t.co/YJVbOosrri"|en|D|5|14
1498464413183004678|4870048156|Tue Mar 01 01:05:30 +0000 2022|👊👊👊 https://t.co/FelR1uaJ5D|und|D|5|17
1498087381265752069|4870048156|Mon Feb 28 00:07:19 +0000 2022|"Everyday Ukrainians are fighting in the streets. Here’s how we can help:

1. Don’t spread misinformation.
2. Hire &amp; buy Ukrainian – they have critical products &amp; talented remote workers. The money will be vital to keeping the economy afloat.
3. Contribute to relief organizations. https://t.co/cjtFpFmgNW"|en|D|14|34
1497621053526482963|4870048156|Sat Feb 26 17:14:18 +0000 2022|"It’s easy to start a war, but it’s a nightmare to end one.

Let’s be clear: we’re going to make this a nightmare for Vladimir Putin. https://t.co/vmnZOKbZ0K"|en|D|20|64
1496948701666988039|4870048156|Thu Feb 24 20:42:37 +0000 2022|"My great-grandparents fled the Russian pogroms to save their lives. The fear that Ukrainians are experiencing is personal. 

Every drop of blood is on Putin’s hands. https://t.co/9vf8rreBp6 https://t.co/qIdFUJ1d8B"|en|D|14|56
1496852341844320261|4870048156|Thu Feb 24 14:19:43 +0000 2022|"Vladimir Putin is invading a sovereign democracy on a pretext of paranoia and lies. 

There must be consequences. https://t.co/swSMw42U8C"|en|D|10|32
1496814536648708099|4870048156|Thu Feb 24 11:49:29 +0000 2022|Ukraine is not alone. The United States must demonstrate that when one democracy is under attack, all will rally.|en|D|144|1213
1495774126086451200|4870048156|Mon Feb 21 14:55:16 +0000 2022|Everybody helping dad wake up. https://t.co/VwTdL7InKG|en|D|3|88
1494836465267793924|4870048156|Sat Feb 19 00:49:20 +0000 2022|“You’re expected to hand over the destiny of your city to the whims of unelected people at the IOC,” @cdempc said. “Boston and Massachusetts are the birthplaces of democracy. In a democracy, listening to the people matters, and the IOC is the opposite of that.” https://t.co/SWed6TXfa4|en|D|4|26
1494106431561342977|4870048156|Thu Feb 17 00:28:27 +0000 2022|.@JoeBiden has had a lot of practice standing up to – and staring down – liars. https://t.co/W6Jl0h9ANb|en|D|9|20
1493324443078344705|4870048156|Mon Feb 14 20:41:06 +0000 2022|My funny valentines. https://t.co/bmgYNjIUXd|en|D|2|65
1492650197054283780|4870048156|Sun Feb 13 00:01:53 +0000 2022|"I’m having a lot of fun watching @seanfarrell_21 compete in the Olympics.

He made it a bit further than I did, but I’m looking forward to when I can coach Teddy on the rink. https://t.co/QycGIQW1Xr"|en|D|4|19
1491522773797294080|4870048156|Wed Feb 09 21:21:55 +0000 2022|"Let’s not forget —  in times of crisis, @TheDemocrats delivered for the people:

✅ historic K-12 investments 
✅ fixing our crumbling infrastructure
✅ major investments into American competitiveness

We need to get out there and communicate our wins every day. https://t.co/TaymeAHCBM"|en|D|9|22
1491090223450955776|4870048156|Tue Feb 08 16:43:07 +0000 2022|"America is not a fair-weather friend. 

Under @POTUS, we are engaging in diplomacy, protecting democracy in Ukraine, and defending NATO. 

We’re making it clear to Russia not to cross our red lines. https://t.co/M6ipEL7j0J"|en|D|33|159
1490466880670285824|4870048156|Sun Feb 06 23:26:10 +0000 2022|"I hear a lot of mopiness about the Democratic Party. 

Knock it off. 

Despite historic obstacles, @POTUS and Congressional Dems are investing in our children, fixing our infrastructure, and restoring American competitiveness abroad. 

Let's be proud, and let's talk about it. https://t.co/FAIdX8wHl4"|en|D|40|260
1490008024198623232|4870048156|Sat Feb 05 17:02:50 +0000 2022|.@QuayeQuartey puts Country &amp; Constitution before politics. His Republican opponent hides behind election conspiracy theories. This is a no-fail mission: we must flip the CA-27. I'm looking forward to working with another solutions-oriented veteran in Washington. https://t.co/eT5aEW0XTC|en|D|22|44
1487832162200137731|4870048156|Sun Jan 30 16:56:44 +0000 2022|I got a blizzard for my birthday. Spent yesterday playing in the snow with Donut, enjoying this card Teddy and Grace designed, and eating only the best part of the Funfetti Cake. Thanks for all the well wishes - hope you’re staying warm! https://t.co/FLHRIxfPBN|en|D|5|74
1486150080021282818|4870048156|Wed Jan 26 01:32:45 +0000 2022|".@Awesomecloss and I grew up going to Sox games. When we watched Big Papi win the ‘04 ALCS game 5 for us, we knew we were watching a Hall of Famer. 

Now, it’s official.

Congrats, @davidortiz!"|en|D|2|36
1486063535427928070|4870048156|Tue Jan 25 19:48:51 +0000 2022|"Remember Helsinki? Under Trump, GOP foreign policy was to fawn over Putin. Now, he's emboldened, and @POTUS is standing up to him – without committing American forces to a war no one wants.

The GOP is not tough on Russia. They're just scared of Trump."|en|D|150|530
1485640029301096452|4870048156|Mon Jan 24 15:45:59 +0000 2022|The best part about being home? Time with my family. https://t.co/Rd1WmgHmpV|en|D|10|408
1485324448299421696|4870048156|Sun Jan 23 18:51:59 +0000 2022|".@POTUS is not afraid to stand up to Putin. 

President Biden has made it clear that there will be swift, severe, and united repercussions should even a single Russian force cross the Ukrainian border. https://t.co/8aExrEkTrg"|en|D|47|184
1485020367638999042|4870048156|Sat Jan 22 22:43:40 +0000 2022|"26 states could ban abortion if #RoeVWade is overturned, putting millions at risk of losing their reproductive freedom. 

The Senate must pass the Women’s Health Protection Act as soon as possible."|en|D|9|31
1483846013328707585|4870048156|Wed Jan 19 16:57:12 +0000 2022|"It’s protecting the franchise or it’s the filibuster.

The nation’s eyes are on the Senate, and it’s time for our Senators to step up and defend democracy."|en|D|49|254
1483176687038783489|4870048156|Mon Jan 17 20:37:32 +0000 2022|"I joined @MAIndivisible &amp; @newdemocracyco1 for an MLK Remembrance last night. 

Will we be a nation of liberty and justice for all? 

We must protect voting rights and insulate elections from partisan subversion. Otherwise, we remain in default of Dr. King’s promissory note. https://t.co/z9nSjf9Dgt"|en|D|9|20
1482729210363973642|4870048156|Sun Jan 16 14:59:26 +0000 2022|Another act of terrorism in an American synagogue. Whatever the precise motivation of this deranged individual, the rising tide of antisemitism is a factor. Jews should not fear to worship together - in Texas, in Massachusetts, in America.|en|D|58|349
1479121920314515461|4870048156|Thu Jan 06 16:05:21 +0000 2022|It’s long past time for Republicans to support the Jan 6th commission's operations instead of obstructing it. It’s long past time Republicans clearly stated that Joe Biden won a free and fair election. We cannot heal without  committing ourselves to protect our democracy. https://t.co/LvIfwB6ETj|en|D|40|102
1479093463652122625|4870048156|Thu Jan 06 14:12:16 +0000 2022|"Today is the one year anniversary of the insurrection. But it’s not history; it’s current events. We need action, not reflection.

Coming together to protect American democracy shouldn’t be a partisan issue."|en|D|69|262
1478386311937638401|4870048156|Tue Jan 04 15:22:18 +0000 2022|"“Misery breeds extremism.” We can’t sit back while 98% of Afghanistan’s population starves. 

America must be a warm sun, not a cold wind. https://t.co/pEcNConuYV"|en|D|5|19
1478123559545356292|4870048156|Mon Jan 03 21:58:13 +0000 2022|I am thrilled to have @TurnoutPAC’s endorsement. We must protect access to the ballot to defend our democracy. Our campaign is committed to fighting for the expansion of voting rights for every American. https://t.co/dBgDDeoXc4|en|D|11|42
1477305928139608067|4870048156|Sat Jan 01 15:49:14 +0000 2022|Starting ‘22 with a clean slate. Happy New Year! https://t.co/qEdxHpMxci|en|D|3|194
1476362991100596224|4870048156|Thu Dec 30 01:22:21 +0000 2021|A year ago, I entered Congress with the day one priority of opening the schools. School closures, from pre-K through college, have been the worst mistake of the pandemic. No school, anywhere, should be going remote. https://t.co/Rc1Du9RVjm|en|D|42|196
1475947356713410561|4870048156|Tue Dec 28 21:50:46 +0000 2021|“Watching Republicans stand up and object to Arizona and Pennsylvania is a moment that’s just never going to leave me for its demonstration of political cowardice and for reflecting the exact opposite of the ideal of country before self.” https://t.co/t9RhJa62yI|en|D|5|25
1475068735996284940|4870048156|Sun Dec 26 11:39:26 +0000 2021|Tune in around 7:25 AM ET https://t.co/P7SGeDf2cG|en|D|2|1
1474868327323357184|4870048156|Sat Dec 25 22:23:05 +0000 2021|Merry Christmas, from our family to yours! https://t.co/jSpMML8BAL|en|D|6|302
1473063566651453441|4870048156|Mon Dec 20 22:51:37 +0000 2021|"Alexander Hamilton would be appalled by Jim Jordan’s text message. 

The losers respecting the results of an election is the very bedrock of our democracy — something the GOP seems to forget. https://t.co/KGMRSUBAuR"|en|D|8|26
1471907063097966592|4870048156|Fri Dec 17 18:16:05 +0000 2021|"The best way to slow the spread is to get shots in every arm.

I’ve called on the US to keep our word and act quickly to vaccinate the globe.

https://t.co/UGyVu5eW1d"|en|D|2|10
1471509028144484367|4870048156|Thu Dec 16 15:54:26 +0000 2021|With abortion access in jeopardy across the country, it’s more important than ever that we re-elect leaders who will protect the freedom to choose. I am proud to receive @PPact’s endorsement, and I will continue to champion reproductive rights in Congress. https://t.co/AcU00bNdlI|en|D|9|47
1467679815989964807|4870048156|Mon Dec 06 02:18:30 +0000 2021|"“And the most insulting thing is being told what your self-interest should be... We expect government to play a role in our having a fair shot at a better life, not solve all our problems.”

Great article from @GovernorBullock.
https://t.co/bNKG7QPP97"|en|D|9|29
1467328362783940609|4870048156|Sun Dec 05 03:01:57 +0000 2021|Super normal. https://t.co/7TVzL8HilT|es|D|23|239
1467215306292617226|4870048156|Sat Dec 04 19:32:43 +0000 2021|Season’s Greetings from Fall River where I spent the afternoon celebrating the 37th Annual Children’s Holiday Parade with @MayorPaulCoogan, @CaroleFiola, @RepAlanSilvia, @SenRodrigues, @RepPaulSchmid, and the @BGCyvr of Fall River. 🎄🎅🎁🎄 https://t.co/Bcpur67Pr7|en|D|3|16
1466521520205963269|4870048156|Thu Dec 02 21:35:51 +0000 2021|This holiday season, when darkness can feel like it’s encroaching all around us, I hope you’ll spread light to your family and your community as we usher in 2022. https://t.co/aFMJn8puoY|en|D|3|32
1466153582714101779|4870048156|Wed Dec 01 21:13:48 +0000 2021|#AbortionIsEssential and the right to an abortion should not be up for debate — everyone deserves the freedom to make decisions for their own bodies. https://t.co/8jHuQjEKc0|en|D|3|37
1465736366654951432|4870048156|Tue Nov 30 17:35:56 +0000 2021|Republicans can’t wring their hands about inflation while continuing to support anti-vaxxers. The best way to fully and permanently reopen the economy is to vaccinate more people. https://t.co/kmkemYi21b|en|D|23|103
1464751081917857802|4870048156|Sun Nov 28 00:20:46 +0000 2021|The Omicron variant is why we need to invest in vaccine diplomacy across the globe. We need to support other nations and provide them with the tools needed to fight the pandemic — keeping the whole world safer.|en|D|4|78
1464008295702675456|4870048156|Thu Nov 25 23:09:12 +0000 2021|Happy Thanksgiving from our family to yours. https://t.co/4V55BAjJgj|en|D|5|122
1462927262441885699|4870048156|Mon Nov 22 23:33:33 +0000 2021|"While school districts and state governments have science-based decisions to make about mask mandates, it’s a victory that children are back in the classroom.

Thanks to vaccines and testing, our students returned to in-person learning. We must keep our kids in classrooms. https://t.co/g8SExaVnEi"|en|D|4|12
