id|user|created_at|text|lang|label|retweet_count|favorite_count
1499060497513132036|2178511998|Wed Mar 02 16:34:08 +0000 2022|Shelby and I want to thank you for once again choosing us to represent your priorities and conservative values in D… https://t.co/qLNhtUC3LO|en|R|6|52
1498676713970180100|2178511998|Tue Mar 01 15:09:07 +0000 2022|Click for your best voting location! Polls are open 7am - 7pm. We hope to see you there! https://t.co/61VyhxMD0X https://t.co/xzjVb83CLP|en|R|0|6
1498667139691171848|2178511998|Tue Mar 01 14:31:04 +0000 2022|Good morning everyone. Let’s take a walk. https://t.co/NmN75HITqY|en|R|2|12
1498348786304880641|2178511998|Mon Feb 28 17:26:03 +0000 2022|I had a great time visiting with folks in Hill County! Thank you all for the warm welcome! https://t.co/7Mh1sKbOPZ|en|R|0|11
1498281833150115841|2178511998|Mon Feb 28 13:00:00 +0000 2022|Election day is tomorrow! From 7am - 7pm, you can cast your ballot for Jake Ellzey, native Texan, former fighter pi… https://t.co/5iF545APLw|en|R|3|19
1497687875084857344|2178511998|Sat Feb 26 21:39:49 +0000 2022|Huge thanks to @CodyforTexas for showing me around Anderson and Cherokee Counties the last two days. I met some gre… https://t.co/gxhzWVNqAS|en|R|0|24
1497557057041489922|2178511998|Sat Feb 26 13:00:00 +0000 2022|If you missed early voting, don't worry! There is still time to vote. Election Day is Tuesday, March 1st. Polls wil… https://t.co/SJTDu8ya2H|en|R|1|3
1497194676851515416|2178511998|Fri Feb 25 13:00:02 +0000 2022|Time is running out! There are just hours left to cast your ballot for Navy fighter pilot, lifelong Texan, and cons… https://t.co/mv08OqwVxQ|en|R|0|3
1496107514097811467|2178511998|Tue Feb 22 13:00:02 +0000 2022|This is the last week of early voting! Polls close Friday, February 25th, so don't miss your chance to vote ahead o… https://t.co/2Mtn2C8r6T|en|R|0|8
1495941394191560705|2178511998|Tue Feb 22 01:59:56 +0000 2022|"""Congressman Jake Ellzey is a strong advocate for the people of Texas. Jake bravely served our Nation as a U.S. Nav… https://t.co/jTnAlcYOLD"|en|R|2|34
1494657960773095428|2178511998|Fri Feb 18 13:00:01 +0000 2022|This is the only weekend you can vote in this election! Head to your nearest voting location and cast your ballot f… https://t.co/jXl48FgN9p|en|R|1|6
1493933177920016387|2178511998|Wed Feb 16 13:00:00 +0000 2022|LIKE and SHARE if you voted for Jake Ellzey! Visit here for polling locations: https://t.co/q725fCXrHs https://t.co/p4YtCH7VDF|en|R|2|13
1493357380754677763|2178511998|Mon Feb 14 22:51:59 +0000 2022|Early voting starts today! I voted for a former fighter pilot with great hair; who did you vote for? https://t.co/YX8IgRTBH5|en|R|7|95
1493348888715141121|2178511998|Mon Feb 14 22:18:14 +0000 2022|I spent this afternoon at the RNC Community Center in Coppell, visiting with veterans. I want to thank them for all… https://t.co/0Npjl1ZK7J|en|R|1|13
1489016068366639108|2178511998|Wed Feb 02 23:21:09 +0000 2022|I decided to become a fighter pilot when, at age seven, my dad took me on my first plane ride. I graduated from the… https://t.co/UysEJfL7V9|en|R|4|31
1487204699338117124|2178511998|Fri Jan 28 23:23:25 +0000 2022|Biden's border security plan has failed and dangerous criminals are exploiting our border. I am working every day i… https://t.co/iJHSjYbz4h|en|R|6|33
1486433185810554887|2178511998|Wed Jan 26 20:17:42 +0000 2022|As someone who fought to protect Americans overseas, I will always stand for your right to protect yourself here at… https://t.co/US1gyESmOi|en|R|2|19
1486008076973051909|2178511998|Tue Jan 25 16:08:28 +0000 2022|Life is the first and greatest gift from God. I helped pass the Texas Heartbeat Act to protect babies as soon as a… https://t.co/NW00lvObIN|en|R|3|26
1484709974987132929|2178511998|Sat Jan 22 02:10:17 +0000 2022|I am proud to have the endorsement of @TMPALegislative. Our local police do the day to day work of protecting Texan… https://t.co/a7S8H5HHXL|en|R|3|32
1483920018798694404|2178511998|Wed Jan 19 21:51:17 +0000 2022|I voted AGAINST raising the US debt limit. The current tax-&amp;-spend policies are short-sighted and unwise. Our gov't… https://t.co/7ZK8GZ2b2I|en|R|0|15
1481734917939736588|2178511998|Thu Jan 13 21:08:28 +0000 2022|I am 100% pro-life. I passed the heartbeat bill that ensures no abortion in Texas can be performed if a baby's hear… https://t.co/Qb4tg0qXc5|en|R|1|12
1481727430997983240|2178511998|Thu Jan 13 20:38:43 +0000 2022|Let’s take a walk and talk about high-speed rail. https://t.co/wCQkuoBrl5|en|R|2|24
1477263340330262529|2178511998|Sat Jan 01 13:00:01 +0000 2022|A new year means new beginnings, and I am thrilled to see what 2022 has in store for the community and the country.… https://t.co/cuYyMtGPqy|en|R|3|37
1474726622053888001|2178511998|Sat Dec 25 13:00:00 +0000 2021|Wishing everyone a Merry Christmas! From our family to yours, we hope you have a great holiday season. https://t.co/bSSgTW41Rh|en|R|3|46
1466939226436653059|2178511998|Sat Dec 04 01:15:40 +0000 2021|I wanted to update you on what’s going on in our nation’s Capital. Will you take a walk with me? https://t.co/8ZIvHM9iXZ|en|R|10|46
1463932903314931724|2178511998|Thu Nov 25 18:09:37 +0000 2021|We have so much to be grateful for in this country. Today, I take time to appreciate my family and friends and spen… https://t.co/H4Pp9LJciH|en|R|2|37
1461547061321605124|2178511998|Fri Nov 19 04:09:08 +0000 2021|I wanted to update you on what’s going on in our nation’s Capital. https://t.co/cCxjisv087|en|R|3|41
1458843100940546056|2178511998|Thu Nov 11 17:04:33 +0000 2021|Serving alongside the courageous men and women of our United State military remains one of the greatest honors of m… https://t.co/YezCoeBMbB|en|R|3|51
1456751745770655748|2178511998|Fri Nov 05 22:34:15 +0000 2021|The Democrats are pushing a multi-trillion-dollar reconciliation bill. Just last week, we found a 100 million dolla… https://t.co/5e9iqT3Sti|en|R|5|23
1456704912142868489|2178511998|Fri Nov 05 19:28:09 +0000 2021|This week is Veterans Small Business Week. Starting a small business is a pathway to the American Dream. Nearly 2.4… https://t.co/OaKWg3Sode|en|R|4|28
1454194118507249668|2178511998|Fri Oct 29 21:11:10 +0000 2021|President Biden's executive orders regarding the COVID-19 vaccine is a gross overreach of power. Getting this new v… https://t.co/4f8lcxjpYc|en|R|5|47
1452392675823529988|2178511998|Sun Oct 24 21:52:52 +0000 2021|President Biden does not want to face the reality of how terrible the conditions are at our southern border. His ex… https://t.co/dworkqw7rK|en|R|4|39
1420352945594544130|2178511998|Wed Jul 28 11:58:25 +0000 2021|Shelby and I are incredibly grateful to every person who backed us with their endorsement, their volunteer hours, a… https://t.co/EGjX6eKGAo|en|R|54|482
1420008706767560707|2178511998|Tue Jul 27 13:10:32 +0000 2021|The runoff election is here! I'm out at the polls this morning and I hope you'll stop by and say hello and vote if… https://t.co/vi2nxdCebL|en|R|18|188
1419674145839845376|2178511998|Mon Jul 26 15:01:07 +0000 2021|I am honored to have the endorsements of @CodyforTexas, Navarro Co Sheriff Elmer Tanner, and Former State Represent… https://t.co/vgllTlUnSm|en|R|9|41
1419416268965355527|2178511998|Sun Jul 25 21:56:24 +0000 2021|"""@sealpacusa strongly endorses Jake Ellzey for Congress in Tuesday's special election for Congress.

Reject the neg… https://t.co/xyH8S354VF"|en|R|20|47
1418556506182651905|2178511998|Fri Jul 23 13:00:01 +0000 2021|LAST call for early votes! Make sure that our district has the pro-gun, pro-life, pro-border security champion we n… https://t.co/V8CB1wBWt9|en|R|10|28
1417862616211415041|2178511998|Wed Jul 21 15:02:44 +0000 2021|Jake Ellzey is a strong, conservative Christian and American hero. He is 100% pro-life, pro-gun, pro-border securit… https://t.co/PnkTAdvIMK|en|R|3|20
1417536951637487631|2178511998|Tue Jul 20 17:28:40 +0000 2021|"""Although Ellzey’s stand on immigration, election security and other issues are to the right of this newspaper’s po… https://t.co/foMncd1m3u"|en|R|12|37
1417469339922583557|2178511998|Tue Jul 20 13:00:00 +0000 2021|Early voting is now open for this vital #TX06 runoff election. Don't miss your chance to cast your ballot for the 2… https://t.co/4YWVbgZBag|en|R|8|18
1417259509592989727|2178511998|Mon Jul 19 23:06:13 +0000 2021|Join @GovernorPerry, @DanCrenshawTX, and your fellow Texas conservatives in condemning Susan Wright’s false attacks… https://t.co/DIix9Jr8nZ|en|R|8|14
1417091853501882377|2178511998|Mon Jul 19 12:00:00 +0000 2021|Vote NOW for the only candidate endorsed by Dan Crenshaw, Morgan Luttrell, Marcus Luttrell, and Former Governor Ric… https://t.co/gkLCANT15f|en|R|7|16
1415759671198113795|2178511998|Thu Jul 15 19:46:23 +0000 2021|Honored to share the stage with great Texans last night. Dems fleeing to DC on private jets won’t stop me from work… https://t.co/2XGs1WXTKE|en|R|5|16
1415713447921209351|2178511998|Thu Jul 15 16:42:43 +0000 2021|WHAT AN INCREDIBLE NIGHT! Thank you to everybody who came out last night to support our campaign. Big thanks to… https://t.co/uIDBWPhE2L|en|R|9|30
1415385180995477510|2178511998|Wed Jul 14 18:58:18 +0000 2021|"It's Day 2 of the Democrats abandoning their Constitutional duty.

While the Texas House Democrats have fled to DC… https://t.co/rMVQAdIkxG"|en|R|7|23
1415093672035688456|2178511998|Tue Jul 13 23:39:57 +0000 2021|I joined fellow Republicans at a press conference regarding our response to the Democrats' dereliction of duty. As… https://t.co/KlMVWAWKl4|en|R|4|18
1414916312170647565|2178511998|Tue Jul 13 11:55:11 +0000 2021|Good morning everyone! Be sure to tune in to the Mark Davis show on 660 AM radio this morning. I will be on at 7:05… https://t.co/6JpHuNi3Qg|en|R|3|5
1414631825587195906|2178511998|Mon Jul 12 17:04:44 +0000 2021|GREAT weekend at #CPACTX! I got to spend some time with my old friends, @GovernorPerry, @MLuttrellTX, and… https://t.co/90RxSo6Umo|en|R|3|15
1413598154654691334|2178511998|Fri Jul 09 20:37:18 +0000 2021|Honored to have the support of Trump voters from across #TX06! I’ll stand for America First policies, get the Wall… https://t.co/4USPrB5h5J|en|R|6|29
1413213963354087426|2178511998|Thu Jul 08 19:10:39 +0000 2021|. @GovAbbott has called the #txlege back into session to address critical issues that didn’t get handled in the reg… https://t.co/0YzbVgPSYq|en|R|4|11
1412856716438523907|2178511998|Wed Jul 07 19:31:05 +0000 2021|I am excited to see Governor Abbott's agenda items for the first special session of the 87th legislature. They incl… https://t.co/ikAFINGaol|en|R|5|5
1412461003506323456|2178511998|Tue Jul 06 17:18:40 +0000 2021|I’ve been to the border twice in the last month, and I want to share a few thoughts with you about Joe Biden's… https://t.co/QKiFSVYGun|en|R|5|8
1411656034737815554|2178511998|Sun Jul 04 12:00:00 +0000 2021|For 245 years, America has been the worldwide symbol of freedom, liberty, and justice for all. Let's make sure that… https://t.co/5OgGtwRmhr|en|R|6|37
1410686222914273281|2178511998|Thu Jul 01 19:46:19 +0000 2021|Just got back from a visit to the border with Governor Abbott and President Trump. The situation is as bad as you t… https://t.co/18UVFogDRE|en|R|6|16
1409646371829817345|2178511998|Mon Jun 28 22:54:19 +0000 2021|"I’m grateful that a fellow warrior has my back. I appreciate @DanCrenshawTX's support. WATCH HERE: https://t.co/0dyy5fpO6x
#TX06"|en|R|10|27
1407408208277393412|2178511998|Tue Jun 22 18:40:39 +0000 2021|This is a crisis we can't ignore. As your next Congressman, I will propose legislation that will not allow DOD to d… https://t.co/RF8wBXBqli|en|R|5|9
1406582612261437441|2178511998|Sun Jun 20 12:00:02 +0000 2021|"Of all the titles I've held, few things come close to ""dad."" If you're honored to hold this title, too, I want to w… https://t.co/8wSS5QyQSd"|en|R|5|19
1405553869543849987|2178511998|Thu Jun 17 15:52:11 +0000 2021|Let's finish the wall! Texas is stepping up to the plate and it's time Washington did, too. https://t.co/dqBbOqDI5J|en|R|5|14
1405193043557457921|2178511998|Wed Jun 16 15:58:23 +0000 2021|What is happening on the border is a crisis, no way around it. Caused by open border and extreme liberal policies,… https://t.co/C0COBGcQWj|en|R|10|18
1404482927233228805|2178511998|Mon Jun 14 16:56:38 +0000 2021|On June 14th, 1777, the Second Continental Congress declared the Stars and Stripes the official flag of the United… https://t.co/ZYTCiagE3a|en|R|2|13
1403012230627667976|2178511998|Thu Jun 10 15:32:37 +0000 2021|This week, I did what Kamala Harris will not—I visited the US/Mexico border. We spent time with Texas DPS, National… https://t.co/P9M73qf5H0|en|R|9|17
1402663862428647425|2178511998|Wed Jun 09 16:28:19 +0000 2021|Got to discuss the effects of illegal immigration on local law enforcement efforts, the effects of so many DPS troo… https://t.co/NCDio6EDLK|en|R|4|16
1402380268443480067|2178511998|Tue Jun 08 21:41:25 +0000 2021|During the height of the COVID-19, millions of American seniors in assisted living facilities were kept in what amo… https://t.co/VsvhZdO36U|en|R|1|4
1400960365098418184|2178511998|Fri Jun 04 23:39:14 +0000 2021|Was honored to join Police Chief Wade Goolsby for the  police academy graduation of Waxahachie's two newest police… https://t.co/zBGZSjlHWN|en|R|4|13
1400157617536839693|2178511998|Wed Jun 02 18:29:24 +0000 2021|"Session is over. Now back to one of my day jobs. 

#txlege #TXCD06 https://t.co/EgYQZ1YW7Q"|en|R|0|62
1399334851883438081|2178511998|Mon May 31 12:00:01 +0000 2021|I'm carrying you today, Clark. I carry you every day. Never forget. https://t.co/wSIxgmsWNr|en|R|3|45
1397636736667246592|2178511998|Wed May 26 19:32:19 +0000 2021|I've said it before and I'll say it again: DC needs to be more like Texas. But until it is, Texas must make sure th… https://t.co/exAVOJFk3G|en|R|6|16
1395477317846278144|2178511998|Thu May 20 20:31:33 +0000 2021|"Biden has forgotten who he serves. I promise you I never will.

It’s time to stop the reckless, job-killing behavio… https://t.co/dzjLpBylC0"|en|R|2|7
1395109637792337923|2178511998|Wed May 19 20:10:32 +0000 2021|"Let's play a game! Can you spot me in the back?

Jokes aside, I was honored to be part of passing the most conserva… https://t.co/nHWNwTgVGV"|en|R|3|15
1392935093824626695|2178511998|Thu May 13 20:09:40 +0000 2021|We have a date! Our runoff election will be held Tuesday, July 27th. Early voting starts Monday, July 19th and will… https://t.co/pHs8ykf48N|en|R|4|25
1392473652143267844|2178511998|Wed May 12 13:36:04 +0000 2021|#Israel has every right to defend herself and the millions under attack and sleeping in bomb shelters tonight.… https://t.co/oCe7RIzX0y|en|R|2|14
1392180272922247172|2178511998|Tue May 11 18:10:17 +0000 2021|"I am proud to have been a part of what is being called the ""most conservative 48 hours in Texas history."" In respon… https://t.co/2ZtN3H23Zy"|en|R|9|18
1390397155999981568|2178511998|Thu May 06 20:04:48 +0000 2021|Joe Biden says that he will still wear masks (even outdoors) even though he is vaccinated and even though the CDC s… https://t.co/HTJlzyXpl2|en|R|10|28
1390084598755995648|2178511998|Wed May 05 23:22:49 +0000 2021|In #Texas, we don’t spend more than we have. We balance the budget and live within our means. With a $28 TRILLION… https://t.co/6IM7sxYhdq|en|R|3|17
1388980550556397571|2178511998|Sun May 02 22:15:43 +0000 2021|We did it! Your strong support put us in the Runoff! Voters responded to our positive, conservative vision for the… https://t.co/AGJDPvEzPm|en|R|13|92
1388463210290982914|2178511998|Sat May 01 12:00:00 +0000 2021|TODAY is SPECIAL ELECTION DAY. All eyes are on Texas! Click below right to find your voting location and take four… https://t.co/8BsOCtq9FN|en|R|7|41
1388222582697115648|2178511998|Fri Apr 30 20:03:50 +0000 2021|This malicious, false attack on Susan is one of the most vile, cowardly acts I’ve ever witnessed in politics. Whoev… https://t.co/0zNZqIAah7|en|R|13|61
1387882194107043851|2178511998|Thu Apr 29 21:31:15 +0000 2021|A big thank you to my friend, @GovernorPerry for calling out the lies being peddled by DC #swamp group, Club for Gr… https://t.co/JIs2A3nF2i|en|R|9|20
1387860620159094784|2178511998|Thu Apr 29 20:05:31 +0000 2021|Today is the second reading for HB 2622, which I am proud to co-author. This bill will make the Lone Star State a 2… https://t.co/XwJquML1cd|en|R|49|141
1387376048812306432|2178511998|Wed Apr 28 12:00:00 +0000 2021|DAYS LEFT UNTIL Texas has America's most important Congressional Election in 2021 on Saturday. All eyes are on us.… https://t.co/Bp6IIeXjXw|en|R|5|9
1386769255086100486|2178511998|Mon Apr 26 19:48:49 +0000 2021|As a candidate running to represent hometown values in Congress, I am honored to have the endorsement of Midlothian… https://t.co/B350uannKU|en|R|3|8
1386763147290234880|2178511998|Mon Apr 26 19:24:33 +0000 2021|"Listen as Mark Davis labels the attacks on Jake Ellzey as a ""steaming load."" Audio begins at minute marker 2:30 of… https://t.co/DAml0TkP05"|en|R|3|8
1385941594889605120|2178511998|Sat Apr 24 13:00:00 +0000 2021|Israel has been our strongest supporter and constant ally in the fight against terrorism. As a trade, defense, and… https://t.co/xykNYNAuS5|en|R|3|14
1385564106682355714|2178511998|Fri Apr 23 12:00:00 +0000 2021|This is the biggest and most important election of 2021. This is our first chance to get America back on track! Ret… https://t.co/BZTFp8PUkh|en|R|2|10
1385406709288472577|2178511998|Fri Apr 23 01:34:33 +0000 2021|It was an honor to deploy with @MarcusLuttrell  and Seal Team 5 to fight on behalf of this country. I am humbled by… https://t.co/SnqNw9E1jR|en|R|6|28
1385235590908571658|2178511998|Thu Apr 22 14:14:35 +0000 2021|I'm proud to have the endorsement of my friend, Waxahachie Mayor David Hill. As someone who's running to represent… https://t.co/DMj4BRkMbS|en|R|4|9
1385201719659876358|2178511998|Thu Apr 22 12:00:00 +0000 2021|"LIKE and RETWEET if you cast your vote for Ret. Commander Jake Ellzey to:

Stop the Biden Tax Increase
Stop the Bid… https://t.co/tvWCLS0D6a"|en|R|6|11
1384998375271985153|2178511998|Wed Apr 21 22:31:59 +0000 2021|Thank you to Ellis Co. Commissioner Randy Stinson, Commissioner Lane Grayson, and Commissioner Kyle Butler for endo… https://t.co/kPsQKuAU6N|en|R|5|15
1384854435667525632|2178511998|Wed Apr 21 13:00:01 +0000 2021|"""Jake Ellzey understands the cost of freedom. And having a man like that in the well of US Congress will be invalua… https://t.co/BI9KBBOY4O"|en|R|6|7
1384492051320934401|2178511998|Tue Apr 20 13:00:02 +0000 2021|As a father and Christian, I am 100% pro-life. In Congress, I will stand against any and all attacks on the unborn… https://t.co/sGOvzrSOqr|en|R|5|10
1384456475964182531|2178511998|Tue Apr 20 10:38:40 +0000 2021|Thank you, Gov. Perry, for setting the record straight. As many of you know, a group out of DC (acting on behalf of… https://t.co/cZ8sQndJez|en|R|9|20
1384159855427031043|2178511998|Mon Apr 19 15:00:00 +0000 2021|It's time to make Washington spend less instead of charging taxpayers more. We must prioritize cutting taxes, which… https://t.co/WtPToQyDWJ|en|R|6|10
1384159853816410120|2178511998|Mon Apr 19 15:00:00 +0000 2021|TODAY is the first day to help take back the U.S. House majority. Early voting is open! Conservatives are uniting b… https://t.co/6nT8Z0ibFB|en|R|5|9
1384114564808249344|2178511998|Mon Apr 19 12:00:02 +0000 2021|THIS is America's first SERIOUSLY CONTESTED CONGRESSIONAL ELECTION OF 2021. If you want to know where to make your… https://t.co/Tz9AjealIR|en|R|2|6
1383767392900194313|2178511998|Sun Apr 18 13:00:30 +0000 2021|Secure, fair elections are not a partisan issue. They are a commonsense issue. To protect the integrity of our elec… https://t.co/m13SWwp0LK|en|R|1|4
