id|user|created_at|text|lang|label|retweet_count|favorite_count
1507060449870811139|1138076821533155328|Thu Mar 24 18:23:05 +0000 2022|Rebecca’s story is unacceptable. New York’s heroic teachers and brilliant young people deserve the very best public… https://t.co/5NhHMvcIZo|en|D|28|98
1506986592887521282|1138076821533155328|Thu Mar 24 13:29:36 +0000 2022|Victory! Congratulations to Trustee Cronen and Trustee-elect Engelbert. Looking forward to seeing great things from… https://t.co/Wdb845QhwQ|en|D|3|50
1506958328903176193|1138076821533155328|Thu Mar 24 11:37:18 +0000 2022|"The way they treat Judge Ketanji Brown Jackson is what Black people endure in predominantly white spaces. 

When Se… https://t.co/czYKASq91i"|en|D|520|4637
1505892008799449092|1138076821533155328|Mon Mar 21 13:00:07 +0000 2022|Champions! Congrats to the Mt. Vernon Knights and @bcimmino1 for an amazing season. https://t.co/C2boe7ywfU|en|D|6|24
1504882468247244805|1138076821533155328|Fri Mar 18 18:08:34 +0000 2022|The favorite part of my day is spending it with neighbors and in the community. I had the honor of joining seniors… https://t.co/QrBJ7Vv6QM|en|D|7|33
1504836164037009415|1138076821533155328|Fri Mar 18 15:04:34 +0000 2022|I had the privilege of meeting with Muskan Kahn, a young lady who stood in her conviction and defied a ban to wear… https://t.co/tpOIPttqFg|en|D|25|85
1504521040386531334|1138076821533155328|Thu Mar 17 18:12:23 +0000 2022|Proud to be #BradyEndorsed. Together we can end gun violence. https://t.co/kaBSspa2x0|en|D|10|44
1504193286621351943|1138076821533155328|Wed Mar 16 20:30:00 +0000 2022|"Join @JFREJNYC tomorrow for a Community Safety Canvass! Together, we can end hate in our communities. 
https://t.co/8BB24K6DgN"|en|D|6|14
1504171893800136704|1138076821533155328|Wed Mar 16 19:05:00 +0000 2022|"The climate crisis isn't gonna wait for us to get it together. We MUST act now. 
https://t.co/HLQlpXvgUe"|en|D|18|93
1504155538434580483|1138076821533155328|Wed Mar 16 18:00:00 +0000 2022|As a member of @FollowCSA while I taught for over 20 years and served as a principal, I am beyond honored to receiv… https://t.co/36v1KASPvZ|en|D|4|26
