id|user|created_at|text|lang|label|retweet_count|favorite_count
1520584273874595841|838462994|Sun May 01 02:01:56 +0000 2022|Metcalfe County Young Republican 🐘 GOP Banquet. Lots of impressive, next generation conservatives in Edmonton tonight. #KY1 https://t.co/Cmit7CGwKB|en|R|5|26
1520516903499874306|838462994|Sat Apr 30 21:34:14 +0000 2022|Participated in a Monroe County community wide program to honor the heroic first responders and essential frontline workers who bravely performed at the highest levels throughout the COVID-19 Pandemic in Tompkinsville today. #KY1 https://t.co/eHmEh43bvw|en|R|4|10
1518365069448564736|838462994|Sun Apr 24 23:03:37 +0000 2022|Happy to support the Anderson County Challenger Little League Golf Scramble this afternoon in Lawrenceburg. #KY1 https://t.co/4ZvCpev06E|en|R|7|27
1517681695528529920|838462994|Sat Apr 23 01:48:08 +0000 2022|Franklin County Republican 🐘 Women Lincoln Day Banquet.  #KY1 https://t.co/9kSKXQveXk|en|R|5|29
1517320667842154497|838462994|Fri Apr 22 01:53:32 +0000 2022|Honored to share the stage with my dear friend and former UN Ambassador Kelly Craft at the Russell County Reagan Day Dinner. #KY1 https://t.co/6BakBUjzSP|en|R|3|30
1516846087889371137|838462994|Wed Apr 20 18:27:43 +0000 2022|Spoke at the @LincolnTrailADD 54th Anniversary Banquet today in Lebanon. Also received an update from the Marion County Water District on future projects. #KY1 https://t.co/ohcHlq9rnz|en|R|5|16
1515746579923312646|838462994|Sun Apr 17 17:38:40 +0000 2022|#HappyEaster from the Comer Family #HeIsRisenIndeed https://t.co/SDvcNnKq84|en|R|6|123
1515489002534617091|838462994|Sun Apr 17 00:35:09 +0000 2022|Monroe County GOP Banquet. Glad to honor my successor &amp; soon-to-be retiring State Rep Bart Rowland, and  officially welcome our brand new state Senator @maxwellwise to the biggest percentage Republican 🐘 county in Kentucky! #KY1 https://t.co/PN2fa8kcJm|en|R|8|60
1514708717207437317|838462994|Thu Apr 14 20:54:34 +0000 2022|Celebrated Meals on Wheels 50th Anniversary at the Ohio County Senior Citizens Center with @RepGuthrie, area farmers &amp; @AARPKY. Then traveled to Powderly to speak to the Muhlenburg County Chamber of Commerce. #KY1 https://t.co/x1Ixn77gr7|en|R|5|23
1514236462702628866|838462994|Wed Apr 13 13:38:00 +0000 2022|Spent 2nd full day of our Oversight Committee trip in Arizona touring the Yuma Sector Detention Center, major illegal crossings &amp; a remote drug dump site. We also met with Border Patrol Agents, Yuma officials &amp; held a press conference to discuss solutions to #BidenBorderCrisis https://t.co/3HGMmZEfV1|en|R|29|63
1513662594376089601|838462994|Mon Apr 11 23:37:39 +0000 2022|Leading my Oversight Committee colleagues on another southern border trip. Toured Mesa Port of Entry, Border Patrol Park on the Pacific, Tijuana River Channel &amp; Calexico Border Patrol Station. Night tour with Border Patrol later. The #BidenBorderCrisis is getting worse by the day https://t.co/T9XhZFKZpY|en|R|8|29
1509857120941973505|838462994|Fri Apr 01 11:36:04 +0000 2022|I don’t retweet the Lexington Herald very often, but I really like this one 😉 🇺🇸 https://t.co/zUqIXMdMkN|en|R|10|106
1506348522915962882|838462994|Tue Mar 22 19:14:09 +0000 2022|Met with some great working people at the United @MineWorkers Hall in Madisonville to discuss federal issues and answer question. #KY1 https://t.co/uQ8DKMwYmz|en|R|6|17
1506288441679659009|838462994|Tue Mar 22 15:15:24 +0000 2022|Thanks to the Christian County agriculture community for asking me to be the keynote speaker at their annual Agriculture Appreciation Breakfast in Hopkinsville. Big quality crowd of farm and community leaders. #AgDay22 #KY1 https://t.co/jBdNmFRef2|en|R|5|38
1504681896399228945|838462994|Fri Mar 18 04:51:34 +0000 2022|Wow!! Congratulations 🎉 @murraystateuniv 🏀 What a great overtime victory! The good people of West KY deserved this. Also a win for all the small schools in the small towns. So proud of #MurrayState @RacersHoops|en|R|16|170
1503392218714935296|838462994|Mon Mar 14 15:26:51 +0000 2022|Visiting with constituents in Adair and Taylor Counties all morning in Columbia and Campbellsville before heading back to Capitol Hill tomorrow. #KY1 https://t.co/haemx1KrAc|en|R|6|32
1502849886622031876|838462994|Sun Mar 13 03:31:49 +0000 2022|Big thanks to the Simpson County Republican Party 🐘 for putting together such a nice GOP Banquet with so many great Republicans 🇺🇸. Always enjoy visiting Franklin - located right in the center of #KY1 https://t.co/HLgyU0K9Tw|en|R|8|40
1502789448836300805|838462994|Sat Mar 12 23:31:39 +0000 2022|Cheered for the #1 seed Campbellsville University Lady Tigers as they dominated Benedictine in the 2nd round of the NAIA Womens College Basketball 🏀 Tournament in Bowling Green. Now on to the NAIA Sweet 16 in Iowa!! #WeAreCU #NAIAWBB https://t.co/47NdVcKDpN|en|R|10|66
1502689382150590470|838462994|Sat Mar 12 16:54:01 +0000 2022|Impressive turnout for the Boyle County GOP 🐘 Breakfast this morning in Danville - despite 4+ inches of snow. I’m so excited to have the opportunity to represent Boyle County next year in Congress 🇺🇸! #KY1 https://t.co/giHiRfzIKE|en|R|3|30
1500322306933104647|838462994|Sun Mar 06 04:08:07 +0000 2022|Congratulations 🎊🎉 Murray State Racers. OVC Tournament Champions 🏆. One of the best games I’ve ever attended - Amazing environment - World Class Fan Base. It was like a home game for @murraystateuniv! The @MSURacers will be a Cinderella team in #MarchMadness. #KY1 https://t.co/dPmKasCkzf|en|R|10|116
1499469318236610563|838462994|Thu Mar 03 19:38:38 +0000 2022|Attica apparently hasn’t driven very far outside of Louisville lately!?!  😃⬇️ https://t.co/CgrkvVLPoq|en|R|7|85
1498038587002085380|838462994|Sun Feb 27 20:53:26 +0000 2022|.#UkraineRussiaWar is exactly why I will always FIGHT for our #2ndAmendment Rights. Hopefully my liberal gun control colleagues in Congress now see that we need GUNS to defend our families! The government should never ban the good guys from access to guns! #StandWithUkraine https://t.co/NUla1n6f6r|en|R|18|95
1497748143986913287|838462994|Sun Feb 27 01:39:18 +0000 2022|Addressed the Kentucky Association of Letter Carriers at their annual meeting in Erlanger about how I passed their priority legislation (US Postal Service Reform Act) out of the House by a 342 - 92 vote. https://t.co/r75rZ1wpQ8|en|R|4|29
1497386794538520576|838462994|Sat Feb 26 01:43:26 +0000 2022|Visited with constituents today in Murray, Paducah and Princeton. #KY1 https://t.co/w5cOtOmp6e|en|R|5|43
1497058715714924545|838462994|Fri Feb 25 03:59:46 +0000 2022|Congrats 🎊🎉 @MSURacers - @OVCSports Champs. Dominating win over Belmont by #19th ranked @murraystateuniv. Amazing environment in Murray. #KY1 https://t.co/aDUM9JxV74|en|R|5|45
1496985520848650243|838462994|Thu Feb 24 23:08:55 +0000 2022|Held a nice community forum in Oak Grove (Christian County) &amp; toured agriculture manufacturer Martin Industries in Elkton (Todd County) #KY1 https://t.co/9wIkZxrBk1|en|R|5|27
1494715622965620776|838462994|Fri Feb 18 16:49:09 +0000 2022|Brought out the big guns to help me campaign in Franklin County today!Glad to have TJ &amp; Aniston with me as I met with all the local elected officials &amp; their staff as well as addressed a group of candidates. I think I’m going to like Franklin County being in #KY1 👍 😉 🇺🇸 https://t.co/upqNxzjLiC|en|R|4|44
1494472230486654979|838462994|Fri Feb 18 00:42:00 +0000 2022|Honored to spend the day with @brettguthrie meeting future constituents in Boyle and Washington Counties. We had joint stops in Danville, Junction City, Perryville, Willisburg and Springfield. #KY1 https://t.co/GzIrNsRnpu|en|R|4|23
