id|user|created_at|text|lang|label|retweet_count|favorite_count
1507086570096050176|272482466|Thu Mar 24 20:06:53 +0000 2022|It was a pleasure to visit family-owned Advance Disposal this week to tour their facility and discuss how the compa… https://t.co/cFyajHVFsy|en|R|2|11
1506734822936432640|272482466|Wed Mar 23 20:49:10 +0000 2022|I spoke with #CA08 senior citizens this week regarding the Medicare Advantage program &amp; improving access to care in… https://t.co/yHtX7HLOur|en|R|1|4
1506629360467521546|272482466|Wed Mar 23 13:50:06 +0000 2022|I was honored to present High Desert resident Carolyn Hodgson with her husband's Purple Heart to replace a stolen o… https://t.co/8Dp5Oho7w2|en|R|5|28
1506300807192399888|272482466|Tue Mar 22 16:04:32 +0000 2022|I enjoyed visiting with students from @vvcedu at the U.S. Capitol last week! These hardworking students have worked… https://t.co/WpcpewIl5h|en|R|1|9
1505917482942484486|272482466|Mon Mar 21 14:41:21 +0000 2022|In a world where everyday appliances contain built-in internet connectivity, it is critical we ensure products in o… https://t.co/AhcFpnItxc|en|R|1|4
1505011387747160065|272482466|Sat Mar 19 02:40:51 +0000 2022|Rep. Don Young was a mentor to me, a dedicated advocate for his home state &amp; a legendary presence in the House. I h… https://t.co/2RGILhXJg1|en|R|4|12
1504877931813875718|272482466|Fri Mar 18 17:50:32 +0000 2022|My bill to preserve the story of the mass incarceration of Japanese Americans in WWII passed the House of Represent… https://t.co/LWkK3zr2Q2|en|R|7|17
1504533776793313282|272482466|Thu Mar 17 19:02:59 +0000 2022|#CA08 is subjected to some of the highest gas prices in the entire country. Our local families are facing tough cho… https://t.co/qoVrbxArNC|en|R|5|13
1504263574553829378|272482466|Thu Mar 17 01:09:18 +0000 2022|I was honored to attend Ukrainian President Volodymyr Zelenskyy’s address to Congress today. It is critical that th… https://t.co/xYBa74QVUk|en|R|3|23
1504168256545951749|272482466|Wed Mar 16 18:50:33 +0000 2022|Changing our clocks twice a year is outdated &amp; hazardous to our heath &amp; safety. I pushed forward legislation on thi… https://t.co/pp42ZwOgPJ|en|R|2|11
1504103908133724160|272482466|Wed Mar 16 14:34:51 +0000 2022|We are experiencing record gas prices across the nation, but the nat'l average pales in comparison to the price Cal… https://t.co/uPbg2R7IMT|en|R|4|17
1503384441556774920|272482466|Mon Mar 14 14:55:57 +0000 2022|I joined @MottekOnMoney to talk rising gas prices and the effects of the crisis in Ukraine. It’s imperative that th… https://t.co/XEpxQ3BUy8|en|R|2|11
1502077593524191233|272482466|Fri Mar 11 00:23:00 +0000 2022|Thank you to everyone who participated in my live telephone town hall last night! If you missed last night’s event,… https://t.co/XA7FrBSw35|en|R|2|3
1502007179490045953|272482466|Thu Mar 10 19:43:12 +0000 2022|This morning the Bureau of Labor Statistics released another alarming report showing that inflation continues to wo… https://t.co/UF3LiZrif4|en|R|39|107
1501675483188113419|272482466|Wed Mar 09 21:45:09 +0000 2022|I joined @KTLA’s @FrankBuckleyTV last weekend to discuss #SOTU, support for Ukraine, the need for U.S. domestic ene… https://t.co/0AVKT3FiVI|en|R|3|5
1501655220320878597|272482466|Wed Mar 09 20:24:38 +0000 2022|Don’t forget! I’m hosting a telephone town hall TONIGHT to hear directly from you about inflation, energy prices an… https://t.co/freZ165z0x|en|R|2|2
1501361908812767234|272482466|Wed Mar 09 00:59:07 +0000 2022|🚨 🚨 I'm hosting a telephone town hall tomorrow night at 5:00 p.m. PT to discuss the Ukraine crisis, inflation, ener… https://t.co/KyxoNBDa7L|en|R|3|10
1501268411816595459|272482466|Tue Mar 08 18:47:36 +0000 2022|I’ve introduced the Cost-Share Accountability Act of 2022 alongside @RepBillFoster to ensure American taxpayers get… https://t.co/vc6PdjdqNI|en|R|3|11
1501023638035869698|272482466|Tue Mar 08 02:34:57 +0000 2022|I am proud to join my colleagues @BobLatta and @RepDavidValadao in introducing the PADE Act to prohibit American im… https://t.co/umFeQZ1NXg|en|R|7|51
1499818797091495937|272482466|Fri Mar 04 18:47:21 +0000 2022|Americans are making less &amp; paying more due to inflation, but the Budget Committee held a recent hearing to remove… https://t.co/PRQFkCix4n|en|R|10|26
1499491614733094914|272482466|Thu Mar 03 21:07:14 +0000 2022|This policy is a mistake. Forcing continued U.S. reliance on Russian oil not only helps Putin, but it also increase… https://t.co/0TnEGN6UCb|en|R|3|17
1499443063843864591|272482466|Thu Mar 03 17:54:19 +0000 2022|I joined @LATimes reporter @EliStokols ahead of Tuesday's #SOTU to discuss the importance of addressing inflation a… https://t.co/KHQShz1vQV|en|R|4|14
1499078621570506753|272482466|Wed Mar 02 17:46:09 +0000 2022|Americans suffering from inflation can’t afford even higher energy prices, and they shouldn’t need to. Reversing ad… https://t.co/rXxVJqBSMM|en|R|6|9
1498832993972019204|272482466|Wed Mar 02 01:30:07 +0000 2022|Christopher is a disabled veteran working at a local military base. He is considering getting a second job just to… https://t.co/E5LrKePnPn|en|R|1|8
1498780232106622977|272482466|Tue Mar 01 22:00:27 +0000 2022|Bill and Norma are on social security and are struggling to buy gas for their cars on their fixed income. They are… https://t.co/YK4GD5BzLG|en|R|56|207
1498741763313483777|272482466|Tue Mar 01 19:27:36 +0000 2022|Gas prices are high everywhere as inflation &amp; poor government energy policies continue to drive prices up. But here… https://t.co/M90nv6UeWg|en|R|2|13
1498693663005843459|272482466|Tue Mar 01 16:16:28 +0000 2022|The effects of bad government policies are very real for far too many. In #CA08, Sharon in Hesperia is struggling t… https://t.co/7iVUaLjpzb|en|R|41|86
1498316018430750726|272482466|Mon Feb 28 15:15:50 +0000 2022|Heather and I are deeply saddened by the passing of our friend Don Dix. Don was a passionate voice for improving th… https://t.co/9A4xAIE5k1|en|R|2|5
1496899988751802371|272482466|Thu Feb 24 17:29:03 +0000 2022|My statement on Russia's invasion of Ukraine: https://t.co/Vp0SrfBrUA|en|R|7|31
1496528382644862979|272482466|Wed Feb 23 16:52:25 +0000 2022|Russia's invasion violates the basic right of self-determination. Strong sanctions can help deter Russia, but Pres… https://t.co/JYRnqIUt6g|en|R|9|31
1495784256446296065|272482466|Mon Feb 21 15:35:31 +0000 2022|Today we remember the service of two of America's greatest presidents – one who established this nation and one who… https://t.co/eyqSdGMoXa|en|R|9|37
1495043164188684294|272482466|Sat Feb 19 14:30:41 +0000 2022|On Feb. 19, 1942, President Roosevelt authorized the mass incarceration of over 120,000 Japanese Americans. #CA08's… https://t.co/AzkLq9H0K2|en|R|11|22
1494691407365349387|272482466|Fri Feb 18 15:12:56 +0000 2022|According to the new Department of Labor report, prices continued to rise at record rates in January, hurting Ameri… https://t.co/AIBPHz7iIW|en|R|6|31
1494514523692224521|272482466|Fri Feb 18 03:30:03 +0000 2022|Tyler Wallasch has been skiing at Mammoth Mountain since he was two. Now, his Olympic journey begins with the Ski C… https://t.co/FdEPuJVOdZ|en|R|3|5
1494365731173146627|272482466|Thu Feb 17 17:38:48 +0000 2022|I am very pleased that my bill to create a Japanese American WWII History Network passed Natural Resources Cmte. Th… https://t.co/T9FXupCl0F|en|R|5|7
1494070740336926727|272482466|Wed Feb 16 22:06:37 +0000 2022|Today House Budget Committee held a hearing on possible removal of the federal debt limit. Unfortunately, it’s clea… https://t.co/XoB7pDDI7z|en|R|2|6
1493667008214441987|272482466|Tue Feb 15 19:22:20 +0000 2022|Inflation in January reached an alarming 7.5%. Because the average worker only received a 3% raise last year, real… https://t.co/rHiGbZtWp1|en|R|2|3
1493614122826665986|272482466|Tue Feb 15 15:52:11 +0000 2022|Last weekend 13 police officers were shot and wounded across the country in just 24 hours. This war on our police c… https://t.co/crL74QdJab|en|R|1|6
1493381820527915008|272482466|Tue Feb 15 00:29:06 +0000 2022|Dusty Henriksen grew up in #CA08's Big Bear until he was 12 then moved to Mammoth Lakes. Now, he's a United States… https://t.co/EfaWMWWJXW|en|R|1|4
1493247913354575875|272482466|Mon Feb 14 15:37:00 +0000 2022|According to this week’s report from the Department of Labor, the last time inflation was this high I was sporting… https://t.co/2I0XXVDC1g|en|R|39|347
1492193746636746753|272482466|Fri Feb 11 17:48:07 +0000 2022|This week I joined my colleagues to recognize the dedication of law enforcement officers in #CA08 &amp; across our coun… https://t.co/cMCcA4tdGX|en|R|11|53
1491953157819228160|272482466|Fri Feb 11 01:52:06 +0000 2022|#CA08 competitor Alix Wilkinson of Mammoth Lakes made the U.S. Olympic Team for the first time following a personal… https://t.co/1WmOMYGbLL|en|R|2|16
1491555908333232130|272482466|Wed Feb 09 23:33:34 +0000 2022|Monday marked the legal deadline for POTUS to submit his FY23 budget to Congress. Unfortunately we have yet to rece… https://t.co/pi7Kqk7bV1|en|R|109|441
1491421203332222979|272482466|Wed Feb 09 14:38:18 +0000 2022|#CA08 native @maddie_mastro from Wrightwood competed in the Olympics last night in the Women’s Halfpipe! Maddie, we… https://t.co/YXcV1qlRnX|en|R|1|6
1491127858978496512|272482466|Tue Feb 08 19:12:40 +0000 2022|I was proud to support a bill yesterday that will give small business owners a fair shot to win federal contracts a… https://t.co/0Yurv5zThP|en|R|1|12
1490821269088002048|272482466|Mon Feb 07 22:54:23 +0000 2022|Last year's 97 fentanyl-related deaths in San Bernardino County are the direct result of the southern border crisis… https://t.co/22zBBCshih|en|R|8|16
1490727184989884420|272482466|Mon Feb 07 16:40:31 +0000 2022|Our national debt passed $30T for the first time ever last week. This reckless deficit spending is hurting every Am… https://t.co/Co2EUl7qmg|en|R|3|15
1489657569119506432|272482466|Fri Feb 04 17:50:15 +0000 2022|The America COMPETES Act abandons the productive bipartisan work of the past year in favor of a nearly 3,000-page b… https://t.co/fwzm8RWyfr|en|R|1|8
1489381022764568581|272482466|Thu Feb 03 23:31:21 +0000 2022|My bill to create a @NatlParkService Japanese American World War II History Network to connect and highlight sites… https://t.co/mWaK7UQBn2|en|R|4|11
1489280666508345350|272482466|Thu Feb 03 16:52:35 +0000 2022|Shockingly, Fentanyl deaths in @SBCounty increased 656% since 2018. Unfortunately my colleagues blocked a vote yest… https://t.co/dtWxdb4Xdn|en|R|5|8
1488564564136505346|272482466|Tue Feb 01 17:27:02 +0000 2022|I was proud to see CA's first renewable natural gas facility commissioned in Victorville. We need to adopt an all-o… https://t.co/nkr4tHCdUy|en|R|11|33
1488537076224176133|272482466|Tue Feb 01 15:37:49 +0000 2022|Don't forget! I will be hosting a telephone town hall TONIGHT at 5:00 pm PT for #CA08 constituents. The purpose of… https://t.co/wQYltBhyw0|en|R|2|6
1488239660136648706|272482466|Mon Jan 31 19:55:59 +0000 2022|My office will be hosting a telephone town hall TOMORROW at 5:00 pm PT for #CA08 constituents. Sign up in advance t… https://t.co/DLe2cS00AF|en|R|1|2
1488192634384523266|272482466|Mon Jan 31 16:49:07 +0000 2022|Local investments in projects like Twentynine Palms' Project Phoenix are critical to improving our community &amp; brin… https://t.co/nedkrm9KAQ|en|R|2|6
