id|user|created_at|text|lang|label|retweet_count|favorite_count
1502392824955916289|18805303|Fri Mar 11 21:15:37 +0000 2022|Pleased to welcome home the 67th Maneuver Enhancement Brigade from their deployment in Djibouti. Thank you all for… https://t.co/9TEFerIYfS|en|R|2|15
1502310677494607877|18805303|Fri Mar 11 15:49:11 +0000 2022|I invite you to view my interview with Ukrainian lawmakers as they wrestle with the raw emotions experienced during… https://t.co/kzLBFHvwEB|en|R|1|6
1502078729740337152|18805303|Fri Mar 11 00:27:31 +0000 2022|Fort Report: “We’re Kicking Putin’s Ass” https://t.co/x8aWhMMxhZ|en|R|2|6
1501947817354350606|18805303|Thu Mar 10 15:47:19 +0000 2022|I asked if you would be willing to pay more for gas to combat #Russia's aggression. Here's what you said.… https://t.co/2QVvFngUmW|en|R|2|17
1501228717024374784|18805303|Tue Mar 08 16:09:52 +0000 2022|We are grateful for the essential work of our Nebraska Firefighters and First Responders.  Great to see the team he… https://t.co/4Fx44oB9et|en|R|1|10
1500918142444388352|18805303|Mon Mar 07 19:35:45 +0000 2022|https://t.co/pONF9XiX79|und|R|1|3
1499904824032251908|18805303|Sat Mar 05 00:29:11 +0000 2022|Why? https://t.co/YPBBmGcmYN|und|R|1|13
1499802967897214979|18805303|Fri Mar 04 17:44:27 +0000 2022|Here is how the nations of the world voted on the #UnitedNations resolution condemning the Russian invasion of… https://t.co/E2Mhx2GHtK|en|R|2|8
1499794862459269124|18805303|Fri Mar 04 17:12:14 +0000 2022|#Ukraine Survey Result: https://t.co/e2DBC0vJzE|in|R|1|3
1499462375002583041|18805303|Thu Mar 03 19:11:03 +0000 2022|Fort Report: Nyet to Russian Oil https://t.co/dTqGfjB50i|en|R|0|6
1499173613202726916|18805303|Thu Mar 03 00:03:37 +0000 2022|Congress stood in solidarity with the people of #Ukraine today, passing a resolution to support them in their fight… https://t.co/rh5lBpM71F|en|R|1|11
1499156327205154819|18805303|Wed Mar 02 22:54:56 +0000 2022|It was so nice to visit with elementary school principals today. Appreciate all the sacrifice for the kids and the… https://t.co/0iPYjKZomG|en|R|0|7
1499141326469746690|18805303|Wed Mar 02 21:55:19 +0000 2022|The Capitol is reopened for business and it was great to see Nebraska farmers right up front today. Russia’s invasi… https://t.co/ZfRfgxzIOS|en|R|1|5
1498868946753269762|18805303|Wed Mar 02 03:52:59 +0000 2022|#ServingNebraska https://t.co/IkPeoOwz9t|und|R|1|10
1498796534967721988|18805303|Tue Mar 01 23:05:14 +0000 2022|The Fence around the Capitol https://t.co/78Bt5FBL5h|en|R|1|14
1498747608608784393|18805303|Tue Mar 01 19:50:49 +0000 2022|"#Nyet to Russian oil. 

https://t.co/CDMDEyDhyj"|en|R|2|3
1497279473695272963|18805303|Fri Feb 25 18:36:59 +0000 2022|Russia presides over the @UN Sec Council while launching a premeditated war in Europe, stripping away any semblance… https://t.co/puFS1TJWKt|en|R|3|3
