id|user|created_at|text|lang|label|retweet_count|favorite_count
1507402592959217669|18166778|Fri Mar 25 17:02:39 +0000 2022|https://t.co/qCQacGscMn|und|R|53|207
1507387280922746881|18166778|Fri Mar 25 16:01:48 +0000 2022|The only thing more busted than your bracket is Joe Biden’s agenda.|en|R|531|4999
1507355321865580552|18166778|Fri Mar 25 13:54:48 +0000 2022|Oh, we know. https://t.co/lRL7XACVvQ|en|R|566|4466
1507127961065037824|18166778|Thu Mar 24 22:51:21 +0000 2022|"Not good.

The Biden Administration may lift restrictions that aided expulsions of illegal immigrants.

Do that, an… https://t.co/RI9RoijfQ6"|en|R|424|1263
1507117056671555590|18166778|Thu Mar 24 22:08:01 +0000 2022|https://t.co/BzmMwRQAQX|und|R|211|880
1507095651091374080|18166778|Thu Mar 24 20:42:58 +0000 2022|"Airlines don’t want a mask mandate. Passengers don’t want a mask mandate. 

The only people who do are Biden Admini… https://t.co/NbF2xR8TKn"|en|R|4879|28119
1507057791747383310|18166778|Thu Mar 24 18:12:31 +0000 2022|It is unfair for men to compete in women’s sports.|en|R|3760|37268
1507027093892349959|18166778|Thu Mar 24 16:10:33 +0000 2022|"God Bless Gunnery Sgt. James Speedy and his family. 

We’ll never forget his sacrifice, and all the men and women w… https://t.co/HOXCyQqZqu"|en|R|113|733
1507018095960895494|18166778|Thu Mar 24 15:34:47 +0000 2022|https://t.co/suGOhOSDi7|und|R|208|1064
1507004343911915521|18166778|Thu Mar 24 14:40:09 +0000 2022|10% for the big guy.|en|R|4859|33372
1506785270552743939|18166778|Thu Mar 24 00:09:37 +0000 2022|"Average price of a regular gallon of gas just before President Trump left office:

$2.15 

With Joe Biden in office:

$4.23"|en|R|2620|11546
1506759302492606464|18166778|Wed Mar 23 22:26:26 +0000 2022|"Make gas cheap again. 

Make cities safe again. 

And for goodness sake, make the border secure again."|en|R|4968|31021
1506731495632908295|18166778|Wed Mar 23 20:35:56 +0000 2022|"If they can spy on President Trump, they can spy on you. 

If they can lie about Hunter Biden’s laptop, they can lie about anything."|en|R|7120|34988
1506710978314047496|18166778|Wed Mar 23 19:14:25 +0000 2022|Perry Local Schools honored 55 veterans, unveiling a Veterans Wall of Honor in the west wing of the high school Tue… https://t.co/AerRSbkVdz|en|R|80|462
1506694826162634752|18166778|Wed Mar 23 18:10:14 +0000 2022|Today’s Left. https://t.co/9xqkbLurIq|en|R|1326|6368
1506622953391333376|18166778|Wed Mar 23 13:24:38 +0000 2022|https://t.co/jYkkCZTGkr|und|R|362|1353
1506452522969485313|18166778|Wed Mar 23 02:07:24 +0000 2022|"The FBI in disarray? Discussing that and more on Fox News with @JudgeJeanine at 10:35 p.m. 

Tune in!"|en|R|324|2253
1506428367838617602|18166778|Wed Mar 23 00:31:25 +0000 2022|So why did the Biden Administration release Aleksei Burkov, a notorious Russian cybercriminal? https://t.co/LxyF7XD1FF|en|R|1448|4160
1506414645963284487|18166778|Tue Mar 22 23:36:54 +0000 2022|"Joe Biden, March 2022:

""Our economic strategy has worked - and it's still working.""

Reality:

-Inflation at 40 ye… https://t.co/JZFlEBGRfS"|en|R|2609|11574
1506376501595365383|18166778|Tue Mar 22 21:05:19 +0000 2022|"The Biden Administration has $300 billion in unspent #COVID money. 

But, for some reason, they want Congress to gi… https://t.co/2w0XQ4uKtP"|en|R|4449|15194
1506331352970444804|18166778|Tue Mar 22 18:05:55 +0000 2022|"Want to see media bias? 

Just watch Supreme Court nomination coverage when it’s a conservative versus when it’s a liberal."|en|R|4011|22041
1506286770807361543|18166778|Tue Mar 22 15:08:46 +0000 2022|The Babylon Bee can’t tweet. But the Kremlin can.|en|R|6239|33641
1506262028406644744|18166778|Tue Mar 22 13:30:27 +0000 2022|They told you that Hunter Biden’s laptop was fake and Fauci was right.|en|R|7460|41991
1506082790621822981|18166778|Tue Mar 22 01:38:13 +0000 2022|"Average gas prices today:

Regular: $4.25
Mid-grade: $4.64
Premium: $4.92
Diesel: $5.04

Joe Biden’s America."|en|R|1923|9564
1506060283487399942|18166778|Tue Mar 22 00:08:47 +0000 2022|https://t.co/eYxfSzm7ka|und|R|349|1177
