id|user|created_at|text|lang|label|retweet_count|favorite_count
1507356643423449092|18030431|Fri Mar 25 14:00:03 +0000 2022|The Medal of Honor is the highest award of valor bestowed by the federal government to our service members. On this… https://t.co/96CT0xuvsM|en|R|1|1
1507000443800596490|18030431|Thu Mar 24 14:24:39 +0000 2022|🚨If you were impacted by the tornadoes in Williamson County or are looking for a way to assist those who were, visi… https://t.co/oo206ZgUcj|en|R|2|2
1506648845341675523|18030431|Wed Mar 23 15:07:31 +0000 2022|I want to take a moment to thank all of our first responders and volunteers who have been working so hard to repair… https://t.co/MB64f4GMQh|en|R|1|10
1505988406869991426|18030431|Mon Mar 21 19:23:10 +0000 2022|Praying for the families of these fallen service members. https://t.co/38aQBxKqTh|en|R|1|4
1505958831247003651|18030431|Mon Mar 21 17:25:39 +0000 2022|ATTN! Don't miss another Verdict! Check out my latest E-newsletter and sign up to make sure you're always up to dat… https://t.co/3Z7u8rMCCD|en|R|1|0
1505930935862181893|18030431|Mon Mar 21 15:34:48 +0000 2022|Erika and I are praying for a swift recovery for Justice Clarence Thomas.|en|R|1|11
1505552241041805315|18030431|Sun Mar 20 14:30:00 +0000 2022|The 2022 Congressional Art Competition is here! The deadline to submit your art to be featured in the halls of Cong… https://t.co/zPBKgfWP3E|en|R|1|2
1505189851263643659|18030431|Sat Mar 19 14:30:00 +0000 2022|Not even 3 months into the year &amp; enough fentanyl has crossed our southern border to kill every American citizen TW… https://t.co/FcLYR8Syo9|en|R|3|2
1505018604894531592|18030431|Sat Mar 19 03:09:31 +0000 2022|I’m truly saddened to hear of the passing of my friend, colleague and Dean of the House Don Young. Don was a vibran… https://t.co/wXCLfk213i|en|R|4|11
1504910512349335552|18030431|Fri Mar 18 20:00:00 +0000 2022|American families and businesses are already suffering under #Bidenflation.I joined @SteveScalise to oppose introdu… https://t.co/acyYeW0u4l|en|R|28|80
1504868224403398658|18030431|Fri Mar 18 17:11:58 +0000 2022|It’s time to bring back American oil production! #BidensEnergyCrisis|en|R|3|10
1504857666962657283|18030431|Fri Mar 18 16:30:01 +0000 2022|Drug overdoses are hitting record highs due to a surge of fentanyl across the country. According to WSJ, “Illicit f… https://t.co/l0NSxCuZ0M|en|R|1|3
1504809627959144450|18030431|Fri Mar 18 13:19:07 +0000 2022|164,973 illegal immigrants crossed our southern border in the month of February alone, making it the worst February… https://t.co/jefGhpWoE8|en|R|66|120
1504476400094355468|18030431|Thu Mar 17 15:15:00 +0000 2022|President Biden is set to make a New Iran Deal that would lift sanctions while empowering Russia &amp; China. I cospons… https://t.co/rFlK9uym2Z|en|R|3|9
1504442432498409478|18030431|Thu Mar 17 13:00:01 +0000 2022|Happy St. Patrick’s Day TX-31. Hope it’s a lucky one! https://t.co/fOALNDKoRX|en|R|2|9
1504159731065233410|18030431|Wed Mar 16 18:16:40 +0000 2022|Last week President Biden banned the importation of Russian oil but the next step must be bolstering domestic produ… https://t.co/W2ENcYc2Hc|en|R|3|2
1504125344982347784|18030431|Wed Mar 16 16:00:02 +0000 2022|"#Bidenflation is impacting everything, even our beloved BBQ. 

https://t.co/pWXfwGwUqo"|en|R|3|3
1504093326341025792|18030431|Wed Mar 16 13:52:48 +0000 2022|Powerful speech by President Zelensky. Truly inspired by the unrelenting bravery of the Ukrainian people.|en|R|1|10
1503828538591518728|18030431|Tue Mar 15 20:20:38 +0000 2022|"Border security is national security. 

@POTUS, actions speak louder than words. 

It’s time to secure the border."|en|R|3|6
1503764692619120642|18030431|Tue Mar 15 16:06:55 +0000 2022|We must continue to show our support and stand with Ukraine in the war against Russia. Their fight is not over! #StandWithUkraine|en|R|11|48
1503519731726397447|18030431|Mon Mar 14 23:53:32 +0000 2022|If you missed it, #TheVerdict is out on America's energy independence, gas prices and opportunities for TX-31 stude… https://t.co/42JbDpuREl|en|R|2|3
1503091022280249346|18030431|Sun Mar 13 19:30:00 +0000 2022|Biden’s open border policies have created record human trafficking rates. I introduced the Protection of Children A… https://t.co/ZXWj73dECQ|en|R|2|6
1503015525298978821|18030431|Sun Mar 13 14:30:00 +0000 2022|Today is K-9 Veterans Day! Join me in celebrating our four-legged heroes and friends! https://t.co/nxp3hFGRKB|en|R|1|5
1502736183671111682|18030431|Sat Mar 12 20:00:00 +0000 2022|Drug overdose is the leading cause of death in Americans aged 18-45. I cosponsored the HALT Fentanyl Act to combat… https://t.co/YSPve15kv8|en|R|3|15
1502675795323637761|18030431|Sat Mar 12 16:00:02 +0000 2022|Texans are paying the price for Biden’s foreign energy policies at the pump. I am fighting to reopen domestic energ… https://t.co/cmhor9eW7p|en|R|6|22
1502411546391203846|18030431|Fri Mar 11 22:30:00 +0000 2022|This week I had the opportunity to meet and play with America's Vet Dogs on their annual trip to Capitol Hill! Thes… https://t.co/uTIKSKkkF4|en|R|1|9
1502378442263830528|18030431|Fri Mar 11 20:18:28 +0000 2022|Last week @POTUS claimed he was going to secure the border and yet, the number of illegal immigrants crossing our b… https://t.co/LOj3wVGZAt|en|R|1|1
1502290748145758213|18030431|Fri Mar 11 14:30:00 +0000 2022|I’ve heard from Texans all over #TX31 about the surging gas prices. I want you to know I share your concerns and am… https://t.co/YAsYR2SIbb|en|R|2|11
1502064256031895568|18030431|Thu Mar 10 23:30:00 +0000 2022|Keeping our communities safe is one of my top priorities. I cosponsored the Active Shooter Alert Act which creates… https://t.co/SGkWXS7RP4|en|R|1|2
1501963342256214025|18030431|Thu Mar 10 16:49:00 +0000 2022|Nearly 4,000 pounds of fentanyl have been smuggled across our border in 2022 and we are only three months into the… https://t.co/n5SVOYXouH|en|R|5|16
1501678839088529411|18030431|Wed Mar 09 21:58:29 +0000 2022|"That doesn’t help families that are financially hurting TODAY. 

My constituents are paying nearly $4 a gallon to f… https://t.co/sVvKPlPbTE"|en|R|4|14
1501637695398821889|18030431|Wed Mar 09 19:15:00 +0000 2022|Inflation may end up costing American families up to $5,000 more this year. Unacceptable. #Inflationistaxation|en|R|2|5
1501603267087937545|18030431|Wed Mar 09 16:58:11 +0000 2022|While Democrats continue to stay silent on #BidensBorderCrisis,  I introduced the READI Act to prohibit the housing… https://t.co/4ZcCiavtuK|en|R|2|7
1501347032446943236|18030431|Wed Mar 09 00:00:00 +0000 2022|Glad to see President Biden listen to my Republican colleagues and I to ban the importation of Russian oil. The nex… https://t.co/ePwmvumh2p|en|R|3|8
1501283740558970887|18030431|Tue Mar 08 19:48:30 +0000 2022|As Russia continues its barbaric attack, America stands ready to support its NATO allies and stand up to deter Puti… https://t.co/pwImILkDho|en|R|1|3
1501248905647951875|18030431|Tue Mar 08 17:30:05 +0000 2022|Banning Russian oil is only the first step, Mr. President. Without reopening domestic oil production, you are furth… https://t.co/ROpM0M3Hcp|en|R|5|15
1501209404053590022|18030431|Tue Mar 08 14:53:07 +0000 2022|In 2021, the U.S. spent approximately $17.5 BILLION on Russian oil imports. We must end our reliance on Russian oil… https://t.co/VqQggEjrgK|en|R|4|12
1500950178915831811|18030431|Mon Mar 07 21:43:03 +0000 2022|Upset about the increasing gas prices? You can thank President Biden who has waged a war on America’s oil and gas s… https://t.co/EVmCHCoYJh|en|R|7|27
1500891414900711425|18030431|Mon Mar 07 17:49:33 +0000 2022|“Russia's horrific invasion of Ukraine demonstrates how critical it is that we stop relying on foreign oil products… https://t.co/PqeHuHWOeT|en|R|1|5
1500837794696024069|18030431|Mon Mar 07 14:16:29 +0000 2022|"ICYMI: The Verdict is out on Ukraine, our national defense, and assisting Central Texans. 

Read my latest E-newsle… https://t.co/VHGXFKk7iO"|en|R|2|1
1500509008657928192|18030431|Sun Mar 06 16:30:00 +0000 2022|"My office recently assisted TX-31 resident, Diego Bullara, with the IRS to receive his tax return! 

If you need he… https://t.co/nRYYmb6m3p"|en|R|1|4
1500214567527325697|18030431|Sat Mar 05 21:00:00 +0000 2022|Over 2 million illegal immigrants have crossed our border since Biden took office. That’s more than double the enti… https://t.co/wONDb4RhAO|en|R|3|13
