created_at|id|text|user|lang|label
Thu Mar 03 23:57:30 +0000 2022|1.4995344636797993e+18|I have so much respect for the incredibly brave people in Russia who are risking so much by being out in the street… https://t.co/CsNfoSvTel|216776631.0|en|Democratic Party
Thu Mar 03 16:09:00 +0000 2022|1.4994165596215992e+18|Worker productivity is up 62% since the 1970s, yet wages have barely budged in the same period — meanwhile, CEOs in… https://t.co/lCW1dr4o2P|216776631.0|en|Democratic Party
Wed Mar 02 18:34:13 +0000 2022|1.4990907160851702e+18|The 30 Major League Baseball owners are worth over $100 billion. The value of their teams increased by more than $4… https://t.co/37Eh3jeSJy|216776631.0|en|Democratic Party
Wed Mar 02 15:05:14 +0000 2022|1.4990381251207946e+18|Congratulations to @GregCasar on winning your primary in TX-35! Greg will be a progressive force for the people, re… https://t.co/sN691VOtWp|216776631.0|en|Democratic Party
Tue Mar 01 21:43:11 +0000 2022|1.4987758840183685e+18|Putin is not only an autocrat who initiated an illegal &amp; immoral war against Ukraine, he's the leader of an oligarc… https://t.co/B0U1Ge4Dej|216776631.0|en|Democratic Party
Tue Mar 01 18:15:00 +0000 2022|1.4987234928623043e+18|It is no great secret that we have a broken criminal justice system in this country. @MerrittForTexas has the coura… https://t.co/XXuroPAumb|216776631.0|en|Democratic Party
Tue Mar 01 12:16:57 +0000 2022|1.4986333878875832e+18|"TEXAS: today you've got the chance to vote for bold leaders who will fight for the needs of working people.

In TX-… https://t.co/ZazEhTawPn"|216776631.0|en|Democratic Party
Mon Feb 28 20:41:10 +0000 2022|1.4983978919201096e+18|I stand in solidarity with the 1,300 workers at the Hershey's factory in Virginia who are voting to join a union af… https://t.co/w69hbeDg19|216776631.0|en|Democratic Party
Sat Feb 26 22:37:15 +0000 2022|1.497702327658156e+18|At a time when so many Americans are hurting and feel totally powerless, Starbucks workers are taking on corporate… https://t.co/tycyqcCgNZ|216776631.0|en|Democratic Party
Sat Feb 26 16:05:44 +0000 2022|1.497603801108435e+18|Congratulations to the workers in Mesa, Arizona for overwhelmingly voting to form the 3rd union shop at Starbucks.… https://t.co/lTl6A83H4d|216776631.0|en|Democratic Party
Sat Feb 26 01:41:17 +0000 2022|1.4973862514182226e+18|Putin and his oligarch friends don't want you to see these images. Participating in an anti-war march in an authori… https://t.co/fofxJq2wP1|216776631.0|en|Democratic Party
Fri Feb 25 16:40:01 +0000 2022|1.4972500406745047e+18|Today, I stand in solidarity with the Ukrainian people against this war and with the Russian people who are demonst… https://t.co/Gv0HkhIx5P|216776631.0|en|Democratic Party
Thu Feb 24 20:47:15 +0000 2022|1.4969498710388408e+18|Putin, a multi-billionaire, is the poster boy for greed and oligarchy. Maybe, before starting a war that could kill… https://t.co/SmCOFGZFgJ|216776631.0|en|Democratic Party
Thu Feb 24 19:28:48 +0000 2022|1.4969301275606426e+18|Ice cream cakemakers at Jon Donaire bakery went on strike four months ago. They stood up to corporate greed, fought… https://t.co/ICupod5f2z|216776631.0|en|Democratic Party
Thu Feb 24 02:07:28 +0000 2022|1.4966680684073042e+18|You and the work you are doing are an inspiration to so many of us. Thank YOU to the workers who are organizing eve… https://t.co/Hl6U7Jwh40|216776631.0|en|Democratic Party
Thu Feb 24 01:59:00 +0000 2022|1.4966659348781875e+18|"If you start a job at Starbucks tomorrow, are you going to make a livable wage? ""Absolutely not.""

Will you be able… https://t.co/T8Qj8z6QGH"|216776631.0|en|Democratic Party
Thu Feb 24 01:51:55 +0000 2022|1.4966641536621404e+18|Let me say a word to the younger generation. You have had it tough — but in my humble opinion, you are a great gene… https://t.co/OoiM374NUA|216776631.0|en|Democratic Party
Thu Feb 24 01:11:58 +0000 2022|1.4966541016267284e+18|The organizing effort at Starbucks is spreading like wildfire. We’re LIVE now with workers who are taking on exactl… https://t.co/uosVI3H5N5|216776631.0|en|Democratic Party
Thu Feb 24 01:02:32 +0000 2022|1.496651724978733e+18|LIVE: Starbucks is doing VERY well. Revenues are up. Profits are up. Even its CEO’s pay is up. So why is the compan… https://t.co/qbgYJ7sSAJ|216776631.0|en|Democratic Party
Wed Feb 23 23:46:48 +0000 2022|1.4966326654323384e+18|Profits at Starbucks are UP and the CEO got a BIG raise last year. But the company is doing all it can to stop work… https://t.co/wkP9TtITtE|216776631.0|en|Democratic Party
Wed Feb 23 17:44:00 +0000 2022|1.49654136396109e+18|"It is no small feat to stand up to an enormous corporation like Starbucks and to say, ""you know what? I deserve dig… https://t.co/XIL0VDx8FL"|216776631.0|en|Democratic Party
Tue Feb 22 22:54:00 +0000 2022|1.496256990066086e+18|Starbucks workers should be able to form a union without fear of being fired. End of discussion.|216776631.0|en|Democratic Party
Tue Feb 22 17:50:59 +0000 2022|1.4961807335761592e+18|"Take a look around the economy today.

McDonald's: profits up 59%. They're raising prices.

Starbucks: record profi… https://t.co/o9Zk1l84gT"|216776631.0|en|Democratic Party
Mon Feb 21 23:32:43 +0000 2022|1.495904346617389e+18|Workers at Starbucks have ignited a nationwide movement united in the struggle for dignity and respect on the job.… https://t.co/K9eAwKLs1N|216776631.0|en|Democratic Party
Mon Feb 21 16:43:20 +0000 2022|1.4958013230774436e+18|Meanwhile, real wages for the working class of this country have barely budged in 50 years. https://t.co/J67GP66EbD|216776631.0|en|Democratic Party
Sun Feb 20 17:54:02 +0000 2022|1.4954567253606482e+18|"Think the Gilded Age is 'ancient history'? WRONG.

The average American worker produces far more today than they di… https://t.co/UewtQhkS1q"|216776631.0|en|Democratic Party
Sat Feb 19 23:17:35 +0000 2022|1.495175761032102e+18|Many millions of Russians and Ukrainians died during World War II. The Russian and Ukrainian people do not need a n… https://t.co/7WugN33z7w|216776631.0|en|Democratic Party
Sat Feb 19 18:29:38 +0000 2022|1.495103298633937e+18|This is what the war on women's rights looks like. They want to take us back to the 19th century. https://t.co/EGEj7UfRm3|216776631.0|en|Democratic Party
Fri Feb 18 20:53:39 +0000 2022|1.4947771516813517e+18|A corrupt political system is 745 billionaires becoming $2.1 trillion richer during the pandemic, while 3.7 million… https://t.co/XvD1LRcSCb|216776631.0|en|Democratic Party
Fri Feb 18 03:02:00 +0000 2022|1.4945074625101373e+18|Good. Now cancel the remaining $1,883,214,046,704 for 44,984,000 other Americans who are still drowning in student… https://t.co/EVt7QCrMJs|216776631.0|en|Democratic Party
Thu Feb 17 22:31:00 +0000 2022|1.4944392628711752e+18|"It is not a luxury to be able to hear the world around you.

It is not a luxury to keep teeth in your mouth.

It is… https://t.co/ol96BfImdF"|216776631.0|en|Democratic Party
Thu Feb 17 21:44:18 +0000 2022|1.4944275111696302e+18|I’m endorsing Lee Merritt for Texas Attorney General because he understands that our broken criminal justice system… https://t.co/THkp1zVZwn|216776631.0|en|Democratic Party
Thu Feb 17 19:44:00 +0000 2022|1.4943972357898936e+18|"7 out of 10 millennials in this country are living paycheck to paycheck.
6 out of 10 millennials could not afford t… https://t.co/1EuRSvDGwF"|216776631.0|en|Democratic Party
Thu Feb 17 18:56:12 +0000 2022|1.4943852097516134e+18|If we do not summon the courage to take on corporate greed, if we do not summon the courage to stand up to the mone… https://t.co/gdgcnXCrcm|216776631.0|en|Democratic Party
Thu Feb 17 16:15:01 +0000 2022|1.4943446430473134e+18|How is it that Warrior Met can afford $1.5 BILLION in stock buybacks, but somehow they cannot manage to afford to t… https://t.co/qtYKNgWyYI|216776631.0|en|Democratic Party
Wed Feb 16 20:48:05 +0000 2022|1.4940509741508895e+18|Here is the economic situation in America today. Desperate workers who live paycheck to paycheck are forced to go t… https://t.co/FtLRJZeG79|216776631.0|en|Democratic Party
Tue Feb 15 21:12:47 +0000 2022|1.49369480392149e+18|Hear me out, because this is a far-out concept... what if instead we just made the wealthy and huge corporations pa… https://t.co/eiTk9mSaQ0|216776631.0|en|Democratic Party
Tue Feb 15 17:57:00 +0000 2022|1.4936455327108588e+18|.@GregCasar understands that what we need in the Congress in this moment in history are leaders who are willing to… https://t.co/RfTqAFbMEG|216776631.0|en|Democratic Party
Tue Feb 15 17:35:38 +0000 2022|1.493640155919528e+18|"We need @JCisnerosTX in the Congress to fight for decent-paying jobs and an economy that works for all of us.

Texa… https://t.co/AAwqg5CrAD"|216776631.0|en|Democratic Party
Tue Feb 15 15:52:00 +0000 2022|1.4936140754561516e+18|When you think about income and wealth inequality, it is less about the fact that billionaires are getting phenomen… https://t.co/oqRbhIrfZ3|216776631.0|en|Democratic Party
Mon Feb 14 22:25:20 +0000 2022|1.4933506736514908e+18|We are living through the most difficult period in our lifetimes. If you feel anxious, depressed, overwhelmed, conf… https://t.co/wLJgVyWfMY|216776631.0|en|Democratic Party
Mon Feb 14 19:08:00 +0000 2022|1.4933010125679288e+18|I am proud to endorse @GregCasar for Congress. Greg is committed to fighting on behalf of this country's working cl… https://t.co/dOEDznDLLp|216776631.0|en|Democratic Party
Mon Feb 14 19:05:41 +0000 2022|1.4933004313882952e+18|I am proud to endorse @JCisnerosTX for Congress. She knows that real change comes from the bottom on up, not the to… https://t.co/spw9B3BLFR|216776631.0|en|Democratic Party
Mon Feb 14 16:29:02 +0000 2022|1.4932610099555328e+18|"Listen to this.

According to a new study, if income for the bottom 90% of this country grew at the same rate as di… https://t.co/W3rShJNPLk"|216776631.0|en|Democratic Party
Sun Feb 13 19:09:10 +0000 2022|1.492938921164034e+18|"If you are an American in need of Advair Diskus for your asthma, you can expect to pay $1,277.
In Canada? $378.

If… https://t.co/rEpwjVTMyi"|216776631.0|en|Democratic Party
Sat Feb 12 20:06:03 +0000 2022|1.49259084569822e+18|A handful of giant Wall Street firms now control over $20 trillion in assets and many hundreds of companies. Never… https://t.co/N3lickj41k|216776631.0|en|Democratic Party
Fri Feb 11 22:37:00 +0000 2022|1.492266445547344e+18|I don't know how you bring about change without fighting for it — I don't think you do. There is always struggle. A… https://t.co/Vu1wDmdNzu|216776631.0|en|Democratic Party
Fri Feb 11 19:42:00 +0000 2022|1.492222405288153e+18|"From 1979-2020:
Wages for the top 1%:  ⬆️ 179%
Wages for the top 0.1%: ⬆️ 389%
Wages for the bottom 90%: ⬆️ 28%

Wh… https://t.co/Dhe3NiY0Th"|216776631.0|en|Democratic Party
Thu Feb 10 20:55:00 +0000 2022|1.49187838852454e+18|Taking on the greed of the pharmaceutical industry and lowering the cost of prescription drugs — not a radical idea… https://t.co/LlQxp1IEK8|216776631.0|en|Democratic Party
Thu Feb 10 18:41:05 +0000 2022|1.4918446886005228e+18|The problem is not that a low-income worker got a 50 cent raise two weeks ago and a $1,400 check last year. The pro… https://t.co/NTxJD2pgdk|216776631.0|en|Democratic Party
Thu Feb 10 17:53:17 +0000 2022|1.4918326595673825e+18|The most effective way to deliver real power to this country's working class is by rebuilding the trade union movement.|216776631.0|en|Democratic Party
Wed Feb 09 23:31:00 +0000 2022|1.4915552593696317e+18|"You ready for a radical idea?

Maybe — JUST MAYBE — the Congress can begin to represent the needs of the people of… https://t.co/kwvuhOxzGp"|216776631.0|en|Democratic Party
Wed Feb 09 22:54:00 +0000 2022|1.4915459481741435e+18|"How many people in our country have to die?
How many of our people need to get unnecessarily sicker for Congress to… https://t.co/VZWKRxwKLr"|216776631.0|en|Democratic Party
Wed Feb 09 22:44:00 +0000 2022|1.4915434315160207e+18|How much has Big Pharma spent lobbying members of the Republican and Democratic parties? $4.5 BILLION — that's bill… https://t.co/ZHyURMgxeH|216776631.0|en|Democratic Party
Wed Feb 09 22:39:39 +0000 2022|1.4915423388706488e+18|"For decades, members of Congress have bemoaned the high price of prescription drugs.

They've given speech after sp… https://t.co/UVHiFRjWUU"|216776631.0|en|Democratic Party
Wed Feb 09 18:40:00 +0000 2022|1.4914820272873636e+18|War is a horror. We must do everything humanly possible to avoid it. https://t.co/CzrkxhE1Fp|216776631.0|en|Democratic Party
Wed Feb 09 15:58:00 +0000 2022|1.491441258186879e+18|You see it over and over. A corporation is greedy, treats its workers poorly. Those workers organize and form a uni… https://t.co/qfiSpgKqsf|216776631.0|en|Democratic Party
Wed Feb 09 00:06:33 +0000 2022|1.4912018210119516e+18|"Think about this. A diabetic mom in Detroit, Michigan spends upwards of $300 for one vial of insulin.

Just 7 miles… https://t.co/nQVwdWjx3N"|216776631.0|en|Democratic Party
Tue Feb 08 19:40:00 +0000 2022|1.4911347390126285e+18|I get concerned when I hear the familiar drumbeats in Washington demanding we ‘show strength’, when we’re faced wit… https://t.co/xNFFS12jjl|216776631.0|en|Democratic Party
Tue Feb 08 16:35:07 +0000 2022|1.4910882111077745e+18|If Jeff Bezos can afford to dismantle a bridge in Europe so that his $500 million, 417-foot mega-yacht can get to t… https://t.co/4FfRrPySsX|216776631.0|en|Democratic Party
Mon Feb 07 21:40:00 +0000 2022|1.4908025495065108e+18|Question. Why is it that in the United States, a diabetic person who paid ~$90 for a vial of Humalog insulin in 200… https://t.co/qZ0VtFl8Er|216776631.0|en|Democratic Party
Mon Feb 07 19:12:45 +0000 2022|1.4907654941604413e+18|This is what a corrupt political system looks like. This is why billionaires get richer. This is what Oligarchy is… https://t.co/7VM1FGIy0Y|216776631.0|en|Democratic Party
Mon Feb 07 15:14:00 +0000 2022|1.4907054094470144e+18|"True tax rate for the 25 richest people in the United States: 3.4%
Average tax rate for a nurse: 24%

You know what… https://t.co/F7OfjMihN1"|216776631.0|en|Democratic Party
Sun Feb 06 18:35:42 +0000 2022|1.4903937804821586e+18|I have traveled all over this country. I have never met a single person who has told me they love paying the highes… https://t.co/gFL2rhwbvN|216776631.0|en|Democratic Party
Sat Feb 05 15:45:55 +0000 2022|1.4899886668858737e+18|"Cost for one vial of insulin:
🇦🇺: $6.94
🇬🇧: $7.52
🇫🇷: $9.08
🇩🇪: $11
🇨🇦: $12
🇯🇵: $14.40
🇺🇸: $98.70

Why should the A… https://t.co/CHynDfAsN4"|216776631.0|en|Democratic Party
Fri Feb 04 22:58:00 +0000 2022|1.4897350153783992e+18|Here is the truth. A tiny handful of incredibly wealthy individuals exercise enormous control over our economic and… https://t.co/KyYvZYjegx|216776631.0|en|Democratic Party
Fri Feb 04 20:21:00 +0000 2022|1.4896955049465856e+18|"In 2020 alone, the six largest drug companies in the U.S. made nearly $50 BILLION in profits.

The 10 highest-paid… https://t.co/YVOJQYLLuC"|216776631.0|en|Democratic Party
Fri Feb 04 16:58:00 +0000 2022|1.4896444183656817e+18|I do not want you to ever grow comfortable with the fact that half our people are living paycheck to paycheck, stru… https://t.co/ha6XqT0JHV|216776631.0|en|Democratic Party
Thu Feb 03 19:57:00 +0000 2022|1.489327077203583e+18|As you grow old, you should not have to worry about how you're going to afford to keep teeth in your mouth. We must… https://t.co/CzUkCvkHXl|216776631.0|en|Democratic Party
Thu Feb 03 15:14:06 +0000 2022|1.489255883766829e+18|When you've got 1,500 Big Pharma lobbyists on Capitol Hill for 535 members of Congress, it's not too hard to figure… https://t.co/048ptPjpXM|216776631.0|en|Democratic Party
