id|user|created_at|text|lang|label|retweet_count|favorite_count
1519672665954557953|936626346553413633|Thu Apr 28 13:39:32 +0000 2022|"Early voting begins TODAY in North Carolina for the May 17 primary election. 

Find early voting locations and hours by visiting https://t.co/gBrgvjFCr7."|en|D|10|18
1519421618606518277|936626346553413633|Wed Apr 27 21:01:58 +0000 2022|I’m proud to earn the endorsement of @ncae! https://t.co/MBCfL9WA2s|en|D|0|4
1518241753156960257|936626346553413633|Sun Apr 24 14:53:36 +0000 2022|It was a pleasure to visit Yanceyville this week and meet with local elected officials. I look forward to being in the area again soon! https://t.co/wuHpaMupTk|en|D|3|5
1517147653577994240|936626346553413633|Thu Apr 21 14:26:02 +0000 2022|It was great to join the @UNCGDemocrats at their meeting last night to discuss health care, LGBTQ rights, and organizing ahead of the 2022 election. https://t.co/A9PymonKNO|en|D|1|7
1513591383185145858|936626346553413633|Mon Apr 11 18:54:41 +0000 2022|Randall and I enjoyed opening weekend at the Grasshoppers stadium! https://t.co/6bXdRTxs1i|en|D|1|19
1508478567830671362|936626346553413633|Mon Mar 28 16:18:11 +0000 2022|It was another great weekend in #NC06! I was glad to join the @ForsythDemsNC for their convention and the Democratic Women of Guilford County for their first in-person meeting in a while. I enjoyed seeing so many friends, old and new. https://t.co/FP0rAuyk4T|en|D|4|16
1505908439071006723|936626346553413633|Mon Mar 21 14:05:24 +0000 2022|It was my pleasure to join @thegcdp and @RockNCDems for their county conventions this weekend! #NC06 https://t.co/WXQC4KKgIi|en|D|1|5
1505623377834348556|936626346553413633|Sun Mar 20 19:12:41 +0000 2022|I am saddened by the loss of former NC State Senator Linda Garrou, a true champion for education and for our region. Even after retiring from the General Assembly, Linda stayed very active in Democratic politics and worked on important issues and helped elect good candidates.|en|D|12|46
1500963186929016834|936626346553413633|Mon Mar 07 22:34:44 +0000 2022|"The race for #NC06 is on!

If you can, please consider donating ➡️ https://t.co/BO3Tm6Ii7N https://t.co/LGWfoPPZW7"|en|D|10|29
1499448023281291271|936626346553413633|Thu Mar 03 18:14:01 +0000 2022|"It's official! Today, I filed to run for re-election in #NC06. Representing you in Congress is one of the greatest honors of my life. 

This is going to be a tough but winnable race. If you're able, please consider chipping in to the campaign ➡️
https://t.co/BO3Tm6Ii7N https://t.co/Yv6XKMoftc"|en|D|12|38
