id|user|created_at|text|lang|label|retweet_count|favorite_count
1519496623444807680|926446070812602371|Thu Apr 28 02:00:00 +0000 2022|"Your congressional offices on Rota, Tinian &amp; Saipan are looking for SUMMER INTERNS.

Apply at:
https://t.co/7n8r5TU5Pj https://t.co/cBcpT9kSD0"|en|D|0|1
1519068454225125377|926446070812602371|Tue Apr 26 21:38:37 +0000 2022|Mr. Chit Acollador, of Tinian, will be going to the Air Force Academy Prep School in Colorado Springs in the fall. I nominated Mr. Acollador to the academy. Chit &amp; his proud parents, Rosalyn &amp; Edgar Acollador, met with me on Tinian last week. Congratulations, Chit! https://t.co/KuU3zGZKPK|en|D|2|7
1518707673486835713|926446070812602371|Mon Apr 25 21:45:00 +0000 2022|The AP English students at Southern High are, by definition, avid readers. I dropped off new reading material for their school library on Thursday as part of my continuing Let’s Read! initiative &amp; stayed to talk with the students &amp; teacher Paul Miura about current issues. https://t.co/dvGi5hotar|en|D|1|4
1517571681610567681|926446070812602371|Fri Apr 22 18:30:58 +0000 2022|Happy Earth Day, Marianas! 🌏 https://t.co/BVfVMAneQW|en|D|1|8
1517322299321425921|926446070812602371|Fri Apr 22 02:00:01 +0000 2022|"This coming May is Asian and Pacific Islander Heritage Month. In celebration, I am launching the second annual API Heritage Month Essay Contest for middle school and high school students. 

For more information and to participate, visit https://t.co/XQ7NW85gEz https://t.co/ox3NBOqcaH"|en|D|0|3
1516959910151421952|926446070812602371|Thu Apr 21 02:00:00 +0000 2022|"This spring, I invite high school students in the Northern Marianas to create art and submit their work for a chance to have it displayed at the U.S. Capitol for one year.

The deadline for the Congressional Art Competition is May 4.

For more:
https://t.co/Aa946tpgpY https://t.co/cSQiqxSik2"|en|D|0|0
1516684341010571270|926446070812602371|Wed Apr 20 07:45:00 +0000 2022|This #EarthWeek, read about how NOAA Ship Rainier is collecting different forms of data along our Marianas Archipelago. https://t.co/MBojRdkGoQ|en|D|0|0
1516597521920892929|926446070812602371|Wed Apr 20 02:00:00 +0000 2022|"Your congressional offices on Rota, Tinian &amp; Saipan are looking for SUMMER INTERNS.

Apply at:
https://t.co/7n8r5TU5Pj https://t.co/JUfy4NPuuU"|en|D|2|3
1516178395075424266|926446070812602371|Mon Apr 18 22:14:33 +0000 2022|Raena Celis, Lorenza Duenas, Jean Olopai-Rabauliman, &amp; Landon, Christian, &amp; Sylvan Igisomar visited their D.C. office Friday. The 3 ladies are from the NMI Dept. of Fish &amp; Wildlife &amp; have been in training at the National Conservation Training Center in Shepardsville, WV. https://t.co/TNgAlv0UTa|en|D|1|4
1515434861661548544|926446070812602371|Sat Apr 16 21:00:01 +0000 2022|Happy Easter, Marianas! https://t.co/RoErRiDa5w|en|D|1|7
1514468490572226561|926446070812602371|Thu Apr 14 05:00:00 +0000 2022|"This spring, I invite high school students in the Marianas to create &amp; submit artwork for a chance to have their art displayed at the U.S. Capitol for one year.

This year's deadline for submissions is May 4. 

For more information:
https://t.co/DjMIQOdAeD https://t.co/eI26LXU1MM"|en|D|2|3
1514423196245655553|926446070812602371|Thu Apr 14 02:00:01 +0000 2022|"Businesses impacted by the pandemic - who applied for but weren't awarded funds - have a 2nd chance under legislation passed by the House Thurs. HR 3807, which I cosponsored, provides $42B to replenish the Restaurant Revitalization Fund.

Read more:
https://t.co/BL0ZjwA0UX https://t.co/zErLYaMEEX"|en|D|2|6
1514411096676835328|926446070812602371|Thu Apr 14 01:11:56 +0000 2022|"This coming May is Asian and Pacific Islander Heritage Month. In celebration, I am launching the second annual API Heritage Month Essay Contest for middle school and high school students. 

For more information and to participate, visit https://t.co/XQ7NW85gEz https://t.co/cb3me2CVKi"|en|D|1|2
1514106105743302658|926446070812602371|Wed Apr 13 05:00:00 +0000 2022|".@NOAAFisheries announces an art competition for grades K-12.

Submit a painting, drawing, sculpture or digital illustration featuring protected marine species from the Pacific region.

Deadline for students in the Marianas &amp; Guam: 7:59PM ChST on May 14, 2022. https://t.co/uhjQne51dU"|en|D|0|2
1514060810154385411|926446070812602371|Wed Apr 13 02:00:01 +0000 2022|"In honor of #SchoolLibraryMonth I encourage all in the Marianas to grab a book, magazine, or newspaper &amp; read! Currently, I'm reading ""Women in Congress,"" which contains biographies of the women who served in Congress throughout American History. 

#WakeUpAndReadCNMI https://t.co/fYgStGTit4"|en|D|0|5
