id|user|created_at|text|lang|label|retweet_count|favorite_count
1520503978315988992|1029094268542099457|Sat Apr 30 20:42:52 +0000 2022|"Joe Biden says he's 'not concerned' about a recession.

He said the same thing about inflation last July."|en|R|273|1331
1520450805219876864|1029094268542099457|Sat Apr 30 17:11:35 +0000 2022|"Joe Biden lied about Hunter Biden.

He lied about Afghanistan. 

He lied about inflation.

He lied about the border crisis.

The DHS' 'Disinformation Governance Board' needs to fact-check their own boss."|en|R|359|1233
1520138687832641536|1029094268542099457|Fri Apr 29 20:31:20 +0000 2022|I have a finance degree, but apparently I'll be paying for a gender studies degree too.|en|R|229|1906
1520117076488331265|1029094268542099457|Fri Apr 29 19:05:28 +0000 2022|"Stimulus checks weren't ""free.""

Student loans won't be ""canceled.""

Taxpayers will get the bill."|en|R|387|1918
1520053691604160512|1029094268542099457|Fri Apr 29 14:53:35 +0000 2022|"Joe Biden is blaming 'technical factors,' Putin, COVID, and 'global inflation' for the U.S. economy shrinking. 

The American people blame him."|en|R|184|729
1520011925274439680|1029094268542099457|Fri Apr 29 12:07:38 +0000 2022|The border is so secure that DHS Secretary Mayorkas has time to create a ‘Disinformation Governance Board.’|en|R|294|1214
1519730956894154753|1029094268542099457|Thu Apr 28 17:31:10 +0000 2022|"Joe Biden agreed to pay Hunter's $800,000 legal fee bill for his deal with a Chinese government-controlled company.

Remember this when Joe says he 'never' talked to his son about overseas business dealings."|en|R|508|1547
1519638512773050368|1029094268542099457|Thu Apr 28 11:23:49 +0000 2022|"Dr. Fauci finally admitted the United States is 'out of the pandemic phase.'

So why is Joe Biden still trying to force Americans to mask on planes?"|en|R|425|2275
1519371622003748865|1029094268542099457|Wed Apr 27 17:43:17 +0000 2022|The murders of Black Americans are up 32% and the companies that supported Black Lives Matter are silent.|en|R|355|1399
1519302593184505856|1029094268542099457|Wed Apr 27 13:09:00 +0000 2022|"Jen Psaki claims a wall was 'never going to work.'

Then why did illegal crossings drop 87% where President Trump's border wall was built?"|en|R|4740|28480
