id|user|created_at|text|lang|label|retweet_count|favorite_count
1507417454129168392|40282700|Fri Mar 25 18:01:42 +0000 2022|"The @GOP is the only party that can ensure our children are able to achieve the American Dream.

It’s time for Hisp… https://t.co/FqHHkg6rhO"|en|R|12|31
1507413249527988226|40282700|Fri Mar 25 17:44:59 +0000 2022|"MENTIRA. Where else have people starved? Communist countries like China, the USSR, North Korea, etc.

Cuba can trad… https://t.co/DWaqg7wsEh"|en|R|7|18
1507413054241259531|40282700|Fri Mar 25 17:44:13 +0000 2022|¡MENTIRA! ¿Dónde han muerto de hambre más personas? En países comunistas como China, la URSS, Corea del Norte, etc.… https://t.co/URiieoM6nm|es|R|34|55
1507405599528603658|40282700|Fri Mar 25 17:14:35 +0000 2022|"El Partido Republicano asegura que nuestros hijos vivan el Sueño Americano.

¡Es hora de que los hispanos considere… https://t.co/P1tSdJ1GP6"|es|R|36|83
1507106710636400642|40282700|Thu Mar 24 21:26:55 +0000 2022|Apagones a cualquier hora, largas filas de carros para poner gasolina y kilométricas multitudes para comprar comida… https://t.co/e25YjwT2z7|es|R|73|186
1507049060552818690|40282700|Thu Mar 24 17:37:50 +0000 2022|#RedTsunami coming to Congressional districts near you this November 🇺🇸🐘 https://t.co/x57OFF3aDQ|en|R|20|72
1506722070482276361|40282700|Wed Mar 23 19:58:29 +0000 2022|I heard today was #NationalPuppyDay… say hi to Ollie Bear! 🐶🐾 https://t.co/QYImArNzxt|en|R|5|35
1506721886146899968|40282700|Wed Mar 23 19:57:45 +0000 2022|Escuché que hoy es el #DíaNacionaldelCachorro… ¡Saluda a Ollie Bear! 🐶🐾 https://t.co/cJJbnekvVE|es|R|12|80
1506703446065434632|40282700|Wed Mar 23 18:44:29 +0000 2022|Always happy to be of service! Congratulations on a great year. #PinecrestProud 🌴 https://t.co/dqWUgOqoqj|en|R|4|9
1506700482265419781|40282700|Wed Mar 23 18:32:42 +0000 2022|"¡Quien no tiene ""validez"" aquí es el sátrapa que se robó descaradamente las elecciones y tiene en ruinas al país! https://t.co/NY5QvfdO94"|es|R|54|121
1506684325391212549|40282700|Wed Mar 23 17:28:30 +0000 2022|"I’ve said it before and I’ll say it as often as needed: Anti-Semitism has absolutely NO place in our society.

My p… https://t.co/knZx4Tqm4r"|en|R|11|19
1506665548620484611|40282700|Wed Mar 23 16:13:53 +0000 2022|¡Ortega es capaz de hacer muchas cosas, pero jamás podrá ocultar la verdad, que siempre saldrá a la luz!… https://t.co/ZTIoeEt9Ev|es|R|67|152
1505561256983420930|40282700|Sun Mar 20 15:05:50 +0000 2022|"TODAY @ 11:30 AM 📺

I'll be on @WPLGLocal10 with Michael Putney and Glenna Milberg to discuss my Dignity Act and la… https://t.co/sruMDPUy2k"|en|R|17|51
1505001850742915073|40282700|Sat Mar 19 02:02:57 +0000 2022|"Absolutely heartbroken to hear of the passing of my good friend @DonYoungAK. 

Alaskans and the American people wil… https://t.co/3O6EZOaK5k"|en|R|20|61
1504894264261677059|40282700|Fri Mar 18 18:55:26 +0000 2022|Absolutely heartbreaking. The sacrifices our officers make to keep us safe is something we can never take for grant… https://t.co/KnNjUxlDN9|en|R|10|31
1504860664153653249|40282700|Fri Mar 18 16:41:55 +0000 2022|El sector privado se mueve con más rapidez que la Administración, buscando alternativas en aliados democráticos y n… https://t.co/kVM6eP7YqM|es|R|20|70
1504588558157463563|40282700|Thu Mar 17 22:40:40 +0000 2022|Immigration reform isn’t a laughing matter. My #DignityAct has one of the strongest border security measures in the… https://t.co/TpHFkGyVzr|en|R|42|142
1504569545801048077|40282700|Thu Mar 17 21:25:07 +0000 2022|Great news! This is exactly what I’ve been suggesting for over a week now. We should be working with our democratic… https://t.co/ihzbsSZs1b|en|R|10|49
1504506234111680514|40282700|Thu Mar 17 17:13:33 +0000 2022|Biden quiere acercarse a Maduro, quien no es reconocido como legítimo por EE. UU. ¿Tiene sentido esta negociación?… https://t.co/HD0NUcJPGG|es|R|30|83
1504487231997853697|40282700|Thu Mar 17 15:58:02 +0000 2022|The U.S. needs to give Zalenskyy the tools he needs to defend Ukraine's airspace, and it should've been done a LONG… https://t.co/IavrqCk0Kq|en|R|49|180
1504261542874857474|40282700|Thu Mar 17 01:01:14 +0000 2022|"Chag Purim Sameach!

Wishing everyone a very happy #Purim! 

Whichever way you are celebrating this year, Purim is… https://t.co/kp1BDlmVOH"|en|R|19|60
1504255348449984516|40282700|Thu Mar 17 00:36:37 +0000 2022|Glad I could talk to @TuckerCarlson on @FoxNews tonight despite our differences. Looking forward to being back! 😉 https://t.co/Vttm3vZ17r|en|R|118|983
1504212918442811396|40282700|Wed Mar 16 21:48:01 +0000 2022|"🚨 TONIGHT @ 8 PM 

Tune in to @FoxNews where I'll be discussing Ukraine, immigration, and my agenda in Congress wit… https://t.co/kj1TQWGV8t"|en|R|38|154
1504189045009797128|40282700|Wed Mar 16 20:13:09 +0000 2022|🇨🇴Gustavo Petro no solo ha tenido vínculos con terroristas en América Latina sino también con marxistas dentro del… https://t.co/U4vx8Ox1Xs|es|R|1289|1688
1504113638222802951|40282700|Wed Mar 16 15:13:31 +0000 2022|"“Ser el líder del mundo significa ser el líder de la paz”. — Volodymyr Zelensky

Gracias, presidente Zelensky, por… https://t.co/zqxu78wlS0"|es|R|91|279
1504113598771122185|40282700|Wed Mar 16 15:13:21 +0000 2022|"“Being the leader of the world means being the leader of peace.” — Volodymyr Zelenskyy

Thank you, President Zelens… https://t.co/nNx0KJUsmh"|en|R|36|85
1503833087184093190|40282700|Tue Mar 15 20:38:42 +0000 2022|Cuando se hable de periodistas comprometidas con la libertad de Cuba y fuertes defensoras de la democracia en esta… https://t.co/dzAGAQeA3d|es|R|21|86
1503763999237844994|40282700|Tue Mar 15 16:04:10 +0000 2022|My heart goes out to the family and friends of Pierre Zakrzewski with @FoxNews. I know from experience that his wor… https://t.co/Mj87gPn7rA|en|R|15|48
1503725257173127168|40282700|Tue Mar 15 13:30:13 +0000 2022|Very glad to see Brazil stepping up and providing more oil than they already do. As I’ve said many times, this is t… https://t.co/I2oiMIC5LP|en|R|24|55
1503518030940327943|40282700|Mon Mar 14 23:46:47 +0000 2022|¡Qué vergüenza que el Congreso de EE. UU. aprobara la Ley #RENACER hace más de cuatro meses y Biden no haya logrado… https://t.co/orKublsGmO|es|R|251|650
1503516344939130887|40282700|Mon Mar 14 23:40:05 +0000 2022|"Cristiana’s only “crime” was running against Daniel Ortega in the presidential elections. This is heartbreaking.

C… https://t.co/ZCOJu8gGmb"|en|R|32|75
1503431515534934021|40282700|Mon Mar 14 18:03:00 +0000 2022|Fue una buena decisión no comprarle más combustible a Putin, pero no debemos ahora beneficiar a Maduro adquiriendo… https://t.co/SeNuqw8ipL|es|R|230|512
