id|user|created_at|text|lang|label|retweet_count|favorite_count
1520552708972892161|361569788|Sat Apr 30 23:56:30 +0000 2022|The Bipartisan Infrastructure Law is delivering for Granite Staters. https://t.co/DLLJM8uxTd|en|D|8|20
1520515152705110016|361569788|Sat Apr 30 21:27:16 +0000 2022|"Today is National Prescription Drug Take Back Day. Don’t let unused prescription drugs fall into the wrong hands. Instead, drop off your unwanted medications at a site near you.
https://t.co/LBKDxCcrA3"|en|D|1|5
1520134620452376576|361569788|Fri Apr 29 20:15:10 +0000 2022|"A new poll shows me down TWO points. Here's why this is concerning:

➡️ I won my last race by 1,017 votes.
➡️ If I lose, Democrats lose the Senate.
➡️ The GOP has spent $7.8 million against me.

I need your support now more than ever. Please chip in today: https://t.co/wyVMD9y14w"|en|D|27|56
1520064563043049474|361569788|Fri Apr 29 15:36:47 +0000 2022|"New Hampshire has the best small businesses in the country, and they're the backbone of our economy. 

I'm committed to working across the aisle to help our small businesses and startups grow."|en|D|12|50
1520028477495431170|361569788|Fri Apr 29 13:13:24 +0000 2022|"I’m fighting to lower energy costs and bring relief to Granite Staters.

I helped secure $2.8 million in Low Income Home Energy Assistance Program funding to support families and to help Granite Staters lower home energy costs."|en|D|29|92
1519803402619916288|361569788|Thu Apr 28 22:19:02 +0000 2022|"I’m fighting for a gas tax holiday to provide Americans relief at the pump.

Mitch McConnell and my Republican opponents think you should pay more."|en|D|21|82
1519750816424472580|361569788|Thu Apr 28 18:50:04 +0000 2022|Allowing Medicare to negotiate drug prices lowers costs and is a commonsense step that would put money back into your pocket.|en|D|38|146
1519694667079720960|361569788|Thu Apr 28 15:06:57 +0000 2022|Today on Workers Memorial Day, we honor those lost or injured while on the job. I will always protect the right to organize and stand up for safe working conditions.|en|D|15|48
1519406255051259904|361569788|Wed Apr 27 20:00:55 +0000 2022|"I'm holding the FDA accountable for its failures to address the substance misuse crisis. 

For years, McKinsey simultaneously worked with the FDA and Big Pharma. Following my oversight, FDA is suspending its contracts with McKinsey. https://t.co/X7V0ICk4QN"|en|D|14|33
1519373085027278850|361569788|Wed Apr 27 17:49:06 +0000 2022|"Our service members deserve a smooth transition to civilian life. I’m working to protect New Hampshire's VA clinics and strengthen access to quality care.
https://t.co/gClSGhMPZb"|en|D|10|25
1519345877906767872|361569788|Wed Apr 27 16:01:00 +0000 2022|High-speed internet is essential to succeed in today's digital economy. I secured funds in the bipartisan infrastructure law to expand access to every corner of New Hampshire.|en|D|20|136
1519075093837758467|361569788|Tue Apr 26 22:05:00 +0000 2022|"Older Granite Staters shouldn't have to worry about losing health insurance once the COVID emergency declaration ends.

Following my calls, the administration will create a new Medicare enrollment period and waive late fees for older Granite Staters with Medicaid."|en|D|13|38
1519028830811439106|361569788|Tue Apr 26 19:01:10 +0000 2022|"If we’re going to outcompete countries like China, we need a robust supply chain.

I helped pass the Bipartisan Infrastructure Law to invest in supply chains &amp; will keep working to level the playing field for American companies like New England Finish Systems."|en|D|24|80
1519002769272758273|361569788|Tue Apr 26 17:17:36 +0000 2022|"When it comes to our service members, party politics shouldn't get in the way.

That's why I'm working across the aisle to strengthen support for service members and veterans during their transition into civilian life. https://t.co/3hKkAHkVaa"|en|D|16|48
1518665896180719616|361569788|Mon Apr 25 18:58:59 +0000 2022|"Young people have bravely changed the conversation around mental health, and I'm committed to supporting their work. 

My bipartisan STANDUP Act, which is now law, will strengthen mental health resources in schools and communities and help prevent youth suicide."|en|D|9|36
1518624756039360518|361569788|Mon Apr 25 16:15:31 +0000 2022|"Across the country, we are seeing an all-out attack on reproductive rights.

We cannot go backward. I will keep fighting to ensure that Americans have the constitutional right to make their own health choices and chart their own destiny."|en|D|100|366
1518282751723589635|361569788|Sun Apr 24 17:36:30 +0000 2022|I'm glad that Republicans and Democrats were able to come together to pass the Postal Service Reform Act and deliver a much-needed win for the U.S.P.S. 📬|en|D|48|221
1518241622856802305|361569788|Sun Apr 24 14:53:05 +0000 2022|I'm wishing everyone who celebrates a joyous Orthodox Easter.|en|D|10|71
1517976818338471943|361569788|Sat Apr 23 21:20:50 +0000 2022|"I know firsthand the difference organizing can make. It was thanks to volunteers knocking doors and making calls that I won my last race by 1,017 votes. 

This year, we can't take anything for granted. Sign up to volunteer today: https://t.co/Pl7ltWGUlU https://t.co/oP4doyPtq4"|en|D|42|105
1517907061744545792|361569788|Sat Apr 23 16:43:39 +0000 2022|Happy birthday @USArmyReserve! Thank you for 114 years of dedicated service.|en|D|10|37
1517632271339171842|361569788|Fri Apr 22 22:31:44 +0000 2022|A gas tax holiday is a commonsense step to get immediate relief to Granite Staters. Let's get this done.|en|D|7|21
1517571995747164161|361569788|Fri Apr 22 18:32:13 +0000 2022|Thanks to the bipartisan infrastructure law, $24.3 million is headed to New Hampshire to modernize and expand public transportation across the state. 🚎 🚉|en|D|50|190
1517538710643953666|361569788|Fri Apr 22 16:19:57 +0000 2022|"From the White Mountains to the Seacoast, New Hampshire is home to some of the most beautiful natural resources in the country. But climate change is threatening our communities. 

This #EarthDay, we must recommit ourselves to protecting our planet for generations to come. 🌎 https://t.co/HwlpilZES2"|en|D|28|89
1517238888846270465|361569788|Thu Apr 21 20:28:34 +0000 2022|Competition from generic drugs will help drive down prescription prices. That's why I'm focused on expanding access to generic drugs.|en|D|13|98
1517180344709140484|361569788|Thu Apr 21 16:35:56 +0000 2022|"BREAKING: A new poll shows me down by two points. 

New Hampshire could decide the Senate majority—can you chip in to close the gap?

https://t.co/DayVrv59kj"|en|D|45|94
1516887542192300033|361569788|Wed Apr 20 21:12:27 +0000 2022|"Today's students are our country's future leaders, and it's important that they have the tools to shoot for the stars. 💫

It was a pleasure to join @NASA Administrator Bill Nelson and astronaut Ricky Arnold at the Christa McAuliffe School in Concord.

https://t.co/ee3ukbAEKe"|en|D|3|17
