id|user|created_at|text|lang|label|retweet_count|favorite_count
1520104663785390080|37094727|Fri Apr 29 18:16:08 +0000 2022|I reminded @SecBlinken that the #Cuban dictatorship has repeatedly used migration as a blackmail tool to achieve concessions from U.S. Administrations they perceive as weak and feckless, as was the case during the Carter, Clinton, and Obama Administrations. https://t.co/EJ2u4Pin2c|en|R|18|33
1520082918403887105|37094727|Fri Apr 29 16:49:44 +0000 2022|A huge congrats to @SenMannyDiazJr for being confirmed as Florida’s next education commissioner. This unanimous confirmation is a testament to Manny’s devotion &amp; dedication to our education system &amp; our students. I look forward to witnessing all the great things he’ll accomplish.|en|R|6|12
1520070987420778499|37094727|Fri Apr 29 16:02:19 +0000 2022|A government dictating what its citizens can and can’t say is insidious and the most dangerous form of censorship– something that can never be accepted or permitted in the United States of America.|en|R|24|81
1519734393006432258|37094727|Thu Apr 28 17:44:49 +0000 2022|During an SFOPS hearing this morning, I expressed deep concern to @SecBlinken regarding the Administration’s meeting with the dictator Maduro in #Venezuela, while the State Dept has a $15 million reward offered for information leading to his arrest and/or conviction. https://t.co/2HFVaWUQDa|en|R|11|15
1519668918381645830|37094727|Thu Apr 28 13:24:38 +0000 2022|The American people &amp; the U.S. economy are HURTING due to Biden’s catastrophic, socialist policies that have created skyrocketing inflation, rising fuel &amp; food prices, an unprecedented border crisis, etc. The Admin must reverse the course for the sake of the future of our nation. https://t.co/Lmnv3pBnXQ|en|R|10|13
1519374012949749761|37094727|Wed Apr 27 17:52:47 +0000 2022|As co-chairs of the Congressional Friends of Egypt Caucus, @Call_Me_Dutch &amp; I recognize 100 years of partnership between the U.S. and Egypt. We hope our countries enjoy another century of partnership to the mutual benefit of the Egyptian &amp; American people. @EgyptEmbassyUSA|en|R|9|11
1518610526867443713|37094727|Mon Apr 25 15:18:58 +0000 2022|America has the power and resources to unleash its energy production, and doing so will lower costs for families and strengthen our energy and national security. #BidenGasHike https://t.co/fR4Dq6MFs5|en|R|19|83
1517493859055456256|37094727|Fri Apr 22 13:21:44 +0000 2022|Es el momento de presionar al régimen, no de ayudar al régimen. #SOSCuba https://t.co/j2h6Bh4309|es|R|68|134
1517193935134863360|37094727|Thu Apr 21 17:29:56 +0000 2022|"Es evidente que estas conversaciones NO son sobre inmigración, sino otro foro para que la Administración Biden le brinde concesiones y legitimidad a la tiranía represiva y anti-americana en La Habana. 
Lea más aquí 👇
https://t.co/Zjfr7uDHri"|es|R|15|24
1517193187768557570|37094727|Thu Apr 21 17:26:58 +0000 2022|La Admin Biden no ha sostenido conversaciones serias y genuinas con nuestros aliados y amigos en la región con respecto a la crisis de inmigración. Sin embargo, ahora, la Admin anuncia que se reunirá con la dictadura terrorista en #Cuba sobre inmigración.|es|R|11|28
