id|user|created_at|text|lang|label|retweet_count|favorite_count
1507497282534584320|7429102|Fri Mar 25 23:18:54 +0000 2022|I'm encouraged to see the TPLF agree to the Ethiopian government's announcement of a ceasefire to facilitate humani… https://t.co/OoZmRf2t8o|en|D|152|416
1507456792460201997|7429102|Fri Mar 25 20:38:01 +0000 2022|Agreed, @BobbyScott – we’re seeing the lowest unemployment claims since 1969 because the American Rescue Plan got A… https://t.co/vdK1ivuKEp|en|D|131|408
1507404377304309760|7429102|Fri Mar 25 17:09:44 +0000 2022|Just met with some folks with the VA Biotech Research Partnership Authority — I’m inspired by the work they’re doin… https://t.co/neI8nVsdov|en|D|9|67
1507379873307926534|7429102|Fri Mar 25 15:32:22 +0000 2022|Just made a stop at the Mayo Bridge to talk about how federal investments are combining to get this bridge the crit… https://t.co/dhNCQeqQ9l|en|D|26|132
1507342371079471113|7429102|Fri Mar 25 13:03:20 +0000 2022|Judge Jackson is eminently qualified, received sterling recommendations, and displayed tremendous composure in her confirmation hearings.|en|D|352|3354
1507107488788725784|7429102|Thu Mar 24 21:30:00 +0000 2022|I’m headed to Richmond tomorrow to talk about how infrastructure &amp; omnibus funding are working together to make Vir… https://t.co/BSeEoDGgZB|en|D|18|113
1507076029797609482|7429102|Thu Mar 24 19:25:00 +0000 2022|While we’re working on stopping Russian aggression, I’m also still concerned about censorship and human rights abus… https://t.co/fnfTcG9POq|en|D|19|115
1507046719074283522|7429102|Thu Mar 24 17:28:32 +0000 2022|"I’m still thinking of Sierra Jenkins and all those touched by the violence in Norfolk this weekend.
https://t.co/Y4d7GiSJwy"|en|D|27|104
1506999777195556866|7429102|Thu Mar 24 14:22:00 +0000 2022|We got my cyber reporting legislation done just as intelligence has started to suggest that Putin is considering ad… https://t.co/B32niyk8CG|en|D|34|256
1506992007180394500|7429102|Thu Mar 24 13:51:07 +0000 2022|The images we've seen out of Ukraine are horrific and it's clear additional repercussions against Russia are needed… https://t.co/Hb9noaaXQS|en|D|34|152
1506738304846229505|7429102|Wed Mar 23 21:03:00 +0000 2022|I’ve enjoyed learning more about Judge Jackson’s qualifications during her hearing: public high school grad, clerke… https://t.co/QfbLtUo9F5|en|D|71|387
1506732960967544836|7429102|Wed Mar 23 20:41:46 +0000 2022|The ACA changed millions of lives, and it’s helping more people than ever. Hear from some of them in this video: https://t.co/MQmTSPYiGF|en|D|61|219
1506722953332932610|7429102|Wed Mar 23 20:02:00 +0000 2022|I’m worried about how gas prices are affecting Virginians, so I’m advocating for an “all of the above” approach to… https://t.co/B8m5jIkyQK|en|D|56|359
1506702319693582336|7429102|Wed Mar 23 18:40:00 +0000 2022|We lost a legend in Madeleine Albright – she was an incredibly accomplished diplomat, a trailblazer for women every… https://t.co/AlVUQoNHPi|en|D|85|694
1506683617585598469|7429102|Wed Mar 23 17:25:41 +0000 2022|Our spending bill contained all sorts of smart investments – like supporting the Head Start program, raising the ma… https://t.co/COlzATQH86|en|D|26|79
1506677403636015104|7429102|Wed Mar 23 17:01:00 +0000 2022|There is evolving intelligence that the Russian government is exploring options for more intense cyber attacks. I c… https://t.co/sxSwnWBOiK|en|D|40|159
1506658993602797573|7429102|Wed Mar 23 15:47:51 +0000 2022|I just introduced a bill alongside @TimKaine that would designate 92,449 acres of the George Washington National Fo… https://t.co/fvEoVdzLK7|en|D|180|1272
1506625197692100613|7429102|Wed Mar 23 13:33:33 +0000 2022|On this day 12 years ago, the Affordable Care Act was signed into law. This law saves lives. It protects those with… https://t.co/xyLY6j0GYj|en|D|70|442
1506376923173343234|7429102|Tue Mar 22 21:07:00 +0000 2022|On the anniversary of the deadly shooting in Boulder last year, I’m thinking of all the lives touched by gun violen… https://t.co/MjROsUfVOv|en|D|30|202
1506345717853425664|7429102|Tue Mar 22 19:03:00 +0000 2022|Those with Alzheimer’s deserve access to the best treatment options we have, but @CMSGov has proposed to restrict c… https://t.co/2TQL8LLNtR|en|D|21|98
1506327598078599170|7429102|Tue Mar 22 17:51:00 +0000 2022|Our intel community has been incredibly helpful and accurate throughout Russia’s invasion of Ukraine – and now they… https://t.co/qligoRFkHy|en|D|51|270
1506318826287345666|7429102|Tue Mar 22 17:16:08 +0000 2022|Today, I spoke alongside @SecRaimondo and @SenToddYoung about the progress we’ve made towards getting our China com… https://t.co/5slIIW0lct|en|D|21|89
1506311995196272642|7429102|Tue Mar 22 16:49:00 +0000 2022|Very humbled by this column. I’ll keep reminding people that Ukrainian people are losing their lives over the basic… https://t.co/nzhJ9g7YXE|en|D|34|114
1506277266623410176|7429102|Tue Mar 22 14:31:00 +0000 2022|I enjoyed hearing about the qualifications of Judge Jackson yesterday, and I look forward to hearing more today thr… https://t.co/sZKUrm4UYu|en|D|16|169
1506256986802950155|7429102|Tue Mar 22 13:10:25 +0000 2022|Glad to see the Senate move forward on the America COMPETES Act last night – I’ve worked hard to secure provisions… https://t.co/CIAYsWZn9S|en|D|54|274
1506026363114774529|7429102|Mon Mar 21 21:54:00 +0000 2022|Bringing American jobs back home. Easing the supply chain and fighting inflation by manufacturing critical semicond… https://t.co/7Ghafqm9yQ|en|D|48|197
1506011011811262464|7429102|Mon Mar 21 20:53:00 +0000 2022|As Russian attacks escalate, we must also think about escalating our military aid to Ukraine. I support extending m… https://t.co/96Mk2p3NJ6|en|D|102|572
1505995660784328704|7429102|Mon Mar 21 19:52:00 +0000 2022|No matter what sport, Virginia teams are always winning! Congratulations to @UVASwimDive and @RMCHoops on their cha… https://t.co/p8T6taKDQh|en|D|7|64
1505977647121240070|7429102|Mon Mar 21 18:40:25 +0000 2022|"Now more than ever, I’m glad we passed cyber reporting legislation a few weeks ago. 

With increasing reports that… https://t.co/ZDqzS6DZPT"|en|D|42|186
1505975550195740674|7429102|Mon Mar 21 18:32:05 +0000 2022|I’ve long pushed for more transparency about climate risks – it’s good for the climate and it’s good for the busine… https://t.co/aNCqvMaTg5|en|D|17|51
1505956905579171842|7429102|Mon Mar 21 17:18:00 +0000 2022|The most important factor in deciding how best to support veterans is listening to real feedback from vets. I’m com… https://t.co/8f0F251iQw|en|D|21|137
1505928708774899714|7429102|Mon Mar 21 15:25:57 +0000 2022|"One thought on diversity of experience on SCOTUS:

There have been 0 justices ever with experience as a public defe… https://t.co/EbnriQLLxc"|en|D|159|496
1505896819221487619|7429102|Mon Mar 21 13:19:14 +0000 2022|A good read from The Daily Progress. I’m thinking every single day about the plight of the Ukrainian people and the… https://t.co/TwWkv0ZBgk|en|D|15|47
1505626981370503173|7429102|Sun Mar 20 19:27:00 +0000 2022|Homeownership is one of the best ways to build wealth, so I was extremely frustrated to hear reports that Wells Far… https://t.co/HdkMV43eZK|en|D|208|702
1505319586324963332|7429102|Sat Mar 19 23:05:31 +0000 2022|Rooting for the #JacketsFamily tonight! https://t.co/9k4CbOuX2E|en|D|6|33
1505315009596899329|7429102|Sat Mar 19 22:47:20 +0000 2022|Gun violence is a tragic epidemic. Thinking of the victims of last night’s shooting in Norfolk, and their families.|en|D|53|331
1505264341779554305|7429102|Sat Mar 19 19:26:00 +0000 2022|I’m thinking of those affected by the violence in Ukraine every day. Every life lost in this senseless invasion is… https://t.co/AVysBnwJzL|en|D|47|399
1504931901521367040|7429102|Fri Mar 18 21:25:00 +0000 2022|Inflation is hurting families, and I’m focused on proposing real solutions. That’s why I’m urging Congress &amp; the Wh… https://t.co/Pwl1RFm5Qv|en|D|30|173
1504901450782019584|7429102|Fri Mar 18 19:24:00 +0000 2022|Russia’s attacks are barbaric. It’s time to take the next step and start sanctioning all complicit in this invasion… https://t.co/LM7oPQG0Bv|en|D|104|481
1504871251684298774|7429102|Fri Mar 18 17:24:00 +0000 2022|Putin is isolated and power-hungry. His attacks frequently target civilians. He is a war criminal, and the U.S. sho… https://t.co/XcrfUnMXKd|en|D|97|533
1504835030031417346|7429102|Fri Mar 18 15:00:04 +0000 2022|Some victories for animals in VA and abroad this week: I announced $1 million for the expansion of a veterinary col… https://t.co/AltnC5gO19|en|D|16|138
1504819969988648968|7429102|Fri Mar 18 14:00:13 +0000 2022|We need to make sure Russia isn’t using crypto to evade sanctions – that’s why I’ve introduced a law to close looph… https://t.co/tynxIOaQuc|en|D|111|497
1504563223688794123|7429102|Thu Mar 17 21:00:00 +0000 2022|Alongside @timkaine, I secured $85 million for VA-specific projects in our recent spending bill: money for local VA… https://t.co/Z4O01u1NJK|en|D|21|184
1504536674818158607|7429102|Thu Mar 17 19:14:30 +0000 2022|It’s unconscionable that there are still vestiges of discrimination in our housing system. I’m joining… https://t.co/Hsxk7SMXLh|en|D|13|52
1504501534306054148|7429102|Thu Mar 17 16:54:52 +0000 2022|Glad to be on this bill with @SenWarren, @SenatorTester, and @SenJackReed – it’s time to make sure our sanctions ar… https://t.co/6le6H2AQGW|en|D|85|440
