id|user|created_at|text|lang|label|retweet_count|favorite_count
1505220168586252296|1393186215466254336|Sat Mar 19 16:30:28 +0000 2022|"Our team is 💪 
Thank you for braving the weather and spreading our message across #OH15 https://t.co/ot6y2ClNOr"|en|R|2|9
1504494869993115657|1393186215466254336|Thu Mar 17 16:28:23 +0000 2022|Thanks to our team Carey volunteers who wished everyone a happy St. Patrick’s Day in downtown Columbus! ☘️☘️☘️ https://t.co/czM5cHAxSm|en|R|2|11
1504438944058032135|1393186215466254336|Thu Mar 17 12:46:10 +0000 2022|Happy #StPatricksDay https://t.co/umhseLL10W|en|R|5|17
1503078744575066114|1393186215466254336|Sun Mar 13 18:41:13 +0000 2022|Had a great time celebrating my birthday with the family at Cimi's Bistro in Grove City. Thank you all for the birt… https://t.co/YNjgFcuDFy|en|R|4|57
1502708740839071744|1393186215466254336|Sat Mar 12 18:10:57 +0000 2022|Thank you, Matilda! https://t.co/XpELkrX1R7|en|R|2|10
1502708626783363072|1393186215466254336|Sat Mar 12 18:10:30 +0000 2022|Thankful for this fantastic team! We’ll be knocking across #OH15 again this weekend. #LeadRight https://t.co/OAUJvGze42|en|R|3|4
1502052880487960577|1393186215466254336|Thu Mar 10 22:44:48 +0000 2022|"As Biden passes the buck, #OH15 families are feeling the pain of #Bidenflation &amp; record high gas prices.

When we t… https://t.co/yuRiLHC1db"|en|R|0|5
1500273806312624138|1393186215466254336|Sun Mar 06 00:55:23 +0000 2022|"I was honored to keynote tonight’s Lincoln Day Dinner hosted by the Morgan County Republican Party. 

Our party is… https://t.co/0JVc3c8aDq"|en|R|4|17
1500164855013289984|1393186215466254336|Sat Mar 05 17:42:27 +0000 2022|"🚪🚪🚪

Thank you to all our volunteers for “knocking” it out of the park today! #OH15 #LeadRight https://t.co/gFqwTUMtCK"|en|R|1|18
1500141953538740227|1393186215466254336|Sat Mar 05 16:11:27 +0000 2022|"Yesterday we filed for re-election, today we are kicking off our grassroots campaign! 

Thank you to everyone who c… https://t.co/lCieHAioBr"|en|R|9|55
1499786754110410752|1393186215466254336|Fri Mar 04 16:40:01 +0000 2022|"Today I filed petitions for re-election in #OH15

I’m proud to have signatures from voters in every county of our d… https://t.co/ZEThWwMtfy"|en|R|6|79
1499454848302997507|1393186215466254336|Thu Mar 03 18:41:09 +0000 2022|Pelosi is not for drilling, she’s for skyrocketing gas prices. https://t.co/QCC46RaozS|en|R|0|7
1499035857336082432|1393186215466254336|Wed Mar 02 14:56:13 +0000 2022|"Biden’s shocking pro-police statement was welcomed last night. Now let’s hold Democrats accountable to it!

You’ll… https://t.co/Tph7ayT9Xe"|en|R|0|4
1497708807685820420|1393186215466254336|Sat Feb 26 23:03:00 +0000 2022|"I had a great time supporting @honorflightcmh today. 

This fantastic organization honors our senior veterans by pr… https://t.co/WJEgSTXODO"|en|R|0|8
1497032027111145472|1393186215466254336|Fri Feb 25 02:13:43 +0000 2022|Thank you @ACECohio for hosting me tonight. It was great to hear about engineering projects across the state and di… https://t.co/EMPJflHJUJ|en|R|2|13
1496620001532559364|1393186215466254336|Wed Feb 23 22:56:28 +0000 2022|Happy .223 day! https://t.co/V3rXqE0oIg|en|R|4|28
1495934036707090434|1393186215466254336|Tue Feb 22 01:30:42 +0000 2022|It was truly an honor to keynote tonight’s Lincoln Day Dinner in my home county. Thank you Clinton County Republica… https://t.co/pbHej1QIWp|en|R|2|21
1495916896343973894|1393186215466254336|Tue Feb 22 00:22:35 +0000 2022|Had a great time at the Fayette County, OH Republican Lincoln Day Dinner! https://t.co/CpI3PVn93r|en|R|1|19
1495775160103841799|1393186215466254336|Mon Feb 21 14:59:22 +0000 2022|Happy Presidents’ Day! https://t.co/IgdPf6U6OS|en|R|3|18
1494342185189359619|1393186215466254336|Thu Feb 17 16:05:15 +0000 2022|"Biden could not be more tone-deaf or out of touch with Ohioans.

Gas prices are at an 8 year high &amp; the average fam… https://t.co/vKsUhmGteQ"|en|R|4|9
1494110876479205381|1393186215466254336|Thu Feb 17 00:46:06 +0000 2022|"I had a great meeting with the Ohio Republican Council of Clubs tonight. 

Republican candidates across central Ohi… https://t.co/VtoxKIqsxd"|en|R|4|21
1493259762741485572|1393186215466254336|Mon Feb 14 16:24:05 +0000 2022|"#TrumpWasRight 

The Clinton campaign paid to infiltrate the White House/Trump Tower and spy on President Trump. Th… https://t.co/n1iTq1tbrk"|en|R|3|10
1492582599197433859|1393186215466254336|Sat Feb 12 19:33:17 +0000 2022|Happy birthday to our first Republican President, Abraham Lincoln! https://t.co/JrmH8UJgju|en|R|3|27
1492142503360966665|1393186215466254336|Fri Feb 11 14:24:30 +0000 2022|"Is you Super Bowl more expensive this year too?

That’s because Democrats intercepted your paycheck.

Inflation ros… https://t.co/CLoEnsp4Sg"|en|R|0|2
1490518489022578694|1393186215466254336|Mon Feb 07 02:51:14 +0000 2022|Happy birthday to President Ronald Reagan! His words ring true today. #RonaldReaganDay https://t.co/TrKUrBQ3sS|en|R|0|21
1489973224758730761|1393186215466254336|Sat Feb 05 14:44:33 +0000 2022|"Gas prices just keep climbing.

Attacking American energy isn’t working, Joe!
https://t.co/VU4pJeBRgx"|en|R|3|10
1489585797682667521|1393186215466254336|Fri Feb 04 13:05:03 +0000 2022|Pelosi wants U.S. Olympians to bow to Communist China https://t.co/b4jT26ftGU|en|R|2|12
1487928609893404673|1393186215466254336|Sun Jan 30 23:19:59 +0000 2022|Who Dey! @Bengals are headed to the Super Bowl! https://t.co/f7CSQKHhor|en|R|4|8
1487257808798167043|1393186215466254336|Sat Jan 29 02:54:28 +0000 2022|Had a great time getting to know my fellow Republicans in Clark county tonight. I look forward to coming back soon! https://t.co/KI7ZhuPBeX|en|R|1|36
1486504736765399040|1393186215466254336|Thu Jan 27 01:02:01 +0000 2022|It was great to see so many friends at the @FranklinCoGOP meeting tonight! https://t.co/zbbRvIZU8d|en|R|4|20
1486377255051964421|1393186215466254336|Wed Jan 26 16:35:27 +0000 2022|"Another Biden border record. 2 million illegal apprehensions in 2021 and the worst December on record. 

The… https://t.co/JlNSvMkEps"|en|R|3|5
1485968068413120512|1393186215466254336|Tue Jan 25 13:29:30 +0000 2022|Keep up the good work, Peter! https://t.co/kOHtiTYke1|en|R|2|34
1485677758239891456|1393186215466254336|Mon Jan 24 18:15:54 +0000 2022|"72% of Americans believe we are headed in the wrong direction. 

Democrat policies are crushing family budgets and… https://t.co/tsBnsI5WJx"|en|R|3|7
1484930193898811392|1393186215466254336|Sat Jan 22 16:45:21 +0000 2022|Absolutely absurd. Only under the Biden Administration… https://t.co/hLr2g6XlM8|en|R|1|8
1484636617876852741|1393186215466254336|Fri Jan 21 21:18:47 +0000 2022|"Human life is precious and must be protected. 

Glad to see so many Pro-Life Americans make the trip to Washington… https://t.co/MNEr1WvWWb"|en|R|0|10
1484274015179091971|1393186215466254336|Thu Jan 20 21:17:56 +0000 2022|"1 year into the Biden Administration.
Are you better off?

Inflation &amp; gas prices are spiking

Drugs &amp; record # of… https://t.co/cw0qNt7nLi"|en|R|4|17
