id|user|created_at|text|lang|label|retweet_count|favorite_count
1344314547071574017|113763245|Wed Dec 30 16:08:58 +0000 2020|Sign the petition to get @SCOTUS to #HearOurCase.  https://t.co/2arXTDJ030|en|R|3|4
1324551560391741442|113763245|Fri Nov 06 03:17:55 +0000 2020|"Thread: Growing up in western Pa, my football coaches taught me to ""play not just through the whistle, but through the echo of the whistle!” They said there’s no quitting. To stay on it, stay on it, stay on it. Don't ever quit! (1/3)"|en|R|12|31
1324004531424894976|113763245|Wed Nov 04 15:04:13 +0000 2020|Thank you western Pennsylvania! I am honored that you have chosen me to be your voice in our nation’s capital. Together, we will keep fighting for freedom, our values, a brighter economic future for our families, and a stronger, more prosperous America.|en|R|10|63
1323617051483791360|113763245|Tue Nov 03 13:24:31 +0000 2020|Today is the day western Pennsylvania! With your support, we can win the most important election of our lifetime. Together, we will choose faith over fear. We will choose freedom over socialism.  We will make America great again, again! https://t.co/ZlVGY369iT|en|R|27|138
1323346249567920128|113763245|Mon Nov 02 19:28:27 +0000 2020|America is the greatest and most noble nation in the history of mankind, and our children should learn the reasons why! https://t.co/dwnoXF61YJ|en|R|3|13
1322745315057950721|113763245|Sun Nov 01 03:40:33 +0000 2020|"They say that 90% of life is showing up, because when you show up, people know you care.  @realDonaldTrump made history tonight in Butler, PA as the first sitting president to visit OUR town.

This president shows up for us. NOW it’s time we show up for him - on Election Day! https://t.co/M6o7LgKqPu"|en|R|123|520
1320744246148780034|113763245|Mon Oct 26 15:09:01 +0000 2020|I am working every day to make prescription drugs more affordable. No one should suffer because their medications are too expensive. https://t.co/bWbkWsSMSp|en|R|1|4
1320119765571162113|113763245|Sat Oct 24 21:47:33 +0000 2020|"Seems that Joe Biden has some explaining to do. He’s taking responsibility for putting together ""the most extensive and inclusive voter fraud organization in the history of American politics.” What? https://t.co/We7hT8Ojcv"|en|R|218|482
1320060298439675904|113763245|Sat Oct 24 17:51:15 +0000 2020|Joe Biden should apologize for insulting millions of Pennsylvanians who support @POTUS @realDonaldTrump. I’m proud to be one of those “chumps” (deplorables?) who will choose to Make America Great Again over the Biden/Harris socialist agenda. https://t.co/MbNs0ucDUu|en|R|251|884
1319655357745123339|113763245|Fri Oct 23 15:02:09 +0000 2020|One of our top priorities should be protecting the right to life for the unborn. I am proud to be their champion and thankful to receive the endorsement of the Pennsylvania Family Council for my pro-life advocacy in our nation’s capital. https://t.co/3uSnV57Qk8|en|R|1|8
1318739656897404928|113763245|Wed Oct 21 02:23:29 +0000 2020|Great night in Erie with @POTUS @realDonaldTrump. He loves Pennsylvania and has fought harder for us than any president in memory. Let’s #KeepAmericaGreat  and Keep Erie Red! https://t.co/i00M6RqBe6|en|R|88|290
1317219351636955143|113763245|Fri Oct 16 21:42:20 +0000 2020|.@POTUS @realDonaldTrump returns to Erie on October 20! I like to say that 90% of life is showing up, because when you show up, people know you care. This president has consistently shown up and fought for hard-working western Pennsylvanians and has never taken us for granted.|en|R|4|8
1316485120644313092|113763245|Wed Oct 14 21:04:46 +0000 2020|"Folks, this is what we are up against in our fight to re-elect @realDonaldTrump.

This is yet another example of Big Tech censoring information it deems insufficiently friendly to their preferred presidential candidate, Joe Biden.

https://t.co/m8MNTcUqMu"|en|R|27|31
1316143271039688705|113763245|Tue Oct 13 22:26:23 +0000 2020|Just arrived in Johnstown for the @realDonaldTrump rally and enthusiasm is off the charts! Lines are long and we can expect a big crowd tonight. PA wants to Keep America Great! https://t.co/KlinuNIgjd|en|R|28|92
