id|user|created_at|text|lang|label
1497787287186251777|50055701|Sun Feb 27 04:14:51 +0000 2022|I join the world in awe of true heroes: the courageous President Zelensky, the brave Ukrainian soldiers, the citize… https://t.co/tZeOJG0fmL|en|Republican Party
1496683277385617412|50055701|Thu Feb 24 03:07:55 +0000 2022|https://t.co/1sVNk4RiJa|und|Republican Party
1495862612105568266|50055701|Mon Feb 21 20:46:53 +0000 2022|Vladimir Putin’s KGB mentality drives his malevolent obsession for repression and regression: he shamelessly abuses… https://t.co/BZiJlNPs21|en|Republican Party
1495763044223365136|50055701|Mon Feb 21 14:11:14 +0000 2022|We unexpectedly had all 5 of our sons and their families come to dinner. What began as a meal for 10 became a meal… https://t.co/yetBIqKHSG|en|Republican Party
1494001531892416514|50055701|Wed Feb 16 17:31:37 +0000 2022|It's nonsensical for the Biden Administration to ask for more money when billions of COVID relief dollars remain un… https://t.co/ThZzjOge5k|en|Republican Party
1489611374930141184|50055701|Fri Feb 04 14:46:42 +0000 2022|Shame falls on a party that would censure persons of conscience, who seek truth in the face of vitriol. Honor attac… https://t.co/1d37lo5DzE|en|Republican Party
1486794351455965188|50055701|Thu Jan 27 20:12:51 +0000 2022|My appreciation for Justice Breyer’s service and scholarship spans decades, from his class on antitrust, which I at… https://t.co/IEaPTD287R|en|Republican Party
1484513922669596678|50055701|Fri Jan 21 13:11:14 +0000 2022|Heartache—but with warm memories—with news of Meat Loaf’s passing. A man of gentle kindness, generous spirit and ex… https://t.co/saD0qggVG0|en|Republican Party
1484217945781940227|50055701|Thu Jan 20 17:35:08 +0000 2022|https://t.co/99q7rlc7So|und|Republican Party
1484019363300708356|50055701|Thu Jan 20 04:26:02 +0000 2022|The Senate voted tonight to preserve the 60 vote, bipartisan approval for legislation, saving the institution itsel… https://t.co/edMaFIRuvy|en|Republican Party
1483488556131794944|50055701|Tue Jan 18 17:16:48 +0000 2022|Arrogant dismissal of China’s genocide of the Uyghurs and other minorities by the billionaire venture capitalist wh… https://t.co/d40qeHpaeO|en|Republican Party
1482065109648351232|50055701|Fri Jan 14 19:00:32 +0000 2022|Putin invaded Ukraine to take Crimea. Inadequate consequences—including Biden lifting Nord Stream 2 sanctions—beget… https://t.co/2g503ad82q|en|Republican Party
1481314847010828289|50055701|Wed Jan 12 17:19:15 +0000 2022|Inflation hits a 40-year high—hurting the middle class and most vulnerable. Just as predicted given Biden and Schum… https://t.co/0ULIzwgjie|en|Republican Party
1480617074343006212|50055701|Mon Jan 10 19:06:33 +0000 2022|Mike Rounds speaks truth knowing that our Republic depends upon it. Republicans like Govs Hutchinson, Baker &amp; Hogan… https://t.co/Za5H3eZeHz|en|Republican Party
1479086160127442949|50055701|Thu Jan 06 13:43:15 +0000 2022|https://t.co/79087zwELK|und|Republican Party
1478118812499251202|50055701|Mon Jan 03 21:39:21 +0000 2022|They are in fact related—a functioning Senate helps the country function. The Senate actually functions (in 2021, a… https://t.co/eDDONXFz4O|en|Republican Party
1474747515815833603|50055701|Sat Dec 25 14:23:01 +0000 2021|"“Glory to God in the highest, and on earth peace, good will toward men.” 

From my family to yours, Merry Christmas! https://t.co/FBvyFlnqmr"|en|Republican Party
1472594750154887168|50055701|Sun Dec 19 15:48:42 +0000 2021|Heavy heart learning that Johnny Isakson has died. No one welcomed me to the Senate like he did; no one better demo… https://t.co/VkpPtGqHql|en|Republican Party
1470058690657013766|50055701|Sun Dec 12 15:51:18 +0000 2021|Thank you, Chris Wallace, for the years of truth &amp; honesty. I trust that what’s in store for you will be rewarding… https://t.co/ubm2TLslMC|en|Republican Party
1468057415606317059|50055701|Tue Dec 07 03:18:57 +0000 2021|I join his colleagues at the Washington Post in sadness and sympathy in hearing the news of Fred Hiatt’s sudden and… https://t.co/xZefvJE34E|en|Republican Party
1467923492507164678|50055701|Mon Dec 06 18:26:47 +0000 2021|The Administration is right to refuse diplomatic presence at the Beijing Olympics: America will not turn a blind ey… https://t.co/g1s8llkNEz|en|Republican Party
