id|user|created_at|text|lang|label|retweet_count|favorite_count
1505603728417517568|303633791|Sun Mar 20 17:54:36 +0000 2022|Happy #Nowruz to all who celebrate today. https://t.co/FhYXh7Syz0|en|D|3|6
1501269271405547524|303633791|Tue Mar 08 18:51:01 +0000 2022|Any surprise here? Republicans want to take away your health insurance. We can’t let this happen. We must expand ou… https://t.co/2nlF8fuf9b|en|D|2|9
1499586276873228289|303633791|Fri Mar 04 03:23:24 +0000 2022|"Thank you Madam Speaker for your incredible leadership and your continued guidance. 

You continue to inspire women… https://t.co/0NVA2sQfW0"|en|D|4|18
1491557272199127041|303633791|Wed Feb 09 23:39:00 +0000 2022|This was so funny and sweet! And when he pulled the microphone . . . mom was still so calm and cool. https://t.co/QUsvaMN6JB|en|D|6|22
1491553584399454214|303633791|Wed Feb 09 23:24:20 +0000 2022|Great story about a local homegrown ⁦@RamsNFL⁩ player. Look forward to joining ⁦@robertwoods⁩ Friday morning for a… https://t.co/lZQ6sNtHyo|en|D|2|3
1491521216116453376|303633791|Wed Feb 09 21:15:43 +0000 2022|The @USPS is a critically important service across the country - mail, prescriptions &amp; other deliveries. This week… https://t.co/RJhM8G4i1V|en|D|5|11
1491518791800352768|303633791|Wed Feb 09 21:06:05 +0000 2022|5 hour flight home from DC and no available online entertainment 🥲 https://t.co/uuOAnzAKpm|en|D|4|25
1487984004041097216|303633791|Mon Jan 31 03:00:06 +0000 2022|Congratulations to the @RamsNFL for the win. One more. Let’s do this! See you at the #SuperBowl|en|D|4|13
1487094270871830530|303633791|Fri Jan 28 16:04:37 +0000 2022|When I think of the earned income tax credit, I think of @JosephNSanberg. No one in California has championed the o… https://t.co/3DzO9wT7SC|en|D|16|36
1482241775930462209|303633791|Sat Jan 15 06:42:32 +0000 2022|One of my fav pics. Summer of 2019 in Watts connected with this little guy ❤️ Love my job. Reminds why we need to e… https://t.co/lDQFESzdRa|en|D|8|33
1478419058764619781|303633791|Tue Jan 04 17:32:25 +0000 2022|The Congressional Hispanic Caucus Institute @CHCI uses wristbands like these for events. They work well, are a grea… https://t.co/ooWtxQt7Xs|en|D|7|14
1476309510411091971|303633791|Wed Dec 29 21:49:50 +0000 2021|Go Jay! Proud to endorse @jfchen Jay Chen for Congress. https://t.co/vBDpCxRc2R|en|D|4|11
1475272139674914818|303633791|Mon Dec 27 01:07:41 +0000 2021|Can someone tell me the point of the Acrylic shields that are in place with “safety in mind” ⁦@BestBuy⁩ if it doesn… https://t.co/R3N9e1RdEC|en|D|3|5
1475010197181505537|303633791|Sun Dec 26 07:46:50 +0000 2021|As we mourn the loss of a peace leader &amp;human rights activists, let us remember Archbishop Desmond Tutu’s advice to… https://t.co/UomsO2O1DE|en|D|54|204
1474616424429613057|303633791|Sat Dec 25 05:42:07 +0000 2021|Christmas Eve with mom was a quiet one. We played Loteria (Mexican bingo), watched #Encanto in Spanish and FaceTime… https://t.co/Vx1Cxvv0b9|en|D|6|50
1474251014765117440|303633791|Fri Dec 24 05:30:06 +0000 2021|👊🏽👊🏽 https://t.co/gAyxtRVKB5|und|D|2|6
1474206632452112384|303633791|Fri Dec 24 02:33:45 +0000 2021|Looking forward to working with you in the New Year and in the next Congress as well @LindaTSanchez! #CA38 https://t.co/x0n892WCnr|en|D|2|12
1474163130334810112|303633791|Thu Dec 23 23:40:53 +0000 2021|Excited to endorse my neighbor and friend @RobertGarcia for Congress. Look forward to welcoming you to Congress and… https://t.co/BAZzzYGvNE|en|D|16|82
1474091551034773531|303633791|Thu Dec 23 18:56:27 +0000 2021|As #COVID19 still rages we can all help by getting vaccinated and boosted. Another way we can also help is to expan… https://t.co/FKQ6pP7k6C|en|D|1|3
1473064568133877760|303633791|Mon Dec 20 22:55:35 +0000 2021|Shoutout to @autozone employee Diego on 190th St in Gardena (Harbor Gateway) for his excellent customer service. Thanks Diego.|en|D|2|14
1472592396244320260|303633791|Sun Dec 19 15:39:21 +0000 2021|Don’t the people of West Virginia want/need universal pre-k, childcare assistance, more in home care services, lowe… https://t.co/5gxUmUubUC|en|D|4|13
1470784951830429701|303633791|Tue Dec 14 15:57:13 +0000 2021|Great thread by my colleague @RepDonBeyer about the economy that’s roaring back, inflation hitting countries across… https://t.co/HfoNmBwaDq|en|D|4|14
1469124058516123656|303633791|Fri Dec 10 01:57:25 +0000 2021|Latinas are underrepresented in Congress. We need more. In 2016, I was the only new Latina elected to the US House… https://t.co/ryFgn0FgFy|en|D|3|12
1468812657524412418|303633791|Thu Dec 09 05:20:01 +0000 2021|As a kid I went to a community health center for vaccines/care. Their importance to Latino communities &amp; communitie… https://t.co/gRTMbm3T9y|en|D|4|16
1468801787918532609|303633791|Thu Dec 09 04:36:49 +0000 2021|When I ran for Congress, I ran on a platform of fighting for environmental justice communities in a district that i… https://t.co/5a8WCbLgPM|en|D|1|13
1468569419441917955|303633791|Wed Dec 08 13:13:28 +0000 2021|This is great news. Let’s do our part to help stop the spread and protect community from #COVID19. Get vaccinated.… https://t.co/yqrJCa63ZW|en|D|3|2
1462250539534540800|303633791|Sun Nov 21 02:44:30 +0000 2021|Happy Birthday Mr. ⁦@POTUS⁩. So much to celebrate, including you. Thank you for your leadership. https://t.co/tT8bSnaZeg|en|D|5|25
1461570867503063046|303633791|Fri Nov 19 05:43:44 +0000 2021|My #CA44 constituents &amp; many across the country have waited for universal pre-k for a LONG time. Republicans don’t… https://t.co/mSbQBv5yBk|en|D|3|13
1461534287405088776|303633791|Fri Nov 19 03:18:22 +0000 2021|Listening to floor debate, the magic minute. Can’t help but ask, is Minority Leader Kevin McCarthy almost done yet?… https://t.co/hRbVuMBLyn|en|D|7|21
1461074299792543759|303633791|Wed Nov 17 20:50:33 +0000 2021|When I was elected in 2016, freshman members from both parties worked together on a pledge of civility. Where are t… https://t.co/pLBlEqdnFa|en|D|3|14
1461053325705625605|303633791|Wed Nov 17 19:27:12 +0000 2021|Listening to floor debate. Someone asks how this Congress will go down. For starters, this Congress will go down as… https://t.co/P2k1eCYYnl|en|D|2|6
1454870064864268293|303633791|Sun Oct 31 17:57:08 +0000 2021|Happy Halloween! Meet chicken and waffle waiting for a table for breakfast. #Halloween https://t.co/YmgcE7j9Uk|en|D|2|4
1451529096345886726|303633791|Fri Oct 22 12:41:19 +0000 2021|When I go to a restaurant or food establishment I expect to pay prices posted on the menu. Don’t expect that at… https://t.co/ajXywjkGl8|en|D|1|4
1448872643210346496|303633791|Fri Oct 15 04:45:31 +0000 2021|Congratulations @Dodgers, What a game! So much intensity. #RepeatLA https://t.co/1eeKMlY4uy|en|D|2|11
1448827789428150272|303633791|Fri Oct 15 01:47:17 +0000 2021|Go Tim! 👊🏽 https://t.co/krz7YYiYyA|en|D|5|19
1448792629856989190|303633791|Thu Oct 14 23:27:34 +0000 2021|Big fire off 405 south near Howard Hughes. Traffic southbound. Might want to avoid 405 southbound. https://t.co/AV9qsMZTZW|en|D|4|5
1447741715469664262|303633791|Tue Oct 12 01:51:37 +0000 2021|Let’s go @Dodgers #RepeatLA|en|D|2|7
1445978314003255298|303633791|Thu Oct 07 05:04:29 +0000 2021|Heart is still racing from that amazing win @Dodgers. Never been more happy to be sitting in traffic not moving in… https://t.co/6QsMdNfqhN|en|D|2|17
1440163566401716224|303633791|Tue Sep 21 03:58:45 +0000 2021|Thank you Madam Speaker for your leadership and kind words! @TeamPelosi https://t.co/NXph3iNE3k|en|D|3|14
1433788567415767041|303633791|Fri Sep 03 13:46:47 +0000 2021|Disappointed in @AmericanAir this morning @ LAX. Service and commitment matters to customers.|en|D|1|4
1424114017283366914|303633791|Sat Aug 07 21:03:35 +0000 2021|If I had to name a warrior, it’s you @LorenaSGonzalez. You got this! Stay strong amiga. I am praying for you.… https://t.co/KVTdNiSuI6|en|D|4|6
1415361970270658560|303633791|Wed Jul 14 17:26:04 +0000 2021|Can’t wait! https://t.co/jTyMMms9wY|en|D|0|3
1400363991348563969|303633791|Thu Jun 03 08:09:27 +0000 2021|So awesome to see our @dodgers join in the love and welcome of migrant children in Long Beach. https://t.co/0AJVUrEl0A|en|D|6|36
1395582791723724802|303633791|Fri May 21 03:30:40 +0000 2021|Congratulations @RepGraceMeng. Thank you for leading on your important piece of legislation. Proud to stand with yo… https://t.co/xtWRMZZopi|en|D|1|6
1389268536434987008|303633791|Mon May 03 17:20:05 +0000 2021|We came into Congress together, at a time when our class spoke about working together and civility. Don’t think we… https://t.co/WIjvytAFRJ|en|D|2|10
1385000546130702337|303633791|Wed Apr 21 22:40:36 +0000 2021|This is how I am when getting a shot or blood drawn. Need to look away. Thanks @FLOTUS https://t.co/rEAh09L48P|en|D|1|5
1384606768483880962|303633791|Tue Apr 20 20:35:53 +0000 2021|Son of immigrants, our state’s first Latino Senator, a dedicated public servant, immigrant rights &amp; voting rights a… https://t.co/fVLFX2gZem|en|D|6|31
1382554016262062081|303633791|Thu Apr 15 04:38:58 +0000 2021|Good question. The head of one major airline said the science doesn’t support this view. Wonder what the executive… https://t.co/KEkdnCLIlV|en|D|4|9
1376721996680060931|303633791|Tue Mar 30 02:24:36 +0000 2021|Thank you Sister Norma  for your continued service to migrants and showing your fellow human beings the humanity an… https://t.co/25zfMjnBbW|en|D|1|10
1374721598503055363|303633791|Wed Mar 24 13:55:44 +0000 2021|Me too. Can’t wait. Go @Dodgers! https://t.co/u5b2WMT6SM|en|D|1|1
1374582602082914304|303633791|Wed Mar 24 04:43:25 +0000 2021|#Cancer sucks. This is my sister Teresa 15 days ago on her 2nd birthday, the day she got a stem cell transplant aft… https://t.co/HBLRP62dsq|en|D|2|46
1373574537913245696|303633791|Sun Mar 21 09:57:44 +0000 2021|Must read thread by my colleague Rep. Andy Kim that highlights his experience of discrimination in government merel… https://t.co/2MTi3xDXLt|en|D|4|11
1370786329630490626|303633791|Sat Mar 13 17:18:23 +0000 2021|Who is at the table matters. Racism in America runs deep. All the way to the U.S. Capitol. Do you think policy make… https://t.co/94iCt6V8Jx|en|D|7|15
1370103610625859588|303633791|Thu Mar 11 20:05:30 +0000 2021|.@Optum_Support @Optum @OptumRx Providing patient care includes making sure patients have access to their prescript… https://t.co/6OWr3Ivf0o|en|D|1|7
1369695613537767424|303633791|Wed Mar 10 17:04:16 +0000 2021|Much needed relief is on the way. House Democrats today vote to seal the deal on the #AmericanRescuePlan. This legi… https://t.co/7S5XYdQXkI|en|D|5|20
1369333712798715904|303633791|Tue Mar 09 17:06:12 +0000 2021|Thank you @SpeakerPelosi for your leadership and support. Proud to work work you in the US Congress. There is no gr… https://t.co/FPrhWuVZcw|en|D|12|31
1367904250081148933|303633791|Fri Mar 05 18:26:02 +0000 2021|Republicans are holding up much needed relief for the American people. The Senator who requested the entire Bill re… https://t.co/KhTruVKfDT|en|D|4|12
1367349215429615620|303633791|Thu Mar 04 05:40:31 +0000 2021|Heard this testimony today. Have a hard time believing both the Secretary of the Army and Secretary of Defense wher… https://t.co/fqmi0Ad5Wi|en|D|3|14
1366951091645079553|303633791|Wed Mar 03 03:18:31 +0000 2021|This is amazing news. We must get vaccines to communities that have been hit the hardest. #VaccineEquity https://t.co/hGzt9yZqVx|en|D|2|5
1366267607809204225|303633791|Mon Mar 01 06:02:36 +0000 2021|👇🏾❤️ https://t.co/pcRtEcJpiR|und|D|3|12
1352456341751738368|303633791|Fri Jan 22 03:21:33 +0000 2021|"Completely agree with my colleague @AOC 

Happy to also make my office available (with snacks too). https://t.co/tTqplt3xLf"|en|D|3|14
