id|user|created_at|text|lang|label|retweet_count|favorite_count
1520567316156751879|757862089|Sun May 01 00:54:33 +0000 2022|Surfin’ the red wave in USA with Mike Love ❤️#BeachBoys 🇺🇸 https://t.co/9rWEN47SfA|en|D|10|106
1520051041630404609|757862089|Fri Apr 29 14:43:04 +0000 2022|"Since Biden took office, millions have entered our country illegally.

Tons of fentanyl are pouring over our border and killing Americans.

Dozens of individuals on terrorist watchlist have attempted to sneak in.

And @potus is creating a “Ministry of Truth” to spin it all."|en|D|23|48
1520043591074295809|757862089|Fri Apr 29 14:13:27 +0000 2022|"A “Disinformation Board” full of disinformation to produce propaganda &amp; cover up their incompetence.

Just do your job and secure the border!"|en|D|30|140
1520009435715940353|757862089|Fri Apr 29 11:57:44 +0000 2022|"First Cuomo appoints a parole board that released 16+ cop killers in 5 years.

Then @GovKathyHochul allows one that killed TWO #NYPD officers to speak at a State University. 

It’s these types of actions that have emboldened criminals and demoralized police. @NYCPBA @NYCPDDEA https://t.co/pef68Sxo8t"|en|D|76|177
1519753106480934916|757862089|Thu Apr 28 18:59:10 +0000 2022|“New York Democrats who hoped to cheat their way to electoral wins this fall will now have to fight fair.” https://t.co/v02gyqjbYn|en|D|44|281
1519634424001970176|757862089|Thu Apr 28 11:07:34 +0000 2022|Coming up 7:25am! https://t.co/eMm3sNBysk|en|D|3|16
1519388977874313218|757862089|Wed Apr 27 18:52:15 +0000 2022|"🚨 GREAT NEWS!! 🚨 

New York’s highest court- the Court of Appeals- has joined the two lower courts in ruling NY’s grossly gerrymandered Congressional maps UNCONSTITUTIONAL and has ordered NEW district maps be drawn by an independent special master! (1/5)"|en|D|576|3779
1519000892690911234|757862089|Tue Apr 26 17:10:09 +0000 2022|Democrats’ anti-police rhetoric, pro-crime policies, and footsie playing with the defund police movement have led to an alarming increase in police officers assassinations across America. If our police aren’t safe, how can we be safe? https://t.co/1wDuTD7G59|en|D|14|57
1518737058474434560|757862089|Mon Apr 25 23:41:46 +0000 2022|This tragic loss angers me because it was 100% preventable. Turns out the 2 migrants he attempted to save were drug smugglers now in federal prison. @POTUS, ⁦@VP and ⁦@SecMayorkas⁩ purposely created this disorder at the border and they own this. https://t.co/j0VRPKduz1|en|D|30|87
1518703621533310976|757862089|Mon Apr 25 21:28:54 +0000 2022|Enjoyed meeting with members of the Chinese-American community in #SunsetPark who are ready to get to work and help elect more Republicans because Democrats, with their one party rule, have made #Brooklyn and New York less safe and less affordable! https://t.co/1YeDIQPhWt|en|D|10|33
1518648225363894273|757862089|Mon Apr 25 17:48:46 +0000 2022|"With offshore wind coming to New York, my bill would ensure revenue generated would be reinvested in our community for coastal resiliency, hurricane preparedness &amp; infrastructure. 
https://t.co/n43tJwIKfd"|en|D|3|16
1518571120261222401|757862089|Mon Apr 25 12:42:23 +0000 2022|She would be doing better if she and her fellow Democrats just did the right thing and put hardworking, law-abiding, taxpaying citizens ahead of criminals, illegal immigrants and the Buffalo Bills. https://t.co/HDpNG8EoBU|en|D|17|90
1518566330873618432|757862089|Mon Apr 25 12:23:21 +0000 2022|It was so nice to welcome Ivan &amp; Daria to my office after helping them evacuate Ukraine and return to #StatenIsland. I wish them the greatest happiness as they begin their new life together in the United States. https://t.co/mMqCqZV0PG|en|D|4|21
1518370173606141952|757862089|Sun Apr 24 23:23:53 +0000 2022|Sad news. Firefighter Klein was killed in the line of duty today while fighting a 3 alarm fire in Brooklyn. Please keep his family and fellow firefighters from Ladder Company 170 in your prayers. https://t.co/54Cfzgc27s|en|D|8|59
1518226047292035073|757862089|Sun Apr 24 13:51:11 +0000 2022|Wishing all Greek and Orthodox Christians a blessed and joyous Easter today. Χριστός ανέστη! Καλό πάσχα. https://t.co/OdPWpjbeci|und|D|17|69
