id|user|created_at|text|lang|label|retweet_count|favorite_count
1507380240628305923|236279233|Fri Mar 25 15:33:49 +0000 2022|"New:
🚰water pipelines
🔥fire hydrants
🎛️water meters
💧and connections to existing waterlines.
 
With the $2,000,000… https://t.co/K4Rf9pIpXI"|en|D|3|11
1507359517863985159|236279233|Fri Mar 25 14:11:29 +0000 2022|The $380,000 in funding for the LOVE Program will provide mental health services, substance use disorder treatment,… https://t.co/eeAJ4sCrl3|en|D|6|21
1507078592160796673|236279233|Thu Mar 24 19:35:11 +0000 2022|I started my morning in @CityofRialto to discuss the $862,500 in funding they will receive for a new emergency oper… https://t.co/HRxpM234xQ|en|D|2|13
1507010319029137422|236279233|Thu Mar 24 15:03:53 +0000 2022|Thanks for not embarrassing us by physically shoving world leaders out of the way. Thank you for leading on… https://t.co/w3u3Ew18eq|en|D|7|48
1507007077918527501|236279233|Thu Mar 24 14:51:00 +0000 2022|.True we have sent a lot thoughts &amp; prayers. Many of our own families are included in the victims tally. It’s not “… https://t.co/iu1j15jLhj|en|D|4|14
1506998813420138501|236279233|Thu Mar 24 14:18:10 +0000 2022|.@UPS pulled out all the stops for our tour, sharing the wonderful work their staff has been doing during these cha… https://t.co/9mmXDXApIG|en|D|2|20
1506804924029366283|236279233|Thu Mar 24 01:27:43 +0000 2022|.Every single woman has felt this pain of being told they are not good enough. We are you, and you are us. We see y… https://t.co/avoqx2I8dr|en|D|6|41
1506802955894333445|236279233|Thu Mar 24 01:19:54 +0000 2022|I am deeply saddened to hear about the passing of Secretary Madeleine Albright. https://t.co/UKtAz8JrOF|en|D|3|30
1506772487681581068|236279233|Wed Mar 23 23:18:50 +0000 2022|We took a tour with Carpenters 909/951 Union Hall to catch up on their priorities on youth programs, competitive ap… https://t.co/CD2N8lU6VX|en|D|3|10
1506731406533169153|236279233|Wed Mar 23 20:35:35 +0000 2022|.Free public transit, yes!! I can’t wait to hear how @CAgovernor will work with @IWillRide @FoothillTransit… https://t.co/TcAdN8dOun|en|D|9|14
1506721795046584331|236279233|Wed Mar 23 19:57:24 +0000 2022|Have you met Tony Maglica from @MAGLITE flashlights in @CityofOntario? Tony started his manufacturing business with… https://t.co/6n3tdlLVVf|en|D|3|27
1506436718853033985|236279233|Wed Mar 23 01:04:36 +0000 2022|CJUHSD Assistant Superintendent Charlene Saenz has helped break barriers for women in leadership. I’m was proud to… https://t.co/OkMEJMeKsj|en|D|6|31
1506343087668449287|236279233|Tue Mar 22 18:52:33 +0000 2022|🗓️Deadline approaching: Both renters and landlords who have been impacted by COVID-19 are eligible to apply for ren… https://t.co/tLx23Uyocx|en|D|2|12
1506281907922907137|236279233|Tue Mar 22 14:49:26 +0000 2022|Mi declaración sobre la noticia de la renuncia de la Jueza Erika Aifán al sistema judicial guatemalteco por su trab… https://t.co/YUVJd3ELew|es|D|89|247
1506259878024822788|236279233|Tue Mar 22 13:21:54 +0000 2022|ICYMI: @gracenapolitano, @RepCarbajal, and I secured $10 million in this year’s government funding bill for Air For… https://t.co/pKv9SfgTMo|en|D|2|11
1506026234588844032|236279233|Mon Mar 21 21:53:29 +0000 2022|We had a busy weekend in Rialto! Rialto Pony, the Bill Batt Rialto Girls Softball Association, &amp; the North Rialto L… https://t.co/Y90mZE59fX|en|D|2|14
1505981631890305026|236279233|Mon Mar 21 18:56:15 +0000 2022|.what in the world 🤥 is he saying. Mr. Cruz ran away from his community when they were freezing &amp; hungry &amp; the elec… https://t.co/LuZPqBeTcb|en|D|2|35
1505897671244095495|236279233|Mon Mar 21 13:22:37 +0000 2022|The 30,000 federal judiciary employees deserve the same anti-discrimination rights that private sector and governme… https://t.co/kUHH9n6APR|en|D|3|14
