id|user|created_at|text|lang|label|retweet_count|favorite_count
1507336391251972098|164369297|Fri Mar 25 12:39:35 +0000 2022|Clarence Thomas should resign. https://t.co/2ICeosabhA|en|D|339|1591
1507050272211845125|164369297|Thu Mar 24 17:42:39 +0000 2022|When someone types in on the internet: Why does representation matter? This picture should be the first image they… https://t.co/PnJDy1PH6Q|en|D|11|80
1506711551281176580|164369297|Wed Mar 23 19:16:41 +0000 2022|I’m saddened to hear about the passing of the United States’ first female Secretary of State Madeleine Albright.… https://t.co/qHu1zbMR5K|en|D|13|29
1506689768989642758|164369297|Wed Mar 23 17:50:08 +0000 2022|In Congress, I’ve been working to secure federal funding for organizations and initiatives in our communities that… https://t.co/Axam11D1OB|en|D|6|16
1506680133498937349|164369297|Wed Mar 23 17:11:51 +0000 2022|"Today marks 12 years since the Affordable Care Act was signed into law. 

It was the start of securing health care… https://t.co/71cleomMHg"|en|D|5|30
1506635627814662148|164369297|Wed Mar 23 14:15:00 +0000 2022|"As we celebrate #WomensHistoryMonth we highlight women like Jennifer Lopez. 

A Puerto Rican singer and song writer… https://t.co/lWHaJOoSma"|en|D|10|34
1506374239133351946|164369297|Tue Mar 22 20:56:20 +0000 2022|What she said⬇️⬇️ https://t.co/T6kGj4Wa61|en|D|4|23
1506284530528890895|164369297|Tue Mar 22 14:59:52 +0000 2022|"🚨Attention🚨 

.@BrooklynDA is partnering with legal professionals to provide assistance to Ukrainian nationals curr… https://t.co/SCHWP8Mscw"|en|D|7|12
1505943210824187913|164369297|Mon Mar 21 16:23:35 +0000 2022|If there is anyone out there that is concerned about Judge Ketanji Brown Jackson qualifications, take a look at thi… https://t.co/6sCo5RrTaX|en|D|16|46
1505909793583775753|164369297|Mon Mar 21 14:10:47 +0000 2022|"Ketanji Brown Jackson will be an incredible Supreme Court Justice. #SCOTUS 

RT if you agree!"|en|D|21|40
1505907942238957579|164369297|Mon Mar 21 14:03:26 +0000 2022|I hope everyone had a colorful, prosperous, and joyous #Holi celebration in New York’s Seventh district and around the world!|en|D|3|8
1504844351721062417|164369297|Fri Mar 18 15:37:06 +0000 2022|I just voted to pass the #CROWNAct—enshrining into law legal protections to ban discrimination based ones textured… https://t.co/abQh7kMp77|en|D|10|65
1504542258250588160|164369297|Thu Mar 17 19:36:42 +0000 2022|"Happy St. Patrick's Day to New York’s seventh! 

Wishing everyone who celebrates a safe &amp; lucky holiday. https://t.co/NZksBTno1X"|en|D|2|10
1504525717085822979|164369297|Thu Mar 17 18:30:58 +0000 2022|"I’ve heard from my community who have shared their concerns about the dangerous Meeker Avenue Plume.

Today, the EP… https://t.co/iPzhrcnpuQ"|en|D|5|35
1504146931471245314|164369297|Wed Mar 16 17:25:48 +0000 2022|"I joined @CAPAC to observe the solemn one year anniversary of the Atlanta spa shootings.

Where a gunman brutally m… https://t.co/7alb4miAZh"|en|D|8|30
1504095613042012169|164369297|Wed Mar 16 14:01:53 +0000 2022|"We stand with Ukraine🇺🇦. Powerful words this morning from a courageous leader. 

Congress will continue to support… https://t.co/1TPULgIVhI"|en|D|9|47
1503842145861525511|164369297|Tue Mar 15 21:14:42 +0000 2022|"At the WH fighting for equal pay b/c for every $1 paid to white fathers, moms make the following:
🙀 Latina moms: 46… https://t.co/Ps6TE4XiqG"|en|D|98|387
1503818877205155857|164369297|Tue Mar 15 19:42:14 +0000 2022|"Happy Birthday to the late Justice Ruth Bader Ginsburg. 

A champion of justice, her time on the Supreme Court woul… https://t.co/qg7KZsSDwW"|en|D|20|61
1503792153285341191|164369297|Tue Mar 15 17:56:03 +0000 2022|"The #EqualPay Act was signed into law 59 years ago today.

While we have made great progress, our fight to close th… https://t.co/9PYp6hz4CP"|en|D|5|13
1503451483563569155|164369297|Mon Mar 14 19:22:21 +0000 2022|In the 1880s, New Yorkers built the largest suspension bridge in the world. Today, standing in front of this bridge… https://t.co/DGYP38ei3R|en|D|7|32
1503449907939713032|164369297|Mon Mar 14 19:16:05 +0000 2022|Thank you to the brave officers of the NYFD for responding to this terrible fire. My prayers are for a speedy recov… https://t.co/WLZjkWbf44|en|D|2|14
1503436346370756609|164369297|Mon Mar 14 18:22:12 +0000 2022|If we want to advance environmental justice, then we must restart reconciliation negotiations to lower costs &amp; inve… https://t.co/hKaYxCueKg|en|D|5|12
1502351748169711619|164369297|Fri Mar 11 18:32:23 +0000 2022|"One year ago today, Congressional Democrats met the moment and passed the #AmericanRescuePlan. 

This bill helped t… https://t.co/FBE6qUhWPc"|en|D|13|27
1501933824564883460|164369297|Thu Mar 10 14:51:43 +0000 2022|"Last night, the House passed a massive bill which will fund several local community organizations in NY-7.

These o… https://t.co/7UCV6rcEzU"|en|D|6|25
1501319026240376837|164369297|Tue Mar 08 22:08:43 +0000 2022|Celebrating #InternationalWomensDay with the amazing women of my DC staff! https://t.co/cpH3RSaEPP|en|D|8|79
