id|user|created_at|text|lang|label|retweet_count|favorite_count
1507425832318509056|293131808|Fri Mar 25 18:34:59 +0000 2022|"CEO pay &amp; corporate profits are skyrocketing—while workers nationwide are struggling to make ends meet.

It doesn’t… https://t.co/pgjgxvP6Jw"|en|D|1|0
1507421304303009811|293131808|Fri Mar 25 18:17:00 +0000 2022|I am thrilled to welcome @SecMartyWalsh to Seattle alongside @RepJayapal and union members from around the region.… https://t.co/UEHsFwvvsJ|en|D|2|25
1507397995788128259|293131808|Fri Mar 25 16:44:22 +0000 2022|We all have friends and family who are facing mental health and substance use disorder challenges, and we all have… https://t.co/buk5deTxH8|en|D|24|118
1507133227777118214|293131808|Thu Mar 24 23:12:17 +0000 2022|I'm glad to see @POTUS welcome Ukrainian refugees—that's absolutely the right call. I'm thinking of my Ukrainian co… https://t.co/DZUpwAe6f3|en|D|47|272
1507110528828813326|293131808|Thu Mar 24 21:42:05 +0000 2022|"Our student loan system is broken, but we can fix it.

I joined borrowers and advocates from across WA state to hea… https://t.co/ihSrRXkXBR"|en|D|13|82
1507086332962738176|293131808|Thu Mar 24 20:05:56 +0000 2022|Our nation’s child care system is fundamentally broken, but I have a plan to help fix it. https://t.co/rz48851Uut|en|D|41|217
1507066251369230346|293131808|Thu Mar 24 18:46:08 +0000 2022|Student loan borrowers are struggling with rising costs and need relief. The Biden Administration should take actio… https://t.co/P3n0fDVLlt|en|D|121|794
1507047620321157133|293131808|Thu Mar 24 17:32:06 +0000 2022|Abortion bans are cruel, they’re dangerous, and they don't just hurt people in that state. This is devastating for… https://t.co/Cp0fghI1R7|en|D|64|244
1507025077438660613|293131808|Thu Mar 24 16:02:32 +0000 2022|The American Rescue Plan made a big difference to help keep a roof over families’ heads, but we’ve got to do more.… https://t.co/o0Mcr939D2|en|D|11|53
1506788508966563840|293131808|Thu Mar 24 00:22:29 +0000 2022|"Congratulations to Judge Chun on his confirmation as U.S. District Court judge in the Western District of WA.

Prou… https://t.co/KJUjY2BIJe"|en|D|49|226
1506776924944834560|293131808|Wed Mar 23 23:36:28 +0000 2022|My friend @SenBooker is absolutely right. https://t.co/GTryVOJN4l|en|D|219|1834
1506765654212370434|293131808|Wed Mar 23 22:51:40 +0000 2022|Secretary Albright was a leader. A trailblazer. An inspiration for women and girls on the global stage. A good pers… https://t.co/RjivlozBzV|en|D|59|527
1506754231365251078|293131808|Wed Mar 23 22:06:17 +0000 2022|Democrats care about families’ health care. We passed the ACA, protected patients w/ preexisting conditions, just l… https://t.co/DFLfjFoXh3|en|D|38|155
1506734129802534926|293131808|Wed Mar 23 20:46:24 +0000 2022|Right-wing Republicans are doubling down on their dangerous bills aimed to control women's decisions about pregnanc… https://t.co/WMxAgRxwhV|en|D|37|122
