id|user|created_at|text|lang|label|retweet_count|favorite_count
1507411500620734472|193441812|Fri Mar 25 17:38:02 +0000 2022|It’s time to rein in corporate greed. https://t.co/9SQLAZEuVU|en|D|19|69
1507374755061633030|193441812|Fri Mar 25 15:12:01 +0000 2022|"4.3 million Ukrainian children displaced in ONE month – 4.3 MILLION. Heartbreaking. 

It’s time for America to step… https://t.co/v41VYXhVR6"|en|D|24|69
1507166125779570689|193441812|Fri Mar 25 01:23:00 +0000 2022|"Idaho just passed a Texas-style abortion ban. If we don't act, more states are sure to follow.

Time is running out… https://t.co/QppwdVP8OW"|en|D|199|929
1507121833400799239|193441812|Thu Mar 24 22:27:00 +0000 2022|After four days of the GOP’s political theater, today was the FINAL day of Senate hearings for Judge Ketanji Brown… https://t.co/IBIAHV9mkG|en|D|62|454
1507087611977945091|193441812|Thu Mar 24 20:11:01 +0000 2022|"1 in 3 workers make less than $15/hour — including HALF of women of color.

Delivering a living wage is economic AN… https://t.co/jTLH6mdSzX"|en|D|122|618
1507051121365377029|193441812|Thu Mar 24 17:46:01 +0000 2022|My heart goes out to the people of Ukraine. We’re in this fight with you, and we will continue to do all we can to… https://t.co/EnGJEIoqrf|en|D|13|167
1507013873336938508|193441812|Thu Mar 24 15:18:01 +0000 2022|.@POTUS could end our student debt crisis with a pen stroke — and for the sake of 43 million Americans, he must do it now.|en|D|430|2734
1506817326527795211|193441812|Thu Mar 24 02:17:00 +0000 2022|"Thank you, @POTUS. This is great news.

Now, let’s continue to prioritize the safety of Ukrainians, as well as a di… https://t.co/PcDfCT7xMr"|en|D|14|146
1506760467305353228|193441812|Wed Mar 23 22:31:04 +0000 2022|"I enjoyed stopping by @mollymoon for some homemade ice cream for a good cause! 🤤🍦

A portion of the proceeds will g… https://t.co/WYIoDuDpcK"|en|D|7|55
1506724217194258434|193441812|Wed Mar 23 20:07:01 +0000 2022|The Affordable Care Act was signed into law 12 years ago today, but coverage remains out of reach for millions of A… https://t.co/zndpKZkRvW|en|D|115|535
1506674913213571077|193441812|Wed Mar 23 16:51:06 +0000 2022|Not another day should pass without Judge Ketanji Brown Jackson as a member of the Supreme Court. Full 🛑.|en|D|86|840
1506643434798555144|193441812|Wed Mar 23 14:46:01 +0000 2022|Another month without the expanded Child Tax Credit and working people continue to pay the price. We have to fix this. Renew it now.|en|D|76|405
1506479097878388740|193441812|Wed Mar 23 03:53:00 +0000 2022|Tax. The. Rich. https://t.co/1VlZFveA92|en|D|72|426
1506449150010970114|193441812|Wed Mar 23 01:54:00 +0000 2022|"The United States should serve as a beacon of hope for Ukrainian refugees.

Let’s show the world the best of who we… https://t.co/PSA6pENqSm"|en|D|59|376
1506428514920194054|193441812|Wed Mar 23 00:32:00 +0000 2022|"There are only 40 MORE DAYS until student loan payments restart.

Borrowers are NOT ready, @POTUS. Cancel student debt for all."|en|D|497|2437
1506366104054161409|193441812|Tue Mar 22 20:24:00 +0000 2022|"There’s nothing “pro-life” about banning Americans from traveling to other states for health care. Period.

We need… https://t.co/kYWVkFwV8F"|en|D|108|750
1506328859410640899|193441812|Tue Mar 22 17:56:00 +0000 2022|"Let’s be clear: Judge Ketanji Brown Jackson is desperately needed on the Supreme Court.

But adding one Justice won… https://t.co/YV2x3jrpdw"|en|D|134|848
1506082736229990401|193441812|Tue Mar 22 01:38:00 +0000 2022|The Equality Act has never been more important than it is right now. The Senate needs to pass it.|en|D|98|516
1506027119989641221|193441812|Mon Mar 21 21:57:00 +0000 2022|With a few signatures, @POTUS can cancel student debt, cut healthcare costs, take on the climate crisis, and invest… https://t.co/P6rX8ujFnv|en|D|386|2344
1505999187875442688|193441812|Mon Mar 21 20:06:01 +0000 2022|Abortion bans were only step one. Now, the GOP wants to stop people from traveling out-of-state to seek care. What’… https://t.co/oBTwFQmdPD|en|D|231|913
1505963458939998216|193441812|Mon Mar 21 17:44:02 +0000 2022|Extending the payment pause just isn’t enough. We need to cancel every last penny of student debt, once and for all.|en|D|394|2550
1505917902242947077|193441812|Mon Mar 21 14:43:01 +0000 2022|We shouldn’t waste any more time. Judge Ketanji Brown Jackson is experienced, qualified, and ready to serve. Confir… https://t.co/PSeKseP4ZW|en|D|234|1655
1505666493245276165|193441812|Sun Mar 20 22:04:00 +0000 2022|"Of the $782.5 BILLION we just greenlit for the Pentagon, roughly HALF will go to private defense contractors.

Cut… https://t.co/XFFnz78oEa"|en|D|347|1462
1505579671659982849|193441812|Sun Mar 20 16:19:00 +0000 2022|"NO ONE should go into crushing debt for pursuing higher education.

Cancel student debt and make college debt-free for ALL."|en|D|303|2079
1505365510908637187|193441812|Sun Mar 20 02:08:00 +0000 2022|"Universal child care is too expensive, but we can afford a $782,500,000,000 Pentagon budget?

It’s time to get our… https://t.co/dQfibjXWu8"|en|D|340|1606
1505281204270084104|193441812|Sat Mar 19 20:33:00 +0000 2022|Confirm Ketanji Brown Jackson to the Supreme Court. Then expand the Supreme Court.|en|D|3225|18856
1504999850831749121|193441812|Sat Mar 19 01:55:00 +0000 2022|"Paid family leave and universal pre-K would boost our economy by $1 TRILLION.

At a time when families are struggli… https://t.co/NPMzsnMV67"|en|D|169|894
1504951280799821827|193441812|Fri Mar 18 22:42:00 +0000 2022|Now, let’s pass Medicare for All and end the burden of medical debt, once and for all. https://t.co/C9VNoWqyYU|en|D|77|349
1504914792057917441|193441812|Fri Mar 18 20:17:01 +0000 2022|Let’s not kid ourselves: Big Oil is taking advantage of inflation to line their own pockets. We need to take decisi… https://t.co/wXwhQ0KFMn|en|D|187|970
1504870502761959434|193441812|Fri Mar 18 17:21:01 +0000 2022|Cancel every single penny of student debt — now. https://t.co/QU7UJW4S73|en|D|342|2286
1504836531718131718|193441812|Fri Mar 18 15:06:02 +0000 2022|"Abortion is health care.
Reproductive rights are human rights.

Let's act like it. Pass the Women's Health Protection Act now."|en|D|170|903
1504631422992195587|193441812|Fri Mar 18 01:31:00 +0000 2022|"It’s time for @POTUS to use his executive authority to:

🏥 Lower health care costs
🧑🏽‍🎓 Cancel student debt
✊🏽 Expa… https://t.co/ON9acrKN5Z"|en|D|308|1415
1504583859756843012|193441812|Thu Mar 17 22:22:00 +0000 2022|"Housing, gas, and child care prices ⬆️
Federal minimum wage ↔️

It’s time to put money in people’s pockets. Raise the minimum wage."|en|D|98|372
1504556429944012801|193441812|Thu Mar 17 20:33:00 +0000 2022|I’m proud to support this slate of executive actions that will provide immediate relief to working people and their… https://t.co/0dZk1LqxpO|en|D|30|166
1504511886607462404|193441812|Thu Mar 17 17:36:00 +0000 2022|"Currently, members of Congress can use their votes to line their own pockets.

This corruption must end. Ban member… https://t.co/9AO4ypJupu"|en|D|228|1086
1504481690558746632|193441812|Thu Mar 17 15:36:01 +0000 2022|Wildfire season is fast approaching, and it’s likely to be longer and more devastating. We need BOLD climate action now.|en|D|64|387
1504276836867522561|193441812|Thu Mar 17 02:02:00 +0000 2022|At least SEVEN states have introduced Texas-style abortion bans this year, putting abortion rights at risk for mill… https://t.co/uelI7BXs49|en|D|206|986
1504196810734252034|193441812|Wed Mar 16 20:44:00 +0000 2022|"Soon, working people will be forced to pay an average of $460/month in student debt payments.

Costs are WAY too hi… https://t.co/sTsRMRWGy6"|en|D|1006|5098
