id|user|created_at|text|lang|label|retweet_count|favorite_count
1519741958641664001|1079104563280527364|Thu Apr 28 18:14:53 +0000 2022|On #YomHaShoah, we remember and honor the 6 million Jews and others who were murdered. We must continue to fight antisemitism, bigotry, and intolerance to ensure that such atrocities never happen again.|en|D|81|568
1516900237599645698|1079104563280527364|Wed Apr 20 22:02:53 +0000 2022|Town Hall: Green New Deal Updates https://t.co/SVx9UPHGuI|en|D|54|259
1515724496262553602|1079104563280527364|Sun Apr 17 16:10:55 +0000 2022|Wishing a Happy Easter to everyone celebrating in NY-14! We hope you’re able to spend this joyous and blessed day with loved ones.|en|D|51|533
1515056295405047810|1079104563280527364|Fri Apr 15 19:55:43 +0000 2022|To all those observing, our office wishes you a blessed and peaceful Good Friday.|en|D|52|566
1515037992989077506|1079104563280527364|Fri Apr 15 18:43:00 +0000 2022|We hope this Passover brings prosperity and happiness to all who are celebrating in NY-14 and around the world. Chag Sameach!|en|D|40|450
1515029096195137541|1079104563280527364|Fri Apr 15 18:07:39 +0000 2022|Wishing our Bengali community in NY-14 a Happy Bengali New Year! We hope everyone celebrating is able to spend this auspicious and joyous day with their loved ones. Shubho Noboborsho!|en|D|28|296
1514699950835314695|1079104563280527364|Thu Apr 14 20:19:44 +0000 2022|"Vaisakhi diyan lakh lakh vadhaiyan!

Sending warm wishes to everyone celebrating today — from our Sikh neighbors in NY-14 to those around the world. Happy Vaisakhi!"|en|D|253|1916
1514008988727357441|1079104563280527364|Tue Apr 12 22:34:06 +0000 2022|We’re devastated to see what happened in Brooklyn today. Thinking of and praying for those injured and their loved ones.|en|D|84|1035
1512195676259725312|1079104563280527364|Thu Apr 07 22:28:39 +0000 2022|"Today, we amended the Ban Conflicted Trading Act to ban Members' spouses from trading stocks as well. The bill also bans senior staff from trading, &amp; bans Members from serving on corporate boards — which the Senate already prohibits.

Now it’s time to bring our bill to the floor. https://t.co/ttICkNORkH"|en|D|1873|13417
1511838499829387267|1079104563280527364|Wed Apr 06 22:49:21 +0000 2022|"We know inflation is being driven in part by price gouging. How do corporations get away with it? Market consolidation. 1 in 4 retail sales is made by Walmart &amp; Amazon. 

Prices aren't being dictated by 'supply and demand.' They're being dictated by CEOs. 

But there's more.... https://t.co/Ig4T2Znss4"|en|D|2123|9284
1509987145951363081|1079104563280527364|Fri Apr 01 20:12:44 +0000 2022|Ramadan Mubarak to everyone in NY-14 and around the world. We hope this month brings prosperity and blessings to you and your loved ones. https://t.co/fva7Nrhmbr|en|D|60|479
1509637959380840448|1079104563280527364|Thu Mar 31 21:05:11 +0000 2022|"Submit a Community Project Funding Request with our office!

Non-profit organizations and local government entities are invited to apply by April 15.

To learn more, or to submit your request, visit: https://t.co/xhYBHGPojd"|en|D|53|277
1509606831378812931|1079104563280527364|Thu Mar 31 19:01:30 +0000 2022|"Thinking of our transgender community in NY-14 and around the world on #TransDayOfVisibility.

We see you and are fighting for you every single day. https://t.co/iM0CkAmFzX"|en|D|81|511
1509298887835758598|1079104563280527364|Wed Mar 30 22:37:50 +0000 2022|"Think housing discrimination is a thing of the past? Well…

1️⃣ In majority Black neighborhoods, homes are undervalued by $48,000 on average, amounting to $156 billion in cumulative losses to Black wealth. 🧵 https://t.co/ckqMiuwTLq"|en|D|1254|7035
1509169336526811145|1079104563280527364|Wed Mar 30 14:03:03 +0000 2022|"High school students and teachers: we're now accepting submissions for the 2022 Congressional Art Competition!

Submit your artwork to our office by 5 pm on April 29th for a chance to have it displayed in the U.S. Capitol. For more information, visit: https://t.co/f045vCVhyp"|en|D|40|156
1508932054012108803|1079104563280527364|Tue Mar 29 22:20:10 +0000 2022|Medicare for All would lower your monthly bills. How? By eliminating co-pays and other unexpected expenses, lower and middle-income families enrolled in Medicare for All would still pay less overall. 🧵 https://t.co/7cLhfvuvUl|en|D|1260|7996
1508809198049669135|1079104563280527364|Tue Mar 29 14:11:59 +0000 2022|“With Build Back Better in the House, we passed… all $36 to $40 billion for NYCHA. We passed it in the House. [Joe Manchin]’s sitting on it. And our babies are sleeping in bubble jackets in NYCHA with no heat and no boilers because of that. So I'm mad.” https://t.co/SYZgZZ5Bqt|en|D|256|1187
1508492301097926656|1079104563280527364|Mon Mar 28 17:12:45 +0000 2022|As Ukraine fights against the Russian invasion, we have a moral obligation to assist any way we can. The Ukraine Comprehensive Debt Payment Relief Act would work to support the immediate suspension of Ukraine’s debt payments, help coordinate comprehensive debt relief, and more. https://t.co/hzu5ynXN9J|en|D|94|452
