id|user|created_at|text|lang|label|retweet_count|favorite_count
1520131461118103562|296245061|Fri Apr 29 20:02:37 +0000 2022|Today marks #ArborDay’s sesquicentennial. We celebrate the tree planting effort that made Nebraska City the birthplace of Arbor Day and the Nebraska National Forest America’s largest manmade forest. https://t.co/Wbq8kpldak|en|R|3|8
1520062475722448898|296245061|Fri Apr 29 15:28:30 +0000 2022|I was honored to join the celebration of a new book honoring the life of a great Nebraskan, the late Clayton Yeutter. His legacy on trade left a lasting impact on our nation &amp; influences much of what I strive to achieve in my role as RL of @WaysandMeansGOP's Trade Subcommittee. https://t.co/ohvZtteBXG|en|R|2|11
1519785626706534402|296245061|Thu Apr 28 21:08:24 +0000 2022|"In today’s @WaysandMeansGOP hearing I pressed Secretary Becerra on why the president has no interest in preserving Medicare. 

“There has not been any action to move in that direction.”

This administration is not serious about addressing any of the challenges Americans face. https://t.co/YX617ImeK6"|en|R|5|13
1519707315640938501|296245061|Thu Apr 28 15:57:13 +0000 2022|"Americans deserve a booming economy and President Biden keeps failing to deliver. From soaring inflation to negative economic growth, the president's failed policy agenda has us barreling toward a recession.

https://t.co/y8zZBA6MXv"|en|R|15|48
1519488028607143936|296245061|Thu Apr 28 01:25:51 +0000 2022|My thoughts are with Sen. Pahls’ family as we grieve his passing. I have fond memories of working with Rich in the Unicameral, and he leaves a legacy of dedicated service to our state.|en|R|1|8
1519384384239026176|296245061|Wed Apr 27 18:34:00 +0000 2022|I enjoyed meeting with @wto Director-General, Dr. Ngozi Okonjo-Iweala, and Deputy Director-General Angela Ellard to discuss the importance of trade for consumers around the world, the value of innovation, and the need for a functioning global trade forum. https://t.co/nALb9atWME|en|R|1|4
1519350908638961665|296245061|Wed Apr 27 16:20:59 +0000 2022|Eliminating stepped-up basis would put farmers, ranchers, and small businesses at risk of losing their business. Threatening livelihoods is not a way to grow our economy, so I sent a letter with @RepMann and @HouseAgGOP’s @CongressmanGT demanding President Biden reverse course. https://t.co/y0ZCvTRWym|en|R|2|12
1519328979718651905|296245061|Wed Apr 27 14:53:51 +0000 2022|April is National Financial Literacy Month. Earlier this month the House passed SECURE 2.0, a bill to help more Americans save for the future. Financial literacy and security are important to prosperity, and I’m glad to support measures to help hardworking families get ahead.|en|R|2|4
1519318506973675521|296245061|Wed Apr 27 14:12:14 +0000 2022|It was a special treat to welcome visitors to the Nebraska Breakfast for the first time in more than two years this morning. Gathering to discuss how to move our state forward is an important and valuable tradition. https://t.co/60n40tHhau|en|R|1|8
1519281400981213185|296245061|Wed Apr 27 11:44:47 +0000 2022|Today, my staff will host an #NE03 Mobile Office at the Nemaha County Courthouse in Auburn. Please plan to stop by if you need assistance with a federal agency or have thoughts to share. https://t.co/X4luIfvJwU|en|R|3|3
1518976595616272384|296245061|Tue Apr 26 15:33:36 +0000 2022|I enjoyed hearing from @NebHospitals on how we can work together to sustain Nebraskans' access to quality care through workforce development and innovative tools like telehealth. Thanks for taking the time! https://t.co/GedmM5PtVD|en|R|1|6
1518924874269528070|296245061|Tue Apr 26 12:08:04 +0000 2022|Today, my staff will host #NE03 Mobile Offices at the Sherman County Courthouse in Loup City &amp; the Garfield County Courthouse in Burwell. Please plan to stop by if you need assistance with a federal agency or have thoughts to share. https://t.co/0WkFf0ojkG|en|R|1|1
1518669506511609859|296245061|Mon Apr 25 19:13:20 +0000 2022|"Infrastructure and supply chain challenges, not IP, are standing in the way of vaccinating the world. 

Handing over the keys to America’s innovation engine through a TRIPS waiver is not the answer. https://t.co/0gDyl5gRH4"|en|R|1|5
1518018131003953152|296245061|Sun Apr 24 00:05:00 +0000 2022|"I am continuing to monitor the wildfires across Southern Nebraska. I encourage all Nebraskans to stay vigilant and listen to their local authorities. Please stay safe. 

https://t.co/0GSymicpgj"|en|R|3|9
1517572330121273351|296245061|Fri Apr 22 18:33:33 +0000 2022|"There is a crisis at our southern border, and President Biden is only making it worse.

Proud to join @RepArrington and @RepMikeJohnson in this important effort.⬇️ https://t.co/a8QAXfluJd"|en|R|4|17
1517221447994904576|296245061|Thu Apr 21 19:19:16 +0000 2022|"Congratulations to the winners of this year’s Congressional Art Competition and to all students who submitted their work!

Read more⤵️
https://t.co/QxvrnOVr6U"|en|R|1|3
1516775403020595203|296245061|Wed Apr 20 13:46:51 +0000 2022|"Celebrating Nebraska’s 5 national parks during #NationalParkWeek! I'm proud to have led the effort in Congress to properly name our newest: @HomesteadNHP.

This park memorializes the site of the first Homestead claim, a reminder of the American dream for future generations. https://t.co/M0fpRwLf79"|en|R|2|9
1516573487128887301|296245061|Wed Apr 20 00:24:30 +0000 2022|I appreciated the chance to visit with students and tour the new community-funded Ag Education Complex at Morrill High today. https://t.co/0GCP3Vldwo|en|R|2|9
1516502021947469832|296245061|Tue Apr 19 19:40:31 +0000 2022|I am saddened by the loss of my former colleague Brad Ashford. While serving Nebraskans, Brad was willing to look at all sides of an issue, and he never quit. His family is in my prayers.|en|R|2|15
1516078096620797953|296245061|Mon Apr 18 15:36:00 +0000 2022|"A #TaxDay reminder that President Biden wants to audit you more and increase taxes on everything from energy to money you don’t have yet.

Great op-ed from @GroverNorquist on how the president wants to make a bad day even worse for American families. 

https://t.co/uKCi2JJ13C"|en|R|3|6
