id|user|created_at|text|lang|label|retweet_count|favorite_count
1507370144678490119|2964526557|Fri Mar 25 14:53:42 +0000 2022|"After almost 2 years, there will be a phased ""reopening"" of the U.S. Capitol to visitors. The distance between cons… https://t.co/BJMYXlm4a3"|en|R|4|4
1507354313290657797|2964526557|Fri Mar 25 13:50:48 +0000 2022|Religious freedom for ALL is not protected under Democrat control. #DemsFridayFails|en|R|1|1
1507140499538333703|2964526557|Thu Mar 24 23:41:11 +0000 2022|The price of gas in Weston today. #BidenGasCrisis https://t.co/6CUS3Vc3gn|en|R|2|5
1506010915514191874|2964526557|Mon Mar 21 20:52:37 +0000 2022|I am proud to introduce the Make Medicine in America Again Act. It is vital to our national health and security tha… https://t.co/NhZA9wdTiq|en|R|3|8
1505016701422813184|2964526557|Sat Mar 19 03:01:58 +0000 2022|I am saddened by the death of Alaska Rep. Don Young. The Dean of the House and truly legendary figure in the chambe… https://t.co/59mugWMXRP|en|R|3|4
1504901921932464133|2964526557|Fri Mar 18 19:25:52 +0000 2022|I will always defend your right to keep and bear arms. I will always fight to stop the radical left’s anti-gun agen… https://t.co/geVA5Pw12N|en|R|1|4
1504843597060915243|2964526557|Fri Mar 18 15:34:06 +0000 2022|I am proud to be an original co-sponsor of @RepCloudTX bill to ensure the federal government doesn’t build a federa… https://t.co/161oI73x9Q|en|R|2|4
1504820986193059842|2964526557|Fri Mar 18 14:04:15 +0000 2022|President Biden’s national average gas price today: $4.27 vs. President Trump’s national average gas price in March… https://t.co/SmvAnwSIKH|en|R|4|11
1504463873814020096|2964526557|Thu Mar 17 14:25:13 +0000 2022|"Happy #StPatricksDay 
Luck of the Irish to you! 🍀 https://t.co/l21ogicwo6"|en|R|1|9
1504148424261873671|2964526557|Wed Mar 16 17:31:44 +0000 2022|Gas prices are on the rise and the need for American energy independence is as important as ever. Energy independen… https://t.co/cbG2uUP2Lq|en|R|15|47
1504096773412950020|2964526557|Wed Mar 16 14:06:30 +0000 2022|This morning, Congress heard a powerful and moving message for peace from Ukrainian President Volodymyr Zelenskyy.… https://t.co/79KlqLj4ul|en|R|2|15
1503824262955778048|2964526557|Tue Mar 15 20:03:38 +0000 2022|Inflation has now pushed the number of households living paycheck to paycheck to the same levels as 2020. That's ne… https://t.co/5oaLfD5WS4|en|R|4|6
1503738193031610381|2964526557|Tue Mar 15 14:21:37 +0000 2022|The impact of rising inflation is real and is doing significant harm to family budgets. American energy independenc… https://t.co/caZK7KdreG|en|R|3|2
1503445127515279362|2964526557|Mon Mar 14 18:57:05 +0000 2022|My piece in the @WSJ https://t.co/8RfaO9PvgK|en|R|1|6
1502393653892947972|2964526557|Fri Mar 11 21:18:54 +0000 2022|Inflation was nearing a 40 year high before the Russia Ukraine crisis. Nancy Pelosi &amp; Joe Biden have already spent… https://t.co/X49q3dw4lR|en|R|5|6
