id|user|created_at|text|lang|label|retweet_count|favorite_count
1507066333028134920|199325935|Thu Mar 24 18:46:28 +0000 2022|The impact of Putin’s invasion of Ukraine on fuel prices across the world proves once and for all that fossil fuels… https://t.co/I4YyKqESK7|en|D|14|61
1506763251757076487|199325935|Wed Mar 23 22:42:08 +0000 2022|Proud to join @IndyMayorJoe and other community partners to announce a $9.4 million dollar grant from @HUDgov to he… https://t.co/teINn2PjpD|en|D|10|55
1506660995531427849|199325935|Wed Mar 23 15:55:48 +0000 2022|#WomensHistoryMonth is a great opportunity to honor the women who encourage and strengthen us. They deserve to be c… https://t.co/iYK7FcZCjK|en|D|3|18
1506308874759987214|199325935|Tue Mar 22 16:36:36 +0000 2022|The Israeli government is attempting to push out 38 Palestinian families in al-Walaja from their homes and demolish… https://t.co/wI2XL0otRs|en|D|404|743
1506267291746504711|199325935|Tue Mar 22 13:51:22 +0000 2022|Indiana is now home to many refugees from Afghanistan who are celebrating #Nowruz, the Persian New Year, here in Am… https://t.co/iousgq2iiy|en|D|7|57
1505927619354800131|199325935|Mon Mar 21 15:21:37 +0000 2022|Judge Ketanji Brown Jackson's nomination to #SCOTUS has received support from 500 law professors, 100 general couns… https://t.co/HxtkMu9oMX|en|D|7|22
1505179152617558021|199325935|Sat Mar 19 13:47:29 +0000 2022|I’m very saddened to hear of the passing of my @TransportDems colleague, and the Dean of the House of Representativ… https://t.co/Fzv0AWDvpS|en|D|2|23
1504852879915499522|199325935|Fri Mar 18 16:11:00 +0000 2022|For Black women in many workplaces, choosing to wear their hair natural is a risk that could cost them their job. T… https://t.co/unaQZWPUIj|en|D|22|143
1504532299710357508|199325935|Thu Mar 17 18:57:07 +0000 2022|#WomensHistoryMonth is a wonderful opportunity to honor all the women servicemembers and veterans who have answered… https://t.co/5lqqftrEf9|en|D|3|16
1504476641933754374|199325935|Thu Mar 17 15:15:57 +0000 2022|Happy #SaintPatricksDay, Hoosiers! Have a fun and safe holiday. https://t.co/FtpzFRALRV|en|D|17|133
1504185831682154506|199325935|Wed Mar 16 20:00:23 +0000 2022|This is wonderful news! Granting Temporary Protected Status for Afghans is a critical step we must take to strength… https://t.co/pYorZvXFLJ|en|D|3|15
1504093671288889349|199325935|Wed Mar 16 13:54:10 +0000 2022|I thank President Zelenskyy for his impassioned speech to Congress this morning. As the world's leading Democracy,… https://t.co/OpYwVTfGPY|en|D|10|88
1503888847502983175|199325935|Wed Mar 16 00:20:16 +0000 2022|"It was wonderful to meet with Ukrainian Ambassador
@OMarkarova today, where I reaffirmed my commitment to supportin… https://t.co/vbxwMwNENZ"|en|D|16|140
1503868831269335040|199325935|Tue Mar 15 23:00:44 +0000 2022|Big news! @POTUS has signed a government funding bill into law that includes more than $3.4 million dollars I secur… https://t.co/SmMOxUoeEz|en|D|3|20
1503799499734634508|199325935|Tue Mar 15 18:25:14 +0000 2022|The gender pay gap is an injustice we must remedy. Women across America are not receiving equal pay for equal work,… https://t.co/6895Ays8Vp|en|D|3|31
1503461420729614343|199325935|Mon Mar 14 20:01:50 +0000 2022|My Youth Opportunities Fair is happening now! Click the link below to connect with local jobs, internships, and vol… https://t.co/vuIy4bXMaF|en|D|2|2
1503417315345551363|199325935|Mon Mar 14 17:06:34 +0000 2022|These @jagindiana students from Shortridge High School are getting ready for today's Youth Opportunities Fair, and… https://t.co/ZZAJY3ThUO|en|D|3|17
1502787575756558343|199325935|Sat Mar 12 23:24:13 +0000 2022|Congress and the Biden Administration are taking important steps to support #Ukraine. We must continue to help stre… https://t.co/e8Jr5lwffm|en|D|5|40
1502755811575177222|199325935|Sat Mar 12 21:17:59 +0000 2022|Tune in to @MSNBC today at 5pm where I’ll be speaking with @TheRevAl about what Congress is doing to help #Ukraine.|en|D|5|38
1502375504032280580|199325935|Fri Mar 11 20:06:47 +0000 2022|Today marks one year since @POTUS signed the #AmericanRescuePlan into law. In that time, it has benefited Hoosiers… https://t.co/hxZMgShj4r|en|D|6|29
1502009182454697984|199325935|Thu Mar 10 19:51:09 +0000 2022|Last evening, the House passed a government funding bill for the remainder of the fiscal year. This strong legislat… https://t.co/nGoJJN7taN|en|D|6|20
1501349330543943684|199325935|Wed Mar 09 00:09:08 +0000 2022|I support @POTUS' actions to ban Russian energy imports. This is an important step we must take to hold Russia acco… https://t.co/0PWjsRS6xL|en|D|6|66
1501281145522212882|199325935|Tue Mar 08 19:38:12 +0000 2022|I'm pleased to support this legislation! As my colleague said: HBCU's can overcome any challenge, but those challen… https://t.co/ysz6So917D|en|D|2|14
1501252890316480522|199325935|Tue Mar 08 17:45:55 +0000 2022|Happy #InternationalWomensDay! Today and every day, I'm grateful for the women throughout my life who inspire and m… https://t.co/MizUf115vc|en|D|5|15
1501213484377423887|199325935|Tue Mar 08 15:09:20 +0000 2022|Today, @HouseIntel will be holding our annual hearing on the current worldwide threats facing the United States. Yo… https://t.co/9HoMm9iMEE|en|D|2|6
1501199347232423940|199325935|Tue Mar 08 14:13:09 +0000 2022|Indiana received over $715 million for 88 colleges and universities, including $157 million for community colleges,… https://t.co/sJ0aJDRzKz|en|D|34|174
1500925268097224711|199325935|Mon Mar 07 20:04:04 +0000 2022|I'm honored to introduce a resolution reaffirming and strengthening America's commitment to the International Day f… https://t.co/ctE7pjPXgM|en|D|3|32
1499798407019474949|199325935|Fri Mar 04 17:26:19 +0000 2022|The growth of the U.S. economy continues to defy expectations. This didn't happen by accident. It's because of the… https://t.co/HvCkwZkpFP|en|D|12|38
1499778279343013888|199325935|Fri Mar 04 16:06:20 +0000 2022|Today at 2 pm I'll be on @1067WTLC to discuss my upcoming Youth Opportunities Fair and other news of the day. Be su… https://t.co/mXWJg7hh9U|en|D|2|4
1499152213133963267|199325935|Wed Mar 02 22:38:35 +0000 2022|Today, @TransportDems voted to advance my bill to make Duck Boats safer. This is a big priority for our community,… https://t.co/TIlPmpmDM6|en|D|3|15
1499043808939552772|199325935|Wed Mar 02 15:27:49 +0000 2022|I'm very pleased that during today's markup, we will consider my Duck Boat Safety Improvement Act, which will make… https://t.co/zNu5LQFjB5|en|D|5|23
1498859298696409089|199325935|Wed Mar 02 03:14:38 +0000 2022|During tonight's #SOTU Address, @POTUS made it clear: Don't bet against America and our people. I share his vision… https://t.co/w1YICnoxWQ|en|D|6|64
1498670046075367437|199325935|Tue Mar 01 14:42:37 +0000 2022|Today at 10 AM ET I will be testifying at a @HouseJudiciary hearing focused on stopping discrimination faced by Mus… https://t.co/iTYOUJCY7h|en|D|5|35
1498435655243808778|199325935|Mon Feb 28 23:11:14 +0000 2022|I'm honored to join with @RepRichHudson, @SenSherrodBrown and @SenJohnBarrasso to reintroduce a bipartisan resoluti… https://t.co/41xik1Y4q6|en|D|0|22
1498384020727640064|199325935|Mon Feb 28 19:46:03 +0000 2022|67 years since the murder of Emmett Till, lynching is still not a federal hate crime. In fact, since 1900, there ha… https://t.co/FNaSgtPXxN|en|D|5|54
1497674052219060224|199325935|Sat Feb 26 20:44:54 +0000 2022|Today on @MSNBC I spoke about what I think America must do to support #Ukraine and stop Russia’s aggression. I also… https://t.co/Sm5bl9jWcB|en|D|11|42
1497629493795635207|199325935|Sat Feb 26 17:47:50 +0000 2022|Be sure to tune in to @MSNBC today at 1:15 PM ET where I’ll be speaking with @AlexWitt about the crisis in Ukraine… https://t.co/1f2npOQ56I|en|D|4|37
1497271566064918533|199325935|Fri Feb 25 18:05:33 +0000 2022|Today I was honored to celebrate the groundbreaking of @IndyGoBus' Purple Line! I fought hard to fund this project… https://t.co/oxXpeqHVVz|en|D|6|83
1497228350368190470|199325935|Fri Feb 25 15:13:50 +0000 2022|Congratulations to Judge Ketanji Brown Jackson, who has been nominated by @POTUS to the Supreme Court! She is emine… https://t.co/kDu9hCiyE7|en|D|12|97
1496872261114019844|199325935|Thu Feb 24 15:38:52 +0000 2022|My prayers are with the people of Ukraine as they face an unjust attack by Russia. This is a clear power grab and a… https://t.co/1uGhT6sFF2|en|D|24|111
1496604826209333252|199325935|Wed Feb 23 21:56:10 +0000 2022|A reminder to organizations interested in participating in my Youth Opportunities Fair this year: The deadline to a… https://t.co/Z1WYnASEtK|en|D|4|5
1496238679094104066|199325935|Tue Feb 22 21:41:14 +0000 2022|Be sure to tune in tonight for this timely discussion! https://t.co/GDASIC1f2M|en|D|3|11
