id|user|created_at|text|lang|label|retweet_count|favorite_count
1507414230617653250|1080277407867772930|Fri Mar 25 17:48:53 +0000 2022|This discovery displays just how important the work of the @January6thCmte is in protecting our democracy. All part… https://t.co/QX2UKHn5t0|en|D|2|6
1507411939433066496|1080277407867772930|Fri Mar 25 17:39:47 +0000 2022|"Number of abortion clinics in:
Kentucky: 2
Arkansas: 2
Alabama: 5

With the future of Roe uncertain and extreme ant… https://t.co/4p9y6818ZT"|en|D|1|8
1507403726683873286|1080277407867772930|Fri Mar 25 17:07:09 +0000 2022|I hear from young Michiganders every day about how much of a relief it would be if @POTUS were to… https://t.co/WZUbxS5d9X|en|D|5|17
1507380787347398676|1080277407867772930|Fri Mar 25 15:36:00 +0000 2022|Tune in now as I chat with @BankoleDetNews on U.S.-Haiti policy. https://t.co/VRCaIYqJq5 https://t.co/EG5v0S1E3U|en|D|3|0
1507118811899523095|1080277407867772930|Thu Mar 24 22:15:00 +0000 2022|"The Exxon Valdez Oil Spill:

•Leaked 11 million gallons of oil into the ocean;
•Affected more than 1,300 miles of s… https://t.co/XBUCard5jU"|en|D|6|22
1507103762892087300|1080277407867772930|Thu Mar 24 21:15:12 +0000 2022|Tune into @BloombergRadio shortly! I'll be on with @JMathieuReports to discuss the latest in Ukraine.|en|D|3|8
1507101419945570306|1080277407867772930|Thu Mar 24 21:05:53 +0000 2022|Since 2021, 52,145 people have died from gun violence and 4,779 children have been shot. Today, we honor the victim… https://t.co/CRD9IY8PJS|en|D|9|25
1507054734229835781|1080277407867772930|Thu Mar 24 18:00:23 +0000 2022|In 2021, Exxon, Chevron, Shell and BP raked in more than $75 billion in profits. Chevron called it “one of the most… https://t.co/a1ll1d3We4|en|D|27|80
1507039468427042824|1080277407867772930|Thu Mar 24 16:59:43 +0000 2022|The U.S. can't claim to be a global safe haven for the oppressed &amp; persecuted if we turn away refugees seeking safe… https://t.co/x6CUtzs0A9|en|D|34|87
1507036282144362504|1080277407867772930|Thu Mar 24 16:47:03 +0000 2022|It’s beyond me that with inflation straining the lives of hardworking Americans, Congress has not increased the fed… https://t.co/nwm4jYlm5V|en|D|4|24
1507018167066918913|1080277407867772930|Thu Mar 24 15:35:04 +0000 2022|I'm heartened to see @POTUS' announcement that the U.S. will take in 100K Ukrainians fleeing Putin's war of aggress… https://t.co/5zWUiwe25E|en|D|22|79
1506753423831617543|1080277407867772930|Wed Mar 23 22:03:05 +0000 2022|Let’s talk about the price of prescription drugs. This is an issue I’ve been fighting on for years, long before I c… https://t.co/6LE1px7EsI|en|D|11|38
1506751186724171785|1080277407867772930|Wed Mar 23 21:54:11 +0000 2022|This week’s @StateDept determination that military forces in Burma committed atrocities that amount to genocide aga… https://t.co/enNEIpd7Y3|en|D|0|15
1506707352753344512|1080277407867772930|Wed Mar 23 19:00:00 +0000 2022|We must address medical racism and health discrimination—now. The @CDCGov identifies systemic racism as a leading d… https://t.co/wOkWodnw73|en|D|0|13
