id|user|created_at|text|lang|label|retweet_count|favorite_count
1507094990165581831|1080222360643485698|Thu Mar 24 20:40:20 +0000 2022|ICYMI: This month, Congress approved $13.3 billion for special education – an increase of $400 million over last ye… https://t.co/gm6n4j9Hgb|en|D|8|20
1507048095636283422|1080222360643485698|Thu Mar 24 17:34:00 +0000 2022|I’m always happy to catch up with my spring DC and District Office interns, Alexis and Ryan! Great interns like the… https://t.co/mbuN4wsE1E|en|D|7|14
1506994524278730752|1080222360643485698|Thu Mar 24 14:01:07 +0000 2022|Attention all high school artists in #MN02! My office is now accepting submissions for this year's… https://t.co/BZewk9UZ4U|en|D|6|4
1506730476706443266|1080222360643485698|Wed Mar 23 20:31:54 +0000 2022|Today, the world lost a trailblazer who dedicated her life &amp; career to diplomacy, peace and democracy. The world is… https://t.co/L2dGP6t0Ef|en|D|6|11
1506683694307758089|1080222360643485698|Wed Mar 23 17:26:00 +0000 2022|I’m gonna hold you to that promise, Commissioner. Appreciate my colleagues over at @WaysMeansCmte for holding this… https://t.co/JoDijDwwd2|en|D|7|9
1506619515190366209|1080222360643485698|Wed Mar 23 13:10:58 +0000 2022|Join me tonight at 6:00 PM for my tele town hall! You can join by dialing in at 833-364-1471. And if you have a que… https://t.co/RnZseWfxcB|en|D|3|4
1506392499325132807|1080222360643485698|Tue Mar 22 22:08:53 +0000 2022|Financial and market literacy is such an important part of education. Glad I was able to meet with students and tea… https://t.co/fGUCjjz2R0|en|D|8|22
1506339980515368960|1080222360643485698|Tue Mar 22 18:40:12 +0000 2022|This is great to see! After a difficult couple of years, it's amazing to see what the small business community has… https://t.co/qTzdyA4V3e|en|D|6|9
1506269837416443905|1080222360643485698|Tue Mar 22 14:01:29 +0000 2022|This week marks 12 years since the enactment of the Affordable Care Act, which helped to make health care accessibl… https://t.co/pvXcN36mbW|en|D|13|54
1505991295826907145|1080222360643485698|Mon Mar 21 19:34:39 +0000 2022|We’re changing it up and planning to get back in person! Catch a Town Hall each month – now to include an in-person… https://t.co/NXHWbKm3Ct|en|D|9|11
1505648513790754819|1080222360643485698|Sun Mar 20 20:52:33 +0000 2022|Defining CBD as a non-controlled substance will help to clarify our laws and keep small business owners in Minnesot… https://t.co/HCBBoq2c0d|en|D|13|33
1505291100621262852|1080222360643485698|Sat Mar 19 21:12:20 +0000 2022|Gas prices are too high for working families right now. One step we could take to ease the burden on folks in Minne… https://t.co/XooABbhgnw|en|D|37|111
1505244989969911809|1080222360643485698|Sat Mar 19 18:09:06 +0000 2022|We must do more to confront the opioid epidemic in our communities and put a stop to the trafficking of fentanyl an… https://t.co/5NaJkDiHpL|en|D|7|14
1504925611021651970|1080222360643485698|Fri Mar 18 21:00:00 +0000 2022|Too often it seems that rural voices are left out of the conversation in DC – which is why I introduced the Rural P… https://t.co/ndQsWhS7Je|en|D|8|21
1504901311275405312|1080222360643485698|Fri Mar 18 19:23:26 +0000 2022|Believe it or not I needed to introduce a bill in Washington to try and prevent government payments to deceased Ame… https://t.co/D54B7d0WiG|en|D|8|14
1504849232741740549|1080222360643485698|Fri Mar 18 15:56:30 +0000 2022|Without reliable internet at home, many students are at risk of falling behind– especially as more and more schoolw… https://t.co/a29b1k30M3|en|D|8|25
1504566679745056780|1080222360643485698|Thu Mar 17 21:13:44 +0000 2022|Shoring up local infrastructure is critical to our economic development in #MN02. I’m so glad to know that these fu… https://t.co/Ap9QURVN3T|en|D|5|13
1504519013178691585|1080222360643485698|Thu Mar 17 18:04:20 +0000 2022|We need to use every available tool in our toolbox to unravel our global supply chains and lower costs for working… https://t.co/MlVmaH6ubW|en|D|10|18
1504460531926712325|1080222360643485698|Thu Mar 17 14:11:56 +0000 2022|Happy St. Patrick’s Day #MN02! Hope it’s a lucky one! https://t.co/BLh643BGOY|en|D|4|12
1504199516496539648|1080222360643485698|Wed Mar 16 20:54:46 +0000 2022|"Congrats to Brent Sass, a Minnesota native and the winner of this year’s Iditarod!
https://t.co/ng0JdEBgrR"|en|D|2|13
1504182909502111754|1080222360643485698|Wed Mar 16 19:48:46 +0000 2022|Folks at the National Eagle Center in Wabasha work tirelessly to educate about the ecology, biology &amp; natural histo… https://t.co/1KV2djrxHa|en|D|5|25
1504169203355594759|1080222360643485698|Wed Mar 16 18:54:18 +0000 2022|Over the past week, the price of crude oil plummeted by more than 20%. And yet gas prices remain painfully high. It… https://t.co/X4yfXJYeIQ|en|D|7|17
1504155017707757578|1080222360643485698|Wed Mar 16 17:57:56 +0000 2022|Improving services at the IRS and resolving millions of back-logged cases has been a top priority of mine in the 11… https://t.co/NnxBXlXvbB|en|D|7|14
1504119412206485505|1080222360643485698|Wed Mar 16 15:36:27 +0000 2022|Impossible not to be moved by @ZelenskyyUa’s bravery and leadership during his address to Congress this morning. Am… https://t.co/fjTNKKYBUG|en|D|11|56
1503806485855232009|1080222360643485698|Tue Mar 15 18:53:00 +0000 2022|If Members of Congress want to fly first-class, their constituents shouldn’t be stuck with the bill. Proud to lead… https://t.co/LpqMbbLg6Q|en|D|16|45
