id|user|created_at|text|lang|label|retweet_count|favorite_count
1507381519526076434|1080515866255593472|Fri Mar 25 15:38:54 +0000 2022|"Democrats’ energy policy is handing out more money we don’t have. It’s a recipe for disaster.

Allow us to get infr… https://t.co/pkfTj8rhWs"|en|R|2|4
1507326682339987463|1080515866255593472|Fri Mar 25 12:01:00 +0000 2022|Today we recognize the heroism and sacrifice of the servicemembers who have earned America's highest military award… https://t.co/l57WsIxQxZ|en|R|1|5
1506693453333377026|1080515866255593472|Wed Mar 23 18:04:46 +0000 2022|I had the chance to talk with students at Lidgerwood High School who are participating in @SIFMAFoundation's challe… https://t.co/4z5pbJgv5y|en|R|3|16
1506318555385630722|1080515866255593472|Tue Mar 22 17:15:04 +0000 2022|"Agriculture is more than just North Dakota's largest industry. It is a way of life for many across our state.

To a… https://t.co/mN1bqOZXMk"|en|R|2|10
1505003850863894533|1080515866255593472|Sat Mar 19 02:10:54 +0000 2022|Don Young was larger than life and a huge force in the House of Representatives. His love for his state and his wil… https://t.co/oahJR9EQxT|en|R|67|476
1504600972009615362|1080515866255593472|Thu Mar 17 23:30:00 +0000 2022|The Biden administration’s mask mandate extension for transportation doesn’t make any sense. We need to end this ar… https://t.co/GrUloe9PTH|en|R|1|9
1504574078811885576|1080515866255593472|Thu Mar 17 21:43:08 +0000 2022|I served with @ErinOban in the state senate. She is smart, thoughtful, and will work hard every day for the people… https://t.co/sFH26sYMQx|en|R|1|73
1504469424278937600|1080515866255593472|Thu Mar 17 14:47:17 +0000 2022|Happy St. Patrick's Day! https://t.co/rEOAuFy9hu|en|R|1|8
1504183885315424259|1080515866255593472|Wed Mar 16 19:52:39 +0000 2022|Students from Billings County, Fessenden-Bowdon, and Wilton are in DC this week to get a firsthand look at how our… https://t.co/Btdbu3rjSr|en|R|2|12
1503858579660541953|1080515866255593472|Tue Mar 15 22:20:00 +0000 2022|Rural Leadership North Dakota is a program that helps develop the next generation of leaders in our state. Thank yo… https://t.co/p2UdbMaaqZ|en|R|1|6
1503837938198667272|1080515866255593472|Tue Mar 15 20:57:59 +0000 2022|This week is National Tribal Colleges and Universities Week. It was great to have the presidents of… https://t.co/O29qjbk4hD|en|R|4|8
1503799336894963716|1080515866255593472|Tue Mar 15 18:24:35 +0000 2022|I am always excited to talk with leaders from some of North Dakota's electric co-ops about providing reliable energ… https://t.co/GAorhUH5EI|en|R|1|12
1503757703860178947|1080515866255593472|Tue Mar 15 15:39:09 +0000 2022|I am a member of the House Impact Aid Coalition, which brings together lawmakers representing federally impacted pu… https://t.co/pIZTZLjPAE|en|R|1|2
1502675574363504643|1080515866255593472|Sat Mar 12 15:59:09 +0000 2022|This week, @RepFischbach and I introduced the Landowner Easement Rights Act. Our legislation will put power back in… https://t.co/hKyMSmd7IZ|en|R|1|3
1501979588259422212|1080515866255593472|Thu Mar 10 17:53:33 +0000 2022|The @NDstate4H pollinator ambassador team is in DC this week to learn from other students from across the nation. I… https://t.co/tnJimX4os7|en|R|1|1
1501683448917934082|1080515866255593472|Wed Mar 09 22:16:48 +0000 2022|Met with @ImpactDakota CEO and President Jodie Mjoen about fostering manufacturing opportunities in North Dakota. I… https://t.co/8lDwmcxnGK|en|R|2|2
1501647581126049792|1080515866255593472|Wed Mar 09 19:54:17 +0000 2022|.@CloseUp_DC provides students from North Dakota an opportunity to learn more about our federal government. I was e… https://t.co/k3Wb9U2ntU|en|R|1|8
1501347281718685701|1080515866255593472|Wed Mar 09 00:01:00 +0000 2022|Thank you to the North Dakota Bankers Association for stopping by my DC office this afternoon. I appreciate the gre… https://t.co/hiNma8uU5e|en|R|2|24
1501327471760732162|1080515866255593472|Tue Mar 08 22:42:17 +0000 2022|It was great to visit with the North Dakota School Nutrition Association about the importance of providing nutritio… https://t.co/WbyThzm9yH|en|R|2|8
1501220417603780609|1080515866255593472|Tue Mar 08 15:36:53 +0000 2022|Instead of pleading with Saudi Arabia and Venezuela to increase production, @POTUS should look to American energy.… https://t.co/8YqsSujb00|en|R|96|273
1501012400782389249|1080515866255593472|Tue Mar 08 01:50:18 +0000 2022|Ray Holmberg has been a champion for North Dakota, Grand Forks, and District 17 for more than 45 years. He has been… https://t.co/qlrJXRPzHl|en|R|1|17
1499940045578461187|1080515866255593472|Sat Mar 05 02:49:09 +0000 2022|I try and stay away from your crazy, but not tonight. I have worked with the reservations in North Dakota my entire… https://t.co/4DCgd42Z0G|en|R|75|300
1499855863410049026|1080515866255593472|Fri Mar 04 21:14:38 +0000 2022|Though the U.S. House office buildings reopened to the public nearly one year ago, the entrance process remains slo… https://t.co/lhkHSjdZvK|en|R|5|14
1499801964678369281|1080515866255593472|Fri Mar 04 17:40:28 +0000 2022|North Dakota has some of the best teachers in the nation. I appreciate the conversation with principals from Grand… https://t.co/ColtuCXW48|en|R|2|8
1499535342424231942|1080515866255593472|Fri Mar 04 00:01:00 +0000 2022|Welcomed a delegation from @DakotaCUA this week. We discussed the opportunities and challenges impacting North Dako… https://t.co/vlkD61xs6R|en|R|1|3
1499487825326219268|1080515866255593472|Thu Mar 03 20:52:11 +0000 2022|Thank you to @NorthDakotaDOT Director Bill Panos and Deputy Director for Planning Jennifer Turnbow for stopping by… https://t.co/fR69kqFI8X|en|R|1|6
1499410015622348803|1080515866255593472|Thu Mar 03 15:43:00 +0000 2022|Alice Delzer of Mandan serves as the Chaplain for the AMVETS National Ladies Auxiliary. It was great to welcome her… https://t.co/k14mEOuQCi|en|R|1|15
1499167669441937421|1080515866255593472|Wed Mar 02 23:40:00 +0000 2022|.@SanfordHealth provides care to communities large and small across North Dakota. I met their new President and CEO… https://t.co/PmKA1XNK92|en|R|2|5
1499148841081360394|1080515866255593472|Wed Mar 02 22:25:11 +0000 2022|It was great to visit with @NDSoyGrowers today. We discussed WOTUS, WRDA, market access, and tax policies that affe… https://t.co/TQE0hsFk5b|en|R|2|4
1499089167476789256|1080515866255593472|Wed Mar 02 18:28:03 +0000 2022|This $250 million investment will help ensure North Dakota producers continue to provide reliable energy for the co… https://t.co/NEGGYCuekO|en|R|3|16
1499047866366636038|1080515866255593472|Wed Mar 02 15:43:56 +0000 2022|Yesterday I welcomed Barry Vculek from Oakes and @Onionista to DC. I appreciate them stopping by and discussing way… https://t.co/rOVFs7tz8b|en|R|1|0
