id|user|created_at|text|lang|label|retweet_count|favorite_count
1520112802102493184|1339006078688825344|Fri Apr 29 18:48:29 +0000 2022|"We need to lower the tax burden on Americans and their businesses, let them keep more of their money and reduce the regulatory burden so they can compete. Biden's policies are hurting the American people and our small businesses.
https://t.co/a1ZCgjnInI"|en|R|1|6
1519766461211938818|1339006078688825344|Thu Apr 28 19:52:14 +0000 2022|"Proud to receive this award from @ACUConservative! 

I will continue to fight for commonsense conservative policies and promote fundamental American values in Washington. https://t.co/w00mAvSDaZ"|en|R|1|12
1519760431497236481|1339006078688825344|Thu Apr 28 19:28:17 +0000 2022|Fentanyl, drug cartels, human smugglers &amp; potential terrorists are pouring across the border on Joe Biden &amp; Secretary Mayorkas' watch. The admin's surrender at our border is putting countless American lives in danger. We need leadership! Secure the border!|en|R|3|8
1519707778163646472|1339006078688825344|Thu Apr 28 15:59:03 +0000 2022|Is anyone else concerned about Joe Biden? https://t.co/4Kew9SEkMQ|en|R|6|10
1519350795392667648|1339006078688825344|Wed Apr 27 16:20:32 +0000 2022|The Biden admin is giving the green light to every illegal immigrant to come on in. They are not managing anything. They are creating complete chaos. Insanity. https://t.co/9TA91Eqvkm|en|R|4|9
1519338093832294406|1339006078688825344|Wed Apr 27 15:30:04 +0000 2022|"I’m fighting for everyone to have a voice, meanwhile Democrats are having a Chernobyl-level meltdown because *gasp* @elonmusk might end the censure of speech you don't like!

Next year, Republicans will have the House and be fully united to fix the crises your party has created. https://t.co/6tGf04Iv4i"|en|R|5|18
1519034205358985218|1339006078688825344|Tue Apr 26 19:22:31 +0000 2022|As a former guardsman, I'm disgusted by the White House's disdain for this hero who fell fighting the Biden administration's own border crisis. Instead of honoring the brave Texas National Guard member Bishop Evan, this is what we get. Shameful! https://t.co/QSIebRVarr|en|R|11|24
1518999714632454144|1339006078688825344|Tue Apr 26 17:05:28 +0000 2022|"A secure border is a compassionate border. Under President Biden's failed policies, drug &amp; human traffickers are overrunning our border.

Our communities are being invaded, and Biden is complicit."|en|R|11|26
1518680973814431744|1339006078688825344|Mon Apr 25 19:58:54 +0000 2022|"Secretary Mayorkas and President Biden have given the green light to every illegal immigrant that we don't enforce our border laws.

Their negligence has endangered every single American citizen.

Proud to join my colleagues in sending a letter to Secretary Mayorkas. https://t.co/Mi8wRpDljZ"|en|R|4|7
1518676352148385795|1339006078688825344|Mon Apr 25 19:40:32 +0000 2022|"Make free speech free again!

https://t.co/d4cc0HHef1"|en|R|3|15
1518665042023137280|1339006078688825344|Mon Apr 25 18:55:36 +0000 2022|"President Biden promised to declare war on American energy. And how have things work out? 

Skyrocketing gas prices will now cost the average American household an extra $2,000 per year.

Sounds about right for Joe Biden's America Last agenda. 

Unleash American Energy! https://t.co/wahUqDui0D"|en|R|3|7
1518653321762025472|1339006078688825344|Mon Apr 25 18:09:01 +0000 2022|"Big Tech silenced conservative voices that challenged the views of their left-wing CEOs.

Speech isn't truly free if the Left dictates every word.

Now the Left is losing their minds that @elonmusk will allow free speech."|en|R|3|18
1518638878097387520|1339006078688825344|Mon Apr 25 17:11:38 +0000 2022|I'm grateful for companies like @TysonFoods that reinvest in their workers in my district https://t.co/0UTYLDDC7z|en|R|2|4
1518611858470617091|1339006078688825344|Mon Apr 25 15:24:16 +0000 2022|This is horrific news. My prayers are with this guardsman's family. As a former guardsman, I want to thank TX National Guard SPC. Bishop E. Evans of Arlington, TX, for his service to our nation during incredibly difficult circumstances. https://t.co/aQIMamPQlJ|en|R|1|11
