id|user|created_at|text|lang|label|retweet_count|favorite_count
1520045532659519489|1531521632|Fri Apr 29 14:21:10 +0000 2022|I voted YES on the Asset Seizure for Ukraine Reconstruction Act, because it will seize &amp; sell assets of Putin’s cronies to help Ukraine. It’s time to #SanctionPutinsCronies. https://t.co/l9Mi4Qs1Ud|en|D|17|51
1519695490316750851|1531521632|Thu Apr 28 15:10:14 +0000 2022|"Have any old Rxs in the cabinet that are expired or just not needed? 

This Saturday is National Prescription Drug Take Back Day. Help keep your community safe by finding a drop off site near you.

https://t.co/nCJ1KZQzra"|en|D|3|8
1519374550252859392|1531521632|Wed Apr 27 17:54:56 +0000 2022|"#DidYouKnow You have a right under federal law to a free copy of your credit report every 12 months. 

The 3 nationwide credit bureaus have a centralized website, toll-free phone number, &amp; mailing address. 
💻: https://t.co/gERQf6ijki 
☎️: 1-877-322-8228
#FinancialLiteracyMonth"|en|D|9|26
1518960720536387585|1531521632|Tue Apr 26 14:30:31 +0000 2022|"My Congressional website just got a facelift.

Go take a look 👇🏾
https://t.co/MsUXxQXrUF"|en|D|6|26
1518947988307124226|1531521632|Tue Apr 26 13:39:55 +0000 2022|.@TheBlackCaucus #ThingsYouShouldNeverMessWith https://t.co/KKsgFLbPSz|und|D|22|78
1517508536854618113|1531521632|Fri Apr 22 14:20:03 +0000 2022|Happy Earth Day! While we celebrate our environment, we must make serious changes to combat the devastating impacts of climate change and invest in our planet for future generations. By tackling the climate crisis head on, we can build a stronger, healthier, and fairer America. https://t.co/U1Erog5NVr|en|D|11|28
1516476230400618496|1531521632|Tue Apr 19 17:58:02 +0000 2022|"April is #FairHousingMonth! The federal #FairHousingAct prohibits housing discrimination, including setting different terms and conditions for housing opportunities based on:

✊🏿race
👧🏾color
♀️sex
🇸🇴 national origin
👩‍👦familial status
👩🏽‍🦽disability
🕍religion
#KnowYourRights https://t.co/2EHLA1T2g0"|en|D|13|28
1516437985125928965|1531521632|Tue Apr 19 15:26:04 +0000 2022|"🧵 Calling all OH-03 residents! It's #NationalVolunteerWeek, and what better way to spend it than giving back to our Central Ohio community? 

You can give back by... (1/7)"|en|D|9|25
1516073618945495045|1531521632|Mon Apr 18 15:18:12 +0000 2022|"As part of the #AmericanRescuePlan, Democrats expanded the #ChildTaxCredit.  

For every $1 invested, the #CTC provides $10 in economic benefits. 
https://t.co/1zEEX5tk6q"|en|D|12|26
1515833737954709509|1531521632|Sun Apr 17 23:25:00 +0000 2022|"🚨ACTION NEEDED🚨

Remember to file your taxes by TOMORROW, April 18th! Don’t leave any money on the table! https://t.co/wVEqL34Uw2"|en|D|15|29
1515661475477692416|1531521632|Sun Apr 17 12:00:30 +0000 2022|May the miracle of Easter bring you blessings, love, and joy! Happy Easter! https://t.co/FYMM3Sst2M|en|D|13|81
1515072505890971667|1531521632|Fri Apr 15 21:00:08 +0000 2022|Chag pesach sameach to everyone observing Passover! May your seders be a joyous celebration of freedom, faith, and perseverance in the face of overwhelming adversity. https://t.co/JOoAdb9c3y|en|D|9|29
1514966912521936908|1531521632|Fri Apr 15 14:00:33 +0000 2022|For all those celebrating, may this blessed Good Friday bring you mercy, peace, and love. https://t.co/V7lTLRQyfM|en|D|16|41
1514342666644959240|1531521632|Wed Apr 13 20:40:01 +0000 2022|"⌛Time is running out⏳

Make sure to file your taxes by April 18th to get your refund as quickly as possible. Learn more about free filing software here 👇🏾 https://t.co/wVEqL34Uw2"|en|D|11|23
1514260755289419782|1531521632|Wed Apr 13 15:14:32 +0000 2022|"During #BlackMaternalHealthWeek, we recognize all the efforts of everyone who has spoken out and taken action to address the heart-wrenching Black maternal health crisis in our country.
#BMHW22 https://t.co/HA3w1VtKIX"|en|D|23|49
1513546028812746761|1531521632|Mon Apr 11 15:54:28 +0000 2022|"We know the facts.

Black mothers are nearly 3x as likely to die in childbirth.

Infant mortality is nearly 2x as high in Black communities.

We need the #Momnibus Act to invest in communities and give Black mamas &amp; babies the care they deserve.

#BlackMaternalHealthWeek #BMHW22"|en|D|74|214
1513292996338495490|1531521632|Sun Apr 10 23:09:00 +0000 2022|Have you filed your taxes? April 18th is the LAST day you can file. Don’t wait and stress about the process. File today and get your refunds sooner! https://t.co/wVEqL34Uw2|en|D|8|30
1512498285197635589|1531521632|Fri Apr 08 18:31:06 +0000 2022|Proud to join some of my congressional colleagues to witness history at the @WhiteHouse today. #JusticeKetanjiBrownJackson https://t.co/34HTp3iU4C|en|D|21|157
1512433025824473099|1531521632|Fri Apr 08 14:11:47 +0000 2022|You know @TheBlackCaucus will be there to celebrate! https://t.co/OjmWqXOuiQ|en|D|14|84
1512245059177132037|1531521632|Fri Apr 08 01:44:52 +0000 2022|".@TheBlackCaucus has stood with #JudgeKetanjiBrownJackson since the beginning and we’ll be standing with her when she takes the bench later this year. 

Today’s vote has shattered another glass ceiling.

#JusticeKetanjiBrownJackson https://t.co/7njyhK2MeW"|en|D|51|324
1512137744453152771|1531521632|Thu Apr 07 18:38:27 +0000 2022|"“My parents taught me that, unlike the many barriers that they had to face growing up, my path was clearer—such that if I worked hard and believed in myself, in America I could do anything or be anything I wanted to be.”

-#JusticeKetanjiBrownJackson https://t.co/d5f95kYUBd"|en|D|53|249
1512087406329040896|1531521632|Thu Apr 07 15:18:25 +0000 2022|"Today is the day.

Judge Ketanji Brown Jackson will be our next #SCOTUS justice."|en|D|35|298
1511797296878563335|1531521632|Wed Apr 06 20:05:38 +0000 2022|At today's @FSCDems hearing, I asked @SecYellen for the latest news on Ukraine refugee aid and the #Tubman20. Watch it all here 👇🏾 https://t.co/ynV8cdyExT|en|D|12|33
1511742779541573635|1531521632|Wed Apr 06 16:29:00 +0000 2022|"While Big Oil companies are reaping record profits, Americans are suffering at the pump. 

@HouseDemocrats are demanding answers. It’s time for Big Oil to explain why they’re #RippingOffAmericans. https://t.co/xNfN1bs4pr"|en|D|371|638
1511381359738208262|1531521632|Tue Apr 05 16:32:50 +0000 2022|"Early voting for Ohio primary elections has officially begun! 

Now is the time to request your absentee ballot, learn more about the candidate and races, and make your voice heard!
https://t.co/XcDkhLjMuO"|en|D|12|18
1511370456665886728|1531521632|Tue Apr 05 15:49:31 +0000 2022|".@HouseDemocrats are taking strong action to lower costs for American families with the Affordable Insulin Now Act – bipartisan legislation to cap families’ out-of-pocket costs for insulin at $35/month.

https://t.co/tBqRY76Rly"|en|D|7|29
1511172016333799424|1531521632|Tue Apr 05 02:40:59 +0000 2022|"54 years ago today, Dr. Martin Luther King Jr. was murdered in Memphis, Tennessee.

Tonight, I joined together with @OfficialMLK3 and the King family at the King Memorial for a candlelight vigil in remembrance of Dr. King. https://t.co/RhotAsxPzc"|en|D|15|79
1511014753807880202|1531521632|Mon Apr 04 16:16:05 +0000 2022|"#KetanjiBrownJackson is making HISTORY! 

Join @MishaCollins and I LIVE on Instagram @ 5:30PM to learn more about this historic moment.

#ConfirmJudgeJackson #WinWithBlackWomen https://t.co/WmoWs21xz7"|en|D|68|337
1510754268357304323|1531521632|Sun Apr 03 23:01:00 +0000 2022|"🚨ACTION NEEDED🚨 

Ohio, TOMORROW is the LAST day you can register to vote in the May primaries. Voting is the first step in making a change, and it’s important to show your power while voting rights are under attack. Register now! https://t.co/6be1Y7WNGL"|en|D|47|72
1510640779592712205|1531521632|Sun Apr 03 15:30:02 +0000 2022|"Calling all OH-03 residents! 

Today is Community Day at the Franklin Park Conservatory and Botanical Gardens! Bring your Columbus or Franklin County ID to receive free general admission to the gardens, collections, and exhibits. This is a day you don’t want to miss!"|en|D|20|54
1510376548322447365|1531521632|Sat Apr 02 22:00:05 +0000 2022|Ramadan Mubarak! For all those celebrating, may this Ramadan bring you prosperity and joy! https://t.co/eLKpHUbWIn|en|D|8|29
1510370238776451073|1531521632|Sat Apr 02 21:35:00 +0000 2022|Everyone’s favorite time of the year is here. Tax season can be overwhelming, but the IRS is setting out to make this task easier. Learn more about the IRS’s free filing options for Americans who make less than $73,000 a year here 👇🏾 https://t.co/wVEqL34Uw2|en|D|4|12
1510357407792250888|1531521632|Sat Apr 02 20:44:01 +0000 2022|105 years ago, Jeannette Rankin was sworn in as the first woman in Congress. Throughout her tenure, Rankin fought for women’s suffrage, labor workers, and better healthcare for women and children. Thank you Rep. Rankin for opening the doors for women to hold national office. https://t.co/E8KkGJp1x6|en|D|22|81
1509927855660146700|1531521632|Fri Apr 01 16:17:08 +0000 2022|"The new #JobsData shows MASSIVE economic growth under @POTUS Biden:

⏫431,000 jobs added in March

⏬Unemployment rate fell to 3.6%

🚀An average of 565,000 jobs added a month under President Biden https://t.co/iZFHIXajl7"|en|D|20|46
1509903892854808580|1531521632|Fri Apr 01 14:41:55 +0000 2022|#BidenBoom https://t.co/cgQSBC5M2H|und|D|8|30
1509571243388940299|1531521632|Thu Mar 31 16:40:05 +0000 2022|"26% of Americans with diabetes ration their insulin at least once a year.

No one should put themselves at grave risk because of the cost of their meds. 

That’s why I’m voting to pass the #AffordableInsulinNow Act to cap the cost of insulin at $35/month. https://t.co/7AVZ0JkQzv"|en|D|22|54
1509556434463305728|1531521632|Thu Mar 31 15:41:14 +0000 2022|Proud to support @RepAdams and the @HBCUCaucus for the 5th Annual #HBCUSTEAM Day of Action! HBCUs make up more than 1/3 of Black STEM degrees, and the #HBCUPartnershipChallenge is forging sustainable partnerships to create more jobs and resources for our HBCU students.|en|D|5|19
1509542225717440513|1531521632|Thu Mar 31 14:44:47 +0000 2022|Today, on Transgender Day of Visibility, we celebrate and support trans people everywhere. Trans people exist and deserve to live their lives authentically without the fear of discrimination, and our laws must reflect this. #TransDayOfVisibility https://t.co/o62zdnQDt0 https://t.co/5AVwndzRfd|en|D|5|27
1509189941821120512|1531521632|Wed Mar 30 15:24:56 +0000 2022|"Yesterday marked the first Ohio Tuskegee Airmen Day!

These heroic Black men bravely and skillfully defended our nation while facing discrimination at home.

I was proud to honor their sacrifices and uplift their legacies on the House floor. https://t.co/RvXIFAoBYK"|en|D|11|52
1508900555497873413|1531521632|Tue Mar 29 20:15:01 +0000 2022|"In 1955, the lynching of 14-year-old Emmett Till sent shockwaves through the country and ignited the civil rights movement. 

Today, @POTUS is finally making lynching a federal hate crime by signing @RepBobbyRush’s #AntilynchingAct into law. https://t.co/M0tV3DWdCb"|en|D|52|143
1508851901315620866|1531521632|Tue Mar 29 17:01:41 +0000 2022|"The #BidenBudget takes historic steps to combat the Climate Crisis, including:
🔋 Investing in clean energy infrastructure
🌊  Strengthening climate resilience
🌎Advancing equity &amp; environmental justice
💰 Putting $11 billion toward international climate finance"|en|D|20|42
1508808143232552960|1531521632|Tue Mar 29 14:07:48 +0000 2022|"HAPPENING NOW: @FSCDems are holding a hearing to discuss how discrimination in home appraisals disproportionately harms communities of color. 

📺WATCH LIVE📺
https://t.co/LC5f9BS4Eh"|en|D|14|39
1508523090703228934|1531521632|Mon Mar 28 19:15:06 +0000 2022|"Housing is a human right. Period. 

Tomorrow, @FSCDems are holding a hearing to learn more about how bias in the housing appraisal process hurts homeowners and disproportionately affects people of color. (1/5) https://t.co/929gUzo9Ra"|en|D|6|21
1507484472844898305|1531521632|Fri Mar 25 22:28:00 +0000 2022|"📆MARK YOUR CALENDARS📆

The tax filing deadline is April 18th this year. Make sure to file your taxes to get your return as soon as possible! https://t.co/wVEqL34Uw2"|en|D|11|29
1507124810114953246|1531521632|Thu Mar 24 22:38:50 +0000 2022|"Sitting before the Senate Judiciary Committee today, it felt more real than it ever has before. 

We are going to have a Black woman on the Supreme Court. https://t.co/5uXngEaDt3"|en|D|59|396
1507089665626710023|1531521632|Thu Mar 24 20:19:11 +0000 2022|I want to be crystal clear, Judge Ketanji Brown Jackson will be a judge that will serve all of America, a judge who all Americans can be proud of, and she has the full support of @TheBlackCaucus. #SheWillRise https://t.co/MtdZIRmpak|en|D|51|193
1506999052776443905|1531521632|Thu Mar 24 14:19:07 +0000 2022|"Judge Jackson is an exceptionally qualified jurist of unimpeachable character. 

It's an honor to support her as our next #SupremeCourt Justice. https://t.co/F1A8jkSOqx"|en|D|156|1083
1506989779619041282|1531521632|Thu Mar 24 13:42:16 +0000 2022|"I'm testifying on behalf of #JudgeKetanjiBrownJackson at this Morning's Senate Judiciary hearing!

Tune in now 👇🏾

https://t.co/RmWVzzbOtr"|en|D|64|343
1506714445841670153|1531521632|Wed Mar 23 19:28:11 +0000 2022|"Tomorrow I have the honor of speaking to the Senate Judiciary Committee on behalf of #JudgeKetanjiBrownJackson during the fourth day of her confirmation hearings. 

Tune in here tomorrow at 9 AM to watch it all live👇🏿
https://t.co/f288MOQeMR"|en|D|18|85
1506653137142226957|1531521632|Wed Mar 23 15:24:34 +0000 2022|"Happy 12th birthday to the #ACA! 

12 years ago, President @BarackObama signed the Affordable Care Act into law. Now, 786K+ Ohioans and 31+ million Americans have affordable health care coverage through the landmark bill. 

RT with your ACA story! #ACAHereToStay"|en|D|46|185
1506258973242101763|1531521632|Tue Mar 22 13:18:18 +0000 2022|"Want to talk resumes? 

Judge Jackson has served as a:
✅Federal appellate judge
✅Federal district court judge
✅Member of the U.S. Sentencing Commission
✅Private Practice attorney
✅Federal public defender

#SheWillRise 
https://t.co/23LWHnPBol"|en|D|47|122
1505959079491117058|1531521632|Mon Mar 21 17:26:38 +0000 2022|"They believed they could, so they did! 

Congrats to @OhioStateWHKY on their FIRST national championship in program history! Here’s to many more! #GoBucks https://t.co/FXJQVv7m3M"|en|D|7|35
1505912619668058114|1531521632|Mon Mar 21 14:22:01 +0000 2022|Today is the day #SheWillRise — Judge  Ketanji Brown Jackson, we stand with you. https://t.co/IgJBAJSK9h|en|D|1397|8217
1505685870623526924|1531521632|Sun Mar 20 23:21:00 +0000 2022|We can help Americans AND cut the deficit, and we’ve got the data to back it up. We are already on track to cut the deficit by over $1 trillion, the largest 1 year reduction in history! https://t.co/IZSWVOe3Vm|en|D|23|53
