id|user|created_at|text|lang|label|retweet_count|favorite_count
1520075833649549319|1345788865911656454|Fri Apr 29 16:21:35 +0000 2022|"It’s still hard to fathom @SecMayorkas’ testimony to the House Judiciary Committee yesterday.

He is misleading the American people by pretending to protect the border while at the same time encouraging the entry of millions under the guise of asylum."|en|R|44|128
1520055670204211200|1345788865911656454|Fri Apr 29 15:01:27 +0000 2022|Happy #ArborDay! We have a responsibility to care for our trees and forests, which is why I am proud to support important and needed forestry legislation in Congress. https://t.co/kMYYwHKT88|en|R|3|12
1520023428216074243|1345788865911656454|Fri Apr 29 12:53:20 +0000 2022|"Yesterday, I joined @RepMann and 26 of my Republican colleagues in writing to @POTUS to express grave concern with his plan to tax unrealized gains of generational farm assets.

America should be helping her famers, not unnecessarily taxing them.

See the full letter below ⬇️ https://t.co/cMbvuO4IJJ"|en|R|2|17
1519742397105721344|1345788865911656454|Thu Apr 28 18:16:37 +0000 2022|"Today, I introduced the NPRC Accountability Act, which would return the NPRC to pre-pandemic funding levels if its backlog of 600,000 cases is not resolved before the end of FY22. Our veterans need timely assistance.

Click below to see my full statement⬇️
https://t.co/L7x7zKDbD7"|en|R|2|5
1519316069286133760|1345788865911656454|Wed Apr 27 14:02:33 +0000 2022|"Southern Oregon is home to Mexican, Russian, and Chinese cartels, who operate illegal marijuana grows and traffic migrants across the border to work for them.

@SecMayorkas, you have some explaining to do tomorrow."|en|R|189|890
1519028164017729538|1345788865911656454|Tue Apr 26 18:58:31 +0000 2022|"Yesterday, I joined @RepJimBanks, @RepBrianBabin, and over 100 of my Republican colleagues in questioning Sec. Mayorkas' suitability for office. 

@SecMayorkas hasn't done a thing to address nonstop illegal immigration, raising questions about his commitment to protect the U.S. https://t.co/By7nh3Vnwp"|en|R|54|163
1518648889020137478|1345788865911656454|Mon Apr 25 17:51:24 +0000 2022|"I was at the border last week, and I asked CBP if they have received any help.

Their answer: no. 

I look forward to questioning one of the two men responsible for the worst border crisis in our nation's history. #BidenBorderCrisis https://t.co/MVjquqdcZz"|en|R|39|99
1517205574982815745|1345788865911656454|Thu Apr 21 18:16:12 +0000 2022|"I’m in San Diego visiting the southern border today, hearing and seeing firsthand how President Biden’s catastrophic open-border policies led us to this disaster.

@POTUS, instead of lifting Title 42, you need to come see the crisis you’ve created. https://t.co/WnLetLWGFQ"|en|R|47|117
1516832824581664778|1345788865911656454|Wed Apr 20 17:35:01 +0000 2022|"Happy National Park Week! Crater Lake National Park sits in the Cascade mountains, and it is the deepest lake in the U.S. and ninth deepest in the world.

If you're ever in southern Oregon, be sure to check it out! https://t.co/sQAgzUts9D"|en|R|11|19
1516500868950294529|1345788865911656454|Tue Apr 19 19:35:57 +0000 2022|"Oregonians already live in fear of uncontrollable wildfires and excessive smoke during the summer months.

These harmful changes will restrict infrastructure projects and forest management even more, increase agency backlogs, and delay critically important projects. https://t.co/9nz913ElXo"|en|R|2|7
