id|user|created_at|text|lang|label|retweet_count|favorite_count
1504517520778313734|305216911|Thu Mar 17 17:58:24 +0000 2022|Wishing a #HappyStPatricksDay  to Illinois’s vibrant Irish community and all who are celebrating today! 🌈⚱️🍀|en|D|4|4
1504161327480250370|305216911|Wed Mar 16 18:23:01 +0000 2022|🚨🚨My Emmett Till #AntilynchingAct has been officially enrolled by @SpeakerPelosi — now, it’s almost ready for… https://t.co/IkNbH9Hvsg|en|D|521|2692
1504147594787840006|305216911|Wed Mar 16 17:28:26 +0000 2022|Off to join @SpeakerPelosi to enroll the Emmett Till #AntilynchingAct and get it one step closer to being signed in… https://t.co/LV9ZA0IU0H|en|D|8|66
1503792873174704142|305216911|Tue Mar 15 17:58:54 +0000 2022|Pervis Spann paved the path for some of the most notable and iconic entertainers globally and launched the blueprin… https://t.co/cklCrF2890|en|D|7|14
1502345250211352578|305216911|Fri Mar 11 18:06:34 +0000 2022|I'm elated that funding for critical community projects in #IL01 was included in the omnibus bill that will soon be… https://t.co/sqUepXbb5g|en|D|5|4
1502314279898394630|305216911|Fri Mar 11 16:03:30 +0000 2022|We will NOT be subsidizing Putin's war on Ukraine. We WILL continue to hold Russia accountable for this illegal, un… https://t.co/dKmohw2wmY|en|D|3|20
1502061384917561379|305216911|Thu Mar 10 23:18:35 +0000 2022|Today is #WorldKidneyDay! 33% of adults in the United States are at risk for kidney disease and most don't know it.… https://t.co/gP4KakuLqu|en|D|11|14
1501980709459841028|305216911|Thu Mar 10 17:58:01 +0000 2022|I'm thrilled to announce that schools and libraries in #IL01 have already received more than $4.5 million from the… https://t.co/zzi4R9yqXp|en|D|8|20
1501767191640875009|305216911|Thu Mar 10 03:49:34 +0000 2022|Proud to have voted (late!) tonight for a government funding package that will make needed investments in… https://t.co/dUhAHQMj8C|en|D|10|31
1501688331796635649|305216911|Wed Mar 09 22:36:12 +0000 2022|Today, I participated in an @EnergyCommerce hearing on Daylight Saving Time. Changing our clocks twice a year comes… https://t.co/cbOjnGXAy6|en|D|6|23
1501638997025636355|305216911|Wed Mar 09 19:20:10 +0000 2022|GOOD NEWS: The #PostalServiceReformAct has passed the House and Senate and now heads to @POTUS's desk to be signed… https://t.co/nOXziSP3FT|en|D|26|79
1501556930761961474|305216911|Wed Mar 09 13:54:04 +0000 2022|Making it illegal to teach or talk about sexual orientation won’t change kids’ sexual orientation — it just makes t… https://t.co/FK4cWVMBB9|en|D|26|76
1501341867962683393|305216911|Tue Mar 08 23:39:29 +0000 2022|Today, we celebrate the women we love, the women who have made our world a better and more equal place, and the nex… https://t.co/LZpxVJWlcB|en|D|7|14
1501330826390384642|305216911|Tue Mar 08 22:55:37 +0000 2022|Excited to see that @CTA will be receiving $118 million from the #AmericanRescuePlan to recover from the impacts of… https://t.co/OqFDbNmNHt|en|D|3|10
1501296379489968128|305216911|Tue Mar 08 20:38:44 +0000 2022|"Today, I led an @EnergyCommerce #SubEnergy hearing on America's electric vehicle industry.

The… https://t.co/YOAXC4W6Ke"|en|D|7|16
1500988310356955139|305216911|Tue Mar 08 00:14:34 +0000 2022|"🚨 NEWS: The Senate just unanimously passed my Emmett Till #AntilynchingAct.

Despite more than 200 attempts to outl… https://t.co/50JBJ7wIK1"|en|D|6657|38630
1500926425154695177|305216911|Mon Mar 07 20:08:40 +0000 2022|.@SenRonJohnson once again revealing Republicans' insatiable hunger for repealing the Affordable Care Act and strip… https://t.co/eotRLrVunK|en|D|4|7
1500849774731403271|305216911|Mon Mar 07 15:04:05 +0000 2022|The repeated obstruction of antilynching legislation in Congress has been a national embarrassment and an insult wi… https://t.co/3wPtM2DXF4|en|D|8|36
1499800705791631369|305216911|Fri Mar 04 17:35:27 +0000 2022|"678,000 new jobs in February. 7.4 million jobs since @POTUS took office.

Unemployment is down, even as more people… https://t.co/C02SMbTQhE"|en|D|6|20
1499522784308965379|305216911|Thu Mar 03 23:11:06 +0000 2022|"After 5 long years, the @USEmbCuba announced today that it is restarting immigrant visa services.

As a longtime ad… https://t.co/e66cknQGMs"|en|D|12|31
1499512650992132102|305216911|Thu Mar 03 22:30:50 +0000 2022|"HAPPENING NOW: @POTUS is about to sign @RepCheri's legislation to #EndForcedArbitration into law.

This important b… https://t.co/I8rZhukPXY"|en|D|25|76
1499435694430769158|305216911|Thu Mar 03 17:25:02 +0000 2022|As a proud @USArmy veteran myself, I feel strongly that when we send our servicemembers into harm’s way, we do so w… https://t.co/VmZfJYfLgc|en|D|4|26
1499131447185182722|305216911|Wed Mar 02 21:16:04 +0000 2022|In 2019, child care workers in 41 states — including Illinois — were not earning a living wage. The pandemic hurt t… https://t.co/ExbKqJXNZw|en|D|6|18
1499064026193612805|305216911|Wed Mar 02 16:48:09 +0000 2022|Just because it's no longer #BlackHistoryMonth doesn't mean it's time to stop learning about Black history! Here ar… https://t.co/A4X1ebi3gv|en|D|7|20
1498853975944278021|305216911|Wed Mar 02 02:53:29 +0000 2022|"We do NOT need to choose between safety and equal justice. 

We CAN and we MUST demand both. #SOTU"|en|D|16|61
1498852463557890048|305216911|Wed Mar 02 02:47:29 +0000 2022|No American child should be raised in poverty. We have to extend the #ChildTaxCredit. #SOTU|en|D|27|78
1498851306496303106|305216911|Wed Mar 02 02:42:53 +0000 2022|Retweet if you agree: corporations should NOT be paying lower tax rates than teachers and firefighters.|en|D|32|47
1498846536515604486|305216911|Wed Mar 02 02:23:56 +0000 2022|When the history of this era is written, Putin’s war on Ukraine will have left Russia weaker, and the rest of the w… https://t.co/UAhNMvjpFE|en|D|7|29
