id|user|created_at|text|lang|label|retweet_count|favorite_count
1520182386159505409|2929491549|Fri Apr 29 23:24:59 +0000 2022|"I'm overjoyed to hear that after being held in a Russian prison camp for 3 years, Marine Corps veteran Trevor Reed is finally returning to the U.S.
 
Securing Trevor's release has been a priority of mine since his unjust arrest. I'm praying for his recovery and welcome him home! https://t.co/btd0Buqg0p"|en|R|3|23
1520021875195355136|2929491549|Fri Apr 29 12:47:10 +0000 2022|"This is what Biden's America looks like. This is a shelf where baby food and formula SHOULD be.
 
To the mothers out there trying to feed your infants: you deserve better than this. 

#BareShelvesBiden https://t.co/UZrFnLiqcP"|en|R|10|26
1519805741078663175|2929491549|Thu Apr 28 22:28:19 +0000 2022|"With every gaffe, Americans lose more confidence in Biden's mental state while our enemies are emboldened.

Take a cognitive test already. https://t.co/8vP4aVaR8j"|en|R|26|75
1519796366112874497|2929491549|Thu Apr 28 21:51:04 +0000 2022|".@SecMayorkas may lie, but the facts don’t.
 
He isn't fighting for Title 42 just like he didn't fight for Remain in Mexico, the border wall, deporting criminal aliens - the list goes on. https://t.co/wPtGKWEzJq"|en|R|22|42
1519766831963254787|2929491549|Thu Apr 28 19:53:43 +0000 2022|"Biden would rather live in denial &amp; play the blame game than accept any responsibility for his self-created economic crisis.

If he'd worry less about who's in charge of Twitter &amp; stop forcing socialist, woke policies on Americans, we wouldn't be facing 41-year high inflation. https://t.co/WlDHNPqV3y"|en|R|25|106
1519731870426177538|2929491549|Thu Apr 28 17:34:47 +0000 2022|"I'm just going to leave this here 🔥

Thank you @RepChipRoy! https://t.co/SDY427QZFC"|en|R|7707|21696
1519711307934715905|2929491549|Thu Apr 28 16:13:05 +0000 2022|"Proudly joined @RepJimBanks and @RepublicanStudy in leading a press conference to expose @SecMayorkas’ deliberate neglect for your safety and our sovereignty.

Don’t believe their lies - this is not Donald Trump’s fault. 

This is the Biden administration’s disaster. Full stop. https://t.co/4Diw73pYuZ"|en|R|5|11
1519497713779449860|2929491549|Thu Apr 28 02:04:20 +0000 2022|"Rising prices are hurting American families as #bidenflation continues to climb.
 
A result of overspending and bad policies - courtesy of Joe Biden and the Democrats.
https://t.co/RWRFio2dsy"|en|R|7|6
1519421202485415947|2929491549|Wed Apr 27 21:00:18 +0000 2022|"Thanks to @ACUConservative for this award!
 
I will always fight for conservative policies that protect our country, uphold the Constitution, and better your life. https://t.co/vRtpzhwrNz"|en|R|1|11
1519296584290390017|2929491549|Wed Apr 27 12:45:07 +0000 2022|"This isn’t about your health, the administration doesn’t want you to have the freedom to choose whether or not you wear a mask.

Thanks to Judge Kathryn Kimball Mizelle for checking the CDC’s overreach and upholding the Constitution!
https://t.co/IFHHM9BlGs"|en|R|4|15
1519120655270223874|2929491549|Wed Apr 27 01:06:02 +0000 2022|"Joe Biden met with Hunter’s business partner at least 19 times while serving as VP.
 
Why was this person even given access to the Obama White House?

Americans deserve the truth behind Hunter’s scandal and whether Joe Biden was a part of it or not. @foxandfriends https://t.co/GWFtRejuNr"|en|R|8|15
1519107903696822273|2929491549|Wed Apr 27 00:15:22 +0000 2022|"America’s facing crises from nearly every direction.
 
Yet, all the administration’s worried about is Trump (rightfully) rejoining Twitter. https://t.co/9j9JSnRuEP"|en|R|4|7
