id|user|created_at|text|lang|label|retweet_count|favorite_count
1507387187901472769|816303263586914304|Fri Mar 25 16:01:26 +0000 2022|Each week, we honor and share remarkable stories about our hometown heroes. This week, our community tragically los… https://t.co/bjIJO2jNaC|en|R|1|8
1507366006787907586|816303263586914304|Fri Mar 25 14:37:16 +0000 2022|Joined our amazing Indian community at a Holi celebration in Bensalem hosted by the Indian Cultural Association of… https://t.co/inquzlKvs1|en|R|2|9
1507181243997241350|816303263586914304|Fri Mar 25 02:23:05 +0000 2022|Congrats to the Lady Vikings! https://t.co/j1IbZCDZzB|en|R|2|3
1507100944332464133|816303263586914304|Thu Mar 24 21:04:00 +0000 2022|“President Biden is rightly outraged by Mr. Putin’s brutality, and he calls him a war criminal, but he still seems… https://t.co/B9fcHfRqF8|en|R|1|11
1507084637520158724|816303263586914304|Thu Mar 24 19:59:12 +0000 2022|Stopped by @VJMHS yesterday to speak with students and discuss current events and top issues our nation is facing.… https://t.co/yNq8MAHy4N|en|R|1|5
1507027551151087618|816303263586914304|Thu Mar 24 16:12:22 +0000 2022|It was a great honor to recognize George Freas on his retirement after 29 years of service at the Warwick Township… https://t.co/DUWQCU1CsY|en|R|2|14
1507010925160673289|816303263586914304|Thu Mar 24 15:06:18 +0000 2022|I ask everyone to read Zelenskyy’s address to NATO this morning. We need to give this man, and this nation, everyth… https://t.co/xjgLBtbxFL|en|R|10|44
1506729731282116625|816303263586914304|Wed Mar 23 20:28:56 +0000 2022|We lost a trailblazer today. Madeleine Albright, a true stateswoman, was the first female Secretary of State and a… https://t.co/RXPNXaZ4hq|en|R|4|41
1505985888865636356|816303263586914304|Mon Mar 21 19:13:10 +0000 2022|Thrilled to share that our office has secured $6.6 million in funding for community projects that will soon be deli… https://t.co/fKgkUe3lJ7|en|R|1|2
1505944418355982337|816303263586914304|Mon Mar 21 16:28:23 +0000 2022|An incredibly sad day for PA-01 &amp; the entire law enforcement community. Early this morning, 33 yr. old Trooper Mart… https://t.co/1Z9J5VtovI|en|R|5|23
1505551278939770882|816303263586914304|Sun Mar 20 14:26:11 +0000 2022|To all those who acquiesce to economic half-measures and military appeasement of this war criminal, take note of th… https://t.co/VUa5gdXNqL|en|R|15|39
1505012259440975882|816303263586914304|Sat Mar 19 02:44:19 +0000 2022|"Incredibly saddened to learn of the passing of my friend and colleague, Rep. Don Young, Dean of the House.

Don ded… https://t.co/iOkKhpM9MS"|en|R|3|29
1504925998034345989|816303263586914304|Fri Mar 18 21:01:32 +0000 2022|Thanks for joining us for another weekly update. Tune in for important legislative updates, district news, and a sp… https://t.co/0AvSKE1eLo|en|R|1|2
1504922483354443779|816303263586914304|Fri Mar 18 20:47:34 +0000 2022|Today, Co-Chairs of the Bipartisan Congressional Ukraine Caucus called on @SecBlinken to designate the Putin regime… https://t.co/Yy1MwIPpCl|en|R|97|283
1504884130496008195|816303263586914304|Fri Mar 18 18:15:10 +0000 2022|Yesterday, I joined my @HouseForeign colleagues in a meeting with the Chairs of the Foreign Affairs Committees of t… https://t.co/kaqkeod582|en|R|2|15
1504850225755832325|816303263586914304|Fri Mar 18 16:00:27 +0000 2022|Meet this week’s Hometown Hero, the remarkable and resilient Kathy Sherlock—Yardley resident, trauma nurse, fierce… https://t.co/yrlbOluSsP|en|R|1|4
1504827868748070926|816303263586914304|Fri Mar 18 14:31:36 +0000 2022|Joined @FoxNews @TGowdySC to discuss the latest on Ukraine and the increasing need to step up military and humanita… https://t.co/MRJmRSxVuZ|en|R|2|11
1504512634439274506|816303263586914304|Thu Mar 17 17:38:59 +0000 2022|Our bipartisan Stop Russian GOLD Act takes the crippling sanctions the US has already imposed one step further by f… https://t.co/takYlMZJPI|en|R|3|14
1504462402817040390|816303263586914304|Thu Mar 17 14:19:23 +0000 2022|Joined @CBSNews @AMGreenCBS yesterday after President Zelenskyy’s powerful and inspiring address to Congress and th… https://t.co/uOB5yfPKBn|en|R|2|10
1504440894157635584|816303263586914304|Thu Mar 17 12:53:54 +0000 2022|To all those who acquiesce to economic half-measures and military appeasement of this war criminal, take note of th… https://t.co/iwj4YFvl5J|en|R|16|43
1504245988080377862|816303263586914304|Wed Mar 16 23:59:25 +0000 2022|We did it!! I’m so happy for the entire Sherlock family on the passage of Kayden’s Law! We were able to get Kayden’… https://t.co/wPXKFwqNXN|en|R|23|84
1504192716967751680|816303263586914304|Wed Mar 16 20:27:44 +0000 2022|Spoke with @FoxNews @BenjaminHallFNC just days before he was injured in the same horrific attack that tragically ki… https://t.co/nE8830u8yg|en|R|0|10
1504125391493029893|816303263586914304|Wed Mar 16 16:00:13 +0000 2022|Joined @foxandfriends with my colleague @RepHoulahan this morning to discuss President Zelenskyy’s address before C… https://t.co/rKKAisAfy0|en|R|2|8
1503842705868263433|816303263586914304|Tue Mar 15 21:16:55 +0000 2022|"""We are dealing with an enemy that is vicious but weak, menacing but deeply fearful, and that is likely to crack lo… https://t.co/qd4qsCpSXW"|en|R|10|25
1503743395440775168|816303263586914304|Tue Mar 15 14:42:18 +0000 2022|Joined 15 bipartisan colleagues calling on the Administration to strengthen economic sanctions against Russia, prov… https://t.co/VApD390Zyp|en|R|5|28
1503478103821148167|816303263586914304|Mon Mar 14 21:08:07 +0000 2022|I extend my heartfelt condolences to Brent Renaud’s family and friends. Brent was on the front lines in the fight f… https://t.co/uGkTb0ib25|en|R|4|27
1503474936681226251|816303263586914304|Mon Mar 14 20:55:32 +0000 2022|Proud to have helped spearhead the effort in Congress to pass legislation to designate the @911trail. Now, I am ple… https://t.co/viuLYxTzAN|en|R|1|5
1503463863878131716|816303263586914304|Mon Mar 14 20:11:32 +0000 2022|Thinking of @BenjaminHallFNC. He is a good person and a courageous journalist. Praying for his health and his safety right now.|en|R|1|6
1503428156933513223|816303263586914304|Mon Mar 14 17:49:39 +0000 2022|Joined @6abc @TamEdwards6abc to discuss my recent travels to the Ukraine-Poland border and what more the US can do… https://t.co/01YdoXQmB9|en|R|2|4
1503402584543006722|816303263586914304|Mon Mar 14 16:08:02 +0000 2022|The UK and the EU had to lead on personally sanctioning Vladimir Putin. Canada had to lead on banning Russian oil i… https://t.co/xRzRrop18h|en|R|9|23
1503088274524549122|816303263586914304|Sun Mar 13 19:19:05 +0000 2022|Unbelievable.                                                         https://t.co/rGc7goAhPT|en|R|9|26
1503028819627847680|816303263586914304|Sun Mar 13 15:22:50 +0000 2022|.@POTUS, thousands of civilians, predominantly women and children, are being slaughtered in Ukraine.  Can you pleas… https://t.co/eoxTVTctNK|en|R|149|595
1502802362154561542|816303263586914304|Sun Mar 13 00:22:58 +0000 2022|Spoke with @NBCPhiladelphia @deannadurante about my takeaways from the bipartisan delegation trip to the Ukraine-Po… https://t.co/A7ZbpHxZaD|en|R|3|11
1502745029030424577|816303263586914304|Sat Mar 12 20:35:09 +0000 2022|"Recounted my recent trip to the Ukraine-Poland border with @CourierTimes @pegquann.
 
Check out the article here ⬇️
https://t.co/EZTPIcKrXU"|en|R|3|7
1502388903306747910|816303263586914304|Fri Mar 11 21:00:02 +0000 2022|Welcome back to our weekly update. Tune in to hear about my visit to the Ukrainian border and local news regarding… https://t.co/m0O68bz7vn|en|R|1|3
1502343779520585736|816303263586914304|Fri Mar 11 18:00:43 +0000 2022|Meet this week's Hometown Hero, 44-year old Middletown resident Andriy Penchak. This past week, Andriy, along with… https://t.co/9ldxnGpmDF|en|R|3|24
1502322934005837826|816303263586914304|Fri Mar 11 16:37:53 +0000 2022|I’m thrilled that Kayden’s Law, which I authored to honor the memory of Kayden Mancuso, passed the Senate yesterday… https://t.co/MQVrnq5Sf0|en|R|18|42
1501993199438643204|816303263586914304|Thu Mar 10 18:47:39 +0000 2022|Citigroup must follow the lead of governments and companies across the globe in shutting down all Russian operation… https://t.co/s9YFTjI0z4|en|R|9|25
1501677236289622017|816303263586914304|Wed Mar 09 21:52:07 +0000 2022|According to the Administration, the act of Poland providing Ukrainians with aircraft to protect Ukrainian airspace… https://t.co/mr2VQjXIBE|en|R|7|35
1501653679195230216|816303263586914304|Wed Mar 09 20:18:31 +0000 2022|Joined @CBSNews @Elaine_Quijano and @nancycordes to discuss my bipartisan congressional delegation trip to the Ukra… https://t.co/g6Ya951zVl|en|R|2|9
1501616631113555970|816303263586914304|Wed Mar 09 17:51:18 +0000 2022|Putin is a murderous war criminal. The international community must hold him accountable for his heinous war crimes… https://t.co/e7XNm63MeD|en|R|7|31
1501607341862572046|816303263586914304|Wed Mar 09 17:14:23 +0000 2022|Joined @foxandfriends to discuss the latest efforts to provide further support to Ukraine and the Ukrainian people… https://t.co/PI6pGH9WsP|en|R|2|5
1500481190209404928|816303263586914304|Sun Mar 06 14:39:27 +0000 2022|By continuing to import oil from Russia, the US is supporting Russian energy coercion and helping Putin to bankroll… https://t.co/P1GuPufksA|en|R|13|68
1500144265556602881|816303263586914304|Sat Mar 05 16:20:38 +0000 2022|"Sat down with @marisa_schultz of @FoxNews to discuss my trip to the Ukraine-Poland border. 

Read more here ⬇️

https://t.co/n6vvQ5Krkd"|en|R|8|28
1500126082804207616|816303263586914304|Sat Mar 05 15:08:23 +0000 2022|I just arrived at the Ukrainian border. We will collectively speak with one bipartisan voice when we return, but so… https://t.co/ExGBQMq6UY|en|R|110|728
1499852189874991104|816303263586914304|Fri Mar 04 21:00:02 +0000 2022|Welcome back to our weekly update. Tune in to hear more about my upcoming trip today to the Ukrainian Border. For m… https://t.co/wfU51KFmWd|en|R|2|12
1499792121225695235|816303263586914304|Fri Mar 04 17:01:21 +0000 2022|PA-01 is full of many Hometown Heroes, and this past week, we have seen heroes across our community step up to supp… https://t.co/oObSmw23HZ|en|R|3|19
1499776690720940039|816303263586914304|Fri Mar 04 16:00:02 +0000 2022|Joined @Varneyco to discuss the need for further sanctions that target Russia’s energy sectors following Putin's un… https://t.co/PdFuIg29sa|en|R|3|8
1499485731865124867|816303263586914304|Thu Mar 03 20:43:52 +0000 2022|"Joined @foxandfriends to discuss the latest in Ukraine and my upcoming trip to the Ukrainian border.

Watch here ⬇️
https://t.co/tP0zpuHINv"|en|R|3|6
1499174830914088962|816303263586914304|Thu Mar 03 00:08:27 +0000 2022|The axis of evil. Both pose an existential threat to the world. And both must be held fully accountable by all free… https://t.co/DfZDehh5rI|en|R|57|144
1498755863116492804|816303263586914304|Tue Mar 01 20:23:37 +0000 2022|The Bipartisan Congressional Ukraine Caucus, the U.S. House of Representatives, and the American people… https://t.co/Q45cHXZcln|en|R|7|35
1498451959887638531|816303263586914304|Tue Mar 01 00:16:01 +0000 2022|Joined my fellow Ukraine Caucus Co-Chairs and bipartisan House colleagues at the Holodomor Memorial in DC to stand… https://t.co/aWuLIVQFbR|en|R|5|70
1498389801581563906|816303263586914304|Mon Feb 28 20:09:02 +0000 2022|For any nation who was doubting Ukraine’s qualifications to join both NATO and the EU, I hope the courage that they… https://t.co/kjzxQR52Dr|en|R|10|56
1498338610810138625|816303263586914304|Mon Feb 28 16:45:37 +0000 2022|"So proud of @ZelenskyyUa!!
#StandWithUkraine 🇺🇦 https://t.co/6QqpAnm23K"|en|R|4|42
1498321738026954763|816303263586914304|Mon Feb 28 15:38:34 +0000 2022|Heroes. #StandWithUkraine 🇺🇦               https://t.co/5jMjAxL26V|en|R|2|21
1498102845094207493|816303263586914304|Mon Feb 28 01:08:46 +0000 2022|Amen, @senrobportman!! https://t.co/EPKC4ijSnu|en|R|7|26
1498081906809835533|816303263586914304|Sun Feb 27 23:45:34 +0000 2022|Thank you, @GovernorTomWolf 🇺🇦 https://t.co/DyTLKzZF7W|en|R|3|34
1498035169810427904|816303263586914304|Sun Feb 27 20:39:51 +0000 2022|“I will not be diplomatic. Some countries are trying to leave loopholes, exclude a number of banks so they can appl… https://t.co/6HMW2T1RUo|en|R|4|18
1498007314124750850|816303263586914304|Sun Feb 27 18:49:09 +0000 2022|Until President Biden &amp; our NATO allies apply sanctions directly to Russia’s oil &amp; gas exports, which account for o… https://t.co/ARh3rcUy59|en|R|6|36
1497951236364066818|816303263586914304|Sun Feb 27 15:06:19 +0000 2022|With additional lethal defensive aid from the US and our NATO allies, Ukraine and her people have a fighting chance… https://t.co/1LrJoqT3Ph|en|R|2|18
1497914565870469123|816303263586914304|Sun Feb 27 12:40:37 +0000 2022|Thank you, Elon, for being a true Patriot and for standing on the side of freedom and independence. The good people… https://t.co/zLxS7JMwKQ|en|R|10|45
1497693479199203330|816303263586914304|Sat Feb 26 22:02:05 +0000 2022|Watching the world stand by while Ukraine is under assault by the evil thug, dictator Vladimir Putin is the equival… https://t.co/K6M50LCla3|en|R|6|38
1497661491981402112|816303263586914304|Sat Feb 26 19:54:59 +0000 2022|This is what real leadership looks like. Stay strong, my friend. #StandWithUkraine 🇺🇦 https://t.co/R0E7ULvMjK|en|R|3|46
1497642368643727362|816303263586914304|Sat Feb 26 18:39:00 +0000 2022|Joined my Bipartisan @UkraineCaucus Co-Chair @RepMarcyKaptur on @CNN with @FWhitfield to discuss the need for the U… https://t.co/yJPpsHNKtT|en|R|7|28
1497635392920694787|816303263586914304|Sat Feb 26 18:11:17 +0000 2022|"We are building momentum. #StandWithUkraine 🇺🇦 
https://t.co/McAgJnYz3Z"|en|R|2|17
1497625366185353218|816303263586914304|Sat Feb 26 17:31:26 +0000 2022|Sat down with @NBCPhiladelphia's @Laurenjmayk to discuss the latest on Russia’s brutal, unprovoked assault on the p… https://t.co/7SEz4fdnzY|en|R|1|11
1497605157659430913|816303263586914304|Sat Feb 26 16:11:08 +0000 2022|"The international community must come together immediately to accomplish the following:

Establish an international… https://t.co/aLmzSzgeK8"|en|R|70|253
1497425964279767040|816303263586914304|Sat Feb 26 04:19:05 +0000 2022|Russia must be immediately removed from the SWIFT global interbank payments system. Germany and Italy, you need to… https://t.co/wEnDmA9vFS|en|R|29|70
1497317992090247170|816303263586914304|Fri Feb 25 21:10:02 +0000 2022|This was on September 13th, 2021, over five months ago. This Administration still has not given President Zelenskyy… https://t.co/ND1lHt2xV3|en|R|61|130
1497255965405683712|816303263586914304|Fri Feb 25 17:03:34 +0000 2022|Each week, we share stories and recognize remarkable and inspiring Hometown Heroes from PA-01; this week, we have s… https://t.co/tDe9sk0QDY|en|R|3|11
1496870854755557377|816303263586914304|Thu Feb 24 15:33:16 +0000 2022|Putin has rejected diplomacy and chosen the path of brutal, senseless war with our friend and ally, Ukraine. The US… https://t.co/z75LxhlxMq|en|R|11|62
1496633707221901313|816303263586914304|Wed Feb 23 23:50:56 +0000 2022|Today I joined @USRepKeating to announce bipartisan legislation that would impose sanctions on Russian parliamentar… https://t.co/QWwXqiXcbq|en|R|5|18
1496207776120549379|816303263586914304|Tue Feb 22 19:38:26 +0000 2022|My statement on Russian President Vladimir Putin’s bogus “recognition of the independence of Ukraine’s breakaway re… https://t.co/uCgRbYTaTt|en|R|4|11
1494778750558523403|816303263586914304|Fri Feb 18 21:00:00 +0000 2022|Thanks for joining us for our weekly update. Tune in to learn more about the Never Yielding Europe’s Territory Act… https://t.co/ONfm53cUeg|en|R|2|2
1494758382502301705|816303263586914304|Fri Feb 18 19:39:04 +0000 2022|Attended the grand opening of Warwick Farm Brewing, a family-owned &amp; operated brewery that produces high-quality in… https://t.co/kMSGAeeX5f|en|R|1|7
1494718704470343683|816303263586914304|Fri Feb 18 17:01:24 +0000 2022|Meet this week’s Hometown Hero, one extra special senior from @CouncilRockSD North, Megan Bissol. Megan has been wo… https://t.co/KHKBNOMhht|en|R|1|2
1494706357685084161|816303263586914304|Fri Feb 18 16:12:20 +0000 2022|Incredibly saddened to hear of my colleague Congressman Jim Hagedorn’s passing. He was one of the kindest and most… https://t.co/SYK6MwITJF|en|R|2|15
1494412904455720961|816303263586914304|Thu Feb 17 20:46:15 +0000 2022|Last weekend, I had the privilege of announcing the United States Military Service Academy PA-01 Nominations for th… https://t.co/dgUXhqLYC0|en|R|2|4
1494071829287346181|816303263586914304|Wed Feb 16 22:10:57 +0000 2022|On this #DayofUnity, the United States stands in solidarity with our friend and partner Ukraine. #StandWithUkraine… https://t.co/pG343cJhLn|en|R|4|21
1493977419635695624|816303263586914304|Wed Feb 16 15:55:48 +0000 2022|It is time for the US to send a clear message to Russia about the consequences of threatening the sovereignty of an… https://t.co/MFjC1060uN|en|R|2|9
1493756225011343364|816303263586914304|Wed Feb 16 01:16:51 +0000 2022|On #ChildhoodCancer Day, we are reminded that no child should have to suffer through the pain of cancer. We must en… https://t.co/sSNnAul50u|en|R|3|9
1493691010995695620|816303263586914304|Tue Feb 15 20:57:43 +0000 2022|I appreciate the strong words that President Biden just delivered with respect to defending Ukraine and holding Rus… https://t.co/GIhkQ3EKqj|en|R|1|17
1493327666933637127|816303263586914304|Mon Feb 14 20:53:55 +0000 2022|I recently introduced a bipartisan resolution recognizing February as Teen Dating Violence Awareness &amp; Prevention M… https://t.co/8kZKyZDcNk|en|R|1|7
1492710061260488705|816303263586914304|Sun Feb 13 03:59:46 +0000 2022|I stand with @EnesFreedom. The @NBA has made the conscious decision to side WITH the bigoted, oppressive, and anti-… https://t.co/M1gFrUf1lI|en|R|422|1228
1492242042436546561|816303263586914304|Fri Feb 11 21:00:02 +0000 2022|Welcome back to our weekly update. Tune in for legislative updates, district news, and some some special community… https://t.co/BHuFsrTwbr|en|R|2|2
1492218504774303744|816303263586914304|Fri Feb 11 19:26:30 +0000 2022|Friends &amp; family gathered to honor, congratulate &amp; say farewell to a longtime member of our community, Jeff Davis.… https://t.co/6CcGjNrihc|en|R|1|4
1492181934201622528|816303263586914304|Fri Feb 11 17:01:11 +0000 2022|Meet this week's Hometown Hero, George Lindsey, @USArmy Veteran &amp; current Commander of the Doylestown Disabled Amer… https://t.co/TEccFSpkhr|en|R|2|2
1491551385300652036|816303263586914304|Wed Feb 09 23:15:36 +0000 2022|As Co-Chair of the Bipartisan Ukraine Caucus and Ranking Member of the House Foreign Affairs Subcommittee on Europe… https://t.co/VVDMgxADxB|en|R|5|17
1491422269281021956|816303263586914304|Wed Feb 09 14:42:32 +0000 2022|Join me today at 4 PM on the @aipac app! I discuss my path from the FBI to the halls of Congress, the shared threat… https://t.co/Ve4l4uLbzJ|en|R|5|19
1491100720669806595|816303263586914304|Tue Feb 08 17:24:49 +0000 2022|CBP reported a 1,066% increase in fentanyl seized at our southern border in FY21. Illicit fentanyl has made its way… https://t.co/zhhAcr2HER|en|R|1|4
1490828454761316352|816303263586914304|Mon Feb 07 23:22:56 +0000 2022|Met with a delegation from the Ministry of Energy of Ukraine to discuss economic cooperation &amp; energy resources in… https://t.co/lWFlbzmLsD|en|R|2|8
1490794667092463617|816303263586914304|Mon Feb 07 21:08:40 +0000 2022|It was a pleasure meeting with the Deputy Chief of Mission for the Embassy of the Republic of Korea, Hon. Yunju Ko… https://t.co/XG7yYBSrkg|en|R|2|7
1489705327108841472|816303263586914304|Fri Feb 04 21:00:02 +0000 2022|Thanks for joining us for another weekly update. Tune in for legislative updates, district news, and community high… https://t.co/bR6aMkSbb4|en|R|1|0
1489645837437313029|816303263586914304|Fri Feb 04 17:03:38 +0000 2022|Meet this week's Hometown Heroes, 20 yr old Andrew Heo &amp; 33 yr old Brian O'Neill, Bucks County natives representing… https://t.co/9Q2epWu9LA|en|R|2|3
1489617787836325892|816303263586914304|Fri Feb 04 15:12:11 +0000 2022|This #WorldCancerDay, join me in honoring the lives of those who have battled cancer, remembering loved ones lost,… https://t.co/0uENSVgI2H|en|R|3|4
1488980424437243910|816303263586914304|Wed Feb 02 20:59:31 +0000 2022|Since the onset of the pandemic, hard-hit senior-living facilities across the nation have incurred major financial… https://t.co/1D1WpZrLTL|en|R|1|2
1488905692677394436|816303263586914304|Wed Feb 02 16:02:34 +0000 2022|Joined @DavidAsmanfox on @FoxBusiness to discuss rising tensions between Ukraine and Russia &amp; what this means for t… https://t.co/1EHP6XBGx4|en|R|1|1
1488634948055715843|816303263586914304|Tue Feb 01 22:06:43 +0000 2022|Joined my Delaware River Watershed Caucus Co-Chair @repdelgado to call for increased funding for the Delaware River… https://t.co/4LKHqQS5xS|en|R|0|1
1488334330237759492|816303263586914304|Tue Feb 01 02:12:10 +0000 2022|Happy Birthday @marthamaccallum!! One of the truest, most honest and professional journalists in the industry.|en|R|1|1
1487168610439159810|816303263586914304|Fri Jan 28 21:00:01 +0000 2022|Welcome back to our weekly update. This week, we discuss the rising tensions at the Ukraine border &amp; an important d… https://t.co/rlH7qTZyRZ|en|R|3|5
1487108604276707335|816303263586914304|Fri Jan 28 17:01:35 +0000 2022|Meet this week's Hometown Hero, high school sophomore Cory Hemberger. This past weekend, Cory, a goalie on the Nesh… https://t.co/Odjd6AQvYs|en|R|4|33
1486791017948983302|816303263586914304|Thu Jan 27 19:59:36 +0000 2022|On International Holocaust Remembrance Day, #WeRemember the six million Jewish victims of the Holocaust, as well as… https://t.co/tMaFG1Uf0T|en|R|8|27
1485994732237082633|816303263586914304|Tue Jan 25 15:15:27 +0000 2022|"Two-thirds of Americans support banning members of Congress from trading stocks.
 
I joined a letter with 27 bipart… https://t.co/mBV3bBpnyD"|en|R|11|74
1484631896197767174|816303263586914304|Fri Jan 21 21:00:01 +0000 2022|Thanks for joining us for our weekly update. This week, we discuss legislative updates and important district news… https://t.co/6bqITsEIIE|en|R|1|3
1484571894665854976|816303263586914304|Fri Jan 21 17:01:36 +0000 2022|Meet this week’s Hometown Hero, Julie Dees, decorated @usairforce Veteran and Chief Executive Officer of the Family… https://t.co/KG52qS72s2|en|R|1|7
1484292802758557697|816303263586914304|Thu Jan 20 22:32:35 +0000 2022|As Co-Chair of the Congressional Ukraine Caucus, I stand with Ukraine against Russia’s persistent and unjustified a… https://t.co/tFJAcX1Ah4|en|R|8|28
1484272661371011072|816303263586914304|Thu Jan 20 21:12:33 +0000 2022|It’s past time we address the dramatic rise in fentanyl and fentanyl-laced pill seizures at our ports of entry and… https://t.co/ZYuUdLqtrB|en|R|0|9
1483933321696624642|816303263586914304|Wed Jan 19 22:44:08 +0000 2022|🚨Bucks Residents: Starting today, Bucks County Emergency Management will be distributing free at-home COVID-19 rapi… https://t.co/eYrzsFeYkv|en|R|2|2
1483915524425801733|816303263586914304|Wed Jan 19 21:33:25 +0000 2022|President Biden just referred to Republicans as “the other team.” I thought we were all Americans.|en|R|264|1543
1483534762287546371|816303263586914304|Tue Jan 18 20:20:24 +0000 2022|Starting today, you can order free at-home COVID-19 test kits, which will begin shipping in late January. Each hous… https://t.co/OlaMmPhhe7|en|R|4|7
1483467013435580423|816303263586914304|Tue Jan 18 15:51:12 +0000 2022|.@chamath’s outright dismissal of the ongoing Uyghur genocide committed by the CCP is deplorable. American business… https://t.co/hcyjLQ0oZp|en|R|56|59
1483123601058549770|816303263586914304|Mon Jan 17 17:06:36 +0000 2022|"Today we honor and remember the life of the great Dr. Martin Luther King Jr.

Dr. King left behind a legacy that co… https://t.co/ndHb4qRUCI"|en|R|7|28
1482095175971196928|816303263586914304|Fri Jan 14 21:00:00 +0000 2022|Welcome back to our weekly update! Tune in for an important legislative update, district news, and special communit… https://t.co/mwapnzpLmJ|en|R|1|6
1482036408650981380|816303263586914304|Fri Jan 14 17:06:29 +0000 2022|Meet this week’s Hometown Hero, Keith Fenimore—New Hope native, Doylestown resident, and founder of the incredible… https://t.co/QZrizhX9gl|en|R|0|1
1481376704174166023|816303263586914304|Wed Jan 12 21:25:03 +0000 2022|Meet Troop 172’s newest Eagle Scout – Katie DeMaria. For her Scout project, Katie worked with the Warrington Townsh… https://t.co/RljStv714d|en|R|1|6
1480955462791184393|816303263586914304|Tue Jan 11 17:31:11 +0000 2022|Today Is #NationalHumanTraffickingAwarenessDay. Tragically, there are an estimated 40 million victims trapped in mo… https://t.co/PhUbwS1LzU|en|R|2|13
1480244393961574409|816303263586914304|Sun Jan 09 18:25:39 +0000 2022|On this National Law Enforcement Appreciation Day, we recognize our country’s men and women in blue who work tirele… https://t.co/6RWEcMWTx1|en|R|3|29
1479544131202519044|816303263586914304|Fri Jan 07 20:03:04 +0000 2022|This week, the Upper Bucks community rallied around the King family just days after the horrific fire that took the… https://t.co/kVSSrWJfw7|en|R|3|7
1479498344569389061|816303263586914304|Fri Jan 07 17:01:07 +0000 2022|Meet this week’s Hometown Heroes, 12-yr. old Grace &amp; 15-yr. Rylee Decker, the Pipersville sisters behind 2 Yard Nin… https://t.co/KZF5aCyv1q|en|R|2|5
1478773294627115010|816303263586914304|Wed Jan 05 17:00:02 +0000 2022|The NCCDA is an immediate, bipartisan response to the supply chain bottleneck that is plaguing our nation. We must… https://t.co/hsq0CEEtUO|en|R|2|3
1477012554799058945|816303263586914304|Fri Dec 31 20:23:29 +0000 2021|Meet this week’s Hometown Hero, 95-year-old Mae Krier, Levittown’s very own Rosie the Riveter. I’ve had the honor t… https://t.co/ApEReHdbuz|en|R|2|14
1476961605225168896|816303263586914304|Fri Dec 31 17:01:01 +0000 2021|Thanks for joining us for a special weekly update. Wishing everyone in our community and across the country a happy… https://t.co/DizkjxvmcW|en|R|1|8
1476620737381347334|816303263586914304|Thu Dec 30 18:26:32 +0000 2021|Constituent service is our team's #1 priority, and this year we delivered real results for our community! Since the… https://t.co/G55py6ip4r|en|R|3|9
1476311744880463880|816303263586914304|Wed Dec 29 21:58:43 +0000 2021|Cancer is our nation’s second leading cause of death, and current federal funding levels for cancer research do not… https://t.co/Zpu4TEcagM|en|R|6|10
1475898730964520962|816303263586914304|Tue Dec 28 18:37:32 +0000 2021|I recently introduced the bipartisan Taiwan Preclearance Act, which will increase collaboration with our strategic… https://t.co/p94qDEkXw0|en|R|6|12
1474451471500513280|816303263586914304|Fri Dec 24 18:46:39 +0000 2021|This morning I joined my Congressional Ukraine Caucus Co-Chairs for a virtual meeting with Ukrainian President Volo… https://t.co/9fYV6seErB|en|R|4|9
1474424727666110465|816303263586914304|Fri Dec 24 17:00:23 +0000 2021|This week, we celebrate not one Hometown Hero, but all the incredible PA-01 Hometown Heroes serving our country &amp; u… https://t.co/pVkDYwB4F7|en|R|3|6
