id|user|created_at|text|lang|label|retweet_count|favorite_count
1507378928423514112|1075205691621720064|Fri Mar 25 15:28:36 +0000 2022|Our nation has awarded over 3,500 service members with the Medal of Honor. We are grateful for their bravery and co… https://t.co/BSWQFQxnh8|en|D|2|7
1507041304076861445|1075205691621720064|Thu Mar 24 17:07:01 +0000 2022|New data out shows a 60% increase in overdose deaths in the last 4 years in Milwaukee from opioid and illicit fenta… https://t.co/NuTvw0MI22|en|D|5|6
1506679340452433931|1075205691621720064|Wed Mar 23 17:08:42 +0000 2022|Congratulations to the Lake Geneva Regional News on 150 years reporting on Southeastern Wisconsin! https://t.co/SjaN7Ig4yd|en|D|3|4
1506644777076498438|1075205691621720064|Wed Mar 23 14:51:21 +0000 2022|Any Central Bank Digital Currency proposal should have @FinancialCmte’s digital dollar principles: improve efficien… https://t.co/mH9NZyFUOJ|en|D|36|145
1506382182536863745|1075205691621720064|Tue Mar 22 21:27:54 +0000 2022|My response to the SEC’s Climate Disclosure Proposal https://t.co/jZiL30eDTB|en|D|4|8
1506372942095175691|1075205691621720064|Tue Mar 22 20:51:11 +0000 2022|Thank you to all of our hard-working Wisconsin farmers! #NationalAgricultureDay https://t.co/qAs1fxEKoj|en|D|2|22
1506297630674018313|1075205691621720064|Tue Mar 22 15:51:55 +0000 2022|If you ever need assistance working with the VA or any other federal agencies, contact my office. We may be able to… https://t.co/59qQUQMqOr|en|D|4|10
1506046749399556111|1075205691621720064|Mon Mar 21 23:15:00 +0000 2022|Thank you to everyone who joined my Listening Sessions in Rock, Racine, and Milwaukee Counties. Top three topics di… https://t.co/NmcxThUbr1|en|D|1|11
1505659676062629888|1075205691621720064|Sun Mar 20 21:36:55 +0000 2022|TOMORROW: I’ll be holding Listening Sessions in Clinton, Sturtevant, and Oak Creek. Come by for an update on my wor… https://t.co/l32oqSsPTV|en|D|3|8
1505213149586329607|1075205691621720064|Sat Mar 19 16:02:35 +0000 2022|Wisconsin gas stations are the best. On my way to Racine. https://t.co/vLv40RyqOo|en|D|4|35
