id|user|created_at|text|lang|label|retweet_count|favorite_count
1520388199171993602|1343679195034103808|Sat Apr 30 13:02:48 +0000 2022|"Ministries of Truth is exactly how dictatorships exert control over its people. Before you know it, dissenting to the government’s narrative gets you fined, banned, jailed, and even killed.

“I never imagined it would happen here.” Every dictatorship begins like this."|en|R|60|160
1520145806833197064|1343679195034103808|Fri Apr 29 20:59:37 +0000 2022|"Took a trip down memory lane this week. Thank you to my good friend Sally for stopping by, I appreciate your advocacy for firefighters and all issues that affect them. 

I will continue to fight in Congress for firefighters and all other #FirstResponders. https://t.co/Jilt42cz5a"|en|R|4|15
1519773561916899329|1343679195034103808|Thu Apr 28 20:20:27 +0000 2022|I had a great meeting with Guatemala Ambassador Alfonso Quiñonez. Guatemala is a fundamental ally of the United States, sharing our commitment to free market capitalism and social freedom. I look forward to deepening the relationship between our two countries. https://t.co/ZCL9rFIIcN|en|R|2|8
1519701268620529667|1343679195034103808|Thu Apr 28 15:33:11 +0000 2022|"I made it clear to @SecMayorkas that during all 3 of my visits to our southern border CBP agents have said they need the wall, the personnel, technology and Trump era policies to be reinstated. 

Mayorkas doesn’t listen. The day is coming where he will be held accountable. https://t.co/ktwPXLycMK"|en|R|91|296
1519678182261207051|1343679195034103808|Thu Apr 28 14:01:27 +0000 2022|Miami-Dade County is a great place for Twitter, @ElonMusk. We don't have snowflakes there!|en|R|3|23
1519664691953475585|1343679195034103808|Thu Apr 28 13:07:51 +0000 2022|From the border to the economy, Joe Biden’s policies are hurting the American people. https://t.co/iBxXOaP7KO|en|R|1|4
1519431173985951744|1343679195034103808|Wed Apr 27 21:39:56 +0000 2022|Mayorkas tells us one thing, the officials on the ground tell us another. I don’t know about you, but I trust our law enforcement more than I trust Biden puppets.|en|R|5|21
1519413356897218562|1343679195034103808|Wed Apr 27 20:29:08 +0000 2022|"Never forget, never again. 

Today on #YomHashoah, we honor and remember the 6 million lives murdered in the Holocaust. May we all recommit to the fight against anti-semitism in our communities. https://t.co/XIhZ0KAd54"|en|R|3|12
1519400304957083648|1343679195034103808|Wed Apr 27 19:37:16 +0000 2022|It’s clear Secretary Mayorkas has no idea what the CBP officers go through. He’s spending too much time in Washington and not enough at the border.|en|R|5|7
1519352479024041990|1343679195034103808|Wed Apr 27 16:27:13 +0000 2022|That's a huge lie. https://t.co/6KsGfdEVNF|en|R|6|17
1519334741719273475|1343679195034103808|Wed Apr 27 15:16:44 +0000 2022|"CRAZY: Biden and Mayorkas' $15.5 billion appropriations request for Customs and Border Protection officials is $1 billion (6.7%) BELOW what was spent last year.

Our brave CBP officers need MORE resources, not less. It's no wonder the #BidenBorderCrisis gets worse and worse."|en|R|7|9
