id|user|created_at|text|lang|label|retweet_count|favorite_count
1504521967638126596|776664410|Thu Mar 17 18:16:04 +0000 2022|Wherever you go, whatever you do, may the luck of the Irish be there with you! Happy St. Patrick’s Day! https://t.co/iGLnNlNMBR|en|D|3|12
1504237440609013765|776664410|Wed Mar 16 23:25:27 +0000 2022|Today, I joined my colleagues for a Congressional address from President Zelenskyy. I continue to stand with the Uk… https://t.co/49eKkrSYFK|en|D|4|19
1503835085681872900|776664410|Tue Mar 15 20:46:38 +0000 2022|Beautiful Blocks provides matching grants of up to $1,000 per property to groups of five or more residents to help… https://t.co/arvp5xA0DN|en|D|4|5
1502437968174145540|776664410|Sat Mar 12 00:15:00 +0000 2022|This week, $19.6 million in funding for ten projects in NEPA passed the U.S. House as part of the fiscal year 2022… https://t.co/PxEcFBrbKI|en|D|5|12
1501951011786838016|776664410|Thu Mar 10 16:00:00 +0000 2022|$26 million is coming to Pennsylvania for abandoned mine land reclamation from the Office of Surface Mining Reclama… https://t.co/H6Z8ogTpbj|en|D|4|14
1501328630517010435|776664410|Tue Mar 08 22:46:53 +0000 2022|Today, I released a statement supporting the decision to ban Russian oil. Read more here: https://t.co/mjxilysC1D|en|D|2|18
1500969542872227840|776664410|Mon Mar 07 23:00:00 +0000 2022|16,300 manufacturing jobs have been added throughout the Commonwealth of Pennsylvania since February 2021. This sho… https://t.co/DItFOGvLqF|en|D|4|16
1499482633721499649|776664410|Thu Mar 03 20:31:33 +0000 2022|I've been working for years to help US Marines and their families who were poisoned by toxic water at Camp Lejeune… https://t.co/iO7N4lqsUx|en|D|13|42
1499153828507234312|776664410|Wed Mar 02 22:45:00 +0000 2022|My office is seeking a Gold Star Family Member to join the constituent advocacy team. This fellowship has been crea… https://t.co/BqWhhmZ1YM|en|D|3|5
1498814089618804736|776664410|Wed Mar 02 00:15:00 +0000 2022|"For a lifetime of service to his country and fellow soldiers and veterans, Charles Hamberger is truly a ""hometown h… https://t.co/0X7R7XOMEw"|en|D|3|19
1497609965250490369|776664410|Sat Feb 26 16:30:14 +0000 2022|I want to congratulate Judge Jackson on her nomination to the Supreme Court. Throughout her career as a U.S. Circui… https://t.co/qLBxV74rRf|en|D|5|23
1496987050964185094|776664410|Thu Feb 24 23:15:00 +0000 2022|Putin’s attack on Ukraine is unjustified and will bring catastrophic loss and suffering. I stand with the people of… https://t.co/vnKZemPiJF|en|D|10|52
1496635994279489542|776664410|Thu Feb 24 00:00:01 +0000 2022|All students deserve safe, welcoming and well-funded public schools. This #PublicSchoolsWeek ✏️ we must recommit to… https://t.co/MtINCLPl2m|en|D|2|11
1496274364446167042|776664410|Wed Feb 23 00:03:02 +0000 2022|$11.5 million from the USDA Rural Development is coming for several area projects. I will continue to be a strong a… https://t.co/FMTNTfanLI|en|D|2|13
1494688158339973121|776664410|Fri Feb 18 15:00:01 +0000 2022|I was deeply saddened to hear that TV anchor Keith Martin passed on earlier this week. He selflessly served his cou… https://t.co/9HaLkyINo0|en|D|4|6
1494348414049341442|776664410|Thu Feb 17 16:30:00 +0000 2022|The @HSLegFund has released their Humane Scorecard for 2021 – and I have received a perfect score of 100%. I will a… https://t.co/CG6524jYFh|en|D|6|11
1493963387465879555|776664410|Wed Feb 16 15:00:02 +0000 2022|Scranton-Lackawanna Head Start is receiving another $4.6 million! I applaud their dedication to enhancing the quali… https://t.co/1hcovNq8iM|en|D|7|17
1493646542686896131|776664410|Tue Feb 15 18:01:01 +0000 2022|With filing season in full swing, the IRS has reminded taxpayers about several key items to keep in mind when filin… https://t.co/q4qKssbCwn|en|D|3|3
1493299001113792514|776664410|Mon Feb 14 19:00:00 +0000 2022|Nearly $245 million in funding is coming to PA this year for reclaiming AML sites. This funding from the Infrastruc… https://t.co/W4wL4ESmdK|en|D|7|16
1492619524348145664|776664410|Sat Feb 12 22:00:00 +0000 2022|The Postal Service Reform Act is a common-sense solution to ensure the USPS remains able to deliver the high-qualit… https://t.co/GaGAmUf73S|en|D|6|29
1492257136918806536|776664410|Fri Feb 11 22:00:00 +0000 2022|The USAF Heritage of America Concert Band will be performing in concert at 2 p.m. this Sunday, February 13th, at th… https://t.co/6Z1OagQpvE|en|D|2|7
