id|user|created_at|text|lang|label|retweet_count|favorite_count
1507396549516664850|1083472286089396224|Fri Mar 25 16:38:38 +0000 2022|This is great news! https://t.co/Plvg4GJ9GN|en|D|4|11
1507125547503079429|1083472286089396224|Thu Mar 24 22:41:46 +0000 2022|Every day, Ukrainian American constituents reach out to my office—desperate to help their families' reach safety  a… https://t.co/Btxe1PiMHS|en|D|16|71
1507112923008749571|1083472286089396224|Thu Mar 24 21:51:36 +0000 2022|This is important. Every worker deserves the right to organize for better wages, safer conditions, and dignity on t… https://t.co/egQYWVwK1J|en|D|12|32
1507085894582419463|1083472286089396224|Thu Mar 24 20:04:12 +0000 2022|"Let's set the record straight:
 
1️⃣ Oil CEOs are making record profits while you struggle to fill your tank.
2️⃣ O… https://t.co/F1DNrKtfbK"|en|D|16|38
1507077287920881680|1083472286089396224|Thu Mar 24 19:30:00 +0000 2022|So long as we are dependent on fossil fuels, American families will continue to struggle under the weight of dramat… https://t.co/1Z5qxHyk1v|en|D|35|103
1507071888354385929|1083472286089396224|Thu Mar 24 19:08:32 +0000 2022|"I’m incredibly proud to have secured funding for @360YouthNaper. 

The funding would be used as a Youth Affordable… https://t.co/3hBFWhmo17"|en|D|4|11
1507039830152298500|1083472286089396224|Thu Mar 24 17:01:09 +0000 2022|#HotFERCSummer is over but saving our planet still demands we deploy all available tools to reduce greenhouse gas p… https://t.co/FHIKsSeKFz|en|D|8|35
1506731154350743555|1083472286089396224|Wed Mar 23 20:34:35 +0000 2022|Earlier this month, @POTUS signed into law legislation providing $7.9 Million for all 10 of the community projects… https://t.co/BAIaZ8qZ06|en|D|9|34
1506730937018691595|1083472286089396224|Wed Mar 23 20:33:43 +0000 2022|We MUST #ProtectOurCare as the REAL GOP Agenda emerges: tax hikes on working families, repealing protections for pr… https://t.co/qQgyKWl1cN|en|D|9|19
1506723732097806337|1083472286089396224|Wed Mar 23 20:05:05 +0000 2022|"Our responsibilities as Members of Congress are a trust from our voters. Ethics matter.

Last week, I addressed the… https://t.co/PmvA09oEPa"|en|D|10|43
1506379557913378836|1083472286089396224|Tue Mar 22 21:17:28 +0000 2022|"I’m proud to have fought to make this surge of federal and state investments in electric vehicles a reality.

Illin… https://t.co/wFuxBDeo7B"|en|D|17|81
1506351254137671681|1083472286089396224|Tue Mar 22 19:25:00 +0000 2022|"I'm incredibly proud to have secured funding for Bridge Communities, Inc.
 
For 33 years, Bridge Communities has be… https://t.co/MkCXLKRtcV"|en|D|9|36
1506329718534160390|1083472286089396224|Tue Mar 22 17:59:25 +0000 2022|Every day we fail to reach an agreement on the baseline climate investments passed by the House is a day Americans… https://t.co/RafvLyRg19|en|D|21|50
1506017329632931841|1083472286089396224|Mon Mar 21 21:18:06 +0000 2022|This morning, I joined @RepBillFoster and @RepUnderwood at the new @LionElectricCo manufacturing plant in Joliet to… https://t.co/8CyO5OPaQO|en|D|17|60
1506014354923212809|1083472286089396224|Mon Mar 21 21:06:17 +0000 2022|I look forward to a swift confirmation of Judge Jackson, whose brilliant legal mind, unparalleled qualifications, a… https://t.co/er78rItZCI|en|D|11|80
1505998092721696774|1083472286089396224|Mon Mar 21 20:01:40 +0000 2022|For any #ClimateRisk Disclosure rule to have teeth, it must fully mandate disclosure of “Scope 3” emissions embedde… https://t.co/HJNhhKs599|en|D|7|21
