id|user|created_at|text|lang|label|retweet_count|favorite_count
1507363131328278531|1082790600292925440|Fri Mar 25 14:25:50 +0000 2022|"A looming crisis on top of an existing crisis in the middle of a dozen others 

This means more dead migrants, more… https://t.co/5zweiq3xaW"|en|R|46|83
1506815355779522560|1082790600292925440|Thu Mar 24 02:09:10 +0000 2022|"One week from today, a Finnish court will hand down a verdict in a case that has put the Bible on trial. 

Watch Re… https://t.co/e1lO2trMNU"|en|R|25|38
1505988213470646272|1082790600292925440|Mon Mar 21 19:22:24 +0000 2022|"""Dating back more than a decade, to her time as Vice Chair of the U.S. Sentencing Commission, it appears she has ex… https://t.co/QFwr6za37d"|en|R|53|89
1505972750976004097|1082790600292925440|Mon Mar 21 18:20:58 +0000 2022|"""The ATF’s continued assault of the Second Amendment threatens millions of law-abiding American firearm owners.""

R… https://t.co/ooaNMu0g9k"|en|R|12|20
1505940428608221192|1082790600292925440|Mon Mar 21 16:12:31 +0000 2022|"As the #KBJ confirmation hearing begins today, remember these names:

Miguel Estrada
Judge Janice Rogers Brown
Judg… https://t.co/E7RdP5p9wr"|en|R|125|246
1504859576595845126|1082790600292925440|Fri Mar 18 16:37:36 +0000 2022|NEW 🚨🚨🚨 https://t.co/TfnoZuLz9g|und|R|6|18
1504834020181528583|1082790600292925440|Fri Mar 18 14:56:03 +0000 2022|"“The thing that sets us apart from the rest of the world... is we have the Second Amendment."" 

Rep. Roy will alway… https://t.co/KWAuwO57SI"|en|R|25|75
1504816927457353761|1082790600292925440|Fri Mar 18 13:48:08 +0000 2022|"ICYMI: ""It’s our job. It’s our obligation. And if you can’t [show up to vote], think about not running again, think… https://t.co/ErUqCwsJLe"|en|R|58|206
1504814585328640011|1082790600292925440|Fri Mar 18 13:38:49 +0000 2022|"""Get your butt to Washington and vote!"" 🔥🔥🔥

https://t.co/afbcuRTvES"|en|R|38|138
1504610725997776900|1082790600292925440|Fri Mar 18 00:08:46 +0000 2022|Rep. Roy's statement: https://t.co/rdABwEfqnt https://t.co/UKX2tkYDxC|en|R|57|174
1504511327796142082|1082790600292925440|Thu Mar 17 17:33:47 +0000 2022|We agree! https://t.co/47b8nljOud|en|R|19|89
1504499804319141895|1082790600292925440|Thu Mar 17 16:48:00 +0000 2022|"""I'd just as soon we meet once a year for like 2 days, and pass a balanced budget, and get out of town and stop mes… https://t.co/qDHNhkLrCV"|en|R|65|145
1504491901000507398|1082790600292925440|Thu Mar 17 16:16:35 +0000 2022|"""It's our JOB! It's our OBLIGATION! And if you can't [vote in-person] think about not running again.""

Rep. Roy giv… https://t.co/HOKYY2XRPI"|en|R|300|922
1504482596620681216|1082790600292925440|Thu Mar 17 15:39:37 +0000 2022|"""Impeaching Secretary Mayorkas is our duty""

""We should call for it now - despite Democrat control of the House - a… https://t.co/qIsU7zinTe"|en|R|53|160
1504460452239130626|1082790600292925440|Thu Mar 17 14:11:37 +0000 2022|Rep Roy said the lesson “appears to be a direct and deliberate violation of Texas law” and asserted that “students… https://t.co/MFCeSY8FBU|en|R|11|32
1504211830532714496|1082790600292925440|Wed Mar 16 21:43:41 +0000 2022|"""We should impeach Mayorkas, because he's failing to faithfully execute the laws of the United States ... Go make t… https://t.co/A8aCo74BlY"|en|R|36|118
1504179854601768960|1082790600292925440|Wed Mar 16 19:36:38 +0000 2022|#ImpeachMayorkas https://t.co/TtPo5j6ssQ|und|R|16|44
1504155964869644297|1082790600292925440|Wed Mar 16 18:01:42 +0000 2022|https://t.co/Eoyt3xrIXy|und|R|68|176
1504148796736954371|1082790600292925440|Wed Mar 16 17:33:13 +0000 2022|"Enough is enough.

Rep. Chip Roy is calling on every single House Republican to join the fight to IMPEACH… https://t.co/7LdUv5AaHJ"|en|R|260|630
1504123142847049732|1082790600292925440|Wed Mar 16 15:51:17 +0000 2022|🔥🔥🔥 https://t.co/BtEACkDVOI|und|R|66|220
1503777660824137738|1082790600292925440|Tue Mar 15 16:58:27 +0000 2022|Today, Team Roy met with Irish pro-life activists to discuss the sanctity of human life and share strategies and id… https://t.co/IsfFTRqaKM|en|R|15|73
1503746338864963601|1082790600292925440|Tue Mar 15 14:54:00 +0000 2022|"President Biden's radical push for woke investing is in full swing even as Americans face record gas prices.

While… https://t.co/ksqrAIsSR4"|en|R|25|37
