id|user|created_at|text|lang|label|retweet_count|favorite_count
1507371403221381120|1067748650485497862|Fri Mar 25 14:58:42 +0000 2022|Thank you to the Granite State District Export Council for welcoming me this morning for a discussion about boostin… https://t.co/4IrlHO6LX3|en|D|2|2
1507075463797219337|1067748650485497862|Thu Mar 24 19:22:45 +0000 2022|This week, I joined @RepJoeWilson in a bipartisan call on @CMSGov to investigate the impact of staffing shortages a… https://t.co/esfc4aZv7T|en|D|2|4
1506977976935665672|1067748650485497862|Thu Mar 24 12:55:22 +0000 2022|It was great to stop by Chisholm Farm in Hampstead this week. Thank you Andrew for opening your sugarhouse to us, f… https://t.co/82GnKk9xjX|en|D|5|14
1506783499256221705|1067748650485497862|Thu Mar 24 00:02:35 +0000 2022|Pitched in during the lunch service at @MoWSJCS along with Goffstown PD this afternoon. Meals on Wheels is a vital… https://t.co/sVROo6VDh3|en|D|6|12
1506714160293363719|1067748650485497862|Wed Mar 23 19:27:03 +0000 2022|.@UpReachtec in Goffstown helps individuals heal through therapeutic riding and other equine therapies as an ACERT… https://t.co/MtKw3R04Q5|en|D|5|4
1506634567398182915|1067748650485497862|Wed Mar 23 14:10:47 +0000 2022|Great to be back in-person with @NECouncil! Thanks for the great conversation and thoughtful questions about the fu… https://t.co/XwqQoSUlz0|en|D|3|6
1506385899256487949|1067748650485497862|Tue Mar 22 21:42:40 +0000 2022|Wastewater infrastructure is vital to communities across New Hampshire. Today I toured Hampton's wastewater treatme… https://t.co/KhfqtAIMco|en|D|4|9
1506306473709682694|1067748650485497862|Tue Mar 22 16:27:03 +0000 2022|A bipartisan bill I introduced in the House that recently became law will allow our National Guard and Reserve memb… https://t.co/7gSqeSXWw6|en|D|4|14
1506050058793459712|1067748650485497862|Mon Mar 21 23:28:09 +0000 2022|"Headed to Carroll County today to get in a few last runs of the season ⛷!

This afternoon I got to do some spring s… https://t.co/stUZkThItq"|en|D|4|16
1505172219839852547|1067748650485497862|Sat Mar 19 13:19:56 +0000 2022|I am saddened at the passing of Don Young, who I had the chance to work with on a number of issues over the last se… https://t.co/JGWkAcy2kZ|en|D|4|14
1504932543086346240|1067748650485497862|Fri Mar 18 21:27:33 +0000 2022|For over 50 years, Granite State suffragist Marilla Ricker fought for the right to vote, becoming the first woman i… https://t.co/9WXKtO7jH8|en|D|6|9
1504900444438544384|1067748650485497862|Fri Mar 18 19:20:00 +0000 2022|Everyone knows New Hampshire has the best maple products and ahead of this weekend, @RepAnnieKuster and I just intr… https://t.co/Pc58odoXez|en|D|9|19
1504882756043653130|1067748650485497862|Fri Mar 18 18:09:43 +0000 2022|I voted to reauthorize the Violence Against Women Act and @POTUS signed it into law this week, providing vital fund… https://t.co/ZtKnM44Zdo|en|D|17|54
1504593133174206476|1067748650485497862|Thu Mar 17 22:58:51 +0000 2022|Today, the House passed the bipartisan FAIR Act, eliminating forced arbitration clauses in employment, consumer, an… https://t.co/fi1T4IQuY4|en|D|9|25
